"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2011","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2011","AverageDistanceafterGoingforitShot_PLAYERNAME_2011","AverageDistanceafterGoingforitShot_ROUNDS_2011","AverageDistanceafterGoingforitShot_AVG_2011","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2011","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2011","stat_name","year"
1,1,"Davis Love III",70,19.1,68668,100,"AverageDistanceafterGoingforitShot",2011
2,2,"Chad Campbell",99,19.4,102457,147,"AverageDistanceafterGoingforitShot",2011
3,3,"Brandt Jobe",100,20.3,107530,147,"AverageDistanceafterGoingforitShot",2011
3,3,"Gary Woodland",93,20.3,132541,181,"AverageDistanceafterGoingforitShot",2011
5,5,"Zack Miller",86,20.4,111022,151,"AverageDistanceafterGoingforitShot",2011
6,6,"Chris Couch",73,20.5,127167,172,"AverageDistanceafterGoingforitShot",2011
7,7,"Webb Simpson",98,20.6,135459,183,"AverageDistanceafterGoingforitShot",2011
8,8,"Brendan Steele",89,20.7,112358,151,"AverageDistanceafterGoingforitShot",2011
9,9,"George McNeill",69,20.8,86088,115,"AverageDistanceafterGoingforitShot",2011
10,10,"Robert Karlsson",61,20.9,72380,96,"AverageDistanceafterGoingforitShot",2011
11,11,"Angel Cabrera",50,21.3,67523,88,"AverageDistanceafterGoingforitShot",2011
12,12,"Kevin Chappell",78,21.6,105891,136,"AverageDistanceafterGoingforitShot",2011
12,12,"Scott Stallings",84,21.6,97057,125,"AverageDistanceafterGoingforitShot",2011
14,14,"Alex Prugh",82,21.7,103091,132,"AverageDistanceafterGoingforitShot",2011
14,14,"Vijay Singh",79,21.7,104570,134,"AverageDistanceafterGoingforitShot",2011
14,14,"Steve Stricker",70,21.7,73285,94,"AverageDistanceafterGoingforitShot",2011
17,17,"Jason Dufner",78,21.9,80428,102,"AverageDistanceafterGoingforitShot",2011
18,18,"Scott Piercy",78,22,127600,161,"AverageDistanceafterGoingforitShot",2011
18,18,"Will Strickler",51,22,70504,89,"AverageDistanceafterGoingforitShot",2011
20,20,"Robert Garrigus",83,22.1,162128,204,"AverageDistanceafterGoingforitShot",2011
20,20,"John Senden",94,22.1,147163,185,"AverageDistanceafterGoingforitShot",2011
20,20,"Nick Watney",80,22.1,121811,153,"AverageDistanceafterGoingforitShot",2011
23,23,"Stewart Cink",72,22.3,77064,96,"AverageDistanceafterGoingforitShot",2011
24,24,"Harrison Frazar",58,22.4,63719,79,"AverageDistanceafterGoingforitShot",2011
24,24,"Charley Hoffman",93,22.4,170194,211,"AverageDistanceafterGoingforitShot",2011
24,24,"Chris Stroud",88,22.4,117927,146,"AverageDistanceafterGoingforitShot",2011
27,27,"Rickie Fowler",84,22.5,111004,137,"AverageDistanceafterGoingforitShot",2011
27,27,"Jim Herman",69,22.5,90558,112,"AverageDistanceafterGoingforitShot",2011
27,27,"John Merrick",71,22.5,87372,108,"AverageDistanceafterGoingforitShot",2011
30,30,"Bobby Gates",82,22.6,116908,144,"AverageDistanceafterGoingforitShot",2011
30,30,"Troy Matteson",91,22.6,139782,172,"AverageDistanceafterGoingforitShot",2011
30,30,"Josh Teater",104,22.6,169958,209,"AverageDistanceafterGoingforitShot",2011
