"GIRPutting510_RANKTHISWEEK_2013","GIRPutting510_RANKLASTWEEK_2013","GIRPutting510_PLAYERNAME_2013","GIRPutting510_ROUNDS_2013","GIRPutting510_Pct_2013","GIRPutting510_ATTEMPTS_2013","GIRPutting510_PUTTSMADE_2013","stat_name","year"
1,1,"William McGirt",75,63.33,120,76,"GIRPutting510",2013
2,2,"David Hearn",88,62.67,150,94,"GIRPutting510",2013
3,3,"Colt Knost",69,61.54,78,48,"GIRPutting510",2013
4,4,"Tiger Woods",61,61.11,90,55,"GIRPutting510",2013
5,5,"Phil Mickelson",78,60.53,114,69,"GIRPutting510",2013
6,6,"Doug LaBelle II",72,60.4,101,61,"GIRPutting510",2013
7,7,"Henrik Norlander",70,59.55,89,53,"GIRPutting510",2013
8,8,"Steve Stricker",51,59.46,74,44,"GIRPutting510",2013
9,9,"Josh Teater",86,59.38,128,76,"GIRPutting510",2013
10,10,"Brandt Snedeker",79,58.16,98,57,"GIRPutting510",2013
11,11,"Cameron Percy",68,57.69,104,60,"GIRPutting510",2013
12,12,"Sangmoon Bae",83,57.48,127,73,"GIRPutting510",2013
13,13,"Aaron Baddeley",68,57.47,87,50,"GIRPutting510",2013
14,14,"Bryce Molder",82,57.36,129,74,"GIRPutting510",2013
15,15,"John Huh",88,57.35,136,78,"GIRPutting510",2013
16,16,"Billy Horschel",96,56.8,169,96,"GIRPutting510",2013
17,17,"Camilo Villegas",79,56.62,136,77,"GIRPutting510",2013
18,18,"Justin Bolli",59,56.52,69,39,"GIRPutting510",2013
19,19,"Scott Stallings",79,56.38,149,84,"GIRPutting510",2013
20,20,"Alistair Presnell",59,56.34,71,40,"GIRPutting510",2013
21,21,"Angel Cabrera",73,56.12,98,55,"GIRPutting510",2013
22,22,"Ken Duke",87,56.06,132,74,"GIRPutting510",2013
23,23,"Jason Day",86,56,100,56,"GIRPutting510",2013
24,24,"Jason Bohn",70,55.86,145,81,"GIRPutting510",2013
25,25,"James Driscoll",76,55.56,117,65,"GIRPutting510",2013
26,26,"Justin Leonard",86,55.3,132,73,"GIRPutting510",2013
27,27,"DH Lee",65,55.14,107,59,"GIRPutting510",2013
28,28,"Brian Gay",79,55.04,129,71,"GIRPutting510",2013
29,29,"Casey Wittenberg",72,55,100,55,"GIRPutting510",2013
30,30,"Michael Bradley",56,54.93,71,39,"GIRPutting510",2013
31,31,"Stephen Ames",49,54.84,62,34,"GIRPutting510",2013
31,31,"Padraig Harrington",52,54.84,62,34,"GIRPutting510",2013
33,33,"Martin Flores",83,54.74,137,75,"GIRPutting510",2013
34,34,"Graham DeLaet",94,54.73,148,81,"GIRPutting510",2013
35,35,"Ben Crane",62,54.63,108,59,"GIRPutting510",2013
36,36,"Jerry Kelly",75,54.4,125,68,"GIRPutting510",2013
37,37,"Steve LeBrun",66,54.37,103,56,"GIRPutting510",2013
38,38,"Luke Donald",60,54.26,94,51,"GIRPutting510",2013
39,39,"Patrick Reed",83,54.17,120,65,"GIRPutting510",2013
40,40,"Greg Chalmers",77,54.1,122,66,"GIRPutting510",2013
41,41,"Fabian Gomez",65,54.08,98,53,"GIRPutting510",2013
42,42,"Jeff Maggert",63,54.05,111,60,"GIRPutting510",2013
42,42,"YE Yang",56,54.05,74,40,"GIRPutting510",2013
44,44,"Hunter Mahan",91,54.03,124,67,"GIRPutting510",2013
45,45,"Jimmy Walker",84,54.02,174,94,"GIRPutting510",2013
46,46,"Kevin Streelman",86,53.98,113,61,"GIRPutting510",2013
47,47,"KJ Choi",85,53.97,126,68,"GIRPutting510",2013
48,48,"Cameron Tringale",80,53.96,139,75,"GIRPutting510",2013
49,49,"James Hahn",78,53.78,119,64,"GIRPutting510",2013
50,50,"Daniel Summerhays",83,53.68,136,73,"GIRPutting510",2013
51,51,"Harris English",95,53.29,152,81,"GIRPutting510",2013
52,52,"JJ Henry",83,53.28,122,65,"GIRPutting510",2013
53,53,"Dicky Pride",71,53.04,115,61,"GIRPutting510",2013
54,54,"Jordan Spieth",82,53.02,149,79,"GIRPutting510",2013
55,55,"Henrik Stenson",65,53.01,83,44,"GIRPutting510",2013
56,56,"Charley Hoffman",84,52.94,170,90,"GIRPutting510",2013
57,57,"Brian Davis",91,52.81,178,94,"GIRPutting510",2013
58,58,"Chris Kirk",89,52.78,180,95,"GIRPutting510",2013
59,59,"Richard Lee",81,52.73,110,58,"GIRPutting510",2013
60,60,"Matt Jones",83,52.67,131,69,"GIRPutting510",2013
61,61,"Matt Every",89,52.66,169,89,"GIRPutting510",2013
