"Total3PuttsInside5_RANKTHISWEEK_2016","Total3PuttsInside5_RANKLASTWEEK_2016","Total3PuttsInside5_PLAYERNAME_2016","Total3PuttsInside5_ROUNDS_2016","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2016","Total3PuttsInside5_TOTAL3PUTTS_2016","stat_name","year"
1,1,"Morgan Hoffmann",43,3,22,"Total3PuttsInside5",2016
2,1,"Will Ma Kenzie",54,2,25,"Total3PuttsInside5",2016
2,1,"Jeff Overton",51,2,31,"Total3PuttsInside5",2016
2,1,"Dicky Pride",33,2,13,"Total3PuttsInside5",2016
5,5,"Tyler Aldridge",53,1,21,"Total3PuttsInside5",2016
5,5,"Robert Allenby",35,1,16,"Total3PuttsInside5",2016
5,5,"Blayne Barber",44,1,22,"Total3PuttsInside5",2016
5,5,"Charlie Beljan",26,1,22,"Total3PuttsInside5",2016
5,5,"Angel Cabrera",42,1,20,"Total3PuttsInside5",2016
5,NA,"Paul Casey",39,1,14,"Total3PuttsInside5",2016
5,5,"Harris English",51,1,14,"Total3PuttsInside5",2016
5,NA,"Derek Ernst",36,1,16,"Total3PuttsInside5",2016
5,5,"Brian Gay",22,1,7,"Total3PuttsInside5",2016
5,5,"David Hearn",55,1,20,"Total3PuttsInside5",2016
5,5,"John Huh",51,1,20,"Total3PuttsInside5",2016
5,5,"Dustin Johnson",37,1,7,"Total3PuttsInside5",2016
5,5,"Sung Kang",51,1,16,"Total3PuttsInside5",2016
5,5,"Chris Kirk",51,1,22,"Total3PuttsInside5",2016
5,5,"Danny Lee",53,1,25,"Total3PuttsInside5",2016
5,NA,"Steve Marino",40,1,20,"Total3PuttsInside5",2016
5,5,"William McGirt",54,1,17,"Total3PuttsInside5",2016
5,5,"Henrik Norlander",41,1,15,"Total3PuttsInside5",2016
5,NA,"Greg Owen",56,1,31,"Total3PuttsInside5",2016
5,NA,"Ian Poulter",37,1,10,"Total3PuttsInside5",2016
5,5,"Sam Saunders",40,1,8,"Total3PuttsInside5",2016
5,5,"Cameron Smith",45,1,12,"Total3PuttsInside5",2016
5,5,"Shawn Stefani",45,1,20,"Total3PuttsInside5",2016
5,5,"Steve Stricker",25,1,6,"Total3PuttsInside5",2016
5,5,"Bernd Wiesberger",23,1,6,"Total3PuttsInside5",2016
