"DistancetoApex_RANKTHISWEEK_2008","DistancetoApex_RANKLASTWEEK_2008","DistancetoApex_PLAYERNAME_2008","DistancetoApex_ROUNDS_2008","DistancetoApex_AVG_2008","DistancetoApex_TOTALAPEXRANGE_2008","DistancetoApex_TOTALATTEMPTS_2008","DistancetoApex_LONGESTDISTTOAPEX_2008","DistancetoApex_SHORTESTDISTTOAPEX_2008","stat_name","year"
1,NA,"JB Holmes",86,206.1,8244.5,40,223.3,191.1,"DistancetoApex",2008
2,NA,"Robert Garrigus",90,201.6,12903.6,64,219.6,184.5,"DistancetoApex",2008
3,NA,"Dustin Johnson",92,201.4,12689.9,63,221.1,173.3,"DistancetoApex",2008
4,NA,"Travis Perkins",53,199.2,4980.7,25,215,182.7,"DistancetoApex",2008
5,NA,"Nick Watney",96,198.3,14280.2,72,214.6,178.3,"DistancetoApex",2008
6,NA,"Charley Hoffman",94,197.2,16957.8,86,211.8,174,"DistancetoApex",2008
6,NA,"Tag Ridings",88,197.2,13209.7,67,215,170.6,"DistancetoApex",2008
8,NA,"Angel Cabrera",55,197,6106.8,31,211.8,159.4,"DistancetoApex",2008
9,NA,"Jason Allred",63,196.8,8464.4,43,214.6,180.1,"DistancetoApex",2008
9,NA,"Paul Casey",55,196.8,5902.6,30,207.3,172.5,"DistancetoApex",2008
11,NA,"Bubba Watson",97,196.4,12177.9,62,215.9,152.1,"DistancetoApex",2008
12,NA,"James Driscoll",85,194.8,12469.1,64,207.4,142.2,"DistancetoApex",2008
13,NA,"Anthony Kim",81,194.3,12631.5,65,206.9,175.8,"DistancetoApex",2008
14,NA,"Bill Haas",99,194.1,16695.2,86,210.5,168.1,"DistancetoApex",2008
15,NA,"Sergio Garcia",72,194,9312.6,48,207.4,159,"DistancetoApex",2008
16,NA,"Martin Laird",98,193.1,14095.7,73,210.9,172.6,"DistancetoApex",2008
17,NA,"George McNeill",97,193,16405,85,209.6,169.2,"DistancetoApex",2008
18,NA,"Pat Perez",93,192.6,13866.1,72,203.7,179.6,"DistancetoApex",2008
19,NA,"Charles Warren",79,192.4,12697.2,66,209.9,145.8,"DistancetoApex",2008
20,NA,"Lucas Glover",91,192.1,14792.8,77,213.9,155.3,"DistancetoApex",2008
21,NA,"Davis Love III",78,192,10366.6,54,204.9,174.9,"DistancetoApex",2008
21,NA,"Adam Scott",51,192,6527.8,34,210.5,174.1,"DistancetoApex",2008
21,NA,"John Senden",93,192,13250.8,69,201.7,167.4,"DistancetoApex",2008
24,NA,"Jason Gore",94,191.5,10530.4,55,208.9,172.6,"DistancetoApex",2008
24,NA,"Troy Matteson",94,191.5,16082.9,84,207.4,165.2,"DistancetoApex",2008
26,NA,"Fred Couples",60,190.9,6491.1,34,201.8,177.5,"DistancetoApex",2008
27,NA,"Daniel Chopra",84,190.8,12021.7,63,208.2,167,"DistancetoApex",2008
28,NA,"Richard Johnson",77,190.7,11251.5,59,212.4,140.4,"DistancetoApex",2008
29,NA,"Charles Howell III",101,189.7,15177,80,203.1,142.5,"DistancetoApex",2008
30,NA,"Harrison Frazar",73,188.8,8873.5,47,199.4,170.1,"DistancetoApex",2008
31,NA,"Stewart Cink",87,188.6,10372.2,55,201.8,170,"DistancetoApex",2008
31,NA,"Brandt Jobe",52,188.6,7166.9,38,201.6,175.6,"DistancetoApex",2008
33,NA,"Vijay Singh",82,188.4,11117.7,59,200.6,168.9,"DistancetoApex",2008
34,NA,"Matt Jones",95,188,13161,70,205.6,166.4,"DistancetoApex",2008
35,NA,"Kevin Streelman",114,187.8,16151,86,201.7,162.2,"DistancetoApex",2008
35,NA,"Bo Van Pelt",101,187.8,14274.2,76,206.4,174.8,"DistancetoApex",2008
37,NA,"Padraig Harrington",52,187.7,4504.9,24,198.6,166.3,"DistancetoApex",2008
38,NA,"Woody Austin",109,187.5,16313.9,87,202.3,164.1,"DistancetoApex",2008
38,NA,"Aaron Baddeley",76,187.5,9564,51,203.4,163.7,"DistancetoApex",2008
38,NA,"Geoff Ogilvy",65,187.5,8626,46,202,168.2,"DistancetoApex",2008
41,NA,"Ryan Palmer",69,187,7666.9,41,199.4,149.5,"DistancetoApex",2008
42,NA,"Jason Day",81,186.5,13242.6,71,200.7,150,"DistancetoApex",2008
42,NA,"Jimmy Walker",73,186.5,8949.9,48,204,159.5,"DistancetoApex",2008
44,NA,"Phil Mickelson",80,186.3,9314.6,50,204.6,164.2,"DistancetoApex",2008
44,NA,"Andres Romero",69,186.3,7638.4,41,205,164.2,"DistancetoApex",2008
46,NA,"Jonathan Byrd",88,186.2,14340.5,77,198.7,162,"DistancetoApex",2008
47,NA,"Boo Weekley",86,186.1,11907.5,64,211.8,156.6,"DistancetoApex",2008
48,NA,"Steve Allan",58,186,7625.2,41,199.9,157.5,"DistancetoApex",2008
49,NA,"David Duval",51,185.7,5385.6,29,208,124.3,"DistancetoApex",2008
49,NA,"Nicholas Thompson",113,185.7,16152.2,87,200.5,165.7,"DistancetoApex",2008
51,NA,"Carlos Franco",73,185,8139.1,44,204.7,157.5,"DistancetoApex",2008
52,NA,"Trevor Immelman",70,184.7,9050.7,49,198.7,148.2,"DistancetoApex",2008
53,NA,"Bob Sowards",61,184.3,7741.2,42,195,163.2,"DistancetoApex",2008
54,NA,"Robert Allenby",108,184.1,13991.7,76,196.5,166.7,"DistancetoApex",2008
