"FedExCupPointsperEventLeaders_RANKTHISWEEK_2016","FedExCupPointsperEventLeaders_RANKLASTWEEK_2016","FedExCupPointsperEventLeaders_PLAYERNAME_2016","FedExCupPointsperEventLeaders_EVENTS_2016","FedExCupPointsperEventLeaders_POINTSPEREVENT_2016","FedExCupPointsperEventLeaders_TOTALPOINTS_2016","stat_name","year"
1,1,"Adam Scott",10,178.16,1781.6,"FedExCupPointsperEventLeaders",2016
2,2,"Jason Day",9,160,1440,"FedExCupPointsperEventLeaders",2016
3,3,"Bubba Watson",8,130.413,1043.3,"FedExCupPointsperEventLeaders",2016
4,4,"Danny Willett",5,128.8,644,"FedExCupPointsperEventLeaders",2016
5,5,"Jordan Spieth",9,125.785,1132.067,"FedExCupPointsperEventLeaders",2016
6,6,"Charl Schwartzel",8,100.29,802.317,"FedExCupPointsperEventLeaders",2016
7,8,"Dustin Johnson",9,95.878,862.9,"FedExCupPointsperEventLeaders",2016
8,9,"Branden Grace",9,95.778,862,"FedExCupPointsperEventLeaders",2016
9,10,"Brandt Snedeker",14,92.846,1299.85,"FedExCupPointsperEventLeaders",2016
10,11,"Russell Knox",14,92.821,1299.5,"FedExCupPointsperEventLeaders",2016
11,13,"Louis Oosthuizen",6,90.556,543.333,"FedExCupPointsperEventLeaders",2016
12,14,"Hideki Matsuyama",12,87.856,1054.267,"FedExCupPointsperEventLeaders",2016
13,7,"Henrik Stenson",8,86.592,692.738,"FedExCupPointsperEventLeaders",2016
14,12,"Kevin Kisner",14,84.464,1182.49,"FedExCupPointsperEventLeaders",2016
15,15,"Patrick Reed",14,82.893,1160.5,"FedExCupPointsperEventLeaders",2016
16,16,"Graeme McDowell",11,82.591,908.5,"FedExCupPointsperEventLeaders",2016
17,18,"Kevin Na",14,80.726,1130.167,"FedExCupPointsperEventLeaders",2016
18,19,"Phil Mickelson",11,79.105,870.15,"FedExCupPointsperEventLeaders",2016
19,20,"Rickie Fowler",12,78.188,938.25,"FedExCupPointsperEventLeaders",2016
20,22,"Rory McIlroy",9,76.391,687.517,"FedExCupPointsperEventLeaders",2016
21,17,"Brian Stuard",8,71.563,572.5,"FedExCupPointsperEventLeaders",2016
22,23,"Sergio Garcia",8,70.573,564.587,"FedExCupPointsperEventLeaders",2016
23,21,"Justin Thomas",15,70.06,1050.9,"FedExCupPointsperEventLeaders",2016
24,35,"Justin Rose",10,66.502,665.017,"FedExCupPointsperEventLeaders",2016
25,25,"Kevin Chappell",14,63.786,893,"FedExCupPointsperEventLeaders",2016
26,28,"Smylie Kaufman",16,63.683,1018.921,"FedExCupPointsperEventLeaders",2016
27,29,"Charley Hoffman",14,62.91,880.738,"FedExCupPointsperEventLeaders",2016
28,24,"Emiliano Grillo",13,62.339,810.41,"FedExCupPointsperEventLeaders",2016
29,26,"Bill Haas",12,60.813,729.75,"FedExCupPointsperEventLeaders",2016
30,27,"JB Holmes",10,59.552,595.517,"FedExCupPointsperEventLeaders",2016
31,31,"Jason Dufner",15,58.82,882.301,"FedExCupPointsperEventLeaders",2016
32,33,"Fabian Gomez",15,57.911,868.667,"FedExCupPointsperEventLeaders",2016
33,30,"Jason Bohn",11,55.152,606.667,"FedExCupPointsperEventLeaders",2016
34,32,"Ryan Moore",11,53.362,586.981,"FedExCupPointsperEventLeaders",2016
35,34,"Vaughn Taylor",11,51.477,566.25,"FedExCupPointsperEventLeaders",2016
36,123,"James Hahn",15,51.333,770,"FedExCupPointsperEventLeaders",2016
37,36,"Jamie Lovemark",17,49.386,839.557,"FedExCupPointsperEventLeaders",2016
38,38,"Brooks Koepka",11,48.591,534.5,"FedExCupPointsperEventLeaders",2016
39,40,"Jimmy Walker",12,46.919,563.033,"FedExCupPointsperEventLeaders",2016
40,37,"Jim Herman",17,46.127,784.16,"FedExCupPointsperEventLeaders",2016
41,39,"Charles Howell III",17,45.064,766.089,"FedExCupPointsperEventLeaders",2016
42,42,"Bernhard Langer",1,45,45,"FedExCupPointsperEventLeaders",2016
43,41,"Paul Casey",11,43.924,483.167,"FedExCupPointsperEventLeaders",2016
44,43,"Billy Horschel",12,43.583,523,"FedExCupPointsperEventLeaders",2016
45,47,"William McGirt",15,42.472,637.073,"FedExCupPointsperEventLeaders",2016
46,45,"Patton Kizzire",16,42.464,679.417,"FedExCupPointsperEventLeaders",2016
47,46,"Matt Kuchar",12,42.058,504.699,"FedExCupPointsperEventLeaders",2016
48,48,"Tony Finau",15,41.233,618.5,"FedExCupPointsperEventLeaders",2016
49,50,"David Lingmerth",15,40.839,612.583,"FedExCupPointsperEventLeaders",2016
50,97,"Roberto Castro",16,40.5,648,"FedExCupPointsperEventLeaders",2016
51,49,"KJ Choi",14,40.161,562.25,"FedExCupPointsperEventLeaders",2016
52,44,"Luke Donald",13,39.898,518.68,"FedExCupPointsperEventLeaders",2016
53,51,"Scott Piercy",12,39.65,475.8,"FedExCupPointsperEventLeaders",2016
54,55,"Brendan Steele",14,37.875,530.25,"FedExCupPointsperEventLeaders",2016
55,52,"Zach Johnson",12,37.841,454.09,"FedExCupPointsperEventLeaders",2016
56,53,"Marc Leishman",12,37.056,444.667,"FedExCupPointsperEventLeaders",2016
57,58,"Harris English",15,36.467,547,"FedExCupPointsperEventLeaders",2016
58,60,"Daniel Berger",15,36.023,540.338,"FedExCupPointsperEventLeaders",2016
59,57,"Ryan Palmer",12,35.84,430.083,"FedExCupPointsperEventLeaders",2016
60,59,"Freddie Jacobson",16,35.252,564.03,"FedExCupPointsperEventLeaders",2016
61,54,"Jason Kokrak",17,34.441,585.5,"FedExCupPointsperEventLeaders",2016
62,63,"Chris Kirk",15,34.233,513.49,"FedExCupPointsperEventLeaders",2016
63,62,"Alex Cejka",15,33.022,495.334,"FedExCupPointsperEventLeaders",2016
64,67,"Gary Woodland",12,33.011,396.133,"FedExCupPointsperEventLeaders",2016
65,61,"Kevin Streelman",15,32.533,488,"FedExCupPointsperEventLeaders",2016
66,65,"Jhonattan Vegas",14,32.077,449.071,"FedExCupPointsperEventLeaders",2016
67,56,"Jamie Donaldson",8,31.625,253,"FedExCupPointsperEventLeaders",2016
68,64,"David Toms",11,30.516,335.68,"FedExCupPointsperEventLeaders",2016
69,76,"Daniel Summerhays",15,30.292,454.383,"FedExCupPointsperEventLeaders",2016
70,90,"Andrew Loupe",16,30.129,482.071,"FedExCupPointsperEventLeaders",2016
71,66,"Graham DeLaet",14,29.936,419.1,"FedExCupPointsperEventLeaders",2016
72,68,"Si Woo Kim",19,29.549,561.433,"FedExCupPointsperEventLeaders",2016
73,71,"Chez Reavie",16,29.463,471.4,"FedExCupPointsperEventLeaders",2016
74,85,"Danny Lee",16,29.375,470,"FedExCupPointsperEventLeaders",2016
75,87,"Lucas Glover",16,29.316,469.056,"FedExCupPointsperEventLeaders",2016
76,74,"Bryce Molder",16,28.792,460.667,"FedExCupPointsperEventLeaders",2016
77,78,"Aaron Baddeley",15,28.033,420.5,"FedExCupPointsperEventLeaders",2016
78,79,"Russell Henley",14,28.012,392.167,"FedExCupPointsperEventLeaders",2016
79,70,"Scott Brown",17,27.818,472.9,"FedExCupPointsperEventLeaders",2016
80,72,"Peter Malnati",19,27.77,527.638,"FedExCupPointsperEventLeaders",2016
81,82,"Sean OHair",14,27.321,382.5,"FedExCupPointsperEventLeaders",2016
82,75,"Jonas Blixt",16,26.948,431.17,"FedExCupPointsperEventLeaders",2016
83,80,"Cameron Tringale",14,26.851,375.912,"FedExCupPointsperEventLeaders",2016
84,69,"Shane Lowry",10,26.617,266.167,"FedExCupPointsperEventLeaders",2016
85,73,"Padraig Harrington",11,26.515,291.667,"FedExCupPointsperEventLeaders",2016
86,83,"Colt Knost",15,26.479,397.19,"FedExCupPointsperEventLeaders",2016
87,77,"Patrick Rodgers",16,26.39,422.238,"FedExCupPointsperEventLeaders",2016
88,84,"John Huh",16,26.283,420.534,"FedExCupPointsperEventLeaders",2016
89,89,"Harold Varner III",18,26.119,470.133,"FedExCupPointsperEventLeaders",2016
90,86,"Anirban Lahiri",13,25.577,332.5,"FedExCupPointsperEventLeaders",2016
91,81,"Zac Blair",18,25.365,456.571,"FedExCupPointsperEventLeaders",2016
92,88,"Troy Merritt",14,25.142,351.99,"FedExCupPointsperEventLeaders",2016
93,93,"Kyle Reifers",19,24.276,461.25,"FedExCupPointsperEventLeaders",2016
94,110,"Francesco Molinari",10,23.85,238.5,"FedExCupPointsperEventLeaders",2016
95,91,"Ricky Barnes",18,23.472,422.5,"FedExCupPointsperEventLeaders",2016
96,118,"Retief Goosen",10,23.396,233.961,"FedExCupPointsperEventLeaders",2016
97,92,"Will Wilcox",16,23.161,370.571,"FedExCupPointsperEventLeaders",2016
98,99,"Joe Affrunti",2,23,46,"FedExCupPointsperEventLeaders",2016
99,96,"Adam Hadwin",16,22.917,366.667,"FedExCupPointsperEventLeaders",2016
100,111,"John Senden",15,22.767,341.5,"FedExCupPointsperEventLeaders",2016
101,95,"Ian Poulter",10,22.5,225,"FedExCupPointsperEventLeaders",2016
102,98,"Luke List",17,21.73,369.417,"FedExCupPointsperEventLeaders",2016
103,94,"Webb Simpson",10,21.672,216.721,"FedExCupPointsperEventLeaders",2016
104,138,"Tim Wilkinson",11,21.625,237.873,"FedExCupPointsperEventLeaders",2016
105,100,"Martin Laird",13,21.431,278.6,"FedExCupPointsperEventLeaders",2016
106,103,"Justin Leonard",8,21.233,169.86,"FedExCupPointsperEventLeaders",2016
107,104,"Jerry Kelly",12,21.208,254.5,"FedExCupPointsperEventLeaders",2016
108,113,"Brian Harman",18,21.17,381.053,"FedExCupPointsperEventLeaders",2016
109,101,"Spencer Levin",19,21.14,401.659,"FedExCupPointsperEventLeaders",2016
110,108,"Jon Curran",18,20.959,377.26,"FedExCupPointsperEventLeaders",2016
111,121,"Johnson Wagner",14,20.842,291.79,"FedExCupPointsperEventLeaders",2016
112,122,"Robert Streb",16,20.625,330,"FedExCupPointsperEventLeaders",2016
113,102,"Chad Campbell",18,20.441,367.946,"FedExCupPointsperEventLeaders",2016
114,119,"Mark Hubbard",20,20.163,403.25,"FedExCupPointsperEventLeaders",2016
115,115,"Steve Stricker",8,20.075,160.6,"FedExCupPointsperEventLeaders",2016
116,107,"David Hearn",18,19.838,357.076,"FedExCupPointsperEventLeaders",2016
117,117,"Nick Watney",5,19.8,99,"FedExCupPointsperEventLeaders",2016
118,105,"Nick Taylor",17,19.795,336.52,"FedExCupPointsperEventLeaders",2016
119,106,"Kyle Stanley",17,19.773,336.133,"FedExCupPointsperEventLeaders",2016
120,126,"Boo Weekley",17,19.606,333.301,"FedExCupPointsperEventLeaders",2016
121,109,"Ben Martin",14,19.441,272.173,"FedExCupPointsperEventLeaders",2016
122,112,"Sung Kang",16,19.264,308.23,"FedExCupPointsperEventLeaders",2016
123,114,"Derek Fathauer",18,19.028,342.51,"FedExCupPointsperEventLeaders",2016
124,130,"Larry Mize",1,18.5,18.5,"FedExCupPointsperEventLeaders",2016
125,128,"Scott Stallings",17,18.43,313.306,"FedExCupPointsperEventLeaders",2016
126,120,"Brett Stegmaier",19,18.402,349.642,"FedExCupPointsperEventLeaders",2016
127,134,"Jason Gore",15,18.333,274.991,"FedExCupPointsperEventLeaders",2016
128,131,"Hudson Swafford",17,18.245,310.167,"FedExCupPointsperEventLeaders",2016
129,133,"Brice Garnett",9,18.076,162.68,"FedExCupPointsperEventLeaders",2016
130,127,"Tyrone Van Aswegen",20,17.794,355.873,"FedExCupPointsperEventLeaders",2016
131,125,"Steve Marino",14,17.733,248.26,"FedExCupPointsperEventLeaders",2016
132,124,"Stuart Appleby",13,17.731,230.5,"FedExCupPointsperEventLeaders",2016
133,129,"Blayne Barber",16,17.428,278.84,"FedExCupPointsperEventLeaders",2016
134,136,"Stewart Cink",14,17.393,243.5,"FedExCupPointsperEventLeaders",2016
135,139,"Seung Yul Noh",17,17.128,291.17,"FedExCupPointsperEventLeaders",2016
