"GreensinRegulationPercentage_RANKTHISWEEK_2005","GreensinRegulationPercentage_RANKLASTWEEK_2005","GreensinRegulationPercentage_PLAYERNAME_2005","GreensinRegulationPercentage_ROUNDS_2005","GreensinRegulationPercentage_Pct_2005","GreensinRegulationPercentage_GREENSHIT_2005","GreensinRegulationPercentage_HOLES_2005","GreensinRegulationPercentage_RELATIVEPAR_2005","stat_name","year"
1,1,"Sergio Garcia",73,71.81,879,1224,-0.24,"GreensinRegulationPercentage",2005
2,2,"Joe Durant",81,70.92,1034,1458,-0.22,"GreensinRegulationPercentage",2005
3,3,"Kenny Perry",82,70.76,1019,1440,-0.25,"GreensinRegulationPercentage",2005
4,4,"Vijay Singh",111,70.54,1384,1962,-0.29,"GreensinRegulationPercentage",2005
5,5,"Jeff Brehaut",71,69.98,844,1206,-0.26,"GreensinRegulationPercentage",2005
6,6,"Tiger Woods",76,69.89,931,1332,-0.35,"GreensinRegulationPercentage",2005
7,7,"Jim Furyk",94,69.77,1168,1674,-0.28,"GreensinRegulationPercentage",2005
8,8,"JJ Henry",102,69.67,1254,1800,-0.24,"GreensinRegulationPercentage",2005
9,9,"Roland Thatcher",75,69.56,914,1314,-0.22,"GreensinRegulationPercentage",2005
10,10,"Billy Mayfair",114,69.49,1376,1980,-0.26,"GreensinRegulationPercentage",2005
11,11,"Robert Allenby",95,69.48,1113,1602,-0.26,"GreensinRegulationPercentage",2005
12,12,"Briny Baird",98,69.27,1197,1728,-0.26,"GreensinRegulationPercentage",2005
13,13,"Chris Smith",93,69.24,1159,1674,-0.25,"GreensinRegulationPercentage",2005
14,14,"Dan Forsman",52,69.22,623,900,-0.26,"GreensinRegulationPercentage",2005
15,15,"Olin Browne",99,69.12,1182,1710,-0.25,"GreensinRegulationPercentage",2005
16,16,"Charles Warren",89,69.03,1081,1566,-0.26,"GreensinRegulationPercentage",2005
17,17,"Bart Bryant",91,68.93,1129,1638,-0.28,"GreensinRegulationPercentage",2005
18,18,"Bo Van Pelt",112,68.9,1389,2016,-0.27,"GreensinRegulationPercentage",2005
