"ProximitytoHolefromSand_RANKTHISWEEK_2011","ProximitytoHolefromSand_RANKLASTWEEK_2011","ProximitytoHolefromSand_PLAYERNAME_2011","ProximitytoHolefromSand_ROUNDS_2011","ProximitytoHolefromSand_AVGDTP_2011","ProximitytoHolefromSand_TOTALDISTANCEFEET_2011","ProximitytoHolefromSand_OFSHOTS_2011","ProximitytoHolefromSand_SCRAMBLINGRANK_2011","stat_name","year"
1,NA,"Retief Goosen",50,NA,391,56,81,"ProximitytoHolefromSand",2011
2,NA,"Luke Donald",73,NA,598.333,80,8,"ProximitytoHolefromSand",2011
2,NA,"Justin Rose",79,NA,837,112,95,"ProximitytoHolefromSand",2011
4,NA,"Carl Pettersson",95,NA,873.5,114,72,"ProximitytoHolefromSand",2011
5,NA,"Brian Gay",90,NA,858,111,7,"ProximitytoHolefromSand",2011
5,NA,"Ian Poulter",52,NA,442.917,57,122,"ProximitytoHolefromSand",2011
7,NA,"Pat Perez",76,NA,842.5,107,78,"ProximitytoHolefromSand",2011
7,NA,"Chris Riley",76,NA,780.333,100,20,"ProximitytoHolefromSand",2011
7,NA,"Vijay Singh",79,NA,929.083,118,105,"ProximitytoHolefromSand",2011
10,NA,"Davis Love III",70,NA,525,66,161,"ProximitytoHolefromSand",2011
10,NA,"Rod Pampling",72,NA,871.25,110,10,"ProximitytoHolefromSand",2011
10,NA,"Paul Stankowski",78,NA,656.583,83,56,"ProximitytoHolefromSand",2011
13,NA,"Joe Ogilvie",75,NA,675,84,109,"ProximitytoHolefromSand",2011
13,NA,"Charl Schwartzel",58,NA,533.75,67,50,"ProximitytoHolefromSand",2011
15,NA,"Jason Dufner",78,NA,849.083,104,70,"ProximitytoHolefromSand",2011
15,NA,"Sergio Garcia",61,NA,619.667,76,44,"ProximitytoHolefromSand",2011
15,NA,"Robert Karlsson",61,NA,669.417,82,40,"ProximitytoHolefromSand",2011
15,NA,"Shaun Micheel",77,NA,753.667,92,69,"ProximitytoHolefromSand",2011
15,NA,"Bo Van Pelt",92,NA,849.083,104,68,"ProximitytoHolefromSand",2011
20,NA,"Brian Davis",105,NA,1245,149,62,"ProximitytoHolefromSand",2011
20,NA,"Padraig Harrington",60,NA,439.5,53,49,"ProximitytoHolefromSand",2011
20,NA,"Bryce Molder",82,NA,1040.333,125,15,"ProximitytoHolefromSand",2011
20,NA,"Geoff Ogilvy",69,NA,738,89,52,"ProximitytoHolefromSand",2011
24,NA,"Jerry Kelly",85,NA,809.083,96,14,"ProximitytoHolefromSand",2011
24,NA,"Phil Mickelson",79,NA,890.917,106,17,"ProximitytoHolefromSand",2011
24,NA,"Rory Sabbatini",85,NA,851.167,101,84,"ProximitytoHolefromSand",2011
27,NA,"Robert Allenby",84,NA,997.75,117,66,"ProximitytoHolefromSand",2011
27,NA,"Zach Johnson",79,NA,935.75,110,4,"ProximitytoHolefromSand",2011
27,NA,"David Toms",78,NA,698.25,82,25,"ProximitytoHolefromSand",2011
27,NA,"DJ Trahan",91,NA,912.667,107,82,"ProximitytoHolefromSand",2011
31,NA,"Woody Austin",59,NA,549.417,64,5,"ProximitytoHolefromSand",2011
31,NA,"Aaron Baddeley",77,NA,1109.083,129,55,"ProximitytoHolefromSand",2011
31,NA,"Anthony Kim",72,NA,810.25,94,75,"ProximitytoHolefromSand",2011
31,NA,"Matt Kuchar",94,NA,917.25,107,13,"ProximitytoHolefromSand",2011
31,NA,"Billy Mayfair",94,NA,1023.25,119,27,"ProximitytoHolefromSand",2011
31,NA,"George McNeill",69,NA,724.417,84,124,"ProximitytoHolefromSand",2011
31,NA,"Mark Wilson",89,NA,969.167,113,11,"ProximitytoHolefromSand",2011
38,NA,"Alex Cejka",59,NA,751,87,111,"ProximitytoHolefromSand",2011
38,NA,"Steve Flesch",88,NA,1149.25,132,108,"ProximitytoHolefromSand",2011
38,NA,"Chris Kirk",87,NA,1128.417,130,99,"ProximitytoHolefromSand",2011
41,NA,"Stephen Ames",69,NA,701.917,80,35,"ProximitytoHolefromSand",2011
41,NA,"Nathan Green",81,NA,1088.583,125,26,"ProximitytoHolefromSand",2011
41,NA,"Bill Lunde",92,NA,833.5,95,114,"ProximitytoHolefromSand",2011
44,NA,"Stewart Cink",72,NA,704.417,80,107,"ProximitytoHolefromSand",2011
44,NA,"Troy Merritt",63,NA,513.917,58,121,"ProximitytoHolefromSand",2011
46,NA,"Ricky Barnes",78,NA,786.167,88,117,"ProximitytoHolefromSand",2011
46,NA,"Ben Curtis",66,NA,776.417,87,21,"ProximitytoHolefromSand",2011
46,NA,"Webb Simpson",98,NA,1033.417,116,16,"ProximitytoHolefromSand",2011
46,NA,"Heath Slocum",89,NA,589.25,66,149,"ProximitytoHolefromSand",2011
46,NA,"Chris Stroud",88,NA,863.417,97,103,"ProximitytoHolefromSand",2011
51,NA,"Jason Day",76,NA,1050.25,117,3,"ProximitytoHolefromSand",2011
51,NA,"Hunter Mahan",92,NA,1250.917,139,92,"ProximitytoHolefromSand",2011
51,NA,"Brendan Steele",89,NA,891.167,99,149,"ProximitytoHolefromSand",2011
51,NA,"Boo Weekley",66,NA,560.333,62,169,"ProximitytoHolefromSand",2011
51,NA,"Garrett Willis",71,NA,866.167,96,88,"ProximitytoHolefromSand",2011
56,NA,"Steve Elkington",50,NA,571.75,63,43,"ProximitytoHolefromSand",2011
56,NA,"Jim Furyk",87,NA,800.667,88,76,"ProximitytoHolefromSand",2011
56,NA,"Tim Petrovic",88,NA,1094.083,120,38,"ProximitytoHolefromSand",2011
56,NA,"DA Points",89,NA,1222.5,134,77,"ProximitytoHolefromSand",2011
56,NA,"Charlie Wi",83,NA,1282.417,141,64,"ProximitytoHolefromSand",2011
61,NA,"Jonathan Byrd",83,NA,1007.917,110,106,"ProximitytoHolefromSand",2011
61,NA,"Chris DiMarco",93,NA,993.167,108,39,"ProximitytoHolefromSand",2011
61,NA,"Lucas Glover",74,NA,905.417,99,162,"ProximitytoHolefromSand",2011
61,NA,"Steve Stricker",70,NA,804,88,2,"ProximitytoHolefromSand",2011
61,NA,"YE Yang",63,NA,639.333,70,23,"ProximitytoHolefromSand",2011
66,NA,"Rickie Fowler",84,NA,973,105,139,"ProximitytoHolefromSand",2011
66,NA,"Trevor Immelman",84,NA,748.583,81,89,"ProximitytoHolefromSand",2011
66,NA,"Kevin Na",84,NA,1016.333,110,9,"ProximitytoHolefromSand",2011
66,NA,"Sean OHair",71,NA,775.417,84,146,"ProximitytoHolefromSand",2011
66,NA,"Camilo Villegas",69,NA,935.417,101,127,"ProximitytoHolefromSand",2011
71,NA,"Charles Howell III",108,NA,1126.5,121,5,"ProximitytoHolefromSand",2011
71,NA,"David Mathis",83,NA,1009.833,108,30,"ProximitytoHolefromSand",2011
71,NA,"Aron Price",58,NA,484.167,52,137,"ProximitytoHolefromSand",2011
71,NA,"Andres Romero",77,NA,1113,119,120,"ProximitytoHolefromSand",2011
75,NA,"Steven Bowditch",86,NA,1194.583,127,175,"ProximitytoHolefromSand",2011
75,NA,"Brendon de Jonge",105,NA,1267.333,134,42,"ProximitytoHolefromSand",2011
75,NA,"Tim Herron",85,NA,1111.833,118,60,"ProximitytoHolefromSand",2011
75,NA,"Brandt Jobe",100,NA,1047.667,111,67,"ProximitytoHolefromSand",2011
75,NA,"Bio Kim",71,NA,863.333,92,142,"ProximitytoHolefromSand",2011
75,NA,"Nate Smith",66,NA,740.833,79,90,"ProximitytoHolefromSand",2011
75,NA,"Kyle Stanley",98,NA,998.75,106,156,"ProximitytoHolefromSand",2011
82,NA,"Charley Hoffman",93,NA,1066,112,163,"ProximitytoHolefromSand",2011
82,NA,"Ryuji Imada",83,NA,1165.667,123,65,"ProximitytoHolefromSand",2011
82,NA,"Freddie Jacobson",92,NA,1162.333,122,34,"ProximitytoHolefromSand",2011
82,NA,"Matt Jones",71,NA,1072.833,113,110,"ProximitytoHolefromSand",2011
82,NA,"Marc Leishman",87,NA,1250.25,132,71,"ProximitytoHolefromSand",2011
82,NA,"William McGirt",103,NA,1178.583,124,51,"ProximitytoHolefromSand",2011
82,NA,"Ryan Palmer",82,NA,806.583,85,47,"ProximitytoHolefromSand",2011
82,NA,"Josh Teater",104,NA,1315.083,138,152,"ProximitytoHolefromSand",2011
82,NA,"Jimmy Walker",79,NA,1403.667,148,54,"ProximitytoHolefromSand",2011
91,NA,"Jason Bohn",74,NA,774.583,81,83,"ProximitytoHolefromSand",2011
91,NA,"Greg Chalmers",88,NA,1299.25,135,1,"ProximitytoHolefromSand",2011
91,NA,"Chris Couch",73,NA,1013.417,106,27,"ProximitytoHolefromSand",2011
91,NA,"Paul Goydos",81,NA,930.833,97,130,"ProximitytoHolefromSand",2011
91,NA,"Zack Miller",86,NA,1154.75,120,153,"ProximitytoHolefromSand",2011
96,NA,"Ernie Els",71,NA,879.25,91,182,"ProximitytoHolefromSand",2011
96,NA,"Justin Leonard",82,NA,863,89,18,"ProximitytoHolefromSand",2011
96,NA,"Rocco Mediate",53,NA,687.083,71,178,"ProximitytoHolefromSand",2011
99,NA,"Nick OHern",89,NA,1032.833,106,58,"ProximitytoHolefromSand",2011
100,NA,"Lee Janzen",62,NA,667.083,68,144,"ProximitytoHolefromSand",2011
100,NA,"Colt Knost",80,NA,974.167,99,135,"ProximitytoHolefromSand",2011
100,NA,"Michael Putnam",67,NA,913.833,93,87,"ProximitytoHolefromSand",2011
100,NA,"Adam Scott",60,NA,688.417,70,62,"ProximitytoHolefromSand",2011
104,NA,"Arjun Atwal",91,NA,1353,136,131,"ProximitytoHolefromSand",2011
104,NA,"KJ Choi",77,NA,940.417,95,27,"ProximitytoHolefromSand",2011
104,NA,"Joe Durant",71,NA,854.333,86,59,"ProximitytoHolefromSand",2011
104,NA,"Hunter Haas",96,NA,1329.5,134,48,"ProximitytoHolefromSand",2011
104,NA,"Bill Haas",93,NA,1213.25,122,79,"ProximitytoHolefromSand",2011
104,NA,"JP Hayes",56,NA,734.667,74,80,"ProximitytoHolefromSand",2011
104,NA,"JB Holmes",57,NA,733.333,74,158,"ProximitytoHolefromSand",2011
104,NA,"Derek Lamely",65,NA,755.5,76,183,"ProximitytoHolefromSand",2011
104,NA,"Dean Wilson",62,NA,644.333,65,19,"ProximitytoHolefromSand",2011
113,NA,"Kevin Chappell",78,NA,987,99,72,"ProximitytoHolefromSand",2011
113,NA,"Jim Renner",65,NA,590.917,59,85,"ProximitytoHolefromSand",2011
115,NA,"Shane Bertsch",62,NA,818.833,81,57,"ProximitytoHolefromSand",2011
115,NA,"Kris Blanks",92,NA,1220.833,121,94,"ProximitytoHolefromSand",2011
115,NA,"Johnson Wagner",81,NA,1035.583,103,96,"ProximitytoHolefromSand",2011
118,NA,"Matt Bettencourt",84,NA,1351.833,133,141,"ProximitytoHolefromSand",2011
118,NA,"Chad Campbell",99,NA,1100.333,108,102,"ProximitytoHolefromSand",2011
118,NA,"Tom Gillis",55,NA,791.25,78,129,"ProximitytoHolefromSand",2011
118,NA,"Jarrod Lyle",83,NA,1202.083,118,104,"ProximitytoHolefromSand",2011
122,NA,"James Driscoll",71,NA,808.25,79,112,"ProximitytoHolefromSand",2011
122,NA,"Harrison Frazar",58,NA,654.917,64,157,"ProximitytoHolefromSand",2011
122,NA,"Michael Thompson",79,NA,901.583,88,32,"ProximitytoHolefromSand",2011
125,NA,"Kevin Stadler",88,NA,1026.917,99,174,"ProximitytoHolefromSand",2011
126,NA,"Stuart Appleby",65,NA,936.583,90,128,"ProximitytoHolefromSand",2011
126,NA,"Briny Baird",60,NA,585.167,56,46,"ProximitytoHolefromSand",2011
126,NA,"Joseph Bramlett",73,NA,809.333,78,119,"ProximitytoHolefromSand",2011
126,NA,"Michael Connell",76,NA,1009.833,97,30,"ProximitytoHolefromSand",2011
126,NA,"David Hearn",88,NA,917.667,88,53,"ProximitytoHolefromSand",2011
126,NA,"Billy Horschel",75,NA,905.167,87,159,"ProximitytoHolefromSand",2011
132,NA,"David Duval",67,NA,884.25,84,172,"ProximitytoHolefromSand",2011
132,NA,"Scott McCarron",65,NA,840.917,80,36,"ProximitytoHolefromSand",2011
134,NA,"Scott Gutschewski",67,NA,1034.833,98,115,"ProximitytoHolefromSand",2011
134,NA,"Steve Marino",76,NA,923.833,87,97,"ProximitytoHolefromSand",2011
134,NA,"Ryan Moore",79,NA,860.333,81,45,"ProximitytoHolefromSand",2011
134,NA,"John Rollins",85,NA,980.5,93,123,"ProximitytoHolefromSand",2011
134,NA,"Kevin Streelman",90,NA,898.333,85,37,"ProximitytoHolefromSand",2011
134,NA,"Will Strickler",51,NA,517.083,49,154,"ProximitytoHolefromSand",2011
134,NA,"Roland Thatcher",67,NA,881.583,83,92,"ProximitytoHolefromSand",2011
134,NA,"Marc Turnesa",54,NA,614.417,58,171,"ProximitytoHolefromSand",2011
134,NA,"Gary Woodland",93,NA,869.25,82,86,"ProximitytoHolefromSand",2011
143,NA,"Tommy Gainey",104,NA,1409,132,133,"ProximitytoHolefromSand",2011
143,NA,"Martin Piller",63,NA,893.583,84,172,"ProximitytoHolefromSand",2011
145,NA,"Richard Johnson",64,NA,785.833,73,155,"ProximitytoHolefromSand",2011
145,NA,"Martin Laird",77,NA,942.333,88,60,"ProximitytoHolefromSand",2011
145,NA,"Spencer Levin",113,NA,1393.917,130,41,"ProximitytoHolefromSand",2011
145,NA,"Scott Piercy",78,NA,1034.5,96,100,"ProximitytoHolefromSand",2011
145,NA,"Tag Ridings",87,NA,891,83,134,"ProximitytoHolefromSand",2011
150,NA,"Matt McQuillan",59,NA,637.667,59,101,"ProximitytoHolefromSand",2011
151,NA,"Bobby Gates",82,NA,1045.083,96,180,"ProximitytoHolefromSand",2011
151,NA,"Dustin Johnson",72,NA,1084,99,181,"ProximitytoHolefromSand",2011
151,NA,"Cameron Tringale",110,NA,1488.583,136,97,"ProximitytoHolefromSand",2011
154,NA,"Cameron Beckman",71,NA,1022,93,113,"ProximitytoHolefromSand",2011
154,NA,"Daniel Summerhays",75,NA,1211.5,110,138,"ProximitytoHolefromSand",2011
156,NA,"Blake Adams",116,NA,1839.333,166,33,"ProximitytoHolefromSand",2011
156,NA,"Jeff Overton",92,NA,1273.25,115,147,"ProximitytoHolefromSand",2011
156,NA,"Chez Reavie",92,NA,1307.917,118,140,"ProximitytoHolefromSand",2011
156,NA,"Bubba Watson",85,NA,885.333,80,184,"ProximitytoHolefromSand",2011
160,NA,"Nick Watney",80,NA,1098,98,12,"ProximitytoHolefromSand",2011
