"ClubHeadSpeed_RANKTHISWEEK_2012","ClubHeadSpeed_RANKLASTWEEK_2012","ClubHeadSpeed_PLAYERNAME_2012","ClubHeadSpeed_ROUNDS_2012","ClubHeadSpeed_AVG_2012","ClubHeadSpeed_TOTALCLUBHEADSPEED_2012","ClubHeadSpeed_TOTALATTEMPTS_2012","ClubHeadSpeed_FASTESTSPEED_2012","ClubHeadSpeed_SLOWESTSPEED_2012","stat_name","year"
1,1,"Bubba Watson",68,124.69,6608.67,53,129.43,121.22,"ClubHeadSpeed",2012
2,2,"Gary Woodland",70,123.85,5449.44,44,127.94,115.28,"ClubHeadSpeed",2012
3,3,"Charlie Beljan",61,122.83,4667.39,38,127.93,113.16,"ClubHeadSpeed",2012
4,4,"Jhonattan Vegas",77,122.47,7960.53,65,128.98,118.28,"ClubHeadSpeed",2012
5,5,"Dustin Johnson",70,121.62,5351.33,44,126.26,111.63,"ClubHeadSpeed",2012
6,6,"Robert Garrigus",89,121.37,8010.39,66,124.97,118.82,"ClubHeadSpeed",2012
7,7,"JB Holmes",90,121.33,8978.55,74,127.3,115.62,"ClubHeadSpeed",2012
8,8,"Tiger Woods",69,120.94,4595.64,38,125.34,117.87,"ClubHeadSpeed",2012
9,9,"Henrik Stenson",51,120.71,1810.7,15,123.53,114.69,"ClubHeadSpeed",2012
10,10,"Rory McIlroy",60,120.21,4567.93,38,123.68,117.16,"ClubHeadSpeed",2012
11,11,"Graham DeLaet",79,120.04,7562.43,63,124.02,116.12,"ClubHeadSpeed",2012
12,12,"Bobby Gates",87,119.63,7297.31,61,125.08,108.98,"ClubHeadSpeed",2012
13,13,"Chris Couch",61,119.61,4664.86,39,130.78,116.05,"ClubHeadSpeed",2012
14,14,"Kyle Stanley",86,119.51,6334.27,53,125.05,111.97,"ClubHeadSpeed",2012
15,15,"Adam Scott",59,119.3,4772.1,40,122.91,116.55,"ClubHeadSpeed",2012
16,16,"Jason Day",57,119.16,5123.71,43,123.6,115.7,"ClubHeadSpeed",2012
