"MoneyperEventLeaders_RANKTHISWEEK_2006","MoneyperEventLeaders_RANKLASTWEEK_2006","MoneyperEventLeaders_PLAYERNAME_2006","MoneyperEventLeaders_EVENTS_2006","MoneyperEventLeaders_MONEYPEREVENT_2006","MoneyperEventLeaders_TOTALMONEY_2006","stat_name","year"
1,1,"Tiger Woods",15,662770,9941563,"MoneyperEventLeaders",2006
2,2,"Jim Furyk",24,300554,7213315,"MoneyperEventLeaders",2006
3,3,"Adam Scott",19,262045,4978857,"MoneyperEventLeaders",2006
4,4,"Phil Mickelson",19,224026,4256505,"MoneyperEventLeaders",2006
5,5,"Geoff Ogilvy",20,217748,4354969,"MoneyperEventLeaders",2006
6,6,"Luke Donald",18,176522,3177408,"MoneyperEventLeaders",2006
7,7,"Vijay Singh",27,170459,4602416,"MoneyperEventLeaders",2006
8,8,"Anthony Kim",2,169033,338066,"MoneyperEventLeaders",2006
9,9,"Trevor Immelman",24,160174,3844188,"MoneyperEventLeaders",2006
10,10,"Hideto Tanihara",2,155415,310830,"MoneyperEventLeaders",2006
11,11,"Stuart Appleby",23,150889,3470457,"MoneyperEventLeaders",2006
12,12,"Retief Goosen",18,145414,2617452,"MoneyperEventLeaders",2006
13,13,"David Toms",22,132326,2911186,"MoneyperEventLeaders",2006
14,14,"Ernie Els",18,129234,2326220,"MoneyperEventLeaders",2006
15,15,"Brett Wetterich",25,120927,3023184,"MoneyperEventLeaders",2006
16,16,"Davis Love III",23,119443,2747205,"MoneyperEventLeaders",2006
17,17,"Rory Sabbatini",24,119239,2861750,"MoneyperEventLeaders",2006
18,18,"Jose Maria Olazabal",18,117801,2120422,"MoneyperEventLeaders",2006
19,19,"Stephen Ames",21,114055,2395155,"MoneyperEventLeaders",2006
20,20,"Chad Campbell",25,112442,2811067,"MoneyperEventLeaders",2006
21,21,"Rod Pampling",24,111028,2664673,"MoneyperEventLeaders",2006
22,22,"Arron Oberholser",23,107294,2467771,"MoneyperEventLeaders",2006
23,23,"Steve Stricker",17,106577,1811811,"MoneyperEventLeaders",2006
24,24,"Stewart Cink",26,105996,2755911,"MoneyperEventLeaders",2006
25,25,"Ian Poulter",15,103593,1553906,"MoneyperEventLeaders",2006
26,26,"Joe Durant",28,100397,2811139,"MoneyperEventLeaders",2006
27,27,"Carl Pettersson",28,94570,2647982,"MoneyperEventLeaders",2006
28,28,"Sergio Garcia",17,91807,1560733,"MoneyperEventLeaders",2006
29,29,"KJ Choi",26,91405,2376547,"MoneyperEventLeaders",2006
30,30,"Zach Johnson",27,90824,2452250,"MoneyperEventLeaders",2006
31,31,"Tim Clark",22,89769,1974931,"MoneyperEventLeaders",2006
32,32,"Padraig Harrington",15,89311,1339675,"MoneyperEventLeaders",2006
33,33,"Andres Romero",2,88612,177224,"MoneyperEventLeaders",2006
34,34,"Ben Curtis",26,86781,2256325,"MoneyperEventLeaders",2006
35,35,"Tom Lehman",20,84604,1692080,"MoneyperEventLeaders",2006
36,36,"Mikko Ilonen",1,83655,83655,"MoneyperEventLeaders",2006
36,36,"Robert Rock",1,83655,83655,"MoneyperEventLeaders",2006
36,36,"Brett Rumford",1,83655,83655,"MoneyperEventLeaders",2006
39,39,"Lucas Glover",31,83483,2587982,"MoneyperEventLeaders",2006
40,40,"JJ Henry",28,82195,2301480,"MoneyperEventLeaders",2006
41,41,"Brett Quigley",33,79315,2617418,"MoneyperEventLeaders",2006
42,42,"Mike Weir",24,78488,1883724,"MoneyperEventLeaders",2006
43,43,"Roland Thatcher",1,74250,74250,"MoneyperEventLeaders",2006
44,44,"Dean Wilson",34,73819,2509857,"MoneyperEventLeaders",2006
45,45,"Tom Pernice Jr",33,72622,2396547,"MoneyperEventLeaders",2006
46,46,"Jonathan Byrd",20,70420,1408418,"MoneyperEventLeaders",2006
47,47,"Scott Verplank",25,69172,1729318,"MoneyperEventLeaders",2006
48,48,"Ken Duke",2,69115,138230,"MoneyperEventLeaders",2006
49,49,"Vaughn Taylor",26,68613,1783944,"MoneyperEventLeaders",2006
50,50,"Robert Allenby",22,68344,1503581,"MoneyperEventLeaders",2006
51,51,"Nick OHern",15,66349,995235,"MoneyperEventLeaders",2006
52,52,"Tim Herron",27,65783,1776142,"MoneyperEventLeaders",2006
53,53,"David Howell",14,65174,912437,"MoneyperEventLeaders",2006
54,54,"SK Ho",2,64445,128890,"MoneyperEventLeaders",2006
55,55,"Colin Montgomerie",8,62656,501249,"MoneyperEventLeaders",2006
56,56,"Kenneth Ferrie",3,61085,183255,"MoneyperEventLeaders",2006
57,57,"Aaron Baddeley",25,60660,1516512,"MoneyperEventLeaders",2006
58,58,"Darren Clarke",11,60081,660897,"MoneyperEventLeaders",2006
59,59,"Camilo Villegas",29,60072,1742111,"MoneyperEventLeaders",2006
60,60,"Chris DiMarco",26,59150,1537925,"MoneyperEventLeaders",2006
61,61,"John Senden",28,58952,1650673,"MoneyperEventLeaders",2006
62,62,"Henrik Stenson",10,58230,582302,"MoneyperEventLeaders",2006
63,63,"Justin Rose",28,58188,1629288,"MoneyperEventLeaders",2006
64,64,"Jason Bohn",29,57823,1676892,"MoneyperEventLeaders",2006
65,65,"Ben Crane",26,57272,1489092,"MoneyperEventLeaders",2006
66,66,"JB Holmes",26,57215,1487603,"MoneyperEventLeaders",2006
67,67,"Frank Lickliter II",29,57092,1655678,"MoneyperEventLeaders",2006
68,68,"Corey Pavin",23,56873,1308084,"MoneyperEventLeaders",2006
69,69,"Nathan Green",30,56693,1700803,"MoneyperEventLeaders",2006
70,70,"Shaun Micheel",29,56304,1632842,"MoneyperEventLeaders",2006
71,71,"Jerry Kelly",31,56058,1737799,"MoneyperEventLeaders",2006
72,72,"Troy Matteson",32,55581,1778597,"MoneyperEventLeaders",2006
73,73,"Jeff Maggert",26,55014,1430376,"MoneyperEventLeaders",2006
74,74,"Greg Owen",24,54861,1316684,"MoneyperEventLeaders",2006
75,75,"Jesper Parnevik",24,54512,1308309,"MoneyperEventLeaders",2006
76,76,"Fred Funk",29,54477,1579837,"MoneyperEventLeaders",2006
77,77,"Lee Slattery",1,54096,54096,"MoneyperEventLeaders",2006
78,78,"Richard Johnson",29,53633,1555376,"MoneyperEventLeaders",2006
79,79,"Bob Estes",25,53609,1340243,"MoneyperEventLeaders",2006
80,80,"John Rollins",28,53529,1498827,"MoneyperEventLeaders",2006
81,81,"Anders Hansen",1,53100,53100,"MoneyperEventLeaders",2006
82,82,"Angel Cabrera",12,51958,623504,"MoneyperEventLeaders",2006
83,83,"Charles Howell III",30,51770,1553104,"MoneyperEventLeaders",2006
84,84,"Ryan Moore",22,51005,1122117,"MoneyperEventLeaders",2006
85,85,"Bart Bryant",26,50620,1316131,"MoneyperEventLeaders",2006
86,86,"David Hearn",1,50437,50437,"MoneyperEventLeaders",2006
87,87,"Chris Couch",27,50249,1356731,"MoneyperEventLeaders",2006
88,88,"Bo Van Pelt",28,49640,1389926,"MoneyperEventLeaders",2006
89,89,"Billy Mayfair",29,47172,1367997,"MoneyperEventLeaders",2006
90,90,"Sean OHair",30,47046,1411387,"MoneyperEventLeaders",2006
91,91,"Daniel Chopra",33,46377,1530454,"MoneyperEventLeaders",2006
92,92,"Fred Couples",17,45903,780361,"MoneyperEventLeaders",2006
93,93,"Craig Barlow",22,45751,1006537,"MoneyperEventLeaders",2006
94,94,"Lee Westwood",14,45040,630565,"MoneyperEventLeaders",2006
95,95,"Billy Andrade",24,44080,1057926,"MoneyperEventLeaders",2006
96,96,"Eric Axley",29,43951,1274579,"MoneyperEventLeaders",2006
97,97,"Freddie Jacobson",18,43820,788763,"MoneyperEventLeaders",2006
98,98,"Jeff Sluman",29,43173,1252024,"MoneyperEventLeaders",2006
99,99,"Anthony Wall",3,42963,128890,"MoneyperEventLeaders",2006
100,100,"Steve Flesch",33,42958,1417615,"MoneyperEventLeaders",2006
101,101,"Nick Watney",29,42890,1243816,"MoneyperEventLeaders",2006
102,102,"Kirk Triplett",18,42588,766593,"MoneyperEventLeaders",2006
103,103,"Miguel Angel Jimenez",8,41751,334011,"MoneyperEventLeaders",2006
104,104,"Mathew Goggin",26,41390,1076141,"MoneyperEventLeaders",2006
105,105,"Jose Coceres",13,40199,522591,"MoneyperEventLeaders",2006
106,106,"Heath Slocum",30,39356,1180681,"MoneyperEventLeaders",2006
107,107,"Shigeki Maruyama",30,38470,1154115,"MoneyperEventLeaders",2006
108,108,"Charley Hoffman",29,38454,1115192,"MoneyperEventLeaders",2006
109,109,"Daisuke Maruyama",25,38274,956873,"MoneyperEventLeaders",2006
110,110,"Hunter Mahan",29,38188,1107456,"MoneyperEventLeaders",2006
111,111,"Peter Lonard",22,38046,837017,"MoneyperEventLeaders",2006
112,112,"Woody Austin",31,38042,1179321,"MoneyperEventLeaders",2006
113,113,"Pat Perez",19,37868,719507,"MoneyperEventLeaders",2006
114,114,"Bubba Watson",27,37750,1019263,"MoneyperEventLeaders",2006
115,115,"Charles Warren",27,37734,1018840,"MoneyperEventLeaders",2006
116,116,"Kenny Perry",22,37213,818698,"MoneyperEventLeaders",2006
117,117,"Peter Hedblom",2,37126,74252,"MoneyperEventLeaders",2006
118,118,"Paul Goydos",24,37099,890391,"MoneyperEventLeaders",2006
119,119,"Joe Ogilvie",29,37003,1073110,"MoneyperEventLeaders",2006
120,120,"JP Hayes",19,36917,701432,"MoneyperEventLeaders",2006
121,121,"Ted Purdy",33,36861,1216428,"MoneyperEventLeaders",2006
122,122,"Marcus Fraser",1,36482,36482,"MoneyperEventLeaders",2006
123,123,"Ryan Palmer",30,36428,1092853,"MoneyperEventLeaders",2006
124,124,"Steve Lowery",31,36288,1124949,"MoneyperEventLeaders",2006
125,125,"Briny Baird",25,33781,844547,"MoneyperEventLeaders",2006
126,126,"Loren Roberts",4,33642,134571,"MoneyperEventLeaders",2006
127,127,"Brian Gay",31,33470,1037599,"MoneyperEventLeaders",2006
128,128,"Ryuji Imada",31,32843,1018140,"MoneyperEventLeaders",2006
129,129,"Michael Campbell",10,32398,323982,"MoneyperEventLeaders",2006
130,130,"DJ Trahan",33,31370,1035242,"MoneyperEventLeaders",2006
131,131,"Harrison Frazar",29,30655,889022,"MoneyperEventLeaders",2006
132,132,"Will Ma Kenzie",29,30343,879965,"MoneyperEventLeaders",2006
133,133,"Justin Leonard",26,30067,781756,"MoneyperEventLeaders",2006
134,134,"Bill Haas",30,29567,887023,"MoneyperEventLeaders",2006
