"Par4ScoringAverage_RANKTHISWEEK_2006","Par4ScoringAverage_RANKLASTWEEK_2006","Par4ScoringAverage_PLAYERNAME_2006","Par4ScoringAverage_ROUNDS_2006","Par4ScoringAverage_AVG_2006","Par4ScoringAverage_TOTALSTROKES_2006","Par4ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,3.92,2140,546,"Par4ScoringAverage",2006
2,2,"Jim Furyk",89,3.96,3769,951,"Par4ScoringAverage",2006
3,3,"Steve Stricker",64,3.97,2610,658,"Par4ScoringAverage",2006
4,4,"Jonathan Byrd",66,3.99,2697,676,"Par4ScoringAverage",2006
5,5,"Daniel Chopra",110,4,4447,1111,"Par4ScoringAverage",2006
5,5,"Phil Mickelson",74,4,2853,714,"Par4ScoringAverage",2006
7,7,"Luke Donald",66,4.01,2713,676,"Par4ScoringAverage",2006
7,7,"Steve Flesch",119,4.01,4882,1217,"Par4ScoringAverage",2006
7,7,"John Senden",96,4.01,3917,978,"Par4ScoringAverage",2006
7,7,"Vijay Singh",103,4.01,4273,1066,"Par4ScoringAverage",2006
11,11,"Robert Allenby",79,4.02,3282,817,"Par4ScoringAverage",2006
11,11,"Briny Baird",81,4.02,3259,810,"Par4ScoringAverage",2006
11,11,"David Branshaw",98,4.02,4092,1019,"Par4ScoringAverage",2006
11,11,"KJ Choi",93,4.02,3969,988,"Par4ScoringAverage",2006
11,11,"Harrison Frazar",95,4.02,3851,957,"Par4ScoringAverage",2006
11,11,"Fred Funk",106,4.02,4528,1125,"Par4ScoringAverage",2006
11,11,"Brian Gay",107,4.02,4541,1131,"Par4ScoringAverage",2006
11,11,"Jeff Gove",91,4.02,3662,911,"Par4ScoringAverage",2006
11,11,"Trevor Immelman",86,4.02,3720,926,"Par4ScoringAverage",2006
11,11,"Zach Johnson",98,4.02,3807,946,"Par4ScoringAverage",2006
11,11,"Frank Lickliter II",99,4.02,4100,1019,"Par4ScoringAverage",2006
11,11,"Adam Scott",70,4.02,2965,738,"Par4ScoringAverage",2006
11,11,"David Toms",76,4.02,3008,748,"Par4ScoringAverage",2006
11,11,"Scott Verplank",88,4.02,3609,897,"Par4ScoringAverage",2006
11,11,"Camilo Villegas",95,4.02,3992,992,"Par4ScoringAverage",2006
11,11,"Bubba Watson",83,4.02,3312,823,"Par4ScoringAverage",2006
27,27,"Alex Cejka",93,4.03,3885,965,"Par4ScoringAverage",2006
27,27,"Bob Estes",85,4.03,3637,903,"Par4ScoringAverage",2006
27,27,"Lucas Glover",105,4.03,4286,1064,"Par4ScoringAverage",2006
27,27,"Charley Hoffman",100,4.03,4150,1031,"Par4ScoringAverage",2006
27,27,"Ryuji Imada",105,4.03,4351,1079,"Par4ScoringAverage",2006
27,27,"Freddie Jacobson",56,4.03,2396,594,"Par4ScoringAverage",2006
27,27,"Jerry Kelly",100,4.03,4213,1046,"Par4ScoringAverage",2006
27,27,"Skip Kendall",72,4.03,3034,753,"Par4ScoringAverage",2006
27,27,"Shigeki Maruyama",94,4.03,3972,985,"Par4ScoringAverage",2006
27,27,"Bob May",65,4.03,2606,647,"Par4ScoringAverage",2006
27,27,"Billy Mayfair",94,4.03,4030,1001,"Par4ScoringAverage",2006
27,27,"David McKenzie",82,4.03,3407,845,"Par4ScoringAverage",2006
27,27,"Jeff Overton",95,4.03,4017,997,"Par4ScoringAverage",2006
27,27,"Greg Owen",79,4.03,3169,787,"Par4ScoringAverage",2006
27,27,"Brett Quigley",109,4.03,4509,1120,"Par4ScoringAverage",2006
27,27,"Justin Rose",98,4.03,4067,1010,"Par4ScoringAverage",2006
27,27,"Tjaart van der Walt",60,4.03,2445,607,"Par4ScoringAverage",2006
27,27,"Charles Warren",93,4.03,3816,948,"Par4ScoringAverage",2006
27,27,"Nick Watney",97,4.03,3989,989,"Par4ScoringAverage",2006
27,27,"Mike Weir",88,4.03,3577,888,"Par4ScoringAverage",2006
27,27,"Brett Wetterich",82,4.03,3468,860,"Par4ScoringAverage",2006
27,27,"Dean Wilson",115,4.03,4756,1179,"Par4ScoringAverage",2006
27,27,"Mark Wilson",79,4.03,3196,793,"Par4ScoringAverage",2006
50,50,"Stephen Ames",63,4.04,2618,648,"Par4ScoringAverage",2006
50,50,"Eric Axley",91,4.04,3783,937,"Par4ScoringAverage",2006
50,50,"Brian Bateman",69,4.04,2802,694,"Par4ScoringAverage",2006
50,50,"Jason Bohn",104,4.04,4421,1094,"Par4ScoringAverage",2006
50,50,"Stewart Cink",93,4.04,3859,956,"Par4ScoringAverage",2006
50,50,"Kris Cox",83,4.04,3457,855,"Par4ScoringAverage",2006
50,50,"Marco Dawson",87,4.04,3668,907,"Par4ScoringAverage",2006
50,50,"Joe Durant",101,4.04,4259,1054,"Par4ScoringAverage",2006
50,50,"Steve Elkington",52,4.04,2168,536,"Par4ScoringAverage",2006
50,50,"Ernie Els",69,4.04,2748,680,"Par4ScoringAverage",2006
50,50,"Nathan Green",108,4.04,4471,1107,"Par4ScoringAverage",2006
50,50,"Matt Hansen",68,4.04,2835,701,"Par4ScoringAverage",2006
50,50,"Kent Jones",103,4.04,4290,1063,"Par4ScoringAverage",2006
50,50,"Will Ma Kenzie",91,4.04,3725,921,"Par4ScoringAverage",2006
50,50,"Daisuke Maruyama",83,4.04,3359,831,"Par4ScoringAverage",2006
50,50,"Arron Oberholser",82,4.04,3474,860,"Par4ScoringAverage",2006
50,50,"Joe Ogilvie",95,4.04,3902,967,"Par4ScoringAverage",2006
50,50,"Ryan Palmer",101,4.04,4238,1049,"Par4ScoringAverage",2006
50,50,"Jesper Parnevik",84,4.04,3534,875,"Par4ScoringAverage",2006
50,50,"Jeff Sluman",101,4.04,4267,1057,"Par4ScoringAverage",2006
50,50,"Jerry Smith",94,4.04,3935,973,"Par4ScoringAverage",2006
50,50,"Kevin Sutherland",100,4.04,4065,1005,"Par4ScoringAverage",2006
50,50,"Omar Uresti",61,4.04,2539,629,"Par4ScoringAverage",2006
73,73,"Billy Andrade",78,4.05,3149,777,"Par4ScoringAverage",2006
73,73,"Stuart Appleby",83,4.05,3334,824,"Par4ScoringAverage",2006
73,73,"Arjun Atwal",97,4.05,4059,1001,"Par4ScoringAverage",2006
73,73,"Woody Austin",107,4.05,4586,1133,"Par4ScoringAverage",2006
73,73,"Paul Azinger",87,4.05,3735,923,"Par4ScoringAverage",2006
73,73,"Bart Bryant",87,4.05,3765,929,"Par4ScoringAverage",2006
73,73,"John Cook",67,4.05,2860,707,"Par4ScoringAverage",2006
73,73,"Chris DiMarco",83,4.05,3368,831,"Par4ScoringAverage",2006
73,73,"Brent Geiberger",99,4.05,4207,1039,"Par4ScoringAverage",2006
73,73,"Retief Goosen",68,4.05,2537,626,"Par4ScoringAverage",2006
73,73,"Scott Gutschewski",53,4.05,2154,532,"Par4ScoringAverage",2006
73,73,"Bill Haas",99,4.05,4083,1007,"Par4ScoringAverage",2006
73,73,"JP Hayes",55,4.05,2343,579,"Par4ScoringAverage",2006
73,73,"Brandt Jobe",91,4.05,3755,927,"Par4ScoringAverage",2006
73,73,"Jonathan Kaye",95,4.05,3954,976,"Par4ScoringAverage",2006
73,73,"Bernhard Langer",77,4.05,3035,750,"Par4ScoringAverage",2006
73,73,"Stephen Leaney",84,4.05,3572,883,"Par4ScoringAverage",2006
73,73,"Kenny Perry",73,4.05,3222,795,"Par4ScoringAverage",2006
73,73,"Ian Poulter",53,4.05,2218,548,"Par4ScoringAverage",2006
73,73,"Chris Riley",86,4.05,3494,863,"Par4ScoringAverage",2006
73,73,"Patrick Sheehan",104,4.05,4277,1057,"Par4ScoringAverage",2006
73,73,"Paul Stankowski",70,4.05,3014,744,"Par4ScoringAverage",2006
73,73,"Vaughn Taylor",88,4.05,3808,940,"Par4ScoringAverage",2006
73,73,"Bo Van Pelt",102,4.05,4362,1077,"Par4ScoringAverage",2006
97,97,"Michael Allen",84,4.06,3568,879,"Par4ScoringAverage",2006
97,97,"Shane Bertsch",104,4.06,4336,1068,"Par4ScoringAverage",2006
97,97,"Henrik Bjornstad",97,4.06,4106,1011,"Par4ScoringAverage",2006
97,97,"Brian Davis",92,4.06,3841,947,"Par4ScoringAverage",2006
97,97,"Padraig Harrington",54,4.06,2144,528,"Par4ScoringAverage",2006
97,97,"JJ Henry",96,4.06,3993,984,"Par4ScoringAverage",2006
97,97,"John Huston",74,4.06,3078,758,"Par4ScoringAverage",2006
97,97,"Richard Johnson",94,4.06,4031,992,"Par4ScoringAverage",2006
97,97,"Greg Kraft",79,4.06,3237,797,"Par4ScoringAverage",2006
97,97,"Hunter Mahan",98,4.06,4226,1042,"Par4ScoringAverage",2006
97,97,"Troy Matteson",101,4.06,4313,1063,"Par4ScoringAverage",2006
97,97,"Shaun Micheel",96,4.06,3953,974,"Par4ScoringAverage",2006
97,97,"Rod Pampling",89,4.06,3648,898,"Par4ScoringAverage",2006
97,97,"Heath Slocum",96,4.06,3983,982,"Par4ScoringAverage",2006
