"FairwayBunkerTendency_RANKTHISWEEK_2014","FairwayBunkerTendency_RANKLASTWEEK_2014","FairwayBunkerTendency_PLAYERNAME_2014","FairwayBunkerTendency_ROUNDS_2014","FairwayBunkerTendency_Pct_2014","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2014","FairwayBunkerTendency_POSSIBLEFWYS_2014","FairwayBunkerTendency_RELATIVETOPAR_2014","stat_name","year"
1,1,"Justin Hicks",103,3.4,42,1253,0.286,"FairwayBunkerTendency",2014
2,2,"Heath Slocum",71,3.6,31,867,0.258,"FairwayBunkerTendency",2014
3,3,"Tim Clark",75,3.7,32,862,0.375,"FairwayBunkerTendency",2014
3,3,"Ted Potter Jr",68,3.7,31,834,0.129,"FairwayBunkerTendency",2014
5,5,"David Toms",64,4.1,31,750,0.097,"FairwayBunkerTendency",2014
6,6,"John Huh",87,4.2,41,975,0.244,"FairwayBunkerTendency",2014
7,7,"Brian Davis",93,4.3,48,1123,0.063,"FairwayBunkerTendency",2014
7,7,"DH Lee",54,4.3,27,626,0.407,"FairwayBunkerTendency",2014
9,9,"Ken Duke",80,4.6,42,921,0.214,"FairwayBunkerTendency",2014
9,9,"Bo Van Pelt",83,4.6,43,931,0.163,"FairwayBunkerTendency",2014
11,11,"Dustin Johnson",58,4.7,27,573,0.259,"FairwayBunkerTendency",2014
11,11,"Kevin Na",94,4.7,51,1078,0.176,"FairwayBunkerTendency",2014
13,13,"Angel Cabrera",69,4.8,40,842,0.1,"FairwayBunkerTendency",2014
13,13,"Henrik Stenson",56,4.8,25,526,0.2,"FairwayBunkerTendency",2014
13,13,"Kevin Streelman",79,4.8,40,836,0.275,"FairwayBunkerTendency",2014
16,16,"Jason Day",54,4.9,22,450,0.045,"FairwayBunkerTendency",2014
16,16,"Zach Johnson",97,4.9,58,1174,0.345,"FairwayBunkerTendency",2014
16,16,"Spencer Levin",59,4.9,34,691,-0.088,"FairwayBunkerTendency",2014
16,16,"Michael Putnam",106,4.9,62,1255,0.403,"FairwayBunkerTendency",2014
16,16,"Bubba Watson",76,4.9,38,776,0.237,"FairwayBunkerTendency",2014
21,21,"Brendon de Jonge",109,5,64,1277,0.391,"FairwayBunkerTendency",2014
21,21,"Scott Langley",95,5,55,1091,0.218,"FairwayBunkerTendency",2014
23,23,"Jim Furyk",84,5.1,47,918,0.106,"FairwayBunkerTendency",2014
23,23,"Brian Gay",81,5.1,45,875,0.267,"FairwayBunkerTendency",2014
23,23,"Jamie Lovemark",64,5.1,33,647,0.485,"FairwayBunkerTendency",2014
23,23,"Will Ma Kenzie",82,5.1,51,1006,0.314,"FairwayBunkerTendency",2014
27,27,"Chad Collins",78,5.2,44,842,0.227,"FairwayBunkerTendency",2014
27,27,"Martin Laird",66,5.2,40,766,0.1,"FairwayBunkerTendency",2014
27,27,"Webb Simpson",87,5.2,53,1026,0.245,"FairwayBunkerTendency",2014
27,27,"Shawn Stefani",60,5.2,41,793,0.244,"FairwayBunkerTendency",2014
27,27,"Will Wilcox",51,5.2,29,559,0.31,"FairwayBunkerTendency",2014
32,32,"Ben Curtis",77,5.3,47,885,0.191,"FairwayBunkerTendency",2014
32,32,"Jim Herman",62,5.3,35,665,0.286,"FairwayBunkerTendency",2014
32,32,"Billy Hurley III",86,5.3,53,1003,0.283,"FairwayBunkerTendency",2014
32,32,"Daniel Summerhays",98,5.3,65,1226,0.2,"FairwayBunkerTendency",2014
36,36,"Ben Crane",81,5.4,58,1078,0.172,"FairwayBunkerTendency",2014
36,36,"Brad Fritsch",50,5.4,29,539,0.207,"FairwayBunkerTendency",2014
36,36,"Bronson La Cassie",51,5.4,27,498,0.148,"FairwayBunkerTendency",2014
36,36,"Jeff Maggert",54,5.4,33,612,0.152,"FairwayBunkerTendency",2014
40,40,"Russell Henley",92,5.5,57,1040,0.228,"FairwayBunkerTendency",2014
40,40,"William McGirt",96,5.5,64,1168,0.172,"FairwayBunkerTendency",2014
42,42,"Briny Baird",50,5.6,35,624,0.286,"FairwayBunkerTendency",2014
42,42,"Jonathan Byrd",76,5.6,50,898,0.26,"FairwayBunkerTendency",2014
42,42,"Russell Knox",92,5.6,65,1155,0.338,"FairwayBunkerTendency",2014
42,42,"Justin Leonard",75,5.6,48,858,0.354,"FairwayBunkerTendency",2014
42,42,"Ryan Moore",86,5.6,49,869,0.388,"FairwayBunkerTendency",2014
42,42,"Ryan Palmer",85,5.6,52,928,0.019,"FairwayBunkerTendency",2014
48,48,"Rickie Fowler",91,5.7,48,847,0.229,"FairwayBunkerTendency",2014
48,48,"Pat Perez",84,5.7,59,1039,0.322,"FairwayBunkerTendency",2014
48,48,"Adam Scott",68,5.7,45,783,0.178,"FairwayBunkerTendency",2014
51,51,"Charlie Beljan",76,5.8,54,924,0.241,"FairwayBunkerTendency",2014
51,51,"Jason Bohn",81,5.8,59,1010,0.153,"FairwayBunkerTendency",2014
51,51,"Chesson Hadley",84,5.8,57,984,0.263,"FairwayBunkerTendency",2014
51,51,"Martin Kaymer",65,5.8,39,668,0.41,"FairwayBunkerTendency",2014
51,51,"Jerry Kelly",80,5.8,53,916,0.208,"FairwayBunkerTendency",2014
51,51,"Jhonattan Vegas",77,5.8,51,882,0.235,"FairwayBunkerTendency",2014
51,51,"Mark Wilson",69,5.8,46,790,0.174,"FairwayBunkerTendency",2014
58,58,"Woody Austin",63,5.9,47,792,0.319,"FairwayBunkerTendency",2014
58,58,"Sangmoon Bae",76,5.9,53,904,0.151,"FairwayBunkerTendency",2014
58,58,"Chad Campbell",57,5.9,38,642,0.158,"FairwayBunkerTendency",2014
58,58,"Robert Garrigus",80,5.9,59,1004,0.288,"FairwayBunkerTendency",2014
58,58,"Lucas Glover",68,5.9,38,649,0.289,"FairwayBunkerTendency",2014
