"BestYTDStreakwoa3Putt_RANKTHISWEEK_2015","BestYTDStreakwoa3Putt_RANKLASTWEEK_2015","BestYTDStreakwoa3Putt_PLAYERNAME_2015","BestYTDStreakwoa3Putt_EVENTS_2015","BestYTDStreakwoa3Putt_BESTSTREAK_2015","BestYTDStreakwoa3Putt_CURRENTSTREAK_2015","stat_name","year"
1,1,"Freddie Jacobson",14,542,18,"BestYTDStreakwoa3Putt",2015
2,2,"Billy Hurley III",28,341,158,"BestYTDStreakwoa3Putt",2015
3,3,"Derek Fathauer",27,328,122,"BestYTDStreakwoa3Putt",2015
4,4,"Russell Knox",28,303,64,"BestYTDStreakwoa3Putt",2015
5,5,"Brendon de Jonge",31,290,49,"BestYTDStreakwoa3Putt",2015
5,5,"SJ Park",27,290,6,"BestYTDStreakwoa3Putt",2015
7,7,"Jordan Spieth",25,279,12,"BestYTDStreakwoa3Putt",2015
8,8,"Brendan Steele",24,255,80,"BestYTDStreakwoa3Putt",2015
9,9,"Dustin Johnson",21,254,37,"BestYTDStreakwoa3Putt",2015
10,10,"Steven Alker",22,242,5,"BestYTDStreakwoa3Putt",2015
11,11,"Sean OHair",26,240,12,"BestYTDStreakwoa3Putt",2015
12,12,"Brandt Snedeker",27,234,6,"BestYTDStreakwoa3Putt",2015
13,13,"Brian Stuard",31,231,11,"BestYTDStreakwoa3Putt",2015
14,14,"Cameron Percy",23,228,2,"BestYTDStreakwoa3Putt",2015
15,15,"Daniel Summerhays",29,226,50,"BestYTDStreakwoa3Putt",2015
16,16,"Carlos Ortiz",30,222,55,"BestYTDStreakwoa3Putt",2015
17,17,"Scott Brown",30,218,7,"BestYTDStreakwoa3Putt",2015
17,17,"JJ Henry",30,218,NA,"BestYTDStreakwoa3Putt",2015
19,19,"Nicholas Thompson",31,217,22,"BestYTDStreakwoa3Putt",2015
20,20,"JB Holmes",25,215,215,"BestYTDStreakwoa3Putt",2015
21,21,"Kevin Kisner",30,214,9,"BestYTDStreakwoa3Putt",2015
22,22,"Bryce Molder",26,211,35,"BestYTDStreakwoa3Putt",2015
23,23,"Brian Harman",29,209,12,"BestYTDStreakwoa3Putt",2015
23,23,"Kevin Na",27,209,28,"BestYTDStreakwoa3Putt",2015
25,25,"Ricky Barnes",27,208,9,"BestYTDStreakwoa3Putt",2015
25,25,"Justin Leonard",22,208,123,"BestYTDStreakwoa3Putt",2015
27,27,"Brendon Todd",27,207,7,"BestYTDStreakwoa3Putt",2015
28,28,"Zac Blair",34,205,24,"BestYTDStreakwoa3Putt",2015
29,29,"Jason Bohn",27,201,31,"BestYTDStreakwoa3Putt",2015
29,29,"Martin Flores",30,201,9,"BestYTDStreakwoa3Putt",2015
29,29,"Lucas Glover",26,201,62,"BestYTDStreakwoa3Putt",2015
32,32,"KJ Choi",19,200,12,"BestYTDStreakwoa3Putt",2015
32,32,"Adam Hadwin",30,200,5,"BestYTDStreakwoa3Putt",2015
34,34,"Justin Thomas",30,199,7,"BestYTDStreakwoa3Putt",2015
35,35,"Boo Weekley",24,198,3,"BestYTDStreakwoa3Putt",2015
36,36,"Charley Hoffman",28,197,7,"BestYTDStreakwoa3Putt",2015
37,37,"Michael Putnam",28,191,35,"BestYTDStreakwoa3Putt",2015
37,37,"Kevin Streelman",27,191,191,"BestYTDStreakwoa3Putt",2015
37,37,"Josh Teater",11,191,191,"BestYTDStreakwoa3Putt",2015
40,40,"Steven Bowditch",32,187,136,"BestYTDStreakwoa3Putt",2015
40,40,"David Hearn",30,187,58,"BestYTDStreakwoa3Putt",2015
40,40,"Spencer Levin",31,187,3,"BestYTDStreakwoa3Putt",2015
40,40,"Troy Merritt",29,187,1,"BestYTDStreakwoa3Putt",2015
44,44,"Danny Lee",36,186,92,"BestYTDStreakwoa3Putt",2015
45,45,"Alex Cejka",30,185,52,"BestYTDStreakwoa3Putt",2015
46,46,"Shawn Stefani",26,184,33,"BestYTDStreakwoa3Putt",2015
47,47,"Hideki Matsuyama",25,182,4,"BestYTDStreakwoa3Putt",2015
48,48,"Brice Garnett",29,180,35,"BestYTDStreakwoa3Putt",2015
49,49,"Patrick Rodgers",17,179,30,"BestYTDStreakwoa3Putt",2015
50,50,"Jeff Overton",30,178,5,"BestYTDStreakwoa3Putt",2015
51,51,"Justin Rose",20,177,60,"BestYTDStreakwoa3Putt",2015
52,52,"Tim Wilkinson",28,176,62,"BestYTDStreakwoa3Putt",2015
53,53,"Zach Johnson",25,175,32,"BestYTDStreakwoa3Putt",2015
54,54,"Scott Langley",28,174,5,"BestYTDStreakwoa3Putt",2015
54,54,"Seung Yul Noh",21,174,NA,"BestYTDStreakwoa3Putt",2015
56,56,"Jonas Blixt",26,173,38,"BestYTDStreakwoa3Putt",2015
56,56,"Cody Gribble",4,173,5,"BestYTDStreakwoa3Putt",2015
56,56,"Whee Kim",23,173,16,"BestYTDStreakwoa3Putt",2015
59,59,"George McNeill",27,172,16,"BestYTDStreakwoa3Putt",2015
59,59,"Patrick Reed",27,172,20,"BestYTDStreakwoa3Putt",2015
61,61,"Matt Kuchar",25,171,41,"BestYTDStreakwoa3Putt",2015
62,62,"Charles Howell III",30,169,61,"BestYTDStreakwoa3Putt",2015
63,63,"Tim Clark",13,167,2,"BestYTDStreakwoa3Putt",2015
63,63,"Jason Kokrak",28,167,8,"BestYTDStreakwoa3Putt",2015
63,63,"Rory McIlroy",12,167,3,"BestYTDStreakwoa3Putt",2015
66,66,"Eric Axley",21,166,110,"BestYTDStreakwoa3Putt",2015
66,66,"William McGirt",30,166,3,"BestYTDStreakwoa3Putt",2015
68,68,"Chad Collins",24,165,57,"BestYTDStreakwoa3Putt",2015
68,68,"Jerry Kelly",24,165,41,"BestYTDStreakwoa3Putt",2015
70,70,"Tony Finau",31,164,79,"BestYTDStreakwoa3Putt",2015
70,70,"Russell Henley",24,164,13,"BestYTDStreakwoa3Putt",2015
70,70,"David Lingmerth",28,164,1,"BestYTDStreakwoa3Putt",2015
73,73,"Sergio Garcia",15,163,29,"BestYTDStreakwoa3Putt",2015
73,73,"Luke Guthrie",27,163,29,"BestYTDStreakwoa3Putt",2015
75,75,"Carl Pettersson",32,161,4,"BestYTDStreakwoa3Putt",2015
75,75,"Zack Sucher",18,161,2,"BestYTDStreakwoa3Putt",2015
77,77,"Roberto Castro",16,159,NA,"BestYTDStreakwoa3Putt",2015
78,78,"Ryan Moore",24,158,72,"BestYTDStreakwoa3Putt",2015
78,78,"Scott Verplank",13,158,158,"BestYTDStreakwoa3Putt",2015
80,80,"Geoff Ogilvy",15,157,NA,"BestYTDStreakwoa3Putt",2015
80,80,"Kenny Perry",9,157,21,"BestYTDStreakwoa3Putt",2015
82,82,"Jason Dufner",21,156,25,"BestYTDStreakwoa3Putt",2015
82,82,"Jim Furyk",19,156,2,"BestYTDStreakwoa3Putt",2015
82,82,"Mark Wilson",28,156,16,"BestYTDStreakwoa3Putt",2015
85,85,"Jon Curran",28,154,28,"BestYTDStreakwoa3Putt",2015
86,86,"Robert Allenby",25,153,7,"BestYTDStreakwoa3Putt",2015
86,86,"Davis Love III",18,153,78,"BestYTDStreakwoa3Putt",2015
86,86,"Sam Saunders",28,153,10,"BestYTDStreakwoa3Putt",2015
89,89,"Jason Gore",26,151,39,"BestYTDStreakwoa3Putt",2015
89,89,"James Hahn",28,151,23,"BestYTDStreakwoa3Putt",2015
89,89,"John Huh",31,151,18,"BestYTDStreakwoa3Putt",2015
