"Total3PuttsInside5_RANKTHISWEEK_2013","Total3PuttsInside5_RANKLASTWEEK_2013","Total3PuttsInside5_PLAYERNAME_2013","Total3PuttsInside5_ROUNDS_2013","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2013","Total3PuttsInside5_TOTAL3PUTTS_2013","stat_name","year"
1,1,"Martin Laird",68,3,38,"Total3PuttsInside5",2013
1,1,"DA Points",87,3,45,"Total3PuttsInside5",2013
3,3,"Aaron Baddeley",68,2,27,"Total3PuttsInside5",2013
3,3,"Matt Every",89,2,50,"Total3PuttsInside5",2013
3,3,"Luke Guthrie",82,2,49,"Total3PuttsInside5",2013
3,3,"James Hahn",78,2,31,"Total3PuttsInside5",2013
3,3,"Justin Hicks",79,2,51,"Total3PuttsInside5",2013
3,3,"Ryo Ishikawa",72,2,39,"Total3PuttsInside5",2013
3,3,"DH Lee",65,2,37,"Total3PuttsInside5",2013
3,3,"Phil Mickelson",78,2,22,"Total3PuttsInside5",2013
3,3,"Ryan Moore",72,2,36,"Total3PuttsInside5",2013
3,3,"Pat Perez",69,2,37,"Total3PuttsInside5",2013
3,3,"Brandt Snedeker",79,2,35,"Total3PuttsInside5",2013
3,3,"Tiger Woods",61,2,16,"Total3PuttsInside5",2013
15,15,"Robert Allenby",58,1,33,"Total3PuttsInside5",2013
15,15,"Sangmoon Bae",83,1,55,"Total3PuttsInside5",2013
15,15,"Jason Bohn",70,1,29,"Total3PuttsInside5",2013
15,15,"Bud Cauley",67,1,34,"Total3PuttsInside5",2013
15,15,"Kevin Chappell",80,1,44,"Total3PuttsInside5",2013
15,15,"Erik Compton",74,1,42,"Total3PuttsInside5",2013
15,15,"Ben Crane",62,1,34,"Total3PuttsInside5",2013
15,15,"Brian Davis",91,1,39,"Total3PuttsInside5",2013
15,15,"Bob Estes",66,1,24,"Total3PuttsInside5",2013
15,15,"Martin Flores",83,1,47,"Total3PuttsInside5",2013
15,15,"Sergio Garcia",65,1,20,"Total3PuttsInside5",2013
15,15,"Brian Harman",89,1,32,"Total3PuttsInside5",2013
15,15,"Russell Henley",80,1,33,"Total3PuttsInside5",2013
15,15,"John Huh",88,1,54,"Total3PuttsInside5",2013
15,15,"Zach Johnson",84,1,35,"Total3PuttsInside5",2013
15,15,"Robert Karlsson",56,1,27,"Total3PuttsInside5",2013
15,15,"Chris Kirk",89,1,40,"Total3PuttsInside5",2013
15,15,"Colt Knost",69,1,26,"Total3PuttsInside5",2013
15,15,"Ben Kohles",75,1,39,"Total3PuttsInside5",2013
15,15,"Matt Kuchar",93,1,22,"Total3PuttsInside5",2013
15,15,"Doug LaBelle II",72,1,32,"Total3PuttsInside5",2013
15,15,"Marc Leishman",77,1,36,"Total3PuttsInside5",2013
15,15,"Jeff Maggert",63,1,44,"Total3PuttsInside5",2013
15,15,"Troy Matteson",68,1,27,"Total3PuttsInside5",2013
15,15,"Rory McIlroy",56,1,22,"Total3PuttsInside5",2013
15,15,"Seung Yul Noh",71,1,43,"Total3PuttsInside5",2013
15,15,"Geoff Ogilvy",57,1,40,"Total3PuttsInside5",2013
15,15,"Ryan Palmer",79,1,29,"Total3PuttsInside5",2013
15,15,"Rod Pampling",46,1,15,"Total3PuttsInside5",2013
15,15,"Jin Park",52,1,27,"Total3PuttsInside5",2013
15,15,"Carl Pettersson",82,1,30,"Total3PuttsInside5",2013
15,15,"Ted Potter Jr",65,1,41,"Total3PuttsInside5",2013
15,15,"Vijay Singh",61,1,30,"Total3PuttsInside5",2013
15,15,"Jordan Spieth",82,1,34,"Total3PuttsInside5",2013
15,15,"Kevin Stadler",83,1,38,"Total3PuttsInside5",2013
15,15,"Kevin Streelman",86,1,27,"Total3PuttsInside5",2013
15,15,"Bo Van Pelt",72,1,30,"Total3PuttsInside5",2013
15,15,"Camilo Villegas",79,1,36,"Total3PuttsInside5",2013
15,15,"Jimmy Walker",84,1,34,"Total3PuttsInside5",2013
15,15,"Boo Weekley",100,1,58,"Total3PuttsInside5",2013
15,15,"Lee Westwood",70,1,34,"Total3PuttsInside5",2013
15,15,"Casey Wittenberg",72,1,29,"Total3PuttsInside5",2013
