"Back9ScoringAverage_RANKTHISWEEK_2014","Back9ScoringAverage_RANKLASTWEEK_2014","Back9ScoringAverage_PLAYERNAME_2014","Back9ScoringAverage_ROUNDS_2014","Back9ScoringAverage_AVG_2014","Back9ScoringAverage_TOTALSTROKES_2014","Back9ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Rory McIlroy",66,34.52,2209,64,"Back9ScoringAverage",2014
2,2,"Sergio Garcia",61,34.84,2021,58,"Back9ScoringAverage",2014
3,3,"Matt Kuchar",91,34.92,3073,88,"Back9ScoringAverage",2014
4,4,"Adam Scott",68,34.97,2378,68,"Back9ScoringAverage",2014
5,5,"Jerry Kelly",80,34.98,2798,80,"Back9ScoringAverage",2014
6,6,"John Senden",99,35.03,3468,99,"Back9ScoringAverage",2014
7,7,"Jim Furyk",84,35.06,2805,80,"Back9ScoringAverage",2014
8,8,"Chad Campbell",57,35.09,1860,53,"Back9ScoringAverage",2014
9,9,"Zach Johnson",97,35.1,3370,96,"Back9ScoringAverage",2014
10,10,"Harris English",95,35.12,3231,92,"Back9ScoringAverage",2014
11,11,"David Toms",64,35.13,2178,62,"Back9ScoringAverage",2014
12,12,"Tim Clark",75,35.15,2636,75,"Back9ScoringAverage",2014
13,13,"Bubba Watson",76,35.16,2567,73,"Back9ScoringAverage",2014
14,14,"Billy Horschel",92,35.19,3167,90,"Back9ScoringAverage",2014
14,14,"Graeme McDowell",66,35.19,2182,62,"Back9ScoringAverage",2014
16,16,"Jeff Overton",80,35.2,2675,76,"Back9ScoringAverage",2014
17,17,"Brooks Koepka",56,35.21,1972,56,"Back9ScoringAverage",2014
17,17,"Webb Simpson",87,35.21,2958,84,"Back9ScoringAverage",2014
19,19,"Bill Haas",107,35.22,3698,105,"Back9ScoringAverage",2014
20,20,"Heath Slocum",71,35.23,2431,69,"Back9ScoringAverage",2014
21,21,"Freddie Jacobson",91,35.24,3207,91,"Back9ScoringAverage",2014
21,21,"Russell Knox",92,35.24,3242,92,"Back9ScoringAverage",2014
23,23,"Dustin Johnson",58,35.25,2009,57,"Back9ScoringAverage",2014
24,24,"Brian Stuard",91,35.26,3068,87,"Back9ScoringAverage",2014
25,25,"Stuart Appleby",92,35.28,3175,90,"Back9ScoringAverage",2014
25,25,"Ryan Palmer",85,35.28,2999,85,"Back9ScoringAverage",2014
25,25,"Brendon Todd",108,35.28,3810,108,"Back9ScoringAverage",2014
28,28,"Justin Hicks",103,35.29,3494,99,"Back9ScoringAverage",2014
28,28,"Will Wilcox",51,35.29,1729,49,"Back9ScoringAverage",2014
30,30,"Jonathan Byrd",76,35.31,2542,72,"Back9ScoringAverage",2014
30,30,"Luke Guthrie",85,35.31,3001,85,"Back9ScoringAverage",2014
30,30,"Billy Hurley III",86,35.31,3037,86,"Back9ScoringAverage",2014
33,33,"Brad Fritsch",50,35.33,1696,48,"Back9ScoringAverage",2014
33,33,"Scott Langley",95,35.33,3286,93,"Back9ScoringAverage",2014
33,33,"Jimmy Walker",98,35.33,3392,96,"Back9ScoringAverage",2014
