"FirstTeeLateRound3ScoringAverage_RANKTHISWEEK_2014","FirstTeeLateRound3ScoringAverage_RANKLASTWEEK_2014","FirstTeeLateRound3ScoringAverage_PLAYERNAME_2014","FirstTeeLateRound3ScoringAverage__2014","FirstTeeLateRound3ScoringAverage_AVG_2014","FirstTeeLateRound3ScoringAverage_TOTALSTROKES_2014","FirstTeeLateRound3ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Bryce Molder",NA,66,132,2,"FirstTeeLateRound3ScoringAverage",2014
2,2,"Briny Baird",NA,67,67,1,"FirstTeeLateRound3ScoringAverage",2014
3,3,"Will Wilcox",NA,67.2,336,5,"FirstTeeLateRound3ScoringAverage",2014
4,4,"David Toms",NA,67.25,269,4,"FirstTeeLateRound3ScoringAverage",2014
5,5,"Tim Clark",NA,67.4,337,5,"FirstTeeLateRound3ScoringAverage",2014
6,6,"Chad Campbell",NA,67.5,135,2,"FirstTeeLateRound3ScoringAverage",2014
7,7,"Rickie Fowler",NA,67.63,541,8,"FirstTeeLateRound3ScoringAverage",2014
8,8,"Nicholas Thompson",NA,67.67,203,3,"FirstTeeLateRound3ScoringAverage",2014
9,9,"Jerry Kelly",NA,67.8,339,5,"FirstTeeLateRound3ScoringAverage",2014
10,10,"Phil Mickelson",NA,68.33,410,6,"FirstTeeLateRound3ScoringAverage",2014
10,10,"Webb Simpson",NA,68.33,410,6,"FirstTeeLateRound3ScoringAverage",2014
12,12,"David Lingmerth",NA,68.5,137,2,"FirstTeeLateRound3ScoringAverage",2014
13,13,"Jonathan Byrd",NA,69,414,6,"FirstTeeLateRound3ScoringAverage",2014
13,13,"Luke Donald",NA,69,207,3,"FirstTeeLateRound3ScoringAverage",2014
13,13,"Jim Herman",NA,69,138,2,"FirstTeeLateRound3ScoringAverage",2014
13,13,"Spencer Levin",NA,69,138,2,"FirstTeeLateRound3ScoringAverage",2014
13,13,"Will Ma Kenzie",NA,69,207,3,"FirstTeeLateRound3ScoringAverage",2014
13,13,"Jeff Maggert",NA,69,207,3,"FirstTeeLateRound3ScoringAverage",2014
13,13,"Rory McIlroy",NA,69,828,12,"FirstTeeLateRound3ScoringAverage",2014
