"RoughProximity_RANKTHISWEEK_2016","RoughProximity_RANKLASTWEEK_2016","RoughProximity_PLAYERNAME_2016","RoughProximity_ROUNDS_2016","RoughProximity_AVG_2016","RoughProximity_TOTALDISTANCEINCHES_2016","RoughProximity_ATTEMPTS_2016","RoughProximity_TOTALDISTANCEFEET_2016","RoughProximity_RELATIVETOPAR_2016","stat_name","year"
1,1,"Dicky Pride",33,NA,32802,79,2733.5,12,"RoughProximity",2016
2,2,"Dustin Johnson",37,NA,37818,89,3151.5,-4,"RoughProximity",2016
3,4,"Andres Romero",22,NA,23383,53,1948.583,0,"RoughProximity",2016
4,6,"Ken Duke",26,NA,28548,64,2379,5,"RoughProximity",2016
5,7,"Andrew Landry",24,NA,16099,36,1341.583,2,"RoughProximity",2016
5,7,"Lucas Lee",22,NA,19683,44,1640.25,14,"RoughProximity",2016
7,13,"Shane Lowry",35,NA,26256,58,2188,9,"RoughProximity",2016
8,3,"Jason Bohn",37,NA,39959,88,3329.917,7,"RoughProximity",2016
9,23,"Alex Cejka",47,NA,51649,113,4304.083,16,"RoughProximity",2016
9,10,"DJ Trahan",23,NA,19669,43,1639.083,6,"RoughProximity",2016
11,56,"DA Points",32,NA,33578,73,2798.167,2,"RoughProximity",2016
12,11,"Jason Kokrak",52,NA,82389,178,6865.75,5,"RoughProximity",2016
13,14,"Shane Bertsch",30,NA,31105,67,2592.083,6,"RoughProximity",2016
14,19,"Luke Donald",49,NA,70906,152,5908.833,15,"RoughProximity",2016
14,5,"Brian Stuard",24,NA,27026,58,2252.167,-2,"RoughProximity",2016
16,17,"Jerry Kelly",44,NA,37819,81,3151.583,4,"RoughProximity",2016
16,9,"Webb Simpson",34,NA,46729,100,3894.083,5,"RoughProximity",2016
18,15,"Jason Gore",51,NA,60413,129,5034.417,7,"RoughProximity",2016
19,21,"Branden Grace",31,NA,35139,75,2928.25,-4,"RoughProximity",2016
20,19,"Derek Fathauer",58,NA,93771,199,7814.25,20,"RoughProximity",2016
