"Total1PuttsInside5_RANKTHISWEEK_2011","Total1PuttsInside5_RANKLASTWEEK_2011","Total1PuttsInside5_PLAYERNAME_2011","Total1PuttsInside5_ROUNDS_2011","Total1PuttsInside5_TOTAL_2011","Total1PuttsInside5_TOTALFORALLDISTANCES_2011","Total1PuttsInside5_PCTOFALL1PUTTS_2011","stat_name","year"
1,1,"Blake Adams",116,367,762,48.2,"Total1PuttsInside5",2011
2,2,"Brian Davis",105,337,659,51.1,"Total1PuttsInside5",2011
3,3,"Brendon de Jonge",105,329,672,49,"Total1PuttsInside5",2011
4,4,"Spencer Levin",113,326,631,51.7,"Total1PuttsInside5",2011
4,4,"Vaughn Taylor",89,326,593,55,"Total1PuttsInside5",2011
6,6,"Greg Chalmers",88,325,623,52.2,"Total1PuttsInside5",2011
7,7,"Charles Howell III",108,316,627,50.4,"Total1PuttsInside5",2011
8,8,"Cameron Tringale",110,315,651,48.4,"Total1PuttsInside5",2011
9,9,"Arjun Atwal",91,313,605,51.7,"Total1PuttsInside5",2011
10,10,"Carl Pettersson",95,311,644,48.3,"Total1PuttsInside5",2011
10,10,"Josh Teater",104,311,606,51.3,"Total1PuttsInside5",2011
12,12,"Chris DiMarco",93,308,578,53.3,"Total1PuttsInside5",2011
13,13,"Steve Flesch",88,304,590,51.5,"Total1PuttsInside5",2011
14,14,"William McGirt",103,303,605,50.1,"Total1PuttsInside5",2011
15,15,"Jimmy Walker",79,301,554,54.3,"Total1PuttsInside5",2011
16,16,"Tim Petrovic",88,299,566,52.8,"Total1PuttsInside5",2011
16,16,"Webb Simpson",98,299,607,49.3,"Total1PuttsInside5",2011
18,18,"Hunter Haas",96,298,609,48.9,"Total1PuttsInside5",2011
18,18,"Kevin Na",84,298,555,53.7,"Total1PuttsInside5",2011
20,20,"Billy Mayfair",94,294,567,51.9,"Total1PuttsInside5",2011
21,21,"Ryuji Imada",83,293,546,53.7,"Total1PuttsInside5",2011
22,22,"Steven Bowditch",86,292,581,50.3,"Total1PuttsInside5",2011
23,23,"Chris Kirk",87,291,542,53.7,"Total1PuttsInside5",2011
24,24,"Kyle Stanley",98,285,539,52.9,"Total1PuttsInside5",2011
25,25,"Tommy Gainey",104,284,625,45.4,"Total1PuttsInside5",2011
25,25,"Freddie Jacobson",92,284,539,52.7,"Total1PuttsInside5",2011
27,27,"Charlie Wi",83,282,584,48.3,"Total1PuttsInside5",2011
28,28,"Marc Leishman",87,281,547,51.4,"Total1PuttsInside5",2011
29,29,"Brian Gay",90,280,555,50.5,"Total1PuttsInside5",2011
29,29,"Matt Kuchar",94,280,537,52.1,"Total1PuttsInside5",2011
29,29,"Jarrod Lyle",83,280,510,54.9,"Total1PuttsInside5",2011
29,29,"Troy Matteson",91,280,544,51.5,"Total1PuttsInside5",2011
29,29,"DJ Trahan",91,280,526,53.2,"Total1PuttsInside5",2011
34,34,"Brandt Snedeker",85,279,531,52.5,"Total1PuttsInside5",2011
35,35,"Nathan Green",81,276,522,52.9,"Total1PuttsInside5",2011
35,35,"Tim Herron",85,276,539,51.2,"Total1PuttsInside5",2011
35,35,"Bryce Molder",82,276,549,50.3,"Total1PuttsInside5",2011
35,35,"DA Points",89,276,552,50,"Total1PuttsInside5",2011
39,39,"Justin Leonard",82,275,513,53.6,"Total1PuttsInside5",2011
39,39,"Chez Reavie",92,275,557,49.4,"Total1PuttsInside5",2011
41,41,"Tag Ridings",87,274,521,52.6,"Total1PuttsInside5",2011
42,42,"Chad Campbell",99,273,559,48.8,"Total1PuttsInside5",2011
43,43,"Jonathan Byrd",83,272,519,52.4,"Total1PuttsInside5",2011
43,43,"Bo Van Pelt",92,272,501,54.3,"Total1PuttsInside5",2011
45,45,"Keegan Bradley",91,269,526,51.1,"Total1PuttsInside5",2011
45,45,"Andres Romero",77,269,530,50.8,"Total1PuttsInside5",2011
47,47,"Kris Blanks",92,268,529,50.7,"Total1PuttsInside5",2011
48,48,"Michael Connell",76,267,491,54.4,"Total1PuttsInside5",2011
48,48,"Paul Goydos",81,267,502,53.2,"Total1PuttsInside5",2011
48,48,"Hunter Mahan",92,267,549,48.6,"Total1PuttsInside5",2011
51,51,"Chris Couch",73,266,499,53.3,"Total1PuttsInside5",2011
52,52,"JJ Henry",96,265,502,52.8,"Total1PuttsInside5",2011
53,53,"Chris Stroud",88,264,532,49.6,"Total1PuttsInside5",2011
54,54,"Charley Hoffman",93,263,516,51,"Total1PuttsInside5",2011
54,54,"Nick OHern",89,263,521,50.5,"Total1PuttsInside5",2011
56,56,"Brendan Steele",89,260,505,51.5,"Total1PuttsInside5",2011
57,57,"Brandt Jobe",100,259,548,47.3,"Total1PuttsInside5",2011
57,57,"Zack Miller",86,259,503,51.5,"Total1PuttsInside5",2011
