"LateRound1ScoringAverage_RANKTHISWEEK_2008","LateRound1ScoringAverage_RANKLASTWEEK_2008","LateRound1ScoringAverage_PLAYERNAME_2008","LateRound1ScoringAverage__2008","LateRound1ScoringAverage_AVG_2008","LateRound1ScoringAverage_TOTALSTROKES_2008","LateRound1ScoringAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Kent Jones",NA,68.56,617,9,"LateRound1ScoringAverage",2008
2,2,"Geoff Ogilvy",NA,69.17,415,6,"LateRound1ScoringAverage",2008
3,3,"Phil Mickelson",NA,69.29,485,7,"LateRound1ScoringAverage",2008
4,4,"Craig Kanada",NA,69.36,763,11,"LateRound1ScoringAverage",2008
5,5,"Nick OHern",NA,69.4,694,10,"LateRound1ScoringAverage",2008
6,6,"Charlie Wi",NA,69.64,975,14,"LateRound1ScoringAverage",2008
7,7,"Vaughn Taylor",NA,69.75,837,12,"LateRound1ScoringAverage",2008
8,8,"Daniel Chopra",NA,69.86,489,7,"LateRound1ScoringAverage",2008
9,9,"John Huston",NA,69.89,629,9,"LateRound1ScoringAverage",2008
10,10,"Rich Beem",NA,69.91,769,11,"LateRound1ScoringAverage",2008
11,11,"Parker McLachlin",NA,69.92,909,13,"LateRound1ScoringAverage",2008
12,12,"Briny Baird",NA,69.93,1049,15,"LateRound1ScoringAverage",2008
13,13,"Anthony Kim",NA,70,770,11,"LateRound1ScoringAverage",2008
14,14,"Todd Demsey",NA,70.06,1121,16,"LateRound1ScoringAverage",2008
14,14,"Bo Van Pelt",NA,70.06,1261,18,"LateRound1ScoringAverage",2008
16,16,"Robert Allenby",NA,70.19,1123,16,"LateRound1ScoringAverage",2008
17,17,"Justin Leonard",NA,70.2,702,10,"LateRound1ScoringAverage",2008
17,17,"Will Ma Kenzie",NA,70.2,702,10,"LateRound1ScoringAverage",2008
19,19,"Richard Johnson",NA,70.22,632,9,"LateRound1ScoringAverage",2008
20,20,"Ken Duke",NA,70.24,1194,17,"LateRound1ScoringAverage",2008
20,20,"Steve Marino",NA,70.24,1194,17,"LateRound1ScoringAverage",2008
20,20,"Kevin Streelman",NA,70.24,1194,17,"LateRound1ScoringAverage",2008
23,23,"Lucas Glover",NA,70.25,1124,16,"LateRound1ScoringAverage",2008
24,24,"Paul Claxton",NA,70.27,773,11,"LateRound1ScoringAverage",2008
25,25,"Zach Johnson",NA,70.29,984,14,"LateRound1ScoringAverage",2008
25,25,"Rod Pampling",NA,70.29,984,14,"LateRound1ScoringAverage",2008
27,27,"Olin Browne",NA,70.33,844,12,"LateRound1ScoringAverage",2008
27,27,"Bob Sowards",NA,70.33,844,12,"LateRound1ScoringAverage",2008
29,29,"Cameron Beckman",NA,70.38,915,13,"LateRound1ScoringAverage",2008
29,29,"Tag Ridings",NA,70.38,1126,16,"LateRound1ScoringAverage",2008
31,31,"Brian Davis",NA,70.39,1267,18,"LateRound1ScoringAverage",2008
32,32,"Chez Reavie",NA,70.42,845,12,"LateRound1ScoringAverage",2008
33,33,"Heath Slocum",NA,70.47,1198,17,"LateRound1ScoringAverage",2008
34,34,"Pat Perez",NA,70.5,705,10,"LateRound1ScoringAverage",2008
35,35,"Ben Crane",NA,70.54,917,13,"LateRound1ScoringAverage",2008
36,36,"Davis Love III",NA,70.56,635,9,"LateRound1ScoringAverage",2008
37,37,"Mike Weir",NA,70.58,847,12,"LateRound1ScoringAverage",2008
38,38,"Stuart Appleby",NA,70.6,706,10,"LateRound1ScoringAverage",2008
39,39,"Jim Furyk",NA,70.62,918,13,"LateRound1ScoringAverage",2008
39,39,"Charley Hoffman",NA,70.62,918,13,"LateRound1ScoringAverage",2008
41,41,"Dean Wilson",NA,70.63,1130,16,"LateRound1ScoringAverage",2008
42,42,"DJ Trahan",NA,70.64,989,14,"LateRound1ScoringAverage",2008
42,42,"Nick Watney",NA,70.64,777,11,"LateRound1ScoringAverage",2008
42,42,"YE Yang",NA,70.64,989,14,"LateRound1ScoringAverage",2008
45,45,"Jeff Overton",NA,70.69,1131,16,"LateRound1ScoringAverage",2008
46,46,"Gavin Coles",NA,70.71,495,7,"LateRound1ScoringAverage",2008
46,46,"Kevin Sutherland",NA,70.71,1202,17,"LateRound1ScoringAverage",2008
48,48,"Jesper Parnevik",NA,70.73,1061,15,"LateRound1ScoringAverage",2008
48,48,"Carl Pettersson",NA,70.73,778,11,"LateRound1ScoringAverage",2008
48,48,"Scott Verplank",NA,70.73,778,11,"LateRound1ScoringAverage",2008
51,51,"Stephen Leaney",NA,70.78,637,9,"LateRound1ScoringAverage",2008
51,51,"Peter Lonard",NA,70.78,1274,18,"LateRound1ScoringAverage",2008
53,53,"Stephen Ames",NA,70.79,991,14,"LateRound1ScoringAverage",2008
53,53,"Brian Gay",NA,70.79,991,14,"LateRound1ScoringAverage",2008
55,55,"Glen Day",NA,70.8,708,10,"LateRound1ScoringAverage",2008
56,56,"Vijay Singh",NA,70.82,779,11,"LateRound1ScoringAverage",2008
57,57,"Johnson Wagner",NA,70.85,921,13,"LateRound1ScoringAverage",2008
58,58,"Nick Flanagan",NA,70.87,1063,15,"LateRound1ScoringAverage",2008
59,59,"Dudley Hart",NA,70.92,922,13,"LateRound1ScoringAverage",2008
59,59,"John Riegger",NA,70.92,851,12,"LateRound1ScoringAverage",2008
59,59,"Andres Romero",NA,70.92,851,12,"LateRound1ScoringAverage",2008
62,62,"Marc Turnesa",NA,70.93,1064,15,"LateRound1ScoringAverage",2008
63,63,"Eric Axley",NA,70.94,1135,16,"LateRound1ScoringAverage",2008
64,64,"Mathew Goggin",NA,71,923,13,"LateRound1ScoringAverage",2008
64,64,"Charles Howell III",NA,71,1349,19,"LateRound1ScoringAverage",2008
64,64,"Brandt Jobe",NA,71,639,9,"LateRound1ScoringAverage",2008
64,64,"Greg Kraft",NA,71,639,9,"LateRound1ScoringAverage",2008
64,64,"Hunter Mahan",NA,71,568,8,"LateRound1ScoringAverage",2008
64,64,"Shigeki Maruyama",NA,71,568,8,"LateRound1ScoringAverage",2008
70,70,"Nathan Green",NA,71.06,1208,17,"LateRound1ScoringAverage",2008
71,71,"Tim Petrovic",NA,71.07,995,14,"LateRound1ScoringAverage",2008
72,72,"Tim Herron",NA,71.08,924,13,"LateRound1ScoringAverage",2008
72,72,"Rory Sabbatini",NA,71.08,853,12,"LateRound1ScoringAverage",2008
74,74,"James Driscoll",NA,71.09,782,11,"LateRound1ScoringAverage",2008
75,75,"Jeff Gove",NA,71.1,711,10,"LateRound1ScoringAverage",2008
75,75,"Frank Lickliter II",NA,71.1,1422,20,"LateRound1ScoringAverage",2008
77,77,"Tim Wilkinson",NA,71.13,1138,16,"LateRound1ScoringAverage",2008
78,78,"Ryan Palmer",NA,71.18,783,11,"LateRound1ScoringAverage",2008
79,79,"Jason Day",NA,71.19,1139,16,"LateRound1ScoringAverage",2008
79,79,"Tom Pernice Jr",NA,71.19,1139,16,"LateRound1ScoringAverage",2008
81,81,"Michael Allen",NA,71.2,1068,15,"LateRound1ScoringAverage",2008
81,81,"Marco Dawson",NA,71.2,712,10,"LateRound1ScoringAverage",2008
83,83,"Billy Mayfair",NA,71.21,997,14,"LateRound1ScoringAverage",2008
84,84,"Lee Janzen",NA,71.23,926,13,"LateRound1ScoringAverage",2008
84,84,"Jimmy Walker",NA,71.23,926,13,"LateRound1ScoringAverage",2008
86,86,"Brad Elder",NA,71.25,855,12,"LateRound1ScoringAverage",2008
87,87,"Joe Ogilvie",NA,71.27,1069,15,"LateRound1ScoringAverage",2008
88,88,"Joe Durant",NA,71.33,856,12,"LateRound1ScoringAverage",2008
88,88,"Todd Hamilton",NA,71.33,856,12,"LateRound1ScoringAverage",2008
88,88,"Jeff Quinney",NA,71.33,856,12,"LateRound1ScoringAverage",2008
88,88,"Camilo Villegas",NA,71.33,856,12,"LateRound1ScoringAverage",2008
88,88,"Mark Wilson",NA,71.33,1070,15,"LateRound1ScoringAverage",2008
93,93,"Omar Uresti",NA,71.38,928,13,"LateRound1ScoringAverage",2008
94,94,"Jerry Kelly",NA,71.4,1071,15,"LateRound1ScoringAverage",2008
94,94,"Scott McCarron",NA,71.4,714,10,"LateRound1ScoringAverage",2008
96,96,"Nicholas Thompson",NA,71.41,1571,22,"LateRound1ScoringAverage",2008
97,97,"JB Holmes",NA,71.42,857,12,"LateRound1ScoringAverage",2008
97,97,"Jim McGovern",NA,71.42,857,12,"LateRound1ScoringAverage",2008
99,99,"Patrick Sheehan",NA,71.47,1072,15,"LateRound1ScoringAverage",2008
99,99,"Kyle Thompson",NA,71.47,1072,15,"LateRound1ScoringAverage",2008
101,101,"Tommy Armour III",NA,71.5,858,12,"LateRound1ScoringAverage",2008
101,101,"Ernie Els",NA,71.5,572,8,"LateRound1ScoringAverage",2008
101,101,"Bob Estes",NA,71.5,1001,14,"LateRound1ScoringAverage",2008
101,101,"Rocco Mediate",NA,71.5,858,12,"LateRound1ScoringAverage",2008
105,105,"Matt Kuchar",NA,71.53,1073,15,"LateRound1ScoringAverage",2008
106,106,"Chris DiMarco",NA,71.56,1145,16,"LateRound1ScoringAverage",2008
106,106,"Brett Quigley",NA,71.56,644,9,"LateRound1ScoringAverage",2008
108,108,"Corey Pavin",NA,71.57,501,7,"LateRound1ScoringAverage",2008
109,109,"Brett Rumford",NA,71.62,931,13,"LateRound1ScoringAverage",2008
110,110,"Martin Laird",NA,71.63,1146,16,"LateRound1ScoringAverage",2008
110,110,"Michael Letzig",NA,71.63,1146,16,"LateRound1ScoringAverage",2008
112,112,"Brad Adamonis",NA,71.64,1003,14,"LateRound1ScoringAverage",2008
112,112,"Bart Bryant",NA,71.64,1003,14,"LateRound1ScoringAverage",2008
112,112,"JP Hayes",NA,71.64,1003,14,"LateRound1ScoringAverage",2008
112,112,"George McNeill",NA,71.64,1003,14,"LateRound1ScoringAverage",2008
116,116,"Paul Goydos",NA,71.67,860,12,"LateRound1ScoringAverage",2008
117,117,"Robert Gamez",NA,71.69,932,13,"LateRound1ScoringAverage",2008
117,117,"Dustin Johnson",NA,71.69,932,13,"LateRound1ScoringAverage",2008
117,117,"John Merrick",NA,71.69,1147,16,"LateRound1ScoringAverage",2008
120,120,"Steve Allan",NA,71.73,789,11,"LateRound1ScoringAverage",2008
120,120,"Doug LaBelle II",NA,71.73,789,11,"LateRound1ScoringAverage",2008
120,120,"Scott Sterling",NA,71.73,1076,15,"LateRound1ScoringAverage",2008
120,120,"Bob Tway",NA,71.73,789,11,"LateRound1ScoringAverage",2008
124,124,"Jay Williamson",NA,71.75,1148,16,"LateRound1ScoringAverage",2008
125,125,"Bubba Watson",NA,71.76,1220,17,"LateRound1ScoringAverage",2008
126,126,"Steve Elkington",NA,71.79,1005,14,"LateRound1ScoringAverage",2008
127,127,"Tim Clark",NA,71.8,718,10,"LateRound1ScoringAverage",2008
127,127,"Harrison Frazar",NA,71.8,718,10,"LateRound1ScoringAverage",2008
129,129,"Freddie Jacobson",NA,71.81,1149,16,"LateRound1ScoringAverage",2008
130,130,"Mark Calcavecchia",NA,71.82,790,11,"LateRound1ScoringAverage",2008
130,130,"Ryan Moore",NA,71.82,790,11,"LateRound1ScoringAverage",2008
132,132,"Jason Allred",NA,71.83,862,12,"LateRound1ScoringAverage",2008
133,133,"Alejandro Canizares",NA,71.86,503,7,"LateRound1ScoringAverage",2008
133,133,"Mathias Gronberg",NA,71.86,1006,14,"LateRound1ScoringAverage",2008
135,135,"John Senden",NA,71.87,1078,15,"LateRound1ScoringAverage",2008
136,136,"Jason Gore",NA,71.88,1150,16,"LateRound1ScoringAverage",2008
136,136,"Matt Jones",NA,71.88,1222,17,"LateRound1ScoringAverage",2008
138,138,"Alex Cejka",NA,71.91,791,11,"LateRound1ScoringAverage",2008
138,138,"Ron Whittaker",NA,71.91,791,11,"LateRound1ScoringAverage",2008
140,140,"Kenneth Ferrie",NA,71.92,863,12,"LateRound1ScoringAverage",2008
140,140,"Kenny Perry",NA,71.92,863,12,"LateRound1ScoringAverage",2008
140,140,"Kevin Stadler",NA,71.92,863,12,"LateRound1ScoringAverage",2008
143,143,"Bill Haas",NA,71.93,1079,15,"LateRound1ScoringAverage",2008
144,144,"Aaron Baddeley",NA,72,864,12,"LateRound1ScoringAverage",2008
144,144,"Shane Bertsch",NA,72,936,13,"LateRound1ScoringAverage",2008
144,144,"Brandt Snedeker",NA,72,864,12,"LateRound1ScoringAverage",2008
147,147,"Steve Flesch",NA,72.07,1009,14,"LateRound1ScoringAverage",2008
147,147,"Sean OHair",NA,72.07,1081,15,"LateRound1ScoringAverage",2008
149,149,"Justin Bolli",NA,72.08,937,13,"LateRound1ScoringAverage",2008
150,150,"Steve Stricker",NA,72.09,793,11,"LateRound1ScoringAverage",2008
151,151,"Stewart Cink",NA,72.1,721,10,"LateRound1ScoringAverage",2008
152,152,"Sergio Garcia",NA,72.11,649,9,"LateRound1ScoringAverage",2008
153,153,"Robert Garrigus",NA,72.14,1010,14,"LateRound1ScoringAverage",2008
153,153,"Jeff Maggert",NA,72.14,1010,14,"LateRound1ScoringAverage",2008
155,155,"Cliff Kresge",NA,72.17,866,12,"LateRound1ScoringAverage",2008
155,155,"John Mallinger",NA,72.17,866,12,"LateRound1ScoringAverage",2008
157,157,"Carlos Franco",NA,72.18,794,11,"LateRound1ScoringAverage",2008
158,158,"Kevin Na",NA,72.21,1011,14,"LateRound1ScoringAverage",2008
159,159,"Ryan Armour",NA,72.23,939,13,"LateRound1ScoringAverage",2008
160,160,"Chad Campbell",NA,72.25,867,12,"LateRound1ScoringAverage",2008
160,160,"Cody Freeman",NA,72.25,1156,16,"LateRound1ScoringAverage",2008
160,160,"Jon Mills",NA,72.25,1156,16,"LateRound1ScoringAverage",2008
160,160,"Tom Scherrer",NA,72.25,867,12,"LateRound1ScoringAverage",2008
164,164,"Chad Collins",NA,72.27,795,11,"LateRound1ScoringAverage",2008
164,164,"David Toms",NA,72.27,795,11,"LateRound1ScoringAverage",2008
166,166,"Troy Matteson",NA,72.29,1012,14,"LateRound1ScoringAverage",2008
167,167,"Chris Stroud",NA,72.31,1157,16,"LateRound1ScoringAverage",2008
168,168,"Ted Purdy",NA,72.33,651,9,"LateRound1ScoringAverage",2008
168,168,"Boo Weekley",NA,72.33,651,9,"LateRound1ScoringAverage",2008
170,170,"JJ Henry",NA,72.35,1230,17,"LateRound1ScoringAverage",2008
171,171,"Steve Lowery",NA,72.36,796,11,"LateRound1ScoringAverage",2008
172,172,"Trevor Immelman",NA,72.38,941,13,"LateRound1ScoringAverage",2008
173,173,"Billy Andrade",NA,72.42,869,12,"LateRound1ScoringAverage",2008
174,174,"Ben Curtis",NA,72.46,942,13,"LateRound1ScoringAverage",2008
175,175,"Jin Park",NA,72.5,1160,16,"LateRound1ScoringAverage",2008
176,176,"Woody Austin",NA,72.53,1088,15,"LateRound1ScoringAverage",2008
177,177,"Travis Perkins",NA,72.56,653,9,"LateRound1ScoringAverage",2008
177,177,"Chris Riley",NA,72.56,653,9,"LateRound1ScoringAverage",2008
179,179,"Fred Couples",NA,72.57,508,7,"LateRound1ScoringAverage",2008
180,180,"Tommy Gainey",NA,72.58,871,12,"LateRound1ScoringAverage",2008
181,181,"KJ Choi",NA,72.64,799,11,"LateRound1ScoringAverage",2008
182,182,"Jonathan Byrd",NA,72.73,1091,15,"LateRound1ScoringAverage",2008
183,183,"Paul Casey",NA,72.75,582,8,"LateRound1ScoringAverage",2008
183,183,"David Duval",NA,72.75,582,8,"LateRound1ScoringAverage",2008
183,183,"Padraig Harrington",NA,72.75,291,4,"LateRound1ScoringAverage",2008
186,186,"Brenden Pappas",NA,72.82,801,11,"LateRound1ScoringAverage",2008
187,187,"Ian Poulter",NA,72.83,437,6,"LateRound1ScoringAverage",2008
188,188,"Angel Cabrera",NA,72.9,729,10,"LateRound1ScoringAverage",2008
189,189,"Mark Hensby",NA,72.91,802,11,"LateRound1ScoringAverage",2008
190,190,"Adam Scott",NA,73,438,6,"LateRound1ScoringAverage",2008
191,191,"John Rollins",NA,73.06,1169,16,"LateRound1ScoringAverage",2008
192,192,"Retief Goosen",NA,73.1,731,10,"LateRound1ScoringAverage",2008
193,193,"Ryuji Imada",NA,73.2,732,10,"LateRound1ScoringAverage",2008
194,194,"Charles Warren",NA,73.21,1025,14,"LateRound1ScoringAverage",2008
196,196,"David Lutterus",NA,73.85,960,13,"LateRound1ScoringAverage",2008
197,197,"Tom Lehman",NA,74.67,672,9,"LateRound1ScoringAverage",2008
