"BirdietoBogeyRatio_RANKTHISWEEK_2013","BirdietoBogeyRatio_RANKLASTWEEK_2013","BirdietoBogeyRatio_PLAYERNAME_2013","BirdietoBogeyRatio_ROUNDS_2013","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2013","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2013","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2013","stat_name","year"
1,1,"Steve Stricker",51,1.93,201,104,"BirdietoBogeyRatio",2013
2,2,"Chris Kirk",89,1.59,358,225,"BirdietoBogeyRatio",2013
3,3,"Tiger Woods",61,1.55,252,163,"BirdietoBogeyRatio",2013
4,4,"Phil Mickelson",78,1.51,335,222,"BirdietoBogeyRatio",2013
5,5,"Charles Howell III",87,1.5,321,214,"BirdietoBogeyRatio",2013
5,5,"Matt Kuchar",93,1.5,326,218,"BirdietoBogeyRatio",2013
7,7,"Brendon de Jonge",110,1.49,408,273,"BirdietoBogeyRatio",2013
7,7,"Henrik Stenson",65,1.49,250,168,"BirdietoBogeyRatio",2013
9,9,"Jordan Spieth",82,1.47,332,226,"BirdietoBogeyRatio",2013
10,10,"Justin Rose",62,1.45,240,165,"BirdietoBogeyRatio",2013
11,11,"Keegan Bradley",88,1.44,338,234,"BirdietoBogeyRatio",2013
12,12,"Graham DeLaet",94,1.43,367,256,"BirdietoBogeyRatio",2013
12,12,"Brandt Snedeker",79,1.43,321,225,"BirdietoBogeyRatio",2013
14,14,"Matt Jones",83,1.4,309,220,"BirdietoBogeyRatio",2013
15,15,"Bob Estes",66,1.39,224,161,"BirdietoBogeyRatio",2013
16,16,"Kevin Stadler",83,1.38,315,229,"BirdietoBogeyRatio",2013
16,16,"Jimmy Walker",84,1.38,324,235,"BirdietoBogeyRatio",2013
18,18,"Bill Haas",85,1.37,294,215,"BirdietoBogeyRatio",2013
18,18,"Chris Stroud",88,1.37,319,233,"BirdietoBogeyRatio",2013
20,20,"Rory Sabbatini",86,1.36,342,252,"BirdietoBogeyRatio",2013
21,21,"Roberto Castro",97,1.35,356,264,"BirdietoBogeyRatio",2013
21,21,"Billy Horschel",96,1.35,385,286,"BirdietoBogeyRatio",2013
21,21,"Adam Scott",61,1.35,229,170,"BirdietoBogeyRatio",2013
24,24,"Sergio Garcia",65,1.33,236,177,"BirdietoBogeyRatio",2013
25,25,"Jim Furyk",80,1.32,278,210,"BirdietoBogeyRatio",2013
25,25,"Zach Johnson",84,1.32,303,230,"BirdietoBogeyRatio",2013
25,25,"Bryce Molder",82,1.32,302,228,"BirdietoBogeyRatio",2013
25,25,"Charl Schwartzel",69,1.32,280,212,"BirdietoBogeyRatio",2013
29,29,"Ryan Palmer",79,1.31,318,242,"BirdietoBogeyRatio",2013
30,30,"Hunter Mahan",91,1.3,317,243,"BirdietoBogeyRatio",2013
30,30,"Pat Perez",69,1.3,259,200,"BirdietoBogeyRatio",2013
30,30,"Webb Simpson",92,1.3,342,263,"BirdietoBogeyRatio",2013
30,30,"Daniel Summerhays",83,1.3,316,244,"BirdietoBogeyRatio",2013
30,30,"Bubba Watson",76,1.3,283,218,"BirdietoBogeyRatio",2013
35,35,"Martin Flores",83,1.29,300,232,"BirdietoBogeyRatio",2013
35,35,"Morgan Hoffmann",64,1.29,256,198,"BirdietoBogeyRatio",2013
37,37,"Stuart Appleby",88,1.28,283,221,"BirdietoBogeyRatio",2013
37,37,"Richard Lee",81,1.28,259,203,"BirdietoBogeyRatio",2013
39,39,"Jason Day",86,1.27,295,232,"BirdietoBogeyRatio",2013
39,39,"Jeff Overton",78,1.27,286,226,"BirdietoBogeyRatio",2013
39,39,"John Rollins",77,1.27,268,211,"BirdietoBogeyRatio",2013
39,39,"Cameron Tringale",80,1.27,281,221,"BirdietoBogeyRatio",2013
43,43,"Harris English",95,1.26,375,297,"BirdietoBogeyRatio",2013
43,43,"David Hearn",88,1.26,335,265,"BirdietoBogeyRatio",2013
45,45,"Luke Donald",60,1.25,218,174,"BirdietoBogeyRatio",2013
45,45,"Jerry Kelly",75,1.25,256,204,"BirdietoBogeyRatio",2013
47,47,"James Driscoll",76,1.24,270,218,"BirdietoBogeyRatio",2013
48,48,"Rickie Fowler",75,1.23,274,223,"BirdietoBogeyRatio",2013
48,48,"William McGirt",75,1.23,263,214,"BirdietoBogeyRatio",2013
48,48,"Chez Reavie",72,1.23,248,201,"BirdietoBogeyRatio",2013
48,48,"Gary Woodland",94,1.23,345,281,"BirdietoBogeyRatio",2013
52,52,"Jason Dufner",78,1.22,280,230,"BirdietoBogeyRatio",2013
52,52,"Matt Every",89,1.22,347,284,"BirdietoBogeyRatio",2013
54,54,"James Hahn",78,1.21,281,232,"BirdietoBogeyRatio",2013
54,54,"Jason Kokrak",78,1.21,294,243,"BirdietoBogeyRatio",2013
54,54,"Rory McIlroy",56,1.21,223,185,"BirdietoBogeyRatio",2013
54,54,"Patrick Reed",83,1.21,312,258,"BirdietoBogeyRatio",2013
54,54,"Kevin Streelman",86,1.21,302,250,"BirdietoBogeyRatio",2013
54,54,"Camilo Villegas",79,1.21,282,233,"BirdietoBogeyRatio",2013
60,60,"Steven Bowditch",67,1.2,243,202,"BirdietoBogeyRatio",2013
60,60,"Charley Hoffman",84,1.2,340,283,"BirdietoBogeyRatio",2013
62,62,"KJ Choi",85,1.19,283,237,"BirdietoBogeyRatio",2013
62,62,"Brian Davis",91,1.19,344,289,"BirdietoBogeyRatio",2013
62,62,"Dustin Johnson",71,1.19,276,231,"BirdietoBogeyRatio",2013
62,62,"Justin Leonard",86,1.19,311,262,"BirdietoBogeyRatio",2013
66,66,"Greg Chalmers",77,1.18,267,227,"BirdietoBogeyRatio",2013
66,66,"Erik Compton",74,1.18,255,217,"BirdietoBogeyRatio",2013
66,66,"Fabian Gomez",65,1.18,233,197,"BirdietoBogeyRatio",2013
66,66,"Brian Stuard",78,1.18,244,206,"BirdietoBogeyRatio",2013
70,70,"Brad Fritsch",81,1.17,289,248,"BirdietoBogeyRatio",2013
70,70,"Russell Henley",80,1.17,296,252,"BirdietoBogeyRatio",2013
70,70,"John Merrick",79,1.17,277,236,"BirdietoBogeyRatio",2013
70,70,"Nicholas Thompson",99,1.17,362,310,"BirdietoBogeyRatio",2013
70,70,"Nick Watney",88,1.17,315,270,"BirdietoBogeyRatio",2013
75,75,"Jason Bohn",70,1.16,265,229,"BirdietoBogeyRatio",2013
75,75,"DH Lee",65,1.16,231,200,"BirdietoBogeyRatio",2013
75,75,"Jeff Maggert",63,1.16,215,185,"BirdietoBogeyRatio",2013
75,75,"DJ Trahan",48,1.16,163,141,"BirdietoBogeyRatio",2013
75,75,"Boo Weekley",100,1.16,361,311,"BirdietoBogeyRatio",2013
80,80,"Kevin Chappell",80,1.15,288,251,"BirdietoBogeyRatio",2013
80,80,"Cameron Percy",68,1.15,224,194,"BirdietoBogeyRatio",2013
80,80,"Lee Westwood",70,1.15,239,208,"BirdietoBogeyRatio",2013
80,80,"Charlie Wi",75,1.15,268,234,"BirdietoBogeyRatio",2013
84,84,"Chad Campbell",78,1.14,254,222,"BirdietoBogeyRatio",2013
84,84,"Robert Garrigus",69,1.14,253,222,"BirdietoBogeyRatio",2013
84,84,"George McNeill",68,1.14,235,207,"BirdietoBogeyRatio",2013
84,84,"Tag Ridings",69,1.14,222,194,"BirdietoBogeyRatio",2013
84,84,"Vaughn Taylor",50,1.14,175,154,"BirdietoBogeyRatio",2013
89,89,"Ben Crane",62,1.13,187,166,"BirdietoBogeyRatio",2013
89,89,"Henrik Norlander",70,1.13,240,212,"BirdietoBogeyRatio",2013
89,89,"Brendan Steele",86,1.13,286,254,"BirdietoBogeyRatio",2013
92,92,"Ted Potter Jr",65,1.12,213,190,"BirdietoBogeyRatio",2013
92,92,"Andres Romero",63,1.12,224,200,"BirdietoBogeyRatio",2013
92,92,"Josh Teater",86,1.12,298,266,"BirdietoBogeyRatio",2013
95,95,"John Huh",88,1.11,301,271,"BirdietoBogeyRatio",2013
95,95,"Steve LeBrun",66,1.11,215,194,"BirdietoBogeyRatio",2013
95,95,"Robert Streb",75,1.11,242,218,"BirdietoBogeyRatio",2013
98,98,"Brian Harman",89,1.1,292,265,"BirdietoBogeyRatio",2013
98,98,"Doug LaBelle II",72,1.1,247,225,"BirdietoBogeyRatio",2013
98,98,"David Lingmerth",68,1.1,253,230,"BirdietoBogeyRatio",2013
98,98,"Ian Poulter",59,1.1,174,158,"BirdietoBogeyRatio",2013
102,102,"Jim Herman",59,1.09,197,181,"BirdietoBogeyRatio",2013
102,102,"David Toms",49,1.09,154,141,"BirdietoBogeyRatio",2013
104,104,"Stewart Cink",71,1.08,254,236,"BirdietoBogeyRatio",2013
104,104,"Freddie Jacobson",63,1.08,205,190,"BirdietoBogeyRatio",2013
104,104,"Ryan Moore",72,1.08,251,233,"BirdietoBogeyRatio",2013
104,104,"Dicky Pride",71,1.08,222,206,"BirdietoBogeyRatio",2013
104,104,"Aaron Watkins",46,1.08,153,142,"BirdietoBogeyRatio",2013
109,109,"Sangmoon Bae",83,1.07,330,308,"BirdietoBogeyRatio",2013
109,109,"Luke Guthrie",82,1.07,295,275,"BirdietoBogeyRatio",2013
109,109,"David Lynn",70,1.07,226,212,"BirdietoBogeyRatio",2013
109,109,"Shawn Stefani",63,1.07,213,200,"BirdietoBogeyRatio",2013
109,109,"Mark Wilson",56,1.07,159,148,"BirdietoBogeyRatio",2013
114,114,"Ricky Barnes",74,1.06,226,213,"BirdietoBogeyRatio",2013
114,114,"Jonas Blixt",76,1.06,244,230,"BirdietoBogeyRatio",2013
114,114,"Brian Gay",79,1.06,263,247,"BirdietoBogeyRatio",2013
114,114,"Justin Hicks",79,1.06,265,251,"BirdietoBogeyRatio",2013
114,114,"Troy Matteson",68,1.06,208,196,"BirdietoBogeyRatio",2013
114,114,"Scott Stallings",79,1.06,282,265,"BirdietoBogeyRatio",2013
120,120,"Peter Hanson",45,1.05,147,140,"BirdietoBogeyRatio",2013
120,120,"JJ Henry",83,1.05,250,237,"BirdietoBogeyRatio",2013
120,120,"Marc Leishman",77,1.05,257,244,"BirdietoBogeyRatio",2013
123,123,"Stephen Ames",49,1.04,165,158,"BirdietoBogeyRatio",2013
123,123,"Angel Cabrera",73,1.04,256,245,"BirdietoBogeyRatio",2013
123,123,"Tim Clark",64,1.04,199,192,"BirdietoBogeyRatio",2013
