"FirstTeeLateRound4ScoringAverage_RANKTHISWEEK_2006","FirstTeeLateRound4ScoringAverage_RANKLASTWEEK_2006","FirstTeeLateRound4ScoringAverage_PLAYERNAME_2006","FirstTeeLateRound4ScoringAverage__2006","FirstTeeLateRound4ScoringAverage_AVG_2006","FirstTeeLateRound4ScoringAverage_TOTALSTROKES_2006","FirstTeeLateRound4ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Bob May",NA,66,132,2,"FirstTeeLateRound4ScoringAverage",2006
2,2,"John Huston",NA,67,67,1,"FirstTeeLateRound4ScoringAverage",2006
3,3,"Ben Crane",NA,67.2,336,5,"FirstTeeLateRound4ScoringAverage",2006
4,4,"Omar Uresti",NA,67.67,203,3,"FirstTeeLateRound4ScoringAverage",2006
5,5,"David Duval",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2006
6,6,"Brian Bateman",NA,68.33,205,3,"FirstTeeLateRound4ScoringAverage",2006
7,7,"Paul Stankowski",NA,68.5,137,2,"FirstTeeLateRound4ScoringAverage",2006
8,8,"Brett Wetterich",NA,68.57,480,7,"FirstTeeLateRound4ScoringAverage",2006
9,9,"Jose Maria Olazabal",NA,68.6,343,5,"FirstTeeLateRound4ScoringAverage",2006
10,10,"David McKenzie",NA,68.67,206,3,"FirstTeeLateRound4ScoringAverage",2006
11,11,"Tiger Woods",NA,68.75,825,12,"FirstTeeLateRound4ScoringAverage",2006
12,12,"Michael Connell",NA,69,69,1,"FirstTeeLateRound4ScoringAverage",2006
12,12,"Chris Couch",NA,69,207,3,"FirstTeeLateRound4ScoringAverage",2006
12,12,"Jason Gore",NA,69,276,4,"FirstTeeLateRound4ScoringAverage",2006
12,12,"Mark OMeara",NA,69,138,2,"FirstTeeLateRound4ScoringAverage",2006
12,12,"Heath Slocum",NA,69,414,6,"FirstTeeLateRound4ScoringAverage",2006
12,12,"Tjaart van der Walt",NA,69,69,1,"FirstTeeLateRound4ScoringAverage",2006
18,18,"Charles Howell III",NA,69.2,346,5,"FirstTeeLateRound4ScoringAverage",2006
18,18,"Frank Lickliter II",NA,69.2,692,10,"FirstTeeLateRound4ScoringAverage",2006
20,20,"Steve Stricker",NA,69.22,623,9,"FirstTeeLateRound4ScoringAverage",2006
21,21,"Shigeki Maruyama",NA,69.43,486,7,"FirstTeeLateRound4ScoringAverage",2006
22,22,"JL Lewis",NA,69.5,139,2,"FirstTeeLateRound4ScoringAverage",2006
23,23,"Adam Scott",NA,69.58,835,12,"FirstTeeLateRound4ScoringAverage",2006
24,24,"Stewart Cink",NA,69.7,697,10,"FirstTeeLateRound4ScoringAverage",2006
25,25,"Jeff Sluman",NA,69.71,488,7,"FirstTeeLateRound4ScoringAverage",2006
26,26,"Jerry Kelly",NA,69.73,767,11,"FirstTeeLateRound4ScoringAverage",2006
27,27,"Ryuji Imada",NA,69.75,558,8,"FirstTeeLateRound4ScoringAverage",2006
28,28,"Vaughn Taylor",NA,69.78,628,9,"FirstTeeLateRound4ScoringAverage",2006
29,29,"Joey Sindelar",NA,69.8,349,5,"FirstTeeLateRound4ScoringAverage",2006
30,30,"Dudley Hart",NA,69.83,419,6,"FirstTeeLateRound4ScoringAverage",2006
31,31,"Jim Furyk",NA,69.89,1328,19,"FirstTeeLateRound4ScoringAverage",2006
32,32,"David Toms",NA,69.9,699,10,"FirstTeeLateRound4ScoringAverage",2006
33,33,"Luke Donald",NA,69.91,769,11,"FirstTeeLateRound4ScoringAverage",2006
34,34,"Carlos Franco",NA,70,210,3,"FirstTeeLateRound4ScoringAverage",2006
34,34,"Mathew Goggin",NA,70,280,4,"FirstTeeLateRound4ScoringAverage",2006
34,34,"Scott Gutschewski",NA,70,350,5,"FirstTeeLateRound4ScoringAverage",2006
34,34,"Bernhard Langer",NA,70,420,6,"FirstTeeLateRound4ScoringAverage",2006
34,34,"Larry Mize",NA,70,140,2,"FirstTeeLateRound4ScoringAverage",2006
34,34,"Tim Petrovic",NA,70,140,2,"FirstTeeLateRound4ScoringAverage",2006
34,34,"Brett Quigley",NA,70,1050,15,"FirstTeeLateRound4ScoringAverage",2006
34,34,"DJ Trahan",NA,70,350,5,"FirstTeeLateRound4ScoringAverage",2006
42,42,"Nick Watney",NA,70.1,701,10,"FirstTeeLateRound4ScoringAverage",2006
43,43,"Carl Pettersson",NA,70.13,561,8,"FirstTeeLateRound4ScoringAverage",2006
44,44,"Shane Bertsch",NA,70.14,491,7,"FirstTeeLateRound4ScoringAverage",2006
44,44,"Jonathan Byrd",NA,70.14,491,7,"FirstTeeLateRound4ScoringAverage",2006
46,46,"Corey Pavin",NA,70.2,351,5,"FirstTeeLateRound4ScoringAverage",2006
47,47,"Paul Azinger",NA,70.25,281,4,"FirstTeeLateRound4ScoringAverage",2006
47,47,"Paul Goydos",NA,70.25,281,4,"FirstTeeLateRound4ScoringAverage",2006
49,49,"Tom Pernice Jr",NA,70.27,773,11,"FirstTeeLateRound4ScoringAverage",2006
