"TenthTeeLateLowestRound_RANKTHISWEEK_2008","TenthTeeLateLowestRound_RANKLASTWEEK_2008","TenthTeeLateLowestRound_PLAYERNAME_2008","TenthTeeLateLowestRound_ROUNDS_2008","TenthTeeLateLowestRound_LOWRND_2008","stat_name","year"
1,1,"Kevin Stadler",90,61,"TenthTeeLateLowestRound",2008
1,1,"Roland Thatcher",41,61,"TenthTeeLateLowestRound",2008
3,3,"Tim Clark",90,62,"TenthTeeLateLowestRound",2008
3,3,"Gavin Coles",54,62,"TenthTeeLateLowestRound",2008
3,3,"Paul Goydos",78,62,"TenthTeeLateLowestRound",2008
3,3,"Marc Turnesa",87,62,"TenthTeeLateLowestRound",2008
7,7,"Brian Davis",108,63,"TenthTeeLateLowestRound",2008
7,7,"Ken Duke",116,63,"TenthTeeLateLowestRound",2008
7,7,"Bob Estes",90,63,"TenthTeeLateLowestRound",2008
7,7,"John Huston",56,63,"TenthTeeLateLowestRound",2008
7,7,"Dustin Johnson",92,63,"TenthTeeLateLowestRound",2008
7,7,"Matt Kuchar",88,63,"TenthTeeLateLowestRound",2008
7,7,"Doug LaBelle II",65,63,"TenthTeeLateLowestRound",2008
7,7,"John Mallinger",95,63,"TenthTeeLateLowestRound",2008
7,7,"Scott Sterling",89,63,"TenthTeeLateLowestRound",2008
7,7,"Johnson Wagner",83,63,"TenthTeeLateLowestRound",2008
17,17,"Tommy Armour III",77,64,"TenthTeeLateLowestRound",2008
17,17,"Briny Baird",113,64,"TenthTeeLateLowestRound",2008
17,17,"Olin Browne",77,64,"TenthTeeLateLowestRound",2008
17,17,"Jonathan Byrd",88,64,"TenthTeeLateLowestRound",2008
17,17,"Mark Calcavecchia",67,64,"TenthTeeLateLowestRound",2008
17,17,"Fred Couples",60,64,"TenthTeeLateLowestRound",2008
17,17,"Glen Day",64,64,"TenthTeeLateLowestRound",2008
17,17,"Mathias Gronberg",87,64,"TenthTeeLateLowestRound",2008
17,17,"Dudley Hart",74,64,"TenthTeeLateLowestRound",2008
17,17,"Jerry Kelly",89,64,"TenthTeeLateLowestRound",2008
17,17,"Peter Lonard",92,64,"TenthTeeLateLowestRound",2008
17,17,"Steve Lowery",74,64,"TenthTeeLateLowestRound",2008
17,17,"Hunter Mahan",87,64,"TenthTeeLateLowestRound",2008
17,17,"Billy Mayfair",103,64,"TenthTeeLateLowestRound",2008
17,17,"John Merrick",98,64,"TenthTeeLateLowestRound",2008
17,17,"Ryan Moore",72,64,"TenthTeeLateLowestRound",2008
