"BirdieAverage_RANKTHISWEEK_2006","BirdieAverage_RANKLASTWEEK_2006","BirdieAverage_PLAYERNAME_2006","BirdieAverage_ROUNDS_2006","BirdieAverage_AVG_2006","BirdieAverage_OFBIRDIES_2006","BirdieAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Tiger Woods",55,4.65,242,52,"BirdieAverage",2006
2,2,"Phil Mickelson",74,4.38,302,69,"BirdieAverage",2006
3,3,"Jonathan Byrd",66,4.24,280,66,"BirdieAverage",2006
4,4,"Daniel Chopra",110,4.07,435,107,"BirdieAverage",2006
5,5,"Jim Furyk",89,4.05,356,88,"BirdieAverage",2006
6,6,"Justin Rose",98,4.04,384,95,"BirdieAverage",2006
6,6,"Brett Wetterich",82,4.04,331,82,"BirdieAverage",2006
8,8,"Vaughn Taylor",88,4.03,355,88,"BirdieAverage",2006
9,9,"Lucas Glover",105,3.98,402,101,"BirdieAverage",2006
10,10,"JP Hayes",55,3.96,218,55,"BirdieAverage",2006
11,11,"Vijay Singh",103,3.94,394,100,"BirdieAverage",2006
12,12,"Charley Hoffman",100,3.92,384,98,"BirdieAverage",2006
12,12,"Steve Stricker",64,3.92,243,62,"BirdieAverage",2006
14,14,"Harrison Frazar",95,3.89,354,91,"BirdieAverage",2006
15,15,"Hunter Mahan",98,3.88,380,98,"BirdieAverage",2006
16,16,"Davis Love III",85,3.87,294,76,"BirdieAverage",2006
17,17,"David Toms",76,3.86,266,69,"BirdieAverage",2006
18,18,"Adam Scott",70,3.85,262,68,"BirdieAverage",2006
19,19,"Nick Watney",97,3.84,365,95,"BirdieAverage",2006
20,20,"Robert Garrigus",85,3.83,318,83,"BirdieAverage",2006
20,20,"Trevor Immelman",86,3.83,329,86,"BirdieAverage",2006
20,20,"Bo Van Pelt",102,3.83,391,102,"BirdieAverage",2006
23,23,"Sergio Garcia",59,3.82,210,55,"BirdieAverage",2006
23,23,"David Howell",52,3.82,172,45,"BirdieAverage",2006
25,25,"Briny Baird",81,3.77,290,77,"BirdieAverage",2006
25,25,"Ryan Palmer",101,3.77,373,99,"BirdieAverage",2006
27,27,"Tim Clark",80,3.76,297,79,"BirdieAverage",2006
27,27,"Chris Couch",75,3.76,282,75,"BirdieAverage",2006
27,27,"Ben Crane",85,3.76,301,80,"BirdieAverage",2006
27,27,"Frank Lickliter II",99,3.76,365,97,"BirdieAverage",2006
31,31,"Robert Allenby",79,3.74,288,77,"BirdieAverage",2006
