"Front9Par4ScoringAverage_RANKTHISWEEK_2008","Front9Par4ScoringAverage_RANKLASTWEEK_2008","Front9Par4ScoringAverage_PLAYERNAME_2008","Front9Par4ScoringAverage_ROUNDS_2008","Front9Par4ScoringAverage_AVG_2008","Front9Par4ScoringAverage_TOTALSTROKES_2008","Front9Par4ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"Steve Elkington",84,3.98,1821,458,"Front9Par4ScoringAverage",2008
2,2,"Justin Leonard",101,3.99,2117,531,"Front9Par4ScoringAverage",2008
3,3,"Ben Crane",86,4,1901,475,"Front9Par4ScoringAverage",2008
3,3,"Joe Durant",92,4,2010,503,"Front9Par4ScoringAverage",2008
3,3,"Sergio Garcia",72,4,1610,402,"Front9Par4ScoringAverage",2008
3,3,"Bill Haas",99,4,2165,541,"Front9Par4ScoringAverage",2008
3,3,"Phil Mickelson",80,4,1750,438,"Front9Par4ScoringAverage",2008
8,8,"Chad Campbell",94,4.01,2104,525,"Front9Par4ScoringAverage",2008
8,8,"Bob Estes",90,4.01,1966,490,"Front9Par4ScoringAverage",2008
8,8,"Jim Furyk",95,4.01,2094,522,"Front9Par4ScoringAverage",2008
8,8,"Brett Quigley",80,4.01,1724,430,"Front9Par4ScoringAverage",2008
8,8,"John Senden",93,4.01,2031,507,"Front9Par4ScoringAverage",2008
8,8,"Charlie Wi",97,4.01,2175,543,"Front9Par4ScoringAverage",2008
14,14,"Robert Allenby",108,4.02,2369,589,"Front9Par4ScoringAverage",2008
14,14,"Alejandro Canizares",52,4.02,1143,284,"Front9Par4ScoringAverage",2008
14,14,"Stewart Cink",87,4.02,1756,437,"Front9Par4ScoringAverage",2008
14,14,"Ben Curtis",80,4.02,1815,452,"Front9Par4ScoringAverage",2008
14,14,"Brian Gay",102,4.02,2288,569,"Front9Par4ScoringAverage",2008
14,14,"Tim Herron",97,4.02,2159,537,"Front9Par4ScoringAverage",2008
14,14,"Michael Letzig",88,4.02,1963,488,"Front9Par4ScoringAverage",2008
14,14,"Billy Mayfair",103,4.02,2325,579,"Front9Par4ScoringAverage",2008
14,14,"Kevin Na",97,4.02,2109,525,"Front9Par4ScoringAverage",2008
14,14,"Pat Perez",93,4.02,2068,514,"Front9Par4ScoringAverage",2008
14,14,"Kenny Perry",97,4.02,2170,540,"Front9Par4ScoringAverage",2008
14,14,"John Riegger",73,4.02,1589,395,"Front9Par4ScoringAverage",2008
14,14,"Kevin Streelman",114,4.02,2526,628,"Front9Par4ScoringAverage",2008
14,14,"Kevin Sutherland",98,4.02,2201,548,"Front9Par4ScoringAverage",2008
14,14,"David Toms",70,4.02,1534,382,"Front9Par4ScoringAverage",2008
14,14,"Mike Weir",88,4.02,1948,485,"Front9Par4ScoringAverage",2008
30,30,"Brad Adamonis",87,4.03,1922,477,"Front9Par4ScoringAverage",2008
30,30,"Stuart Appleby",87,4.03,1912,474,"Front9Par4ScoringAverage",2008
30,30,"Briny Baird",113,4.03,2500,621,"Front9Par4ScoringAverage",2008
30,30,"Hunter Mahan",87,4.03,1916,475,"Front9Par4ScoringAverage",2008
30,30,"Steve Marino",119,4.03,2672,663,"Front9Par4ScoringAverage",2008
30,30,"Joe Ogilvie",100,4.03,2215,549,"Front9Par4ScoringAverage",2008
30,30,"Bob Tway",70,4.03,1531,380,"Front9Par4ScoringAverage",2008
30,30,"Mark Wilson",107,4.03,2375,590,"Front9Par4ScoringAverage",2008
38,38,"KJ Choi",74,4.04,1600,396,"Front9Par4ScoringAverage",2008
38,38,"Tim Clark",90,4.04,2033,503,"Front9Par4ScoringAverage",2008
38,38,"Brian Davis",108,4.04,2385,590,"Front9Par4ScoringAverage",2008
38,38,"Glen Day",64,4.04,1434,355,"Front9Par4ScoringAverage",2008
38,38,"Mathew Goggin",91,4.04,2009,497,"Front9Par4ScoringAverage",2008
38,38,"Dudley Hart",74,4.04,1647,408,"Front9Par4ScoringAverage",2008
38,38,"Mark Hensby",71,4.04,1538,381,"Front9Par4ScoringAverage",2008
38,38,"Charley Hoffman",94,4.04,2083,516,"Front9Par4ScoringAverage",2008
38,38,"Freddie Jacobson",78,4.04,1770,438,"Front9Par4ScoringAverage",2008
38,38,"Brandt Jobe",52,4.04,1164,288,"Front9Par4ScoringAverage",2008
38,38,"Anthony Kim",81,4.04,1872,463,"Front9Par4ScoringAverage",2008
38,38,"Scott McCarron",63,4.04,1421,352,"Front9Par4ScoringAverage",2008
38,38,"Jeff Overton",103,4.04,2283,565,"Front9Par4ScoringAverage",2008
38,38,"Corey Pavin",69,4.04,1549,383,"Front9Par4ScoringAverage",2008
38,38,"Carl Pettersson",110,4.04,2462,610,"Front9Par4ScoringAverage",2008
38,38,"Chez Reavie",102,4.04,2286,566,"Front9Par4ScoringAverage",2008
38,38,"Patrick Sheehan",124,4.04,2744,680,"Front9Par4ScoringAverage",2008
38,38,"Vaughn Taylor",103,4.04,2306,571,"Front9Par4ScoringAverage",2008
38,38,"Bo Van Pelt",101,4.04,2216,549,"Front9Par4ScoringAverage",2008
38,38,"Scott Verplank",82,4.04,1836,455,"Front9Par4ScoringAverage",2008
38,38,"Tim Wilkinson",95,4.04,2058,509,"Front9Par4ScoringAverage",2008
59,59,"Michael Allen",91,4.05,1972,487,"Front9Par4ScoringAverage",2008
59,59,"Stephen Ames",83,4.05,1847,456,"Front9Par4ScoringAverage",2008
59,59,"Fred Couples",60,4.05,1304,322,"Front9Par4ScoringAverage",2008
59,59,"Jason Day",81,4.05,1784,441,"Front9Par4ScoringAverage",2008
59,59,"Nathan Green",95,4.05,2091,516,"Front9Par4ScoringAverage",2008
59,59,"Mathias Gronberg",87,4.05,1895,468,"Front9Par4ScoringAverage",2008
59,59,"JJ Henry",108,4.05,2403,594,"Front9Par4ScoringAverage",2008
59,59,"John Huston",56,4.05,1211,299,"Front9Par4ScoringAverage",2008
59,59,"Zach Johnson",85,4.05,1888,466,"Front9Par4ScoringAverage",2008
59,59,"Matt Jones",95,4.05,2081,514,"Front9Par4ScoringAverage",2008
59,59,"Jerry Kelly",89,4.05,1992,492,"Front9Par4ScoringAverage",2008
59,59,"Jeff Maggert",86,4.05,1889,466,"Front9Par4ScoringAverage",2008
59,59,"Parker McLachlin",88,4.05,1935,478,"Front9Par4ScoringAverage",2008
59,59,"Rocco Mediate",87,4.05,1962,485,"Front9Par4ScoringAverage",2008
59,59,"Nick OHern",82,4.05,1772,438,"Front9Par4ScoringAverage",2008
59,59,"Vijay Singh",82,4.05,1783,440,"Front9Par4ScoringAverage",2008
59,59,"Nicholas Thompson",113,4.05,2498,617,"Front9Par4ScoringAverage",2008
59,59,"DJ Trahan",94,4.05,2092,516,"Front9Par4ScoringAverage",2008
59,59,"Camilo Villegas",79,4.05,1788,442,"Front9Par4ScoringAverage",2008
59,59,"Nick Watney",96,4.05,2107,520,"Front9Par4ScoringAverage",2008
59,59,"Jay Williamson",96,4.05,2148,530,"Front9Par4ScoringAverage",2008
80,80,"Steve Allan",58,4.06,1291,318,"Front9Par4ScoringAverage",2008
80,80,"Aaron Baddeley",76,4.06,1638,403,"Front9Par4ScoringAverage",2008
80,80,"Cameron Beckman",87,4.06,1925,474,"Front9Par4ScoringAverage",2008
80,80,"Shane Bertsch",96,4.06,2133,526,"Front9Par4ScoringAverage",2008
80,80,"Jonathan Byrd",88,4.06,1873,461,"Front9Par4ScoringAverage",2008
80,80,"Mark Calcavecchia",67,4.06,1489,367,"Front9Par4ScoringAverage",2008
80,80,"Kenneth Ferrie",72,4.06,1559,384,"Front9Par4ScoringAverage",2008
80,80,"Nick Flanagan",89,4.06,1962,483,"Front9Par4ScoringAverage",2008
80,80,"Robert Garrigus",90,4.06,1975,487,"Front9Par4ScoringAverage",2008
80,80,"Jason Gore",94,4.06,2069,510,"Front9Par4ScoringAverage",2008
80,80,"Paul Goydos",78,4.06,1749,431,"Front9Par4ScoringAverage",2008
80,80,"Charles Howell III",101,4.06,2165,533,"Front9Par4ScoringAverage",2008
80,80,"Craig Kanada",65,4.06,1455,358,"Front9Par4ScoringAverage",2008
80,80,"Jim McGovern",75,4.06,1683,415,"Front9Par4ScoringAverage",2008
80,80,"John Merrick",98,4.06,2183,538,"Front9Par4ScoringAverage",2008
80,80,"Ryan Moore",72,4.06,1584,390,"Front9Par4ScoringAverage",2008
80,80,"Ryan Palmer",69,4.06,1529,377,"Front9Par4ScoringAverage",2008
80,80,"Rod Pampling",83,4.06,1788,440,"Front9Par4ScoringAverage",2008
80,80,"Tom Pernice Jr",104,4.06,2341,576,"Front9Par4ScoringAverage",2008
80,80,"Chris Riley",51,4.06,1117,275,"Front9Par4ScoringAverage",2008
80,80,"John Rollins",94,4.06,2081,512,"Front9Par4ScoringAverage",2008
80,80,"Brandt Snedeker",85,4.06,1891,466,"Front9Par4ScoringAverage",2008
80,80,"Scott Sterling",89,4.06,1960,483,"Front9Par4ScoringAverage",2008
80,80,"Steve Stricker",75,4.06,1657,408,"Front9Par4ScoringAverage",2008
80,80,"Bubba Watson",97,4.06,2187,539,"Front9Par4ScoringAverage",2008
105,105,"Tommy Armour III",77,4.07,1725,424,"Front9Par4ScoringAverage",2008
105,105,"Woody Austin",109,4.07,2342,575,"Front9Par4ScoringAverage",2008
105,105,"Rich Beem",90,4.07,2005,493,"Front9Par4ScoringAverage",2008
105,105,"Bart Bryant",81,4.07,1858,457,"Front9Par4ScoringAverage",2008
105,105,"Paul Casey",55,4.07,1196,294,"Front9Par4ScoringAverage",2008
105,105,"Daniel Chopra",84,4.07,1820,447,"Front9Par4ScoringAverage",2008
105,105,"Paul Claxton",63,4.07,1384,340,"Front9Par4ScoringAverage",2008
105,105,"Steve Flesch",95,4.07,2083,512,"Front9Par4ScoringAverage",2008
105,105,"Carlos Franco",73,4.07,1587,390,"Front9Par4ScoringAverage",2008
105,105,"Harrison Frazar",73,4.07,1617,397,"Front9Par4ScoringAverage",2008
105,105,"Padraig Harrington",52,4.07,1156,284,"Front9Par4ScoringAverage",2008
105,105,"Richard Johnson",60,4.07,1363,335,"Front9Par4ScoringAverage",2008
105,105,"Greg Kraft",63,4.07,1373,337,"Front9Par4ScoringAverage",2008
105,105,"Doug LaBelle II",65,4.07,1503,369,"Front9Par4ScoringAverage",2008
105,105,"Martin Laird",98,4.07,2181,536,"Front9Par4ScoringAverage",2008
105,105,"Frank Lickliter II",107,4.07,2370,583,"Front9Par4ScoringAverage",2008
105,105,"Davis Love III",78,4.07,1758,432,"Front9Par4ScoringAverage",2008
105,105,"Geoff Ogilvy",65,4.07,1440,354,"Front9Par4ScoringAverage",2008
105,105,"Heath Slocum",104,4.07,2335,574,"Front9Par4ScoringAverage",2008
105,105,"Kevin Stadler",90,4.07,1997,491,"Front9Par4ScoringAverage",2008
105,105,"Dean Wilson",109,4.07,2439,600,"Front9Par4ScoringAverage",2008
126,126,"Eric Axley",113,4.08,2538,622,"Front9Par4ScoringAverage",2008
126,126,"Olin Browne",77,4.08,1743,427,"Front9Par4ScoringAverage",2008
126,126,"Angel Cabrera",55,4.08,1163,285,"Front9Par4ScoringAverage",2008
126,126,"Ken Duke",116,4.08,2587,634,"Front9Par4ScoringAverage",2008
126,126,"Brad Elder",67,4.08,1489,365,"Front9Par4ScoringAverage",2008
126,126,"Ernie Els",51,4.08,1158,284,"Front9Par4ScoringAverage",2008
126,126,"Todd Hamilton",92,4.08,2071,508,"Front9Par4ScoringAverage",2008
126,126,"Ryuji Imada",80,4.08,1776,435,"Front9Par4ScoringAverage",2008
126,126,"Lee Janzen",89,4.08,1940,476,"Front9Par4ScoringAverage",2008
126,126,"Dustin Johnson",92,4.08,2045,501,"Front9Par4ScoringAverage",2008
126,126,"Matt Kuchar",88,4.08,1981,486,"Front9Par4ScoringAverage",2008
126,126,"John Mallinger",95,4.08,2145,526,"Front9Par4ScoringAverage",2008
126,126,"Sean OHair",81,4.08,1884,462,"Front9Par4ScoringAverage",2008
126,126,"Brenden Pappas",66,4.08,1461,358,"Front9Par4ScoringAverage",2008
126,126,"Tim Petrovic",97,4.08,2163,530,"Front9Par4ScoringAverage",2008
126,126,"Rory Sabbatini",77,4.08,1746,428,"Front9Par4ScoringAverage",2008
126,126,"Chris Stroud",81,4.08,1783,437,"Front9Par4ScoringAverage",2008
126,126,"Boo Weekley",86,4.08,1856,455,"Front9Par4ScoringAverage",2008
126,126,"YE Yang",89,4.08,1969,483,"Front9Par4ScoringAverage",2008
145,145,"Gavin Coles",54,4.09,1197,293,"Front9Par4ScoringAverage",2008
145,145,"Lucas Glover",91,4.09,2091,511,"Front9Par4ScoringAverage",2008
145,145,"Peter Lonard",92,4.09,2076,508,"Front9Par4ScoringAverage",2008
145,145,"Steve Lowery",74,4.09,1653,404,"Front9Par4ScoringAverage",2008
145,145,"George McNeill",97,4.09,2166,529,"Front9Par4ScoringAverage",2008
145,145,"Jon Mills",95,4.09,2128,520,"Front9Par4ScoringAverage",2008
145,145,"Jeff Quinney",87,4.09,1957,478,"Front9Par4ScoringAverage",2008
145,145,"Adam Scott",51,4.09,1132,277,"Front9Par4ScoringAverage",2008
154,154,"Billy Andrade",71,4.1,1577,385,"Front9Par4ScoringAverage",2008
154,154,"Ryan Armour",87,4.1,1917,468,"Front9Par4ScoringAverage",2008
154,154,"Todd Demsey",80,4.1,1786,436,"Front9Par4ScoringAverage",2008
154,154,"Jeff Gove",50,4.1,1132,276,"Front9Par4ScoringAverage",2008
154,154,"Trevor Immelman",70,4.1,1592,388,"Front9Par4ScoringAverage",2008
154,154,"Kent Jones",68,4.1,1504,367,"Front9Par4ScoringAverage",2008
154,154,"Ian Poulter",51,4.1,1131,276,"Front9Par4ScoringAverage",2008
154,154,"Bob Sowards",61,4.1,1366,333,"Front9Par4ScoringAverage",2008
154,154,"Omar Uresti",74,4.1,1632,398,"Front9Par4ScoringAverage",2008
163,163,"Jason Allred",63,4.11,1409,343,"Front9Par4ScoringAverage",2008
163,163,"Chris DiMarco",87,4.11,1942,473,"Front9Par4ScoringAverage",2008
163,163,"Retief Goosen",59,4.11,1349,328,"Front9Par4ScoringAverage",2008
163,163,"Cliff Kresge",84,4.11,1901,462,"Front9Par4ScoringAverage",2008
163,163,"Tom Lehman",51,4.11,1179,287,"Front9Par4ScoringAverage",2008
163,163,"David Lutterus",59,4.11,1332,324,"Front9Par4ScoringAverage",2008
163,163,"Troy Matteson",94,4.11,2088,508,"Front9Par4ScoringAverage",2008
163,163,"Tag Ridings",88,4.11,1972,480,"Front9Par4ScoringAverage",2008
163,163,"Andres Romero",69,4.11,1557,379,"Front9Par4ScoringAverage",2008
163,163,"Tom Scherrer",56,4.11,1218,296,"Front9Par4ScoringAverage",2008
163,163,"Marc Turnesa",87,4.11,1936,471,"Front9Par4ScoringAverage",2008
163,163,"Johnson Wagner",83,4.11,1853,451,"Front9Par4ScoringAverage",2008
163,163,"Jimmy Walker",73,4.11,1642,400,"Front9Par4ScoringAverage",2008
176,176,"Justin Bolli",87,4.12,1926,468,"Front9Par4ScoringAverage",2008
176,176,"Tommy Gainey",60,4.12,1344,326,"Front9Par4ScoringAverage",2008
176,176,"JP Hayes",67,4.12,1521,369,"Front9Par4ScoringAverage",2008
176,176,"Shigeki Maruyama",50,4.12,1128,274,"Front9Par4ScoringAverage",2008
