"ScramblingfromtheSand_RANKTHISWEEK_2015","ScramblingfromtheSand_RANKLASTWEEK_2015","ScramblingfromtheSand_PLAYERNAME_2015","ScramblingfromtheSand_ROUNDS_2015","ScramblingfromtheSand_Pct_2015","ScramblingfromtheSand_SUCCESSES_2015","ScramblingfromtheSand_ATTEMPTS_2015","stat_name","year"
1,1,"Jason Day",75,72.41,42,58,"ScramblingfromtheSand",2015
2,2,"Chris Kirk",76,69.41,59,85,"ScramblingfromtheSand",2015
3,3,"Tyrone Van Aswegen",58,68,34,50,"ScramblingfromtheSand",2015
4,4,"Matt Kuchar",97,67.82,59,87,"ScramblingfromtheSand",2015
5,5,"Chad Collins",79,66.28,57,86,"ScramblingfromtheSand",2015
6,6,"Luke Donald",71,65.71,46,70,"ScramblingfromtheSand",2015
6,6,"Will Wilcox",58,65.71,23,35,"ScramblingfromtheSand",2015
8,8,"Louis Oosthuizen",68,65.38,34,52,"ScramblingfromtheSand",2015
9,9,"Zac Blair",108,64.96,76,117,"ScramblingfromtheSand",2015
10,10,"Justin Rose",69,64.91,37,57,"ScramblingfromtheSand",2015
11,11,"David Toms",62,64.47,49,76,"ScramblingfromtheSand",2015
12,12,"Webb Simpson",81,64.38,47,73,"ScramblingfromtheSand",2015
13,13,"SJ Park",79,64.36,65,101,"ScramblingfromtheSand",2015
14,14,"Steven Bowditch",103,64.22,70,109,"ScramblingfromtheSand",2015
14,14,"Brandt Snedeker",98,64.22,70,109,"ScramblingfromtheSand",2015
16,16,"KJ Choi",66,64.18,43,67,"ScramblingfromtheSand",2015
17,17,"Jonathan Byrd",69,64,48,75,"ScramblingfromtheSand",2015
18,18,"Brendon Todd",96,63.92,62,97,"ScramblingfromtheSand",2015
19,19,"Lee Westwood",56,63.83,30,47,"ScramblingfromtheSand",2015
20,20,"Danny Lee",120,63.79,74,116,"ScramblingfromtheSand",2015
21,21,"Jordan Spieth",91,63.41,52,82,"ScramblingfromtheSand",2015
22,22,"Kevin Na",98,62.14,64,103,"ScramblingfromtheSand",2015
23,23,"Jamie Donaldson",50,61.36,27,44,"ScramblingfromtheSand",2015
24,24,"Phil Mickelson",70,60.87,56,92,"ScramblingfromtheSand",2015
25,25,"Carlos Ortiz",100,60.64,57,94,"ScramblingfromtheSand",2015
26,26,"Scott Langley",94,60.55,66,109,"ScramblingfromtheSand",2015
27,27,"Aaron Baddeley",76,60.23,53,88,"ScramblingfromtheSand",2015
28,28,"Sean OHair",86,60.19,62,103,"ScramblingfromtheSand",2015
29,29,"Padraig Harrington",60,60,45,75,"ScramblingfromtheSand",2015
29,29,"Michael Putnam",87,60,42,70,"ScramblingfromtheSand",2015
31,31,"Zach Johnson",90,59.79,58,97,"ScramblingfromtheSand",2015
32,32,"Brian Harman",90,59.18,58,98,"ScramblingfromtheSand",2015
33,33,"George McNeill",93,58.89,53,90,"ScramblingfromtheSand",2015
34,34,"Heath Slocum",57,58.73,37,63,"ScramblingfromtheSand",2015
34,34,"Bubba Watson",71,58.73,37,63,"ScramblingfromtheSand",2015
36,36,"Bill Lunde",50,58.7,27,46,"ScramblingfromtheSand",2015
37,37,"Rory Sabbatini",81,58.67,44,75,"ScramblingfromtheSand",2015
38,38,"Kyle Reifers",96,58.33,70,120,"ScramblingfromtheSand",2015
39,39,"Colt Knost",90,58.02,47,81,"ScramblingfromtheSand",2015
39,39,"John Peterson",84,58.02,47,81,"ScramblingfromtheSand",2015
41,41,"Jonas Blixt",78,57.89,44,76,"ScramblingfromtheSand",2015
41,41,"Jonathan Randolph",72,57.89,44,76,"ScramblingfromtheSand",2015
43,43,"Jhonattan Vegas",90,57.53,42,73,"ScramblingfromtheSand",2015
44,44,"Mark Hubbard",79,57.47,50,87,"ScramblingfromtheSand",2015
45,45,"Cameron Tringale",96,57.43,58,101,"ScramblingfromtheSand",2015
46,46,"Rickie Fowler",76,57.35,39,68,"ScramblingfromtheSand",2015
47,47,"Ryan Moore",81,57.33,43,75,"ScramblingfromtheSand",2015
47,47,"Brendan Steele",88,57.33,43,75,"ScramblingfromtheSand",2015
49,49,"Sam Saunders",83,57.29,55,96,"ScramblingfromtheSand",2015
50,50,"Robert Streb",110,57.14,60,105,"ScramblingfromtheSand",2015
51,51,"Brian Davis",86,56.41,66,117,"ScramblingfromtheSand",2015
52,52,"Hunter Mahan",88,56.12,55,98,"ScramblingfromtheSand",2015
53,53,"Jon Curran",83,55.88,57,102,"ScramblingfromtheSand",2015
54,54,"Chesson Hadley",101,55.86,62,111,"ScramblingfromtheSand",2015
55,55,"Billy Hurley III",83,55.56,40,72,"ScramblingfromtheSand",2015
56,56,"Mark Wilson",89,55.42,46,83,"ScramblingfromtheSand",2015
57,57,"James Hahn",94,55.32,52,94,"ScramblingfromtheSand",2015
58,58,"Jimmy Walker",89,55.17,48,87,"ScramblingfromtheSand",2015
59,59,"Eric Axley",57,54.93,39,71,"ScramblingfromtheSand",2015
60,60,"Seung Yul Noh",65,54.84,34,62,"ScramblingfromtheSand",2015
60,60,"Carl Pettersson",106,54.84,68,124,"ScramblingfromtheSand",2015
62,62,"Chris Stroud",84,54.76,46,84,"ScramblingfromtheSand",2015
63,63,"Greg Owen",58,54.72,29,53,"ScramblingfromtheSand",2015
64,64,"Sangmoon Bae",98,54.69,70,128,"ScramblingfromtheSand",2015
65,65,"Ian Poulter",68,54.55,42,77,"ScramblingfromtheSand",2015
65,65,"Nick Watney",91,54.55,48,88,"ScramblingfromtheSand",2015
67,67,"Charley Hoffman",97,54.46,61,112,"ScramblingfromtheSand",2015
68,68,"Keegan Bradley",87,54.43,43,79,"ScramblingfromtheSand",2015
68,68,"Matt Every",73,54.43,43,79,"ScramblingfromtheSand",2015
70,70,"Greg Chalmers",58,54.24,32,59,"ScramblingfromtheSand",2015
71,71,"John Huh",102,54.23,77,142,"ScramblingfromtheSand",2015
72,72,"Martin Laird",77,54.22,45,83,"ScramblingfromtheSand",2015
73,73,"Martin Flores",95,54.17,52,96,"ScramblingfromtheSand",2015
74,74,"Daniel Berger",97,54.02,47,87,"ScramblingfromtheSand",2015
75,75,"Henrik Stenson",63,53.85,21,39,"ScramblingfromtheSand",2015
75,75,"Kevin Streelman",95,53.85,42,78,"ScramblingfromtheSand",2015
77,77,"Ben Crane",62,53.66,44,82,"ScramblingfromtheSand",2015
78,78,"Pat Perez",96,53.61,52,97,"ScramblingfromtheSand",2015
79,79,"Jason Gore",76,53.52,38,71,"ScramblingfromtheSand",2015
80,80,"DA Points",72,53.45,31,58,"ScramblingfromtheSand",2015
81,81,"Patrick Reed",103,53.41,47,88,"ScramblingfromtheSand",2015
82,82,"Chad Campbell",97,53.33,48,90,"ScramblingfromtheSand",2015
83,83,"William McGirt",103,53.21,58,109,"ScramblingfromtheSand",2015
84,84,"Roberto Castro",54,53.19,25,47,"ScramblingfromtheSand",2015
85,85,"Adam Hadwin",95,53.04,61,115,"ScramblingfromtheSand",2015
86,86,"Bryce Molder",91,52.83,56,106,"ScramblingfromtheSand",2015
86,86,"Francesco Molinari",56,52.83,28,53,"ScramblingfromtheSand",2015
88,88,"Steve Wheatcroft",87,52.73,58,110,"ScramblingfromtheSand",2015
89,89,"Ryo Ishikawa",90,52.7,39,74,"ScramblingfromtheSand",2015
89,89,"John Senden",80,52.7,39,74,"ScramblingfromtheSand",2015
91,91,"Ken Duke",93,52.38,55,105,"ScramblingfromtheSand",2015
91,91,"Daniel Summerhays",101,52.38,55,105,"ScramblingfromtheSand",2015
93,93,"Vijay Singh",78,52.17,48,92,"ScramblingfromtheSand",2015
94,94,"Tim Wilkinson",73,52.13,49,94,"ScramblingfromtheSand",2015
95,95,"Scott Brown",97,52.08,50,96,"ScramblingfromtheSand",2015
96,96,"Steven Alker",62,52.05,38,73,"ScramblingfromtheSand",2015
97,97,"Andres Gonzales",90,52,39,75,"ScramblingfromtheSand",2015
98,98,"Jerry Kelly",79,51.76,44,85,"ScramblingfromtheSand",2015
99,99,"Alex Cejka",94,51.72,45,87,"ScramblingfromtheSand",2015
99,99,"Luke Guthrie",84,51.72,45,87,"ScramblingfromtheSand",2015
101,101,"Stewart Cink",77,51.67,31,60,"ScramblingfromtheSand",2015
102,102,"Graham DeLaet",65,51.56,33,64,"ScramblingfromtheSand",2015
103,103,"Nick Taylor",91,51.49,52,101,"ScramblingfromtheSand",2015
104,104,"Jim Herman",88,51.28,40,78,"ScramblingfromtheSand",2015
105,105,"Geoff Ogilvy",50,51.22,21,41,"ScramblingfromtheSand",2015
106,106,"Ernie Els",57,51.16,22,43,"ScramblingfromtheSand",2015
107,107,"Derek Fathauer",81,51.11,46,90,"ScramblingfromtheSand",2015
107,107,"Russell Henley",87,51.11,46,90,"ScramblingfromtheSand",2015
109,109,"Erik Compton",86,51.06,48,94,"ScramblingfromtheSand",2015
110,110,"Gary Woodland",81,50.91,28,55,"ScramblingfromtheSand",2015
111,111,"Tom Hoge",83,50.72,35,69,"ScramblingfromtheSand",2015
112,112,"Brice Garnett",81,50.7,36,71,"ScramblingfromtheSand",2015
113,113,"Ben Martin",93,50.59,43,85,"ScramblingfromtheSand",2015
113,113,"Scott Pinckney",88,50.59,43,85,"ScramblingfromtheSand",2015
113,113,"Andrew Putnam",68,50.59,43,85,"ScramblingfromtheSand",2015
116,116,"Shawn Stefani",94,50.52,49,97,"ScramblingfromtheSand",2015
117,117,"David Lingmerth",90,50.51,50,99,"ScramblingfromtheSand",2015
118,118,"Brian Stuard",97,50.46,55,109,"ScramblingfromtheSand",2015
119,119,"Ricky Barnes",82,50,41,82,"ScramblingfromtheSand",2015
119,119,"JB Holmes",89,50,37,74,"ScramblingfromtheSand",2015
119,119,"Scott Stallings",60,50,27,54,"ScramblingfromtheSand",2015
122,122,"Michael Thompson",83,49.54,54,109,"ScramblingfromtheSand",2015
123,123,"Jeff Overton",94,49.53,53,107,"ScramblingfromtheSand",2015
124,124,"Matt Jones",89,49.52,52,105,"ScramblingfromtheSand",2015
125,125,"Brooks Koepka",84,49.32,36,73,"ScramblingfromtheSand",2015
126,126,"Bill Haas",89,49.28,34,69,"ScramblingfromtheSand",2015
127,127,"Cameron Percy",72,49.25,33,67,"ScramblingfromtheSand",2015
128,128,"Troy Merritt",91,49.04,51,104,"ScramblingfromtheSand",2015
129,129,"Jason Kokrak",88,48.98,48,98,"ScramblingfromtheSand",2015
130,130,"Roger Sloan",56,48.89,22,45,"ScramblingfromtheSand",2015
131,131,"Jason Bohn",95,48.54,50,103,"ScramblingfromtheSand",2015
132,132,"Lucas Glover",79,48.1,38,79,"ScramblingfromtheSand",2015
133,133,"Charl Schwartzel",67,48.08,25,52,"ScramblingfromtheSand",2015
134,134,"Harris English",105,48.04,49,102,"ScramblingfromtheSand",2015
135,135,"Retief Goosen",81,47.89,34,71,"ScramblingfromtheSand",2015
136,136,"Marc Leishman",74,47.83,33,69,"ScramblingfromtheSand",2015
137,137,"Byron Smith",59,47.73,21,44,"ScramblingfromtheSand",2015
138,138,"Sergio Garcia",59,47.5,19,40,"ScramblingfromtheSand",2015
138,138,"Bo Van Pelt",81,47.5,38,80,"ScramblingfromtheSand",2015
138,138,"Boo Weekley",79,47.5,38,80,"ScramblingfromtheSand",2015
141,141,"Hideki Matsuyama",95,47.22,34,72,"ScramblingfromtheSand",2015
142,142,"Kevin Kisner",104,47.06,48,102,"ScramblingfromtheSand",2015
142,142,"Justin Leonard",61,47.06,32,68,"ScramblingfromtheSand",2015
144,144,"Billy Horschel",99,46.97,31,66,"ScramblingfromtheSand",2015
145,145,"Kevin Chappell",86,46.94,46,98,"ScramblingfromtheSand",2015
146,146,"Angel Cabrera",53,46.88,30,64,"ScramblingfromtheSand",2015
147,147,"Jim Furyk",71,46.67,21,45,"ScramblingfromtheSand",2015
148,148,"Justin Thomas",106,46.51,40,86,"ScramblingfromtheSand",2015
149,149,"Ryan Palmer",80,46.48,33,71,"ScramblingfromtheSand",2015
150,150,"Tony Finau",106,46.39,45,97,"ScramblingfromtheSand",2015
151,151,"Whee Kim",71,46.38,32,69,"ScramblingfromtheSand",2015
151,151,"John Merrick",78,46.38,32,69,"ScramblingfromtheSand",2015
151,151,"Patrick Rodgers",57,46.38,32,69,"ScramblingfromtheSand",2015
154,154,"Blayne Barber",76,46.15,30,65,"ScramblingfromtheSand",2015
154,154,"Brendon de Jonge",106,46.15,48,104,"ScramblingfromtheSand",2015
