"Puttingfrom515_RANKTHISWEEK_2005","Puttingfrom515_RANKLASTWEEK_2005","Puttingfrom515_PLAYERNAME_2005","Puttingfrom515_ROUNDS_2005","Puttingfrom515_PctMADE_2005","Puttingfrom515_ATTEMPTS_2005","Puttingfrom515_PUTTSMADE_2005","stat_name","year"
1,1,"Ben Crane",78,57.3,445,255,"Puttingfrom515",2005
2,2,"Len Mattiace",86,55.89,569,318,"Puttingfrom515",2005
3,3,"Rory Sabbatini",81,54.15,458,248,"Puttingfrom515",2005
4,4,"JP Hayes",63,53.7,378,203,"Puttingfrom515",2005
5,5,"Jose Maria Olazabal",55,53.31,287,153,"Puttingfrom515",2005
6,6,"Aaron Baddeley",84,53.27,535,285,"Puttingfrom515",2005
7,7,"Arjun Atwal",65,53.14,446,237,"Puttingfrom515",2005
8,8,"Tag Ridings",93,52.02,619,322,"Puttingfrom515",2005
9,9,"Larry Mize",54,51.85,351,182,"Puttingfrom515",2005
10,10,"David Toms",87,51.78,477,247,"Puttingfrom515",2005
11,11,"Brad Faxon",75,51.72,437,226,"Puttingfrom515",2005
12,12,"Stephen Ames",82,51.42,422,217,"Puttingfrom515",2005
13,13,"Brian Gay",101,51.26,636,326,"Puttingfrom515",2005
13,13,"Steve Stricker",62,51.26,435,223,"Puttingfrom515",2005
15,15,"Joe Ogilvie",103,51.15,608,311,"Puttingfrom515",2005
16,16,"Luke Donald",67,51.14,264,135,"Puttingfrom515",2005
17,17,"Kirk Triplett",55,51.1,319,163,"Puttingfrom515",2005
18,18,"Charlie Wi",67,51.05,478,244,"Puttingfrom515",2005
19,19,"Paul Azinger",66,51.03,435,222,"Puttingfrom515",2005
20,20,"Jim Furyk",94,50.95,528,269,"Puttingfrom515",2005
21,21,"Bart Bryant",91,50.9,556,283,"Puttingfrom515",2005
21,21,"Jose Coceres",56,50.9,389,198,"Puttingfrom515",2005
23,23,"Bob Tway",87,50.88,454,231,"Puttingfrom515",2005
24,24,"Mark OMeara",66,50.8,374,190,"Puttingfrom515",2005
25,25,"Kent Jones",99,50.7,643,326,"Puttingfrom515",2005
25,25,"Ian Poulter",62,50.7,284,144,"Puttingfrom515",2005
27,27,"Dudley Hart",84,50.69,507,257,"Puttingfrom515",2005
28,28,"Scott Gutschewski",86,50.67,525,266,"Puttingfrom515",2005
29,29,"JL Lewis",98,50.57,611,309,"Puttingfrom515",2005
30,30,"Matt Davidson",53,50.53,380,192,"Puttingfrom515",2005
30,30,"Bo Van Pelt",112,50.53,661,334,"Puttingfrom515",2005
32,32,"Darron Stiles",78,50.48,523,264,"Puttingfrom515",2005
