"SmashFactor_RANKTHISWEEK_2016","SmashFactor_RANKLASTWEEK_2016","SmashFactor_PLAYERNAME_2016","SmashFactor_ROUNDS_2016","SmashFactor_AVG_2016","SmashFactor_TOTALSMASHFACTOR_2016","SmashFactor_TOTALATTEMPTS_2016","SmashFactor_HIGHESTVALUE_2016","SmashFactor_LOWESTVALUE_2016","stat_name","year"
1,2,"Shane Bertsch",30,1.515,25.757,17,1.523,1.509,"SmashFactor",2016
1,2,"Carl Pettersson",31,1.515,45.437,30,1.537,1.489,"SmashFactor",2016
1,1,"Brian Stuard",24,1.515,28.787,19,1.525,1.507,"SmashFactor",2016
4,4,"DJ Trahan",23,1.513,16.641,11,1.524,1.486,"SmashFactor",2016
5,5,"Blayne Barber",44,1.512,68.032,45,1.529,1.474,"SmashFactor",2016
5,5,"Derek Fathauer",58,1.512,80.136,53,1.525,1.476,"SmashFactor",2016
5,5,"Jason Kokrak",52,1.512,61.993,41,1.521,1.492,"SmashFactor",2016
5,5,"Ryan Palmer",46,1.512,77.092,51,1.521,1.476,"SmashFactor",2016
5,5,"Vaughn Taylor",30,1.512,52.927,35,1.528,1.477,"SmashFactor",2016
10,10,"Harris English",51,1.511,58.93,39,1.526,1.484,"SmashFactor",2016
11,11,"Brice Garnett",29,1.51,24.154,16,1.531,1.472,"SmashFactor",2016
11,11,"Andrew Landry",24,1.51,13.59,9,1.521,1.484,"SmashFactor",2016
11,11,"David Toms",38,1.51,66.442,44,1.538,1.444,"SmashFactor",2016
11,11,"Jimmy Walker",43,1.51,54.367,36,1.521,1.473,"SmashFactor",2016
15,15,"Robert Garrigus",34,1.509,37.713,25,1.524,1.448,"SmashFactor",2016
16,15,"Justin Leonard",28,1.508,42.214,28,1.52,1.485,"SmashFactor",2016
16,15,"Scott Stallings",46,1.508,66.344,44,1.531,1.483,"SmashFactor",2016
18,19,"Jamie Donaldson",28,1.507,43.692,29,1.526,1.472,"SmashFactor",2016
18,18,"Nick Taylor",57,1.507,69.317,46,1.529,1.443,"SmashFactor",2016
20,19,"Ernie Els",34,1.506,55.723,37,1.519,1.443,"SmashFactor",2016
20,19,"Luke Guthrie",31,1.506,33.139,22,1.527,1.485,"SmashFactor",2016
20,19,"Martin Laird",46,1.506,54.206,36,1.525,1.463,"SmashFactor",2016
20,19,"Shane Lowry",35,1.506,40.649,27,1.517,1.474,"SmashFactor",2016
20,19,"Bubba Watson",30,1.506,27.102,18,1.527,1.463,"SmashFactor",2016
25,28,"Byeong Hun An",23,1.505,25.593,17,1.521,1.477,"SmashFactor",2016
25,28,"Chesson Hadley",51,1.505,75.227,50,1.525,1.441,"SmashFactor",2016
25,28,"Hideki Matsuyama",40,1.505,48.157,32,1.523,1.475,"SmashFactor",2016
25,25,"Louis Oosthuizen",25,1.505,27.098,18,1.528,1.458,"SmashFactor",2016
25,31,"Martin Piller",37,1.505,40.644,27,1.527,1.455,"SmashFactor",2016
25,25,"Jordan Spieth",34,1.505,37.637,25,1.522,1.477,"SmashFactor",2016
31,31,"Phil Mickelson",37,1.504,42.106,28,1.518,1.472,"SmashFactor",2016
31,25,"DA Points",32,1.504,30.077,20,1.525,1.464,"SmashFactor",2016
31,31,"Brett Stegmaier",57,1.504,84.196,56,1.528,1.432,"SmashFactor",2016
34,34,"Adam Scott",39,1.503,40.592,27,1.519,1.458,"SmashFactor",2016
34,34,"Camilo Villegas",50,1.503,72.133,48,1.523,1.432,"SmashFactor",2016
36,34,"Ben Crane",48,1.502,67.592,45,1.522,1.463,"SmashFactor",2016
36,34,"Ken Duke",26,1.502,46.559,31,1.536,1.441,"SmashFactor",2016
38,38,"Robert Allenby",35,1.501,39.015,26,1.53,1.422,"SmashFactor",2016
38,38,"Padraig Harrington",38,1.501,55.535,37,1.519,1.447,"SmashFactor",2016
38,38,"John Huh",51,1.501,72.056,48,1.52,1.424,"SmashFactor",2016
38,38,"Sean OHair",45,1.501,64.545,43,1.528,1.428,"SmashFactor",2016
38,38,"Scott Piercy",45,1.501,48.021,32,1.52,1.46,"SmashFactor",2016
43,45,"Justin Hicks",26,1.5,47.985,32,1.52,1.36,"SmashFactor",2016
43,45,"Jeff Overton",51,1.5,85.478,57,1.528,1.437,"SmashFactor",2016
45,45,"Jason Day",36,1.499,44.972,30,1.522,1.454,"SmashFactor",2016
45,45,"Sung Kang",51,1.499,68.933,46,1.538,1.448,"SmashFactor",2016
45,52,"Danny Lee",53,1.499,65.965,44,1.531,1.445,"SmashFactor",2016
45,45,"Lucas Lee",22,1.499,26.977,18,1.533,1.46,"SmashFactor",2016
45,57,"Carlos Ortiz",47,1.499,65.947,44,1.526,1.443,"SmashFactor",2016
45,45,"Darron Stiles",28,1.499,25.491,17,1.516,1.443,"SmashFactor",2016
45,45,"Steve Stricker",25,1.499,38.977,26,1.526,1.467,"SmashFactor",2016
52,57,"Bronson Burgoon",53,1.498,55.415,37,1.524,1.469,"SmashFactor",2016
52,52,"Jim Herman",55,1.498,65.915,44,1.516,1.464,"SmashFactor",2016
52,66,"JB Holmes",39,1.498,47.922,32,1.516,1.432,"SmashFactor",2016
52,52,"Kevin Kisner",49,1.498,58.437,39,1.524,1.451,"SmashFactor",2016
52,52,"Cameron Percy",22,1.498,23.966,16,1.528,1.465,"SmashFactor",2016
52,52,"Wes Roach",33,1.498,32.955,22,1.524,1.426,"SmashFactor",2016
58,57,"JJ Henry",44,1.497,62.881,42,1.522,1.401,"SmashFactor",2016
58,57,"Billy Horschel",45,1.497,65.884,44,1.525,1.442,"SmashFactor",2016
58,57,"Charles Howell III",63,1.497,88.333,59,1.524,1.45,"SmashFactor",2016
58,57,"Zach Johnson",42,1.497,55.407,37,1.517,1.459,"SmashFactor",2016
58,57,"Chris Kirk",51,1.497,71.832,48,1.524,1.45,"SmashFactor",2016
58,57,"Ryan Moore",40,1.497,46.407,31,1.513,1.473,"SmashFactor",2016
58,66,"Kyle Reifers",63,1.497,85.318,57,1.528,1.443,"SmashFactor",2016
58,66,"Tyrone Van Aswegen",67,1.497,77.828,52,1.521,1.442,"SmashFactor",2016
66,57,"Scott Brown",59,1.496,77.806,52,1.533,1.464,"SmashFactor",2016
66,66,"KJ Choi",47,1.496,71.806,48,1.533,1.44,"SmashFactor",2016
66,66,"Andres Gonzales",46,1.496,56.851,38,1.528,1.436,"SmashFactor",2016
66,66,"Branden Grace",31,1.496,34.41,23,1.525,1.435,"SmashFactor",2016
66,66,"Justin Thomas",53,1.496,71.822,48,1.524,1.469,"SmashFactor",2016
66,44,"Tim Wilkinson",40,1.496,31.407,21,1.524,1.456,"SmashFactor",2016
72,73,"Tyler Aldridge",53,1.495,62.791,42,1.525,1.434,"SmashFactor",2016
72,73,"Matt Kuchar",46,1.495,61.314,41,1.523,1.414,"SmashFactor",2016
74,77,"Jonas Blixt",46,1.494,65.72,44,1.527,1.445,"SmashFactor",2016
74,82,"Rory McIlroy",37,1.494,37.34,25,1.516,1.419,"SmashFactor",2016
74,75,"Seung Yul Noh",54,1.494,74.682,50,1.525,1.429,"SmashFactor",2016
74,75,"Michael Thompson",46,1.494,47.817,32,1.518,1.461,"SmashFactor",2016
78,88,"Stuart Appleby",39,1.493,65.675,44,1.531,1.433,"SmashFactor",2016
78,77,"Marc Leishman",41,1.493,49.283,33,1.521,1.399,"SmashFactor",2016
78,77,"David Lingmerth",54,1.493,71.659,48,1.52,1.455,"SmashFactor",2016
78,77,"Ian Poulter",37,1.493,43.305,29,1.528,1.443,"SmashFactor",2016
82,82,"Chad Campbell",54,1.492,76.103,51,1.522,1.43,"SmashFactor",2016
82,88,"Luke Donald",49,1.492,58.203,39,1.522,1.418,"SmashFactor",2016
82,82,"Russell Henley",42,1.492,65.657,44,1.523,1.464,"SmashFactor",2016
82,77,"Anirban Lahiri",44,1.492,49.239,33,1.516,1.452,"SmashFactor",2016
82,82,"Chez Reavie",56,1.492,74.578,50,1.518,1.444,"SmashFactor",2016
87,82,"Patton Kizzire",57,1.491,74.566,50,1.528,1.446,"SmashFactor",2016
