"CarryDistance_RANKTHISWEEK_2015","CarryDistance_RANKLASTWEEK_2015","CarryDistance_PLAYERNAME_2015","CarryDistance_ROUNDS_2015","CarryDistance_AVG_2015","CarryDistance_TOTALDISTTOIMPACT_2015","CarryDistance_TOTALATTEMPTS_2015","CarryDistance_LONGESTCARRYDISTANCE_2015","CarryDistance_SHORTESTCARRYDISTANCE_2015","stat_name","year"
1,1,"Dustin Johnson",75,305.7,11005.1,36,337.2,263,"CarryDistance",2015
2,2,"Jason Day",75,303.5,16084,53,332.5,258.4,"CarryDistance",2015
3,3,"Tony Finau",106,302.7,21491,71,343.1,267.1,"CarryDistance",2015
4,4,"Bubba Watson",71,301.8,13882.4,46,334.7,278.5,"CarryDistance",2015
5,5,"JB Holmes",89,301.6,16588.5,55,339.6,263.7,"CarryDistance",2015
6,6,"Jason Kokrak",88,298.8,21814.7,73,339.1,256,"CarryDistance",2015
7,7,"Patrick Rodgers",57,298.7,11350.7,38,318.6,270.8,"CarryDistance",2015
8,8,"Justin Thomas",106,297.7,24708.1,83,328.6,262.2,"CarryDistance",2015
9,9,"Charlie Beljan",76,297.1,14260.1,48,323.8,269,"CarryDistance",2015
10,10,"Aaron Baddeley",76,295.7,8576.3,29,311.8,266,"CarryDistance",2015
11,11,"Brooks Koepka",84,295.5,18323.2,62,321.7,249.2,"CarryDistance",2015
11,11,"Adam Scott",51,295.5,7092.3,24,314.8,263.1,"CarryDistance",2015
13,13,"Robert Garrigus",70,294.8,10316.4,35,333.9,254.9,"CarryDistance",2015
14,14,"Daniel Berger",97,293.8,14104.6,48,319.3,256.6,"CarryDistance",2015
15,15,"Hudson Swafford",97,293.2,19935.4,68,321.5,248.8,"CarryDistance",2015
16,16,"Harris English",105,292.6,22528.9,77,323.9,257.1,"CarryDistance",2015
16,16,"Brendan Steele",88,292.6,22533.4,77,314.8,252.4,"CarryDistance",2015
18,18,"Keegan Bradley",87,292.5,19015.6,65,319.2,259.7,"CarryDistance",2015
18,18,"Gary Woodland",81,292.5,13747.5,47,335.8,249.1,"CarryDistance",2015
20,20,"Graham DeLaet",65,292.4,13160.2,45,318.1,271.8,"CarryDistance",2015
21,21,"Ryan Palmer",80,292.1,16067.6,55,328.3,265.2,"CarryDistance",2015
22,22,"Justin Rose",69,291.9,12842.8,44,317.1,270.3,"CarryDistance",2015
23,23,"Jhonattan Vegas",90,291,16879.7,58,317.7,260.2,"CarryDistance",2015
24,24,"Angel Cabrera",53,290.7,11918.2,41,325.5,255.5,"CarryDistance",2015
25,25,"Scott Piercy",90,290.6,21503.8,74,326.5,256.8,"CarryDistance",2015
26,26,"Charley Hoffman",97,290.3,20033.4,69,334.9,254.9,"CarryDistance",2015
27,27,"Martin Laird",77,289.8,15070.9,52,320.9,248.8,"CarryDistance",2015
28,28,"Rickie Fowler",76,289.6,13901.7,48,331.2,252,"CarryDistance",2015
28,28,"Carlos Ortiz",100,289.6,22299.8,77,326.1,245.2,"CarryDistance",2015
30,30,"Phil Mickelson",70,289.5,13028.2,45,328.4,245.9,"CarryDistance",2015
31,31,"Kevin Chappell",86,289,13871.4,48,311.2,250.7,"CarryDistance",2015
32,32,"Jimmy Walker",89,288.6,14720.1,51,313.4,255.2,"CarryDistance",2015
33,33,"Seung Yul Noh",65,288.5,13558.1,47,315.8,255.9,"CarryDistance",2015
34,34,"Alex Prugh",84,287.2,19817.6,69,318.2,255.6,"CarryDistance",2015
35,35,"Charles Howell III",105,287.1,24404.8,85,318.3,247.1,"CarryDistance",2015
36,36,"Steven Bowditch",103,286.7,22363,78,326,248.9,"CarryDistance",2015
37,37,"Martin Flores",95,286.6,22927.2,80,315.4,225.5,"CarryDistance",2015
38,38,"Retief Goosen",81,286.1,17451.2,61,322.1,229.2,"CarryDistance",2015
39,39,"Sean OHair",86,285.9,15727.1,55,308.9,239.9,"CarryDistance",2015
40,40,"Scott Stallings",60,285.6,12853.1,45,334.6,255.3,"CarryDistance",2015
41,41,"Andres Gonzales",90,285.3,20543.6,72,315.3,250.7,"CarryDistance",2015
42,42,"James Hahn",94,285.2,17109.5,60,318.8,255.5,"CarryDistance",2015
43,43,"Morgan Hoffmann",85,284.9,19370,68,309.2,251.3,"CarryDistance",2015
44,44,"Sergio Garcia",59,284.6,10247.1,36,310.5,253.5,"CarryDistance",2015
45,45,"Andres Romero",69,284.5,11094.3,39,309.6,252.7,"CarryDistance",2015
45,45,"Shawn Stefani",94,284.5,22759.7,80,309.8,247.1,"CarryDistance",2015
