"BogeyAverage_RANKTHISWEEK_2015","BogeyAverage_RANKLASTWEEK_2015","BogeyAverage_PLAYERNAME_2015","BogeyAverage_EVENTS_2015","BogeyAverage_AVERAGEBOGEYSPERROUND_2015","BogeyAverage_TOTALBOGEYS_2015","BogeyAverage_ROUNDSPLAYED_2015","stat_name","year"
1,1,"Jason Day",20,1.86,134,72,"BogeyAverage",2015
2,2,"Will Wilcox",17,2.04,110,54,"BogeyAverage",2015
3,3,"John Peterson",25,2.06,173,84,"BogeyAverage",2015
4,4,"Jordan Spieth",25,2.08,183,88,"BogeyAverage",2015
5,5,"Justin Rose",20,2.17,143,66,"BogeyAverage",2015
6,6,"Jason Bohn",27,2.18,207,95,"BogeyAverage",2015
7,7,"Justin Thomas",30,2.2,233,106,"BogeyAverage",2015
8,8,"Chad Collins",24,2.24,177,79,"BogeyAverage",2015
8,8,"Billy Hurley III",28,2.24,177,79,"BogeyAverage",2015
8,8,"Zach Johnson",25,2.24,195,87,"BogeyAverage",2015
8,8,"Greg Owen",19,2.24,130,58,"BogeyAverage",2015
8,8,"Tyrone Van Aswegen",20,2.24,121,54,"BogeyAverage",2015
13,13,"Hideki Matsuyama",25,2.25,205,91,"BogeyAverage",2015
14,14,"Harris English",29,2.27,232,102,"BogeyAverage",2015
14,14,"Jim Herman",27,2.27,200,88,"BogeyAverage",2015
14,14,"William McGirt",30,2.27,234,103,"BogeyAverage",2015
14,14,"Henrik Stenson",16,2.27,136,60,"BogeyAverage",2015
18,18,"Rickie Fowler",21,2.29,165,72,"BogeyAverage",2015
19,19,"Russell Knox",28,2.3,221,96,"BogeyAverage",2015
19,19,"Bryce Molder",26,2.3,200,87,"BogeyAverage",2015
21,21,"Jim Furyk",19,2.31,148,64,"BogeyAverage",2015
21,21,"Matt Kuchar",25,2.31,217,94,"BogeyAverage",2015
23,23,"Zac Blair",34,2.32,241,104,"BogeyAverage",2015
24,24,"Bill Haas",25,2.33,200,86,"BogeyAverage",2015
25,25,"Stewart Cink",23,2.34,180,77,"BogeyAverage",2015
26,26,"Steven Bowditch",32,2.35,242,103,"BogeyAverage",2015
26,26,"Brendon Todd",27,2.35,219,93,"BogeyAverage",2015
28,28,"Kevin Kisner",30,2.36,245,104,"BogeyAverage",2015
29,29,"Paul Casey",24,2.37,194,82,"BogeyAverage",2015
29,29,"Rory Sabbatini",25,2.37,192,81,"BogeyAverage",2015
29,29,"Kevin Streelman",27,2.37,216,91,"BogeyAverage",2015
32,32,"Jon Curran",28,2.38,188,79,"BogeyAverage",2015
32,32,"Pat Perez",26,2.38,228,96,"BogeyAverage",2015
32,32,"Brendan Steele",24,2.38,200,84,"BogeyAverage",2015
35,35,"Luke Donald",20,2.39,170,71,"BogeyAverage",2015
35,35,"Russell Henley",24,2.39,201,84,"BogeyAverage",2015
37,37,"Adam Hadwin",30,2.4,223,93,"BogeyAverage",2015
37,37,"Brian Harman",29,2.4,216,90,"BogeyAverage",2015
37,37,"Dustin Johnson",21,2.4,173,72,"BogeyAverage",2015
37,37,"Brooks Koepka",23,2.4,194,81,"BogeyAverage",2015
37,37,"Francesco Molinari",16,2.4,127,53,"BogeyAverage",2015
37,37,"SJ Park",27,2.4,185,77,"BogeyAverage",2015
37,37,"Ian Poulter",19,2.4,156,65,"BogeyAverage",2015
37,37,"Robert Streb",30,2.4,264,110,"BogeyAverage",2015
45,45,"Webb Simpson",22,2.41,188,78,"BogeyAverage",2015
45,45,"David Toms",21,2.41,140,58,"BogeyAverage",2015
45,45,"Bubba Watson",19,2.41,164,68,"BogeyAverage",2015
48,48,"Jonathan Byrd",22,2.42,157,65,"BogeyAverage",2015
48,48,"Graham DeLaet",22,2.42,157,65,"BogeyAverage",2015
48,48,"Michael Putnam",28,2.42,206,85,"BogeyAverage",2015
51,51,"Billy Horschel",28,2.43,233,96,"BogeyAverage",2015
51,51,"Brandt Snedeker",27,2.43,231,95,"BogeyAverage",2015
53,53,"Daniel Berger",31,2.44,237,97,"BogeyAverage",2015
53,53,"Spencer Levin",31,2.44,237,97,"BogeyAverage",2015
53,53,"Kevin Na",27,2.44,232,95,"BogeyAverage",2015
56,56,"Aaron Baddeley",25,2.45,181,74,"BogeyAverage",2015
57,57,"Martin Flores",30,2.46,224,91,"BogeyAverage",2015
57,57,"Sergio Garcia",15,2.46,138,56,"BogeyAverage",2015
57,57,"Troy Merritt",29,2.46,224,91,"BogeyAverage",2015
57,57,"Shawn Stefani",26,2.46,231,94,"BogeyAverage",2015
61,61,"John Huh",31,2.47,249,101,"BogeyAverage",2015
61,61,"Jerry Kelly",24,2.47,195,79,"BogeyAverage",2015
61,61,"Colt Knost",29,2.47,212,86,"BogeyAverage",2015
61,61,"Jonathan Randolph",25,2.47,173,70,"BogeyAverage",2015
65,65,"Steven Alker",22,2.48,149,60,"BogeyAverage",2015
65,65,"KJ Choi",19,2.48,154,62,"BogeyAverage",2015
65,65,"Mark Hubbard",25,2.48,191,77,"BogeyAverage",2015
65,65,"Martin Laird",24,2.48,191,77,"BogeyAverage",2015
65,65,"Mark Wilson",28,2.48,211,85,"BogeyAverage",2015
70,70,"Alex Cejka",30,2.49,229,92,"BogeyAverage",2015
70,70,"Johnson Wagner",23,2.49,169,68,"BogeyAverage",2015
72,72,"Eric Axley",21,2.51,138,55,"BogeyAverage",2015
72,72,"Brendon de Jonge",31,2.51,266,106,"BogeyAverage",2015
72,72,"Chris Kirk",21,2.51,183,73,"BogeyAverage",2015
72,72,"Danny Lee",36,2.51,301,120,"BogeyAverage",2015
72,72,"Louis Oosthuizen",20,2.51,158,63,"BogeyAverage",2015
72,72,"Hudson Swafford",30,2.51,238,95,"BogeyAverage",2015
72,72,"Steve Wheatcroft",28,2.51,208,83,"BogeyAverage",2015
79,79,"Jhonattan Vegas",27,2.52,217,86,"BogeyAverage",2015
80,80,"Blayne Barber",26,2.53,187,74,"BogeyAverage",2015
80,80,"Scott Brown",30,2.53,245,97,"BogeyAverage",2015
82,82,"Chad Campbell",30,2.54,246,97,"BogeyAverage",2015
82,82,"Carl Pettersson",32,2.54,269,106,"BogeyAverage",2015
84,84,"Tony Finau",31,2.55,270,106,"BogeyAverage",2015
84,84,"Andres Gonzales",28,2.55,219,86,"BogeyAverage",2015
84,84,"Ryan Moore",24,2.55,199,78,"BogeyAverage",2015
87,87,"Charles Howell III",30,2.56,269,105,"BogeyAverage",2015
87,87,"George McNeill",27,2.56,238,93,"BogeyAverage",2015
87,87,"Ryan Palmer",22,2.56,197,77,"BogeyAverage",2015
90,90,"Chesson Hadley",30,2.57,260,101,"BogeyAverage",2015
90,90,"Whee Kim",23,2.57,177,69,"BogeyAverage",2015
90,90,"David Lingmerth",28,2.57,231,90,"BogeyAverage",2015
90,90,"Jeff Overton",30,2.57,236,92,"BogeyAverage",2015
94,94,"Tom Hoge",26,2.58,204,79,"BogeyAverage",2015
94,94,"Patrick Reed",27,2.58,258,100,"BogeyAverage",2015
96,96,"David Hearn",30,2.59,251,97,"BogeyAverage",2015
96,96,"Charley Hoffman",28,2.59,243,94,"BogeyAverage",2015
96,96,"Alex Prugh",27,2.59,207,80,"BogeyAverage",2015
96,96,"Gary Woodland",24,2.59,192,74,"BogeyAverage",2015
100,100,"Patrick Rodgers",17,2.6,138,53,"BogeyAverage",2015
100,100,"Vijay Singh",23,2.6,203,78,"BogeyAverage",2015
102,102,"Sangmoon Bae",30,2.61,256,98,"BogeyAverage",2015
102,102,"Brian Stuard",31,2.61,243,93,"BogeyAverage",2015
104,104,"Kevin Chappell",26,2.62,225,86,"BogeyAverage",2015
104,104,"JJ Henry",30,2.62,236,90,"BogeyAverage",2015
104,104,"Max Homa",27,2.62,194,74,"BogeyAverage",2015
104,104,"Kyle Reifers",31,2.62,241,92,"BogeyAverage",2015
108,108,"Jason Kokrak",28,2.63,231,88,"BogeyAverage",2015
108,108,"Hunter Mahan",24,2.63,221,84,"BogeyAverage",2015
108,108,"Chris Stroud",28,2.63,221,84,"BogeyAverage",2015
111,111,"Ricky Barnes",27,2.64,206,78,"BogeyAverage",2015
111,111,"Jamie Donaldson",16,2.64,124,47,"BogeyAverage",2015
111,111,"Justin Leonard",22,2.64,161,61,"BogeyAverage",2015
111,111,"Sean OHair",26,2.64,227,86,"BogeyAverage",2015
111,111,"Chez Reavie",19,2.64,148,56,"BogeyAverage",2015
