"StrokeDifferentialFieldAverage_RANKTHISWEEK_2008","StrokeDifferentialFieldAverage_RANKLASTWEEK_2008","StrokeDifferentialFieldAverage_PLAYERNAME_2008","StrokeDifferentialFieldAverage_ROUNDS_2008","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2008","StrokeDifferentialFieldAverage_PLAYERSSCORE_2008","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2008","stat_name","year"
151,151,"Frank Lickliter II",107,-0.22,71.22,71,"StrokeDifferentialFieldAverage",2008
152,152,"Scott McCarron",63,-0.23,71.22,70.99,"StrokeDifferentialFieldAverage",2008
153,153,"Eric Axley",113,-0.25,71.31,71.06,"StrokeDifferentialFieldAverage",2008
153,153,"Chris DiMarco",87,-0.25,71.7,71.45,"StrokeDifferentialFieldAverage",2008
155,155,"Jay Williamson",96,-0.27,71.52,71.25,"StrokeDifferentialFieldAverage",2008
156,156,"YE Yang",89,-0.3,71.53,71.23,"StrokeDifferentialFieldAverage",2008
157,157,"Steve Allan",58,-0.36,71.4,71.04,"StrokeDifferentialFieldAverage",2008
158,158,"James Driscoll",85,-0.4,71.6,71.2,"StrokeDifferentialFieldAverage",2008
159,159,"Kenneth Ferrie",72,-0.41,71.81,71.4,"StrokeDifferentialFieldAverage",2008
160,160,"Jeff Gove",50,-0.42,71.54,71.12,"StrokeDifferentialFieldAverage",2008
160,160,"Jimmy Walker",73,-0.42,71.45,71.03,"StrokeDifferentialFieldAverage",2008
162,162,"Mathias Gronberg",87,-0.45,71.68,71.23,"StrokeDifferentialFieldAverage",2008
162,162,"Shigeki Maruyama",50,-0.45,71.78,71.33,"StrokeDifferentialFieldAverage",2008
162,162,"Jon Mills",95,-0.45,71.62,71.17,"StrokeDifferentialFieldAverage",2008
165,165,"Chad Collins",72,-0.48,71.43,70.95,"StrokeDifferentialFieldAverage",2008
165,165,"Harrison Frazar",73,-0.48,71.48,71,"StrokeDifferentialFieldAverage",2008
165,165,"Steve Lowery",74,-0.48,71.96,71.48,"StrokeDifferentialFieldAverage",2008
168,168,"Ted Purdy",68,-0.49,71.71,71.22,"StrokeDifferentialFieldAverage",2008
169,169,"Brad Elder",67,-0.5,71.25,70.75,"StrokeDifferentialFieldAverage",2008
169,169,"Chris Stroud",81,-0.5,71.54,71.04,"StrokeDifferentialFieldAverage",2008
171,171,"Todd Demsey",80,-0.52,71.24,70.72,"StrokeDifferentialFieldAverage",2008
172,172,"Robert Gamez",79,-0.58,71.7,71.12,"StrokeDifferentialFieldAverage",2008
173,173,"Tom Scherrer",56,-0.59,71.64,71.05,"StrokeDifferentialFieldAverage",2008
174,174,"Ryan Armour",87,-0.61,71.78,71.17,"StrokeDifferentialFieldAverage",2008
175,175,"Stephen Leaney",53,-0.65,72.23,71.58,"StrokeDifferentialFieldAverage",2008
176,176,"Olin Browne",77,-0.68,71.81,71.13,"StrokeDifferentialFieldAverage",2008
176,176,"Jin Park",85,-0.68,72.07,71.39,"StrokeDifferentialFieldAverage",2008
178,178,"Nick Flanagan",89,-0.69,71.63,70.94,"StrokeDifferentialFieldAverage",2008
179,179,"Will Ma Kenzie",62,-0.72,71.63,70.91,"StrokeDifferentialFieldAverage",2008
180,180,"Mark Hensby",71,-0.73,71.85,71.12,"StrokeDifferentialFieldAverage",2008
181,181,"Jim McGovern",75,-0.75,71.44,70.69,"StrokeDifferentialFieldAverage",2008
183,183,"Justin Bolli",87,-0.81,72,71.19,"StrokeDifferentialFieldAverage",2008
183,183,"Charles Warren",79,-0.81,72.08,71.27,"StrokeDifferentialFieldAverage",2008
185,185,"Ron Whittaker",54,-0.82,71.7,70.88,"StrokeDifferentialFieldAverage",2008
186,186,"JP Hayes",67,-0.83,72.09,71.26,"StrokeDifferentialFieldAverage",2008
187,187,"Bob Sowards",61,-0.86,71.79,70.93,"StrokeDifferentialFieldAverage",2008
188,188,"Paul Claxton",63,-0.91,71.78,70.87,"StrokeDifferentialFieldAverage",2008
189,189,"Billy Andrade",71,-0.92,72.15,71.23,"StrokeDifferentialFieldAverage",2008
190,190,"Tommy Gainey",60,-0.93,71.95,71.02,"StrokeDifferentialFieldAverage",2008
191,191,"Brett Rumford",72,-0.94,71.89,70.95,"StrokeDifferentialFieldAverage",2008
192,192,"Jason Allred",63,-1.28,72.08,70.8,"StrokeDifferentialFieldAverage",2008
193,193,"Kyle Thompson",70,-1.34,72.4,71.06,"StrokeDifferentialFieldAverage",2008
194,194,"David Lutterus",59,-1.4,72.39,70.99,"StrokeDifferentialFieldAverage",2008
195,195,"Cody Freeman",66,-1.41,72.52,71.11,"StrokeDifferentialFieldAverage",2008
196,196,"Travis Perkins",53,-1.55,73.13,71.58,"StrokeDifferentialFieldAverage",2008
197,197,"David Duval",51,-1.84,73.73,71.89,"StrokeDifferentialFieldAverage",2008
