"YTDParorBetterStreak_RANKTHISWEEK_2006","YTDParorBetterStreak_RANKLASTWEEK_2006","YTDParorBetterStreak_PLAYERNAME_2006","YTDParorBetterStreak__2006","YTDParorBetterStreak_NUMBEROFROUNDS_2006","stat_name","year"
1,1,"Stephen Leaney",NA,21,"YTDParorBetterStreak",2006
2,2,"Trevor Immelman",NA,20,"YTDParorBetterStreak",2006
3,3,"John Rollins",NA,19,"YTDParorBetterStreak",2006
4,4,"Alex Cejka",NA,18,"YTDParorBetterStreak",2006
4,4,"Jim Furyk",NA,18,"YTDParorBetterStreak",2006
4,4,"Lucas Glover",NA,18,"YTDParorBetterStreak",2006
7,7,"Joe Durant",NA,17,"YTDParorBetterStreak",2006
7,7,"Harrison Frazar",NA,17,"YTDParorBetterStreak",2006
7,7,"Nathan Green",NA,17,"YTDParorBetterStreak",2006
7,7,"Troy Matteson",NA,17,"YTDParorBetterStreak",2006
7,7,"Tiger Woods",NA,17,"YTDParorBetterStreak",2006
12,12,"Donnie Hammond",NA,16,"YTDParorBetterStreak",2006
12,12,"Steve Stricker",NA,16,"YTDParorBetterStreak",2006
12,12,"Kevin Sutherland",NA,16,"YTDParorBetterStreak",2006
12,12,"Scott Verplank",NA,16,"YTDParorBetterStreak",2006
16,16,"Woody Austin",NA,15,"YTDParorBetterStreak",2006
16,16,"Olin Browne",NA,15,"YTDParorBetterStreak",2006
16,16,"Brian Gay",NA,15,"YTDParorBetterStreak",2006
16,16,"Bo Van Pelt",NA,15,"YTDParorBetterStreak",2006
20,20,"Brian Bateman",NA,14,"YTDParorBetterStreak",2006
20,20,"Jonathan Byrd",NA,14,"YTDParorBetterStreak",2006
20,20,"Chad Campbell",NA,14,"YTDParorBetterStreak",2006
20,20,"Chris DiMarco",NA,14,"YTDParorBetterStreak",2006
20,20,"Wayne Levi",NA,14,"YTDParorBetterStreak",2006
20,20,"Phil Mickelson",NA,14,"YTDParorBetterStreak",2006
20,20,"Greg Owen",NA,14,"YTDParorBetterStreak",2006
20,20,"Bubba Watson",NA,14,"YTDParorBetterStreak",2006
28,28,"Eric Axley",NA,13,"YTDParorBetterStreak",2006
28,28,"Jason Bohn",NA,13,"YTDParorBetterStreak",2006
28,28,"Bob Estes",NA,13,"YTDParorBetterStreak",2006
28,28,"Scott Gutschewski",NA,13,"YTDParorBetterStreak",2006
28,28,"Lee Janzen",NA,13,"YTDParorBetterStreak",2006
28,28,"Joe Ogilvie",NA,13,"YTDParorBetterStreak",2006
28,28,"Corey Pavin",NA,13,"YTDParorBetterStreak",2006
28,28,"DJ Trahan",NA,13,"YTDParorBetterStreak",2006
28,28,"Charles Warren",NA,13,"YTDParorBetterStreak",2006
37,37,"Michael Allen",NA,12,"YTDParorBetterStreak",2006
