"BirdieorBetterPercentageFairway_RANKTHISWEEK_2014","BirdieorBetterPercentageFairway_RANKLASTWEEK_2014","BirdieorBetterPercentageFairway_PLAYERNAME_2014","BirdieorBetterPercentageFairway_ROUNDS_2014","BirdieorBetterPercentageFairway_Pct_2014","BirdieorBetterPercentageFairway_TOTALBIRDIES_2014","BirdieorBetterPercentageFairway_TOTALHOLES_2014","stat_name","year"
1,1,"Rory McIlroy",66,28.79,173,601,"BirdieorBetterPercentageFairway",2014
2,2,"Adam Scott",68,27.14,200,737,"BirdieorBetterPercentageFairway",2014
3,3,"Paul Casey",56,25.9,151,583,"BirdieorBetterPercentageFairway",2014
4,4,"Dustin Johnson",58,25.78,132,512,"BirdieorBetterPercentageFairway",2014
5,5,"Robert Garrigus",80,25.24,233,923,"BirdieorBetterPercentageFairway",2014
6,6,"Webb Simpson",87,25.08,242,965,"BirdieorBetterPercentageFairway",2014
7,7,"Jimmy Walker",98,25.06,210,838,"BirdieorBetterPercentageFairway",2014
8,8,"Hideki Matsuyama",82,24.79,204,823,"BirdieorBetterPercentageFairway",2014
9,9,"Charl Schwartzel",64,24.67,168,681,"BirdieorBetterPercentageFairway",2014
10,10,"Matt Kuchar",91,24.59,256,1041,"BirdieorBetterPercentageFairway",2014
11,11,"Ryo Ishikawa",75,24.52,180,734,"BirdieorBetterPercentageFairway",2014
12,12,"Jordan Spieth",102,24.15,235,973,"BirdieorBetterPercentageFairway",2014
13,13,"Jason Dufner",57,24.11,135,560,"BirdieorBetterPercentageFairway",2014
14,14,"Jason Day",54,24.03,99,412,"BirdieorBetterPercentageFairway",2014
15,15,"Bubba Watson",76,23.95,171,714,"BirdieorBetterPercentageFairway",2014
16,16,"Rickie Fowler",91,23.9,191,799,"BirdieorBetterPercentageFairway",2014
17,17,"Kevin Streelman",79,23.82,196,823,"BirdieorBetterPercentageFairway",2014
18,18,"Brooks Koepka",56,23.8,124,521,"BirdieorBetterPercentageFairway",2014
19,19,"Ryan Moore",86,23.78,209,879,"BirdieorBetterPercentageFairway",2014
20,20,"Kevin Chappell",100,23.72,282,1189,"BirdieorBetterPercentageFairway",2014
21,21,"Ryan Palmer",85,23.54,197,837,"BirdieorBetterPercentageFairway",2014
22,22,"Kevin Stadler",90,23.4,201,859,"BirdieorBetterPercentageFairway",2014
23,23,"Chris Kirk",105,23.39,266,1137,"BirdieorBetterPercentageFairway",2014
24,24,"Morgan Hoffmann",103,23.37,254,1087,"BirdieorBetterPercentageFairway",2014
