"Front9ScoringAverage_RANKTHISWEEK_2007","Front9ScoringAverage_RANKLASTWEEK_2007","Front9ScoringAverage_PLAYERNAME_2007","Front9ScoringAverage_ROUNDS_2007","Front9ScoringAverage_AVG_2007","Front9ScoringAverage_TOTALSTROKES_2007","Front9ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Tiger Woods",63,34.37,2062,60,"Front9ScoringAverage",2007
2,2,"Heath Slocum",101,34.81,3516,101,"Front9ScoringAverage",2007
3,3,"Steve Stricker",81,34.83,2786,80,"Front9ScoringAverage",2007
4,4,"Vijay Singh",102,34.88,3488,100,"Front9ScoringAverage",2007
4,4,"Bo Van Pelt",104,34.88,3627,104,"Front9ScoringAverage",2007
6,6,"Rory Sabbatini",81,34.94,2760,79,"Front9ScoringAverage",2007
7,7,"Jeff Overton",60,34.98,2099,60,"Front9ScoringAverage",2007
8,8,"Kenny Perry",83,35.02,2907,83,"Front9ScoringAverage",2007
9,9,"Briny Baird",115,35.09,4035,115,"Front9ScoringAverage",2007
10,10,"Freddie Jacobson",70,35.1,2457,70,"Front9ScoringAverage",2007
10,10,"Scott Verplank",82,35.1,2843,81,"Front9ScoringAverage",2007
12,12,"Billy Mayfair",98,35.11,3441,98,"Front9ScoringAverage",2007
12,12,"Jesper Parnevik",88,35.11,3090,88,"Front9ScoringAverage",2007
14,14,"Jim Furyk",84,35.12,2880,82,"Front9ScoringAverage",2007
15,15,"Tim Clark",66,35.13,2248,64,"Front9ScoringAverage",2007
15,15,"Geoff Ogilvy",84,35.13,2740,78,"Front9ScoringAverage",2007
15,15,"Brandt Snedeker",105,35.13,3689,105,"Front9ScoringAverage",2007
18,18,"Jonathan Byrd",73,35.14,2565,73,"Front9ScoringAverage",2007
18,18,"Alex Cejka",80,35.14,2811,80,"Front9ScoringAverage",2007
20,20,"Justin Rose",63,35.15,2074,59,"Front9ScoringAverage",2007
21,21,"Phil Mickelson",73,35.17,2497,71,"Front9ScoringAverage",2007
22,22,"Sergio Garcia",68,35.18,2322,66,"Front9ScoringAverage",2007
23,23,"Anthony Kim",93,35.19,3273,93,"Front9ScoringAverage",2007
23,23,"Kevin Na",84,35.19,2956,84,"Front9ScoringAverage",2007
25,25,"KJ Choi",87,35.2,2992,85,"Front9ScoringAverage",2007
26,26,"Ernie Els",59,35.22,2043,58,"Front9ScoringAverage",2007
27,27,"Lucas Glover",98,35.23,3417,97,"Front9ScoringAverage",2007
28,28,"Rod Pampling",92,35.24,3172,90,"Front9ScoringAverage",2007
29,29,"Ken Duke",112,35.26,3949,112,"Front9ScoringAverage",2007
29,29,"Bill Haas",93,35.26,3279,93,"Front9ScoringAverage",2007
29,29,"Charlie Wi",90,35.26,3173,90,"Front9ScoringAverage",2007
32,32,"Aaron Baddeley",83,35.28,2822,80,"Front9ScoringAverage",2007
32,32,"Nathan Green",103,35.28,3634,103,"Front9ScoringAverage",2007
34,34,"Rocco Mediate",72,35.29,2541,72,"Front9ScoringAverage",2007
34,34,"Michael Sim",52,35.29,1835,52,"Front9ScoringAverage",2007
36,36,"Andrew Buckle",77,35.3,2718,77,"Front9ScoringAverage",2007
37,37,"Sean OHair",98,35.31,3460,98,"Front9ScoringAverage",2007
37,37,"Chris Riley",59,35.31,2083,59,"Front9ScoringAverage",2007
39,39,"Matt Kuchar",85,35.32,3002,85,"Front9ScoringAverage",2007
39,39,"John Merrick",92,35.32,3249,92,"Front9ScoringAverage",2007
41,41,"Stewart Cink",91,35.34,3110,88,"Front9ScoringAverage",2007
42,42,"Robert Allenby",90,35.35,3146,89,"Front9ScoringAverage",2007
42,42,"Jarrod Lyle",77,35.35,2722,77,"Front9ScoringAverage",2007
42,42,"Tim Petrovic",106,35.35,3747,106,"Front9ScoringAverage",2007
45,45,"Zach Johnson",76,35.37,2653,75,"Front9ScoringAverage",2007
46,46,"Bart Bryant",87,35.38,3043,86,"Front9ScoringAverage",2007
46,46,"Pat Perez",84,35.38,2972,84,"Front9ScoringAverage",2007
46,46,"Vaughn Taylor",91,35.38,3220,91,"Front9ScoringAverage",2007
49,49,"John Senden",97,35.39,3433,97,"Front9ScoringAverage",2007
50,50,"Cameron Beckman",96,35.4,3398,96,"Front9ScoringAverage",2007
50,50,"Tripp Isenhour",86,35.4,3044,86,"Front9ScoringAverage",2007
50,50,"Jay Williamson",50,35.4,1770,50,"Front9ScoringAverage",2007
53,53,"Stephen Ames",81,35.41,2691,76,"Front9ScoringAverage",2007
53,53,"Brian Davis",101,35.41,3576,101,"Front9ScoringAverage",2007
53,53,"George McNeill",95,35.41,3364,95,"Front9ScoringAverage",2007
56,56,"Cliff Kresge",107,35.42,3790,107,"Front9ScoringAverage",2007
57,57,"Nick OHern",72,35.43,2409,68,"Front9ScoringAverage",2007
58,58,"Woody Austin",95,35.46,3369,95,"Front9ScoringAverage",2007
58,58,"Jason Bohn",57,35.46,2021,57,"Front9ScoringAverage",2007
58,58,"Tag Ridings",52,35.46,1844,52,"Front9ScoringAverage",2007
61,61,"Tim Herron",98,35.47,3476,98,"Front9ScoringAverage",2007
61,61,"David Toms",80,35.47,2731,77,"Front9ScoringAverage",2007
63,63,"Steve Allan",63,35.48,2235,63,"Front9ScoringAverage",2007
63,63,"Jose Coceres",50,35.48,1774,50,"Front9ScoringAverage",2007
63,63,"Mathew Goggin",97,35.48,3442,97,"Front9ScoringAverage",2007
63,63,"Hunter Mahan",91,35.48,3229,91,"Front9ScoringAverage",2007
63,63,"John Mallinger",96,35.48,3406,96,"Front9ScoringAverage",2007
63,63,"Steve Marino",106,35.48,3761,106,"Front9ScoringAverage",2007
69,69,"Steve Elkington",87,35.49,3088,87,"Front9ScoringAverage",2007
69,69,"Brian Gay",107,35.49,3797,107,"Front9ScoringAverage",2007
69,69,"Mark Hensby",81,35.49,2875,81,"Front9ScoringAverage",2007
69,69,"Will Ma Kenzie",100,35.49,3549,100,"Front9ScoringAverage",2007
69,69,"Tom Pernice Jr",104,35.49,3691,104,"Front9ScoringAverage",2007
69,69,"DJ Trahan",99,35.49,3514,99,"Front9ScoringAverage",2007
69,69,"Mark Wilson",87,35.49,3088,87,"Front9ScoringAverage",2007
76,76,"Daniel Chopra",106,35.5,3763,106,"Front9ScoringAverage",2007
77,77,"Ryuji Imada",104,35.51,3693,104,"Front9ScoringAverage",2007
77,77,"Ted Purdy",102,35.51,3622,102,"Front9ScoringAverage",2007
77,77,"Adam Scott",69,35.51,2415,68,"Front9ScoringAverage",2007
77,77,"Kevin Sutherland",85,35.51,3018,85,"Front9ScoringAverage",2007
81,81,"Peter Lonard",85,35.52,3019,85,"Front9ScoringAverage",2007
81,81,"Carl Pettersson",111,35.52,3907,110,"Front9ScoringAverage",2007
81,81,"Charles Warren",101,35.52,3588,101,"Front9ScoringAverage",2007
84,84,"Steve Lowery",74,35.53,2629,74,"Front9ScoringAverage",2007
84,84,"Daisuke Maruyama",86,35.53,3056,86,"Front9ScoringAverage",2007
86,86,"Robert Garrigus",95,35.54,3376,95,"Front9ScoringAverage",2007
86,86,"Parker McLachlin",83,35.54,2950,83,"Front9ScoringAverage",2007
88,88,"JJ Henry",86,35.55,3022,85,"Front9ScoringAverage",2007
88,88,"Jerry Kelly",101,35.55,3591,101,"Front9ScoringAverage",2007
90,90,"Jeff Gove",103,35.56,3663,103,"Front9ScoringAverage",2007
91,91,"Michael Allen",74,35.58,2633,74,"Front9ScoringAverage",2007
91,91,"Bob Estes",88,35.58,3131,88,"Front9ScoringAverage",2007
91,91,"Padraig Harrington",64,35.58,2206,62,"Front9ScoringAverage",2007
91,91,"Bob Heintz",85,35.58,3024,85,"Front9ScoringAverage",2007
91,91,"Johnson Wagner",97,35.58,3451,97,"Front9ScoringAverage",2007
96,96,"Chris Stroud",66,35.59,2349,66,"Front9ScoringAverage",2007
97,97,"Mark Calcavecchia",93,35.6,3311,93,"Front9ScoringAverage",2007
97,97,"Troy Matteson",87,35.6,3097,87,"Front9ScoringAverage",2007
99,99,"Craig Kanada",109,35.61,3881,109,"Front9ScoringAverage",2007
99,99,"Craig Lile",77,35.61,2742,77,"Front9ScoringAverage",2007
99,99,"Jeff Maggert",79,35.61,2813,79,"Front9ScoringAverage",2007
102,102,"Craig Bowden",78,35.62,2778,78,"Front9ScoringAverage",2007
102,102,"Brendon de Jonge",76,35.62,2707,76,"Front9ScoringAverage",2007
102,102,"Anders Hansen",55,35.62,1959,55,"Front9ScoringAverage",2007
102,102,"Camilo Villegas",82,35.62,2921,82,"Front9ScoringAverage",2007
106,106,"Stuart Appleby",74,35.63,2601,73,"Front9ScoringAverage",2007
106,106,"Arron Oberholser",69,35.63,2423,68,"Front9ScoringAverage",2007
106,106,"Paul Stankowski",52,35.63,1853,52,"Front9ScoringAverage",2007
109,109,"Mark Brooks",53,35.64,1889,53,"Front9ScoringAverage",2007
109,109,"Luke Donald",69,35.64,2388,67,"Front9ScoringAverage",2007
109,109,"Ryan Moore",92,35.64,3279,92,"Front9ScoringAverage",2007
109,109,"Mike Weir",82,35.64,2887,81,"Front9ScoringAverage",2007
113,113,"Mathias Gronberg",95,35.65,3387,95,"Front9ScoringAverage",2007
113,113,"JP Hayes",89,35.65,3173,89,"Front9ScoringAverage",2007
113,113,"Justin Leonard",95,35.65,3387,95,"Front9ScoringAverage",2007
116,116,"Billy Andrade",88,35.66,3138,88,"Front9ScoringAverage",2007
116,116,"Paul Goydos",60,35.66,2104,59,"Front9ScoringAverage",2007
116,116,"Jeff Quinney",95,35.66,3388,95,"Front9ScoringAverage",2007
119,119,"Joe Ogilvie",102,35.67,3638,102,"Front9ScoringAverage",2007
120,120,"Charley Hoffman",97,35.68,3461,97,"Front9ScoringAverage",2007
120,120,"Stephen Leaney",82,35.68,2926,82,"Front9ScoringAverage",2007
120,120,"Shigeki Maruyama",84,35.68,2997,84,"Front9ScoringAverage",2007
120,120,"Bubba Watson",80,35.68,2854,80,"Front9ScoringAverage",2007
124,124,"Tommy Armour III",81,35.69,2891,81,"Front9ScoringAverage",2007
124,124,"Jason Gore",86,35.69,3069,86,"Front9ScoringAverage",2007
124,124,"John Rollins",102,35.69,3605,101,"Front9ScoringAverage",2007
127,127,"Kent Jones",97,35.7,3463,97,"Front9ScoringAverage",2007
127,127,"Dicky Pride",71,35.7,2535,71,"Front9ScoringAverage",2007
127,127,"Dean Wilson",92,35.7,3284,92,"Front9ScoringAverage",2007
130,130,"Darron Stiles",65,35.71,2321,65,"Front9ScoringAverage",2007
131,131,"Steve Flesch",100,35.72,3572,100,"Front9ScoringAverage",2007
131,131,"Richard Johnson",93,35.72,3322,93,"Front9ScoringAverage",2007
133,133,"Joe Durant",88,35.74,3109,87,"Front9ScoringAverage",2007
133,133,"Davis Love III",66,35.74,2323,65,"Front9ScoringAverage",2007
135,135,"Craig Barlow",52,35.75,1859,52,"Front9ScoringAverage",2007
135,135,"Boo Weekley",101,35.75,3611,101,"Front9ScoringAverage",2007
137,137,"Chad Campbell",96,35.76,3218,90,"Front9ScoringAverage",2007
137,137,"Frank Lickliter II",95,35.76,3397,95,"Front9ScoringAverage",2007
137,137,"Brett Wetterich",88,35.76,3111,87,"Front9ScoringAverage",2007
140,140,"Charles Howell III",89,35.77,3076,86,"Front9ScoringAverage",2007
141,141,"Brian Bateman",55,35.78,1968,55,"Front9ScoringAverage",2007
141,141,"Marco Dawson",73,35.78,2612,73,"Front9ScoringAverage",2007
141,141,"Chris DiMarco",79,35.78,2755,77,"Front9ScoringAverage",2007
141,141,"Bob Tway",103,35.78,3685,103,"Front9ScoringAverage",2007
145,145,"Glen Day",85,35.8,3043,85,"Front9ScoringAverage",2007
146,146,"Robert Gamez",88,35.81,3151,88,"Front9ScoringAverage",2007
147,147,"Tom Byrum",50,35.82,1791,50,"Front9ScoringAverage",2007
147,147,"Tom Johnson",74,35.82,2651,74,"Front9ScoringAverage",2007
149,149,"Retief Goosen",50,35.83,1720,48,"Front9ScoringAverage",2007
150,150,"Doug LaBelle II",104,35.84,3727,104,"Front9ScoringAverage",2007
150,150,"Jason Schultz",63,35.84,2258,63,"Front9ScoringAverage",2007
150,150,"Nick Watney",87,35.84,3118,87,"Front9ScoringAverage",2007
153,153,"Fred Funk",65,35.85,2330,65,"Front9ScoringAverage",2007
153,153,"Tom Lehman",62,35.85,2223,62,"Front9ScoringAverage",2007
153,153,"Ryan Palmer",91,35.85,3262,91,"Front9ScoringAverage",2007
153,153,"Ian Poulter",63,35.85,2151,60,"Front9ScoringAverage",2007
157,157,"Jason Dufner",100,35.86,3586,100,"Front9ScoringAverage",2007
157,157,"Corey Pavin",81,35.86,2905,81,"Front9ScoringAverage",2007
159,159,"Rich Beem",89,35.87,3192,89,"Front9ScoringAverage",2007
159,159,"Paul Gow",70,35.87,2511,70,"Front9ScoringAverage",2007
161,161,"Scott Gutschewski",67,35.88,2404,67,"Front9ScoringAverage",2007
161,161,"Duffy Waldorf",69,35.88,2476,69,"Front9ScoringAverage",2007
163,163,"Ryan Armour",107,35.89,3840,107,"Front9ScoringAverage",2007
164,164,"Shaun Micheel",91,35.9,3159,88,"Front9ScoringAverage",2007
164,164,"Steve Wheatcroft",73,35.9,2621,73,"Front9ScoringAverage",2007
166,166,"Gavin Coles",87,35.92,3125,87,"Front9ScoringAverage",2007
166,166,"Kevin Stadler",95,35.92,3412,95,"Front9ScoringAverage",2007
168,168,"Henrik Stenson",52,35.93,1653,46,"Front9ScoringAverage",2007
169,169,"Trevor Immelman",74,35.96,2445,68,"Front9ScoringAverage",2007
170,170,"Kirk Triplett",77,35.97,2770,77,"Front9ScoringAverage",2007
171,171,"Rich Barcelo",80,35.99,2879,80,"Front9ScoringAverage",2007
171,171,"Harrison Frazar",88,35.99,3167,88,"Front9ScoringAverage",2007
173,173,"Jim Rutledge",59,36,2124,59,"Front9ScoringAverage",2007
174,174,"Greg Owen",81,36.05,2920,81,"Front9ScoringAverage",2007
174,174,"Chris Tidland",59,36.05,2127,59,"Front9ScoringAverage",2007
176,176,"Michael Putnam",96,36.06,3462,96,"Front9ScoringAverage",2007
177,177,"Jaco Van Zyl",51,36.08,1840,51,"Front9ScoringAverage",2007
178,178,"Brett Quigley",79,36.09,2815,78,"Front9ScoringAverage",2007
179,179,"Lee Janzen",66,36.14,2385,66,"Front9ScoringAverage",2007
180,180,"Chris Couch",76,36.16,2748,76,"Front9ScoringAverage",2007
181,181,"Jeff Brehaut",59,36.17,2134,59,"Front9ScoringAverage",2007
182,182,"Joey Sindelar",75,36.2,2715,75,"Front9ScoringAverage",2007
183,183,"JB Holmes",71,36.21,2571,71,"Front9ScoringAverage",2007
183,183,"Kyle Reifers",71,36.21,2571,71,"Front9ScoringAverage",2007
185,185,"Eric Axley",107,36.25,3879,107,"Front9ScoringAverage",2007
185,185,"Ben Curtis",80,36.25,2900,80,"Front9ScoringAverage",2007
185,185,"Jeff Sluman",60,36.25,2175,60,"Front9ScoringAverage",2007
188,188,"DJ Brigman",67,36.27,2430,67,"Front9ScoringAverage",2007
188,188,"Matt Hendrix",63,36.27,2285,63,"Front9ScoringAverage",2007
190,190,"Michael Boyd",61,36.36,2218,61,"Front9ScoringAverage",2007
191,191,"John Daly",59,36.37,2146,59,"Front9ScoringAverage",2007
191,191,"Bubba Dickerson",51,36.37,1855,51,"Front9ScoringAverage",2007
191,191,"Todd Hamilton",76,36.37,2764,76,"Front9ScoringAverage",2007
194,194,"David Branshaw",83,36.42,3023,83,"Front9ScoringAverage",2007
