"FedExCupPlayoffsPoints_RANKTHISWEEK_2013","FedExCupPlayoffsPoints_RANKLASTWEEK_2013","FedExCupPlayoffsPoints_PLAYERNAME_2013","FedExCupPlayoffsPoints_EVENTS_2013","FedExCupPlayoffsPoints_POINTS_2013","FedExCupPlayoffsPoints_OFWINS_2013","FedExCupPlayoffsPoints_OFTOP10S_2013","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2013","FedExCupPlayoffsPoints_RESETPOINTS_2013","stat_name","year"
1,1,"Henrik Stenson",18,4750,2,8,NA,2250,"FedExCupPlayoffsPoints",2013
2,2,"Tiger Woods",16,2743,5,8,2007,2500,"FedExCupPlayoffsPoints",2013
3,3,"Steve Stricker",13,2650,NA,8,2100,1400,"FedExCupPlayoffsPoints",2013
4,4,"Adam Scott",16,2278,2,6,2472,2000,"FedExCupPlayoffsPoints",2013
5,5,"Zach Johnson",24,2238,1,8,2512,1800,"FedExCupPlayoffsPoints",2013
6,6,"Matt Kuchar",23,1823,2,8,2927,1600,"FedExCupPlayoffsPoints",2013
7,7,"Jordan Spieth",23,1690,1,9,3060,440,"FedExCupPlayoffsPoints",2013
8,8,"Graham DeLaet",26,1415,NA,7,3335,1200,"FedExCupPlayoffsPoints",2013
9,9,"Phil Mickelson",21,1313,2,7,3437,1000,"FedExCupPlayoffsPoints",2013
10,10,"Justin Rose",17,1300,1,7,3450,800,"FedExCupPlayoffsPoints",2013
11,11,"Webb Simpson",25,1050,NA,5,3700,300,"FedExCupPlayoffsPoints",2013
12,12,"Brandt Snedeker",23,853,2,9,3897,600,"FedExCupPlayoffsPoints",2013
13,13,"Dustin Johnson",22,760,1,6,3990,210,"FedExCupPlayoffsPoints",2013
14,14,"Jim Furyk",22,758,NA,7,3992,480,"FedExCupPlayoffsPoints",2013
15,15,"Nick Watney",26,738,NA,4,4012,460,"FedExCupPlayoffsPoints",2013
16,16,"Billy Horschel",26,728,1,8,4022,290,"FedExCupPlayoffsPoints",2013
17,17,"Jason Day",21,698,NA,7,4052,420,"FedExCupPlayoffsPoints",2013
18,18,"Keegan Bradley",25,693,NA,7,4057,380,"FedExCupPlayoffsPoints",2013
19,19,"Jason Dufner",22,685,1,5,4065,310,"FedExCupPlayoffsPoints",2013
20,20,"Hunter Mahan",25,653,NA,5,4097,400,"FedExCupPlayoffsPoints",2013
21,21,"Roberto Castro",29,645,NA,4,4105,270,"FedExCupPlayoffsPoints",2013
22,22,"Sergio Garcia",17,635,NA,6,4115,260,"FedExCupPlayoffsPoints",2013
23,23,"Gary Woodland",26,603,1,2,4147,360,"FedExCupPlayoffsPoints",2013
24,24,"Bill Haas",25,573,1,9,4177,340,"FedExCupPlayoffsPoints",2013
25,25,"Kevin Streelman",25,553,1,5,4197,320,"FedExCupPlayoffsPoints",2013
26,26,"Brendon de Jonge",30,503,NA,4,4247,240,"FedExCupPlayoffsPoints",2013
27,27,"Charl Schwartzel",19,490,NA,5,4260,280,"FedExCupPlayoffsPoints",2013
28,28,"Luke Donald",17,483,NA,5,4267,220,"FedExCupPlayoffsPoints",2013
29,29,"Boo Weekley",27,455,1,4,4295,250,"FedExCupPlayoffsPoints",2013
30,30,"DA Points",28,453,1,3,4297,230,"FedExCupPlayoffsPoints",2013
31,31,"Harris English",26,1442,1,4,2910,NA,"FedExCupPlayoffsPoints",2013
32,32,"Matt Jones",24,1419,NA,5,2933,NA,"FedExCupPlayoffsPoints",2013
33,33,"Kevin Stadler",25,1412,NA,3,2940,NA,"FedExCupPlayoffsPoints",2013
34,34,"Chris Kirk",24,1399,NA,3,2953,NA,"FedExCupPlayoffsPoints",2013
35,35,"Charles Howell III",26,1398,NA,5,2954,NA,"FedExCupPlayoffsPoints",2013
36,36,"Jimmy Walker",24,1388,NA,5,2964,NA,"FedExCupPlayoffsPoints",2013
37,37,"Bubba Watson",21,1365,NA,3,2987,NA,"FedExCupPlayoffsPoints",2013
38,38,"Rickie Fowler",22,1334,NA,5,3018,NA,"FedExCupPlayoffsPoints",2013
39,39,"John Merrick",23,1331,1,2,3021,NA,"FedExCupPlayoffsPoints",2013
40,40,"Daniel Summerhays",26,1307,NA,4,3045,NA,"FedExCupPlayoffsPoints",2013
41,41,"Lee Westwood",19,1291,NA,6,3061,NA,"FedExCupPlayoffsPoints",2013
42,42,"John Huh",28,1279,NA,2,3073,NA,"FedExCupPlayoffsPoints",2013
43,43,"Chris Stroud",26,1245,NA,4,3107,NA,"FedExCupPlayoffsPoints",2013
44,44,"Russell Henley",24,1238,1,3,3114,NA,"FedExCupPlayoffsPoints",2013
45,45,"Kevin Chappell",24,1237,NA,3,3115,NA,"FedExCupPlayoffsPoints",2013
46,46,"Rory Sabbatini",27,1230,NA,5,3122,NA,"FedExCupPlayoffsPoints",2013
47,47,"Brian Davis",28,1224,NA,4,3128,NA,"FedExCupPlayoffsPoints",2013
48,48,"David Lynn",22,1204,NA,2,3148,NA,"FedExCupPlayoffsPoints",2013
49,49,"Scott Piercy",24,1193,NA,4,3159,NA,"FedExCupPlayoffsPoints",2013
50,50,"Rory McIlroy",16,1190,NA,5,3162,NA,"FedExCupPlayoffsPoints",2013
51,51,"Ryan Moore",22,1185,NA,3,3167,NA,"FedExCupPlayoffsPoints",2013
52,52,"Jonas Blixt",24,1135,1,2,3217,NA,"FedExCupPlayoffsPoints",2013
53,53,"Ian Poulter",16,1133,NA,4,3219,NA,"FedExCupPlayoffsPoints",2013
54,54,"Patrick Reed",26,1125,1,5,3227,NA,"FedExCupPlayoffsPoints",2013
55,55,"Graeme McDowell",16,1116,1,4,3236,NA,"FedExCupPlayoffsPoints",2013
56,56,"David Hearn",26,1105,NA,2,3247,NA,"FedExCupPlayoffsPoints",2013
57,57,"Brian Gay",24,1099,1,1,3253,NA,"FedExCupPlayoffsPoints",2013
58,58,"Matt Every",28,1097,NA,4,3255,NA,"FedExCupPlayoffsPoints",2013
59,59,"Marc Leishman",23,1071,NA,4,3281,NA,"FedExCupPlayoffsPoints",2013
60,60,"Nicholas Thompson",29,1043,NA,2,3309,NA,"FedExCupPlayoffsPoints",2013
61,61,"Charley Hoffman",23,1016,NA,5,3336,NA,"FedExCupPlayoffsPoints",2013
62,62,"Jason Kokrak",25,1013,NA,4,3339,NA,"FedExCupPlayoffsPoints",2013
63,63,"Scott Stallings",27,991,NA,4,3361,NA,"FedExCupPlayoffsPoints",2013
64,64,"Bryce Molder",24,979,NA,NA,3373,NA,"FedExCupPlayoffsPoints",2013
65,65,"Angel Cabrera",21,956,NA,2,3396,NA,"FedExCupPlayoffsPoints",2013
66,66,"Michael Thompson",22,938,1,3,3414,NA,"FedExCupPlayoffsPoints",2013
67,67,"Ken Duke",28,930,1,2,3422,NA,"FedExCupPlayoffsPoints",2013
68,68,"Ernie Els",19,918,NA,1,3434,NA,"FedExCupPlayoffsPoints",2013
69,69,"Sangmoon Bae",26,918,1,2,3434,NA,"FedExCupPlayoffsPoints",2013
70,70,"Brendan Steele",26,876,NA,2,3476,NA,"FedExCupPlayoffsPoints",2013
71,71,"Ryan Palmer",22,823,NA,4,3529,NA,"FedExCupPlayoffsPoints",2013
72,72,"Freddie Jacobson",19,821,NA,3,3531,NA,"FedExCupPlayoffsPoints",2013
73,73,"KJ Choi",24,816,NA,2,3536,NA,"FedExCupPlayoffsPoints",2013
74,74,"Martin Laird",21,814,1,2,3538,NA,"FedExCupPlayoffsPoints",2013
75,75,"David Lingmerth",23,806,NA,3,3546,NA,"FedExCupPlayoffsPoints",2013
76,76,"Stewart Cink",22,783,NA,3,3569,NA,"FedExCupPlayoffsPoints",2013
77,77,"Kyle Stanley",24,759,NA,3,3593,NA,"FedExCupPlayoffsPoints",2013
78,78,"Josh Teater",24,726,NA,3,3626,NA,"FedExCupPlayoffsPoints",2013
79,79,"Cameron Tringale",24,726,NA,1,3626,NA,"FedExCupPlayoffsPoints",2013
80,80,"Tim Clark",20,703,NA,3,3649,NA,"FedExCupPlayoffsPoints",2013
81,81,"John Rollins",24,696,NA,2,3656,NA,"FedExCupPlayoffsPoints",2013
82,82,"Camilo Villegas",23,695,NA,2,3657,NA,"FedExCupPlayoffsPoints",2013
