"FirstTeeLateScoringAverage_RANKTHISWEEK_2011","FirstTeeLateScoringAverage_RANKLASTWEEK_2011","FirstTeeLateScoringAverage_PLAYERNAME_2011","FirstTeeLateScoringAverage_ROUNDS_2011","FirstTeeLateScoringAverage_AVG_2011","FirstTeeLateScoringAverage_TOTALSTROKES_2011","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2011","stat_name","year"
1,1,"Michael Bradley",74,69,828,12,"FirstTeeLateScoringAverage",2011
2,2,"Webb Simpson",98,69.04,3590,52,"FirstTeeLateScoringAverage",2011
3,3,"Luke Donald",73,69.18,2767,40,"FirstTeeLateScoringAverage",2011
4,4,"Robert Karlsson",61,69.5,1390,20,"FirstTeeLateScoringAverage",2011
4,4,"Matt McQuillan",59,69.5,1112,16,"FirstTeeLateScoringAverage",2011
6,6,"Andres Romero",77,69.52,1599,23,"FirstTeeLateScoringAverage",2011
7,7,"Matt Kuchar",94,69.55,3269,47,"FirstTeeLateScoringAverage",2011
8,8,"Bryce Molder",82,69.6,2088,30,"FirstTeeLateScoringAverage",2011
9,9,"Chez Reavie",92,69.67,1881,27,"FirstTeeLateScoringAverage",2011
10,10,"Steve Stricker",70,69.7,2788,40,"FirstTeeLateScoringAverage",2011
11,11,"Carl Pettersson",95,69.71,1952,28,"FirstTeeLateScoringAverage",2011
12,12,"Jason Day",76,69.74,2371,34,"FirstTeeLateScoringAverage",2011
13,13,"Tommy Gainey",104,69.76,2372,34,"FirstTeeLateScoringAverage",2011
13,13,"John Rollins",85,69.76,1744,25,"FirstTeeLateScoringAverage",2011
15,15,"Nick Watney",80,69.8,2862,41,"FirstTeeLateScoringAverage",2011
16,16,"Adam Scott",60,69.83,2444,35,"FirstTeeLateScoringAverage",2011
17,17,"Aaron Baddeley",77,69.85,2375,34,"FirstTeeLateScoringAverage",2011
18,18,"George McNeill",69,69.91,1538,22,"FirstTeeLateScoringAverage",2011
19,19,"KJ Choi",77,69.97,2519,36,"FirstTeeLateScoringAverage",2011
20,20,"Hunter Mahan",92,70.03,2661,38,"FirstTeeLateScoringAverage",2011
21,21,"Padraig Harrington",60,70.05,1401,20,"FirstTeeLateScoringAverage",2011
22,22,"Scott McCarron",65,70.13,1052,15,"FirstTeeLateScoringAverage",2011
22,22,"Kevin Stadler",88,70.13,1613,23,"FirstTeeLateScoringAverage",2011
24,24,"Jim Furyk",87,70.16,2666,38,"FirstTeeLateScoringAverage",2011
25,25,"Brandt Jobe",100,70.17,2105,30,"FirstTeeLateScoringAverage",2011
26,26,"Freddie Jacobson",92,70.18,2386,34,"FirstTeeLateScoringAverage",2011
27,27,"Zach Johnson",79,70.19,1895,27,"FirstTeeLateScoringAverage",2011
28,28,"Jim Herman",69,70.24,1475,21,"FirstTeeLateScoringAverage",2011
29,29,"Charles Howell III",108,70.27,3162,45,"FirstTeeLateScoringAverage",2011
30,30,"Bo Van Pelt",92,70.28,2038,29,"FirstTeeLateScoringAverage",2011
