"Top10Finishes_RANKTHISWEEK_2013","Top10Finishes_RANKLASTWEEK_2013","Top10Finishes_PLAYERNAME_2013","Top10Finishes_EVENTS_2013","Top10Finishes_TOP10_2013","Top10Finishes_1ST_2013","Top10Finishes_2ND_2013","Top10Finishes_3RD_2013","stat_name","year"
1,1,"Bill Haas",25,9,1,NA,1,"Top10Finishes",2013
1,1,"Brandt Snedeker",23,9,2,2,1,"Top10Finishes",2013
1,1,"Jordan Spieth",23,9,1,3,NA,"Top10Finishes",2013
4,4,"Billy Horschel",26,8,1,1,1,"Top10Finishes",2013
4,4,"Zach Johnson",24,8,1,1,1,"Top10Finishes",2013
4,4,"Matt Kuchar",23,8,2,2,NA,"Top10Finishes",2013
4,4,"Henrik Stenson",18,8,2,3,1,"Top10Finishes",2013
4,4,"Steve Stricker",13,8,NA,4,NA,"Top10Finishes",2013
4,4,"Tiger Woods",16,8,5,1,NA,"Top10Finishes",2013
10,10,"Keegan Bradley",25,7,NA,2,1,"Top10Finishes",2013
10,10,"Jason Day",21,7,NA,1,2,"Top10Finishes",2013
10,10,"Graham DeLaet",26,7,NA,1,2,"Top10Finishes",2013
10,10,"Jim Furyk",22,7,NA,1,2,"Top10Finishes",2013
10,10,"Phil Mickelson",21,7,2,2,2,"Top10Finishes",2013
10,10,"Justin Rose",17,7,1,2,NA,"Top10Finishes",2013
16,16,"Sergio Garcia",17,6,NA,NA,1,"Top10Finishes",2013
16,16,"Dustin Johnson",22,6,1,1,NA,"Top10Finishes",2013
16,16,"Adam Scott",16,6,2,NA,2,"Top10Finishes",2013
16,16,"Lee Westwood",19,6,NA,NA,1,"Top10Finishes",2013
20,20,"Luke Donald",17,5,NA,NA,1,"Top10Finishes",2013
20,20,"Jason Dufner",22,5,1,NA,NA,"Top10Finishes",2013
20,20,"Rickie Fowler",22,5,NA,NA,1,"Top10Finishes",2013
20,20,"Charley Hoffman",23,5,NA,NA,1,"Top10Finishes",2013
20,20,"Charles Howell III",26,5,NA,1,1,"Top10Finishes",2013
20,20,"Matt Jones",24,5,NA,1,NA,"Top10Finishes",2013
20,20,"Hunter Mahan",25,5,NA,1,NA,"Top10Finishes",2013
