"GIRPctFairwayBunker_RANKTHISWEEK_2010","GIRPctFairwayBunker_RANKLASTWEEK_2010","GIRPctFairwayBunker_PLAYERNAME_2010","GIRPctFairwayBunker_ROUNDS_2010","GIRPctFairwayBunker_Pct_2010","GIRPctFairwayBunker_GREENSHIT_2010","GIRPctFairwayBunker_HOLES_2010","GIRPctFairwayBunker_RELATIVEPAR_2010","stat_name","year"
1,1,"Michael Bradley",77,72.3,47,65,-8,"GIRPctFairwayBunker",2010
2,2,"Scott Verplank",74,66.7,32,48,-9,"GIRPctFairwayBunker",2010
3,3,"DJ Trahan",92,66.2,45,68,-9,"GIRPctFairwayBunker",2010
4,4,"Brenden Pappas",66,65.2,30,46,-5,"GIRPctFairwayBunker",2010
5,5,"Stewart Cink",84,63.6,28,44,-5,"GIRPctFairwayBunker",2010
6,6,"Rory Sabbatini",79,63.1,41,65,-4,"GIRPctFairwayBunker",2010
7,7,"Ricky Barnes",103,62.8,49,78,-11,"GIRPctFairwayBunker",2010
8,8,"Adam Scott",70,61.9,26,42,-2,"GIRPctFairwayBunker",2010
9,9,"Brandt Snedeker",89,61.2,41,67,-15,"GIRPctFairwayBunker",2010
10,10,"Phil Mickelson",76,60.4,29,48,-5,"GIRPctFairwayBunker",2010
11,11,"Justin Rose",78,59.6,28,47,-5,"GIRPctFairwayBunker",2010
12,12,"Tim Herron",79,59.4,38,64,-6,"GIRPctFairwayBunker",2010
13,13,"Tim Clark",88,59.2,29,49,-9,"GIRPctFairwayBunker",2010
13,13,"Bill Haas",87,59.2,42,71,-7,"GIRPctFairwayBunker",2010
15,15,"Paul Casey",64,59.1,26,44,-7,"GIRPctFairwayBunker",2010
16,16,"Chris Stroud",90,58.6,34,58,-4,"GIRPctFairwayBunker",2010
16,16,"Jay Williamson",76,58.6,17,29,-1,"GIRPctFairwayBunker",2010
18,18,"Charles Warren",64,58.3,21,36,-5,"GIRPctFairwayBunker",2010
19,19,"JJ Henry",92,57.4,35,61,-4,"GIRPctFairwayBunker",2010
19,19,"Billy Mayfair",78,57.4,27,47,-1,"GIRPctFairwayBunker",2010
21,21,"KJ Choi",82,57.1,32,56,-6,"GIRPctFairwayBunker",2010
21,21,"Daniel Chopra",74,57.1,40,70,-13,"GIRPctFairwayBunker",2010
21,21,"Padraig Harrington",57,57.1,20,35,-4,"GIRPctFairwayBunker",2010
21,21,"Sean OHair",84,57.1,28,49,-2,"GIRPctFairwayBunker",2010
25,25,"Chris Couch",66,56.8,25,44,-4,"GIRPctFairwayBunker",2010
25,25,"Ben Crane",85,56.8,25,44,-5,"GIRPctFairwayBunker",2010
25,25,"John Merrick",109,56.8,46,81,-4,"GIRPctFairwayBunker",2010
28,28,"Freddie Jacobson",83,56.7,38,67,-5,"GIRPctFairwayBunker",2010
28,28,"Boo Weekley",88,56.7,34,60,0,"GIRPctFairwayBunker",2010
30,30,"Jeff Maggert",76,56.5,26,46,-8,"GIRPctFairwayBunker",2010
31,31,"Steve Stricker",73,56.4,22,39,-8,"GIRPctFairwayBunker",2010
32,32,"Jonathan Byrd",85,56.3,36,64,-8,"GIRPctFairwayBunker",2010
32,32,"Charles Howell III",103,56.3,54,96,-11,"GIRPctFairwayBunker",2010
32,32,"Geoff Ogilvy",62,56.3,27,48,-5,"GIRPctFairwayBunker",2010
32,32,"Vaughn Taylor",87,56.3,27,48,-8,"GIRPctFairwayBunker",2010
36,36,"Tom Pernice Jr",74,56.1,23,41,-5,"GIRPctFairwayBunker",2010
37,37,"David Duval",71,56,28,50,-6,"GIRPctFairwayBunker",2010
38,38,"Dustin Johnson",83,55.4,31,56,-6,"GIRPctFairwayBunker",2010
38,38,"Heath Slocum",97,55.4,31,56,-1,"GIRPctFairwayBunker",2010
38,38,"Kevin Stadler",86,55.4,31,56,-5,"GIRPctFairwayBunker",2010
41,41,"Greg Chalmers",93,55.1,43,78,-12,"GIRPctFairwayBunker",2010
41,41,"Robert Garrigus",71,55.1,27,49,-4,"GIRPctFairwayBunker",2010
41,41,"David Lutterus",69,55.1,27,49,-2,"GIRPctFairwayBunker",2010
44,44,"Michael Letzig",84,55,33,60,-4,"GIRPctFairwayBunker",2010
45,45,"Rich Barcelo",70,54.9,28,51,-6,"GIRPctFairwayBunker",2010
45,45,"Kevin Sutherland",86,54.9,39,71,0,"GIRPctFairwayBunker",2010
47,47,"Chad Campbell",95,54.8,23,42,-3,"GIRPctFairwayBunker",2010
48,48,"George McNeill",79,54.7,35,64,-9,"GIRPctFairwayBunker",2010
49,49,"Aaron Baddeley",94,54.5,30,55,-8,"GIRPctFairwayBunker",2010
49,49,"Brendon de Jonge",114,54.5,48,88,-7,"GIRPctFairwayBunker",2010
49,49,"Troy Matteson",84,54.5,30,55,-8,"GIRPctFairwayBunker",2010
49,49,"John Rollins",81,54.5,30,55,-3,"GIRPctFairwayBunker",2010
53,53,"Steve Flesch",78,54.3,25,46,-5,"GIRPctFairwayBunker",2010
54,54,"Lee Janzen",77,54,27,50,-2,"GIRPctFairwayBunker",2010
55,55,"Mark Wilson",87,53.2,25,47,-3,"GIRPctFairwayBunker",2010
56,56,"Charley Hoffman",85,53.1,34,64,-6,"GIRPctFairwayBunker",2010
57,57,"Stephen Ames",75,53,35,66,-2,"GIRPctFairwayBunker",2010
58,58,"Nathan Green",86,52.8,38,72,-6,"GIRPctFairwayBunker",2010
58,58,"Mathias Gronberg",61,52.8,19,36,0,"GIRPctFairwayBunker",2010
58,58,"Greg Owen",69,52.8,28,53,-2,"GIRPctFairwayBunker",2010
61,61,"Nick Watney",91,52.7,29,55,-8,"GIRPctFairwayBunker",2010
62,62,"Briny Baird",87,52.6,20,38,-3,"GIRPctFairwayBunker",2010
62,62,"Kris Blanks",91,52.6,30,57,-6,"GIRPctFairwayBunker",2010
64,64,"Matt Jones",89,52.3,46,88,-15,"GIRPctFairwayBunker",2010
65,65,"Hunter Mahan",85,52,26,50,-3,"GIRPctFairwayBunker",2010
66,66,"Tim Petrovic",105,51.5,35,68,-9,"GIRPctFairwayBunker",2010
66,66,"Omar Uresti",74,51.5,17,33,-3,"GIRPctFairwayBunker",2010
68,68,"Greg Kraft",52,51.4,18,35,-3,"GIRPctFairwayBunker",2010
69,69,"Steve Elkington",74,51.3,20,39,1,"GIRPctFairwayBunker",2010
70,70,"Carl Pettersson",99,51.1,46,90,-14,"GIRPctFairwayBunker",2010
71,71,"Kevin Na",94,51,25,49,-7,"GIRPctFairwayBunker",2010
72,72,"Steve Marino",81,50.9,28,55,-6,"GIRPctFairwayBunker",2010
73,73,"Sergio Garcia",58,50,18,36,-1,"GIRPctFairwayBunker",2010
73,73,"Tom Gillis",97,50,31,62,-4,"GIRPctFairwayBunker",2010
73,73,"Trevor Immelman",55,50,13,26,-1,"GIRPctFairwayBunker",2010
73,73,"Shaun Micheel",70,50,21,42,-3,"GIRPctFairwayBunker",2010
73,73,"Joe Ogilvie",99,50,36,72,-1,"GIRPctFairwayBunker",2010
73,73,"Webb Simpson",98,50,36,72,-7,"GIRPctFairwayBunker",2010
73,73,"Paul Stankowski",62,50,15,30,0,"GIRPctFairwayBunker",2010
80,80,"DA Points",90,49.3,33,67,-6,"GIRPctFairwayBunker",2010
81,81,"Martin Flores",75,49.2,29,59,1,"GIRPctFairwayBunker",2010
81,81,"Davis Love III",79,49.2,31,63,-3,"GIRPctFairwayBunker",2010
83,83,"James Nitties",92,49.1,28,57,-5,"GIRPctFairwayBunker",2010
84,84,"Ernie Els",72,49,25,51,-6,"GIRPctFairwayBunker",2010
85,85,"Robert Allenby",76,48.9,22,45,-3,"GIRPctFairwayBunker",2010
85,85,"Cameron Beckman",68,48.9,23,47,-4,"GIRPctFairwayBunker",2010
87,87,"John Mallinger",78,48.8,21,43,0,"GIRPctFairwayBunker",2010
88,88,"John Daly",63,48.6,18,37,0,"GIRPctFairwayBunker",2010
89,89,"Andres Romero",73,48.5,32,66,-3,"GIRPctFairwayBunker",2010
