"LeftRoughTendencyRTPScore_RANKTHISWEEK_2013","LeftRoughTendencyRTPScore_RANKLASTWEEK_2013","LeftRoughTendencyRTPScore_PLAYERNAME_2013","LeftRoughTendencyRTPScore_ROUNDS_2013","LeftRoughTendencyRTPScore_RTPSCORE_2013","stat_name","year"
1,1,"Rory McIlroy",56,-0.208,"LeftRoughTendencyRTPScore",2013
2,2,"Charles Howell III",87,-0.122,"LeftRoughTendencyRTPScore",2013
3,3,"Tiger Woods",61,-0.103,"LeftRoughTendencyRTPScore",2013
4,4,"Justin Rose",62,-0.091,"LeftRoughTendencyRTPScore",2013
5,5,"Brandt Jobe",62,-0.071,"LeftRoughTendencyRTPScore",2013
6,6,"Patrick Reed",83,-0.067,"LeftRoughTendencyRTPScore",2013
7,7,"Aaron Baddeley",68,-0.064,"LeftRoughTendencyRTPScore",2013
8,8,"Chris Kirk",89,-0.063,"LeftRoughTendencyRTPScore",2013
9,9,"Bubba Watson",76,-0.056,"LeftRoughTendencyRTPScore",2013
10,10,"Ted Potter Jr",65,-0.054,"LeftRoughTendencyRTPScore",2013
11,11,"Brandt Snedeker",79,-0.053,"LeftRoughTendencyRTPScore",2013
12,12,"Jimmy Walker",84,-0.05,"LeftRoughTendencyRTPScore",2013
13,13,"Jason Dufner",78,-0.045,"LeftRoughTendencyRTPScore",2013
14,14,"Stuart Appleby",88,-0.038,"LeftRoughTendencyRTPScore",2013
15,15,"Mark Wilson",56,-0.03,"LeftRoughTendencyRTPScore",2013
16,16,"Ben Crane",62,-0.028,"LeftRoughTendencyRTPScore",2013
17,17,"Robert Garrigus",69,-0.026,"LeftRoughTendencyRTPScore",2013
18,18,"Freddie Jacobson",63,-0.024,"LeftRoughTendencyRTPScore",2013
19,19,"Ernie Els",63,-0.023,"LeftRoughTendencyRTPScore",2013
19,19,"Jim Herman",59,-0.023,"LeftRoughTendencyRTPScore",2013
21,21,"Charley Hoffman",84,-0.022,"LeftRoughTendencyRTPScore",2013
21,21,"Phil Mickelson",78,-0.022,"LeftRoughTendencyRTPScore",2013
23,23,"Graham DeLaet",94,-0.021,"LeftRoughTendencyRTPScore",2013
24,24,"Charl Schwartzel",69,-0.019,"LeftRoughTendencyRTPScore",2013
25,25,"Sergio Garcia",65,-0.018,"LeftRoughTendencyRTPScore",2013
26,26,"Henrik Stenson",65,-0.014,"LeftRoughTendencyRTPScore",2013
26,26,"Chris Stroud",88,-0.014,"LeftRoughTendencyRTPScore",2013
28,28,"Kevin Stadler",83,-0.013,"LeftRoughTendencyRTPScore",2013
29,29,"KJ Choi",85,-0.011,"LeftRoughTendencyRTPScore",2013
29,29,"Adam Scott",61,-0.011,"LeftRoughTendencyRTPScore",2013
31,31,"Pat Perez",69,-0.009,"LeftRoughTendencyRTPScore",2013
32,32,"Roberto Castro",97,-0.008,"LeftRoughTendencyRTPScore",2013
33,33,"Luke Donald",60,0,"LeftRoughTendencyRTPScore",2013
33,33,"Matt Kuchar",93,0,"LeftRoughTendencyRTPScore",2013
33,33,"Martin Laird",68,0,"LeftRoughTendencyRTPScore",2013
33,33,"Steve Stricker",51,0,"LeftRoughTendencyRTPScore",2013
33,33,"DJ Trahan",48,0,"LeftRoughTendencyRTPScore",2013
38,38,"Jason Kokrak",78,0.006,"LeftRoughTendencyRTPScore",2013
39,39,"Billy Horschel",96,0.007,"LeftRoughTendencyRTPScore",2013
40,40,"Dustin Johnson",71,0.008,"LeftRoughTendencyRTPScore",2013
41,41,"Angel Cabrera",73,0.009,"LeftRoughTendencyRTPScore",2013
41,41,"Greg Chalmers",77,0.009,"LeftRoughTendencyRTPScore",2013
41,41,"Jason Day",86,0.009,"LeftRoughTendencyRTPScore",2013
44,44,"Martin Kaymer",61,0.012,"LeftRoughTendencyRTPScore",2013
44,44,"Bo Van Pelt",72,0.012,"LeftRoughTendencyRTPScore",2013
44,44,"Gary Woodland",94,0.012,"LeftRoughTendencyRTPScore",2013
47,47,"Bill Haas",85,0.014,"LeftRoughTendencyRTPScore",2013
47,47,"Rory Sabbatini",86,0.014,"LeftRoughTendencyRTPScore",2013
49,49,"Webb Simpson",92,0.016,"LeftRoughTendencyRTPScore",2013
50,50,"Luke List",65,0.025,"LeftRoughTendencyRTPScore",2013
51,51,"John Rollins",77,0.026,"LeftRoughTendencyRTPScore",2013
52,52,"Ian Poulter",59,0.027,"LeftRoughTendencyRTPScore",2013
53,53,"DH Lee",65,0.029,"LeftRoughTendencyRTPScore",2013
53,53,"Scott Piercy",78,0.029,"LeftRoughTendencyRTPScore",2013
55,55,"Kevin Chappell",80,0.031,"LeftRoughTendencyRTPScore",2013
56,56,"Jordan Spieth",82,0.032,"LeftRoughTendencyRTPScore",2013
57,57,"Scott Stallings",79,0.034,"LeftRoughTendencyRTPScore",2013
57,57,"Lee Westwood",70,0.034,"LeftRoughTendencyRTPScore",2013
59,59,"Sangmoon Bae",83,0.035,"LeftRoughTendencyRTPScore",2013
60,60,"Keegan Bradley",88,0.039,"LeftRoughTendencyRTPScore",2013
60,60,"Brian Gay",79,0.039,"LeftRoughTendencyRTPScore",2013
62,62,"Ryan Moore",72,0.044,"LeftRoughTendencyRTPScore",2013
63,63,"Andres Romero",63,0.046,"LeftRoughTendencyRTPScore",2013
64,64,"Brian Stuard",78,0.047,"LeftRoughTendencyRTPScore",2013
65,65,"Ryan Palmer",79,0.049,"LeftRoughTendencyRTPScore",2013
66,66,"James Driscoll",76,0.05,"LeftRoughTendencyRTPScore",2013
67,67,"Cameron Percy",68,0.051,"LeftRoughTendencyRTPScore",2013
68,68,"Rickie Fowler",75,0.052,"LeftRoughTendencyRTPScore",2013
68,68,"Kevin Streelman",86,0.052,"LeftRoughTendencyRTPScore",2013
70,70,"Harris English",95,0.054,"LeftRoughTendencyRTPScore",2013
71,71,"John Merrick",79,0.055,"LeftRoughTendencyRTPScore",2013
71,71,"Tag Ridings",69,0.055,"LeftRoughTendencyRTPScore",2013
71,71,"Nick Watney",88,0.055,"LeftRoughTendencyRTPScore",2013
74,74,"Bud Cauley",67,0.056,"LeftRoughTendencyRTPScore",2013
75,75,"Jerry Kelly",75,0.057,"LeftRoughTendencyRTPScore",2013
76,76,"Graeme McDowell",53,0.058,"LeftRoughTendencyRTPScore",2013
77,77,"Matt Every",89,0.059,"LeftRoughTendencyRTPScore",2013
78,78,"Peter Hanson",45,0.06,"LeftRoughTendencyRTPScore",2013
79,79,"Ricky Barnes",74,0.061,"LeftRoughTendencyRTPScore",2013
80,80,"David Lingmerth",68,0.063,"LeftRoughTendencyRTPScore",2013
81,81,"Scott Langley",79,0.064,"LeftRoughTendencyRTPScore",2013
81,81,"Seung Yul Noh",71,0.064,"LeftRoughTendencyRTPScore",2013
83,83,"Cameron Tringale",80,0.065,"LeftRoughTendencyRTPScore",2013
84,84,"Marc Leishman",77,0.066,"LeftRoughTendencyRTPScore",2013
85,85,"John Huh",88,0.067,"LeftRoughTendencyRTPScore",2013
86,86,"Stewart Cink",71,0.068,"LeftRoughTendencyRTPScore",2013
87,87,"Russell Henley",80,0.069,"LeftRoughTendencyRTPScore",2013
88,88,"Robert Karlsson",56,0.071,"LeftRoughTendencyRTPScore",2013
88,88,"William McGirt",75,0.071,"LeftRoughTendencyRTPScore",2013
90,90,"Brian Davis",91,0.073,"LeftRoughTendencyRTPScore",2013
91,91,"Steven Bowditch",67,0.078,"LeftRoughTendencyRTPScore",2013
91,91,"Martin Flores",83,0.078,"LeftRoughTendencyRTPScore",2013
93,93,"DA Points",87,0.079,"LeftRoughTendencyRTPScore",2013
94,94,"Brian Harman",89,0.08,"LeftRoughTendencyRTPScore",2013
95,95,"Hunter Mahan",91,0.082,"LeftRoughTendencyRTPScore",2013
96,96,"Camilo Villegas",79,0.083,"LeftRoughTendencyRTPScore",2013
97,97,"Nicolas Colsaerts",50,0.085,"LeftRoughTendencyRTPScore",2013
97,97,"Erik Compton",74,0.085,"LeftRoughTendencyRTPScore",2013
99,99,"Bobby Gates",49,0.086,"LeftRoughTendencyRTPScore",2013
100,100,"Henrik Norlander",70,0.088,"LeftRoughTendencyRTPScore",2013
100,100,"John Senden",79,0.088,"LeftRoughTendencyRTPScore",2013
102,102,"Chez Reavie",72,0.089,"LeftRoughTendencyRTPScore",2013
103,103,"Morgan Hoffmann",64,0.09,"LeftRoughTendencyRTPScore",2013
