"Scramblingfrom_RANKTHISWEEK_2009","Scramblingfrom_RANKLASTWEEK_2009","Scramblingfrom_PLAYERNAME_2009","Scramblingfrom_ROUNDS_2009","Scramblingfrom_Pct_2009","Scramblingfrom_SUCCESSES_2009","Scramblingfrom_ATTEMPTS_2009","stat_name","year"
1,1,"Chad Campbell",90,95.29,81,85,"Scramblingfrom",2009
2,2,"Jarrod Lyle",65,94.55,52,55,"Scramblingfrom",2009
3,3,"Padraig Harrington",66,94.29,66,70,"Scramblingfrom",2009
4,4,"Tim Petrovic",97,93.94,93,99,"Scramblingfrom",2009
5,5,"Geoff Ogilvy",78,93.85,61,65,"Scramblingfrom",2009
6,6,"Tiger Woods",64,92.75,64,69,"Scramblingfrom",2009
7,7,"Chris Riley",77,92.65,63,68,"Scramblingfrom",2009
8,8,"Jeff Quinney",78,92,92,100,"Scramblingfrom",2009
9,9,"Luke Donald",79,91.86,79,86,"Scramblingfrom",2009
9,9,"John Mallinger",90,91.86,79,86,"Scramblingfrom",2009
11,11,"Tommy Armour III",58,91.8,56,61,"Scramblingfrom",2009
12,12,"Nathan Green",104,91.67,99,108,"Scramblingfrom",2009
13,13,"Tom Pernice Jr",82,91.58,87,95,"Scramblingfrom",2009
14,14,"Tim Clark",81,91.57,76,83,"Scramblingfrom",2009
15,15,"Briny Baird",89,91.55,65,71,"Scramblingfrom",2009
16,16,"Brian Gay",96,91.47,118,129,"Scramblingfrom",2009
17,17,"Rich Beem",77,91.18,62,68,"Scramblingfrom",2009
18,18,"Hunter Mahan",94,90.91,90,99,"Scramblingfrom",2009
18,18,"Ian Poulter",59,90.91,60,66,"Scramblingfrom",2009
20,20,"Mike Weir",85,90.72,88,97,"Scramblingfrom",2009
21,21,"Bob Estes",78,90.53,86,95,"Scramblingfrom",2009
21,21,"Billy Mayfair",83,90.53,86,95,"Scramblingfrom",2009
23,23,"Zach Johnson",94,90.38,94,104,"Scramblingfrom",2009
24,24,"Scott Sterling",51,90,45,50,"Scramblingfrom",2009
25,25,"Kirk Triplett",60,89.89,80,89,"Scramblingfrom",2009
26,26,"Jason Bohn",88,89.83,106,118,"Scramblingfrom",2009
27,27,"Greg Kraft",51,89.8,44,49,"Scramblingfrom",2009
28,28,"Steve Elkington",70,89.74,70,78,"Scramblingfrom",2009
29,29,"Jeff Klauk",97,89.69,87,97,"Scramblingfrom",2009
30,30,"Jim Furyk",86,89.66,78,87,"Scramblingfrom",2009
31,31,"Ben Crane",93,89.57,103,115,"Scramblingfrom",2009
32,32,"Stephen Ames",77,89.55,60,67,"Scramblingfrom",2009
33,33,"Troy Matteson",95,89.52,94,105,"Scramblingfrom",2009
34,34,"Ernie Els",70,89.47,68,76,"Scramblingfrom",2009
34,34,"Kevin Sutherland",96,89.47,68,76,"Scramblingfrom",2009
36,36,"Ben Curtis",63,89.36,42,47,"Scramblingfrom",2009
37,37,"Steve Flesch",77,89.33,67,75,"Scramblingfrom",2009
38,38,"Matt Bettencourt",98,89.19,99,111,"Scramblingfrom",2009
38,38,"Tom Lehman",55,89.19,33,37,"Scramblingfrom",2009
38,38,"Pat Perez",74,89.19,66,74,"Scramblingfrom",2009
41,41,"Robert Garrigus",83,89.16,74,83,"Scramblingfrom",2009
42,42,"Marc Leishman",91,89.09,98,110,"Scramblingfrom",2009
43,43,"Dustin Johnson",85,89.01,81,91,"Scramblingfrom",2009
44,44,"Steve Stricker",81,89,89,100,"Scramblingfrom",2009
45,45,"YE Yang",83,88.76,79,89,"Scramblingfrom",2009
46,46,"Anthony Kim",76,88.66,86,97,"Scramblingfrom",2009
47,47,"Scott Piercy",85,88.57,93,105,"Scramblingfrom",2009
48,48,"Sean OHair",80,88.51,77,87,"Scramblingfrom",2009
49,49,"Brad Adamonis",70,88.46,69,78,"Scramblingfrom",2009
49,49,"Matt Weibring",65,88.46,69,78,"Scramblingfrom",2009
51,51,"Freddie Jacobson",83,88.42,84,95,"Scramblingfrom",2009
52,52,"Steve Marino",98,88.35,91,103,"Scramblingfrom",2009
53,53,"Justin Leonard",95,88.17,82,93,"Scramblingfrom",2009
54,54,"Matt Kuchar",82,88.12,89,101,"Scramblingfrom",2009
55,55,"Jerry Kelly",90,88.1,111,126,"Scramblingfrom",2009
55,55,"Jeff Maggert",79,88.1,74,84,"Scramblingfrom",2009
57,57,"Jonathan Byrd",89,87.95,73,83,"Scramblingfrom",2009
58,58,"Bryce Molder",69,87.93,51,58,"Scramblingfrom",2009
59,59,"Nick OHern",90,87.88,87,99,"Scramblingfrom",2009
59,59,"Nick Watney",86,87.88,87,99,"Scramblingfrom",2009
61,61,"Webb Simpson",94,87.85,94,107,"Scramblingfrom",2009
62,62,"Parker McLachlin",71,87.84,65,74,"Scramblingfrom",2009
63,63,"Kevin Stadler",65,87.8,72,82,"Scramblingfrom",2009
64,64,"Kevin Streelman",97,87.78,79,90,"Scramblingfrom",2009
65,65,"Joe Durant",62,87.76,43,49,"Scramblingfrom",2009
65,65,"JJ Henry",97,87.76,86,98,"Scramblingfrom",2009
67,67,"Stewart Cink",79,87.65,71,81,"Scramblingfrom",2009
68,68,"Brendon de Jonge",90,87.63,85,97,"Scramblingfrom",2009
69,69,"Eric Axley",71,87.5,49,56,"Scramblingfrom",2009
69,69,"Brian Bateman",55,87.5,49,56,"Scramblingfrom",2009
69,69,"Bill Haas",91,87.5,84,96,"Scramblingfrom",2009
69,69,"Ryuji Imada",85,87.5,63,72,"Scramblingfrom",2009
69,69,"Matt Jones",56,87.5,49,56,"Scramblingfrom",2009
69,69,"David Mathis",82,87.5,63,72,"Scramblingfrom",2009
75,75,"Bill Lunde",83,87.25,89,102,"Scramblingfrom",2009
76,76,"Rory Sabbatini",81,87.21,75,86,"Scramblingfrom",2009
77,77,"Mark Calcavecchia",72,87.18,68,78,"Scramblingfrom",2009
78,78,"KJ Choi",65,87.04,47,54,"Scramblingfrom",2009
79,79,"Bob Heintz",59,86.96,60,69,"Scramblingfrom",2009
80,80,"Chez Reavie",81,86.75,72,83,"Scramblingfrom",2009
81,81,"Derek Fathauer",63,86.67,52,60,"Scramblingfrom",2009
82,82,"Charles Howell III",99,86.46,83,96,"Scramblingfrom",2009
82,82,"DJ Trahan",96,86.46,83,96,"Scramblingfrom",2009
84,84,"Will Ma Kenzie",69,86.36,57,66,"Scramblingfrom",2009
84,84,"Corey Pavin",73,86.36,57,66,"Scramblingfrom",2009
86,86,"Kevin Na",91,86.14,87,101,"Scramblingfrom",2009
87,87,"Brett Quigley",92,86.05,74,86,"Scramblingfrom",2009
88,88,"Retief Goosen",74,86.02,80,93,"Scramblingfrom",2009
89,89,"Scott McCarron",91,85.98,92,107,"Scramblingfrom",2009
90,90,"Harrison Frazar",93,85.96,98,114,"Scramblingfrom",2009
91,91,"Charles Warren",63,85.94,55,64,"Scramblingfrom",2009
92,92,"Casey Wittenberg",71,85.92,61,71,"Scramblingfrom",2009
93,93,"Brandt Snedeker",81,85.9,67,78,"Scramblingfrom",2009
94,94,"Peter Lonard",86,85.87,79,92,"Scramblingfrom",2009
95,95,"Michael Allen",73,85.71,66,77,"Scramblingfrom",2009
95,95,"Lucas Glover",93,85.71,108,126,"Scramblingfrom",2009
95,95,"Mathew Goggin",76,85.71,72,84,"Scramblingfrom",2009
95,95,"Rocco Mediate",79,85.71,66,77,"Scramblingfrom",2009
95,95,"Patrick Sheehan",51,85.71,54,63,"Scramblingfrom",2009
100,100,"Tim Herron",87,85.57,83,97,"Scramblingfrom",2009
101,101,"John Merrick",91,85.54,71,83,"Scramblingfrom",2009
102,102,"Spencer Levin",75,85.53,65,76,"Scramblingfrom",2009
103,103,"Peter Tomasulo",61,85.45,47,55,"Scramblingfrom",2009
104,104,"John Senden",100,85.44,88,103,"Scramblingfrom",2009
105,105,"Jason Dufner",90,85.32,93,109,"Scramblingfrom",2009
106,106,"Daniel Chopra",89,85.26,81,95,"Scramblingfrom",2009
107,107,"Leif Olson",51,85.25,52,61,"Scramblingfrom",2009
108,108,"Greg Chalmers",85,85.19,69,81,"Scramblingfrom",2009
108,108,"David Toms",98,85.19,92,108,"Scramblingfrom",2009
110,110,"Bubba Watson",73,84.93,62,73,"Scramblingfrom",2009
111,111,"Todd Hamilton",83,84.88,73,86,"Scramblingfrom",2009
112,112,"Camilo Villegas",76,84.85,56,66,"Scramblingfrom",2009
113,113,"DA Points",99,84.62,88,104,"Scramblingfrom",2009
114,114,"Chris DiMarco",97,84.55,104,123,"Scramblingfrom",2009
115,115,"Vaughn Taylor",88,84.54,82,97,"Scramblingfrom",2009
116,116,"Carl Pettersson",86,84.52,71,84,"Scramblingfrom",2009
116,116,"Jimmy Walker",74,84.52,71,84,"Scramblingfrom",2009
118,118,"Phil Mickelson",66,84.48,49,58,"Scramblingfrom",2009
119,119,"Robert Allenby",71,84.42,65,77,"Scramblingfrom",2009
120,120,"George McNeill",82,84.4,92,109,"Scramblingfrom",2009
120,120,"Bo Van Pelt",100,84.4,92,109,"Scramblingfrom",2009
122,122,"Dean Wilson",81,84.34,70,83,"Scramblingfrom",2009
123,123,"Ken Duke",87,84.27,75,89,"Scramblingfrom",2009
124,124,"Ricky Barnes",67,84,42,50,"Scramblingfrom",2009
124,124,"Paul Goydos",79,84,84,100,"Scramblingfrom",2009
124,124,"Brendon Todd",53,84,42,50,"Scramblingfrom",2009
127,127,"Charlie Wi",92,83.87,78,93,"Scramblingfrom",2009
128,128,"Ryan Moore",89,83.84,83,99,"Scramblingfrom",2009
129,129,"John Rollins",92,83.81,88,105,"Scramblingfrom",2009
130,130,"Kenny Perry",92,83.67,82,98,"Scramblingfrom",2009
131,131,"Bart Bryant",58,83.33,55,66,"Scramblingfrom",2009
131,131,"Michael Letzig",96,83.33,105,126,"Scramblingfrom",2009
131,131,"Steve Lowery",83,83.33,100,120,"Scramblingfrom",2009
131,131,"Rod Pampling",72,83.33,65,78,"Scramblingfrom",2009
131,131,"Tag Ridings",50,83.33,45,54,"Scramblingfrom",2009
131,131,"Scott Verplank",88,83.33,85,102,"Scramblingfrom",2009
