"HitFairwayPercentage_RANKTHISWEEK_2016","HitFairwayPercentage_RANKLASTWEEK_2016","HitFairwayPercentage_PLAYERNAME_2016","HitFairwayPercentage_ROUNDS_2016","HitFairwayPercentage_Pct_2016","HitFairwayPercentage_FAIRWAYSHIT_2016","HitFairwayPercentage_POSSIBLEFAIRWAYS_2016","HitFairwayPercentage_RELATIVETOPAR_2016","stat_name","year"
70,77,"Kevin Na",52,62.14,284,457,-0.19,"HitFairwayPercentage",2016
71,79,"Shane Bertsch",30,62.03,165,266,-0.21,"HitFairwayPercentage",2016
72,82,"Fabian Gomez",49,61.99,367,592,-0.18,"HitFairwayPercentage",2016
73,65,"Webb Simpson",34,61.95,241,389,-0.19,"HitFairwayPercentage",2016
74,81,"Whee Kim",54,61.9,351,567,-0.03,"HitFairwayPercentage",2016
75,68,"Scott Langley",41,61.72,266,431,-0.07,"HitFairwayPercentage",2016
76,80,"Brett Stegmaier",57,61.57,399,648,-0.16,"HitFairwayPercentage",2016
77,87,"Billy Horschel",45,61.39,291,474,-0.16,"HitFairwayPercentage",2016
78,89,"Steve Stricker",25,61.32,176,287,-0.18,"HitFairwayPercentage",2016
79,90,"Rory Sabbatini",40,61.22,210,343,0,"HitFairwayPercentage",2016
80,84,"Scott Brown",59,61.19,339,554,-0.1,"HitFairwayPercentage",2016
81,92,"Scott Piercy",45,61.07,240,393,-0.22,"HitFairwayPercentage",2016
82,59,"Byeong Hun An",23,60.99,111,182,-0.28,"HitFairwayPercentage",2016
83,88,"Hideki Matsuyama",40,60.88,221,363,-0.21,"HitFairwayPercentage",2016
84,51,"Tim Wilkinson",40,60.77,220,362,-0.2,"HitFairwayPercentage",2016
85,83,"Scott Pinckney",53,60.74,328,540,-0.09,"HitFairwayPercentage",2016
86,98,"Ben Martin",48,60.64,339,559,-0.22,"HitFairwayPercentage",2016
87,67,"Martin Piller",37,60.56,218,360,-0.12,"HitFairwayPercentage",2016
88,78,"Jhonattan Vegas",49,60.52,302,499,-0.21,"HitFairwayPercentage",2016
89,100,"Hudson Swafford",52,60.48,326,539,-0.15,"HitFairwayPercentage",2016
90,103,"Jason Dufner",53,60.33,292,484,-0.12,"HitFairwayPercentage",2016
91,107,"Greg Owen",56,60.27,358,594,-0.13,"HitFairwayPercentage",2016
92,105,"Ian Poulter",37,60.25,191,317,-0.05,"HitFairwayPercentage",2016
93,108,"Brian Harman",60,60.21,395,656,-0.1,"HitFairwayPercentage",2016
94,105,"Troy Merritt",41,60.15,243,404,-0.16,"HitFairwayPercentage",2016
95,73,"Paul Casey",39,60.12,193,321,-0.17,"HitFairwayPercentage",2016
96,101,"Peter Malnati",53,59.93,353,589,-0.11,"HitFairwayPercentage",2016
97,104,"Steve Wheatcroft",53,59.9,348,581,-0.1,"HitFairwayPercentage",2016
98,97,"JJ Henry",44,59.86,337,563,-0.12,"HitFairwayPercentage",2016
99,85,"Henrik Norlander",41,59.83,216,361,-0.11,"HitFairwayPercentage",2016
100,96,"Brendon de Jonge",55,59.81,323,540,-0.11,"HitFairwayPercentage",2016
101,109,"Wes Roach",33,59.73,175,293,-0.12,"HitFairwayPercentage",2016
102,112,"Brandt Snedeker",47,59.62,285,478,-0.19,"HitFairwayPercentage",2016
103,94,"Cameron Tringale",47,59.57,330,554,-0.14,"HitFairwayPercentage",2016
104,102,"Justin Rose",35,59.31,207,349,-0.2,"HitFairwayPercentage",2016
105,93,"Johnson Wagner",44,59.2,280,473,-0.18,"HitFairwayPercentage",2016
106,115,"Stuart Appleby",39,59.15,294,497,-0.14,"HitFairwayPercentage",2016
107,90,"Matt Jones",45,59.13,230,389,-0.08,"HitFairwayPercentage",2016
108,114,"Francesco Molinari",36,59.08,270,457,-0.13,"HitFairwayPercentage",2016
109,113,"Sung Kang",51,59.04,333,564,-0.15,"HitFairwayPercentage",2016
110,117,"James Hahn",45,59.03,304,515,-0.14,"HitFairwayPercentage",2016
111,99,"Michael Kim",62,58.98,417,707,-0.12,"HitFairwayPercentage",2016
112,123,"Chris Stroud",52,58.94,333,565,-0.11,"HitFairwayPercentage",2016
113,119,"Bernd Wiesberger",23,58.93,99,168,-0.18,"HitFairwayPercentage",2016
114,120,"Sergio Garcia",28,58.89,106,180,-0.13,"HitFairwayPercentage",2016
115,95,"Brendan Steele",48,58.87,312,530,-0.23,"HitFairwayPercentage",2016
116,116,"Cameron Smith",45,58.82,210,357,-0.12,"HitFairwayPercentage",2016
117,125,"Andres Romero",22,58.56,106,181,-0.11,"HitFairwayPercentage",2016
118,110,"Brendon Todd",43,58.47,276,472,-0.14,"HitFairwayPercentage",2016
119,133,"Jeff Overton",51,58.43,357,611,-0.16,"HitFairwayPercentage",2016
120,118,"Vijay Singh",42,58.35,297,509,-0.11,"HitFairwayPercentage",2016
121,120,"Chesson Hadley",51,58.32,305,523,-0.15,"HitFairwayPercentage",2016
122,134,"Geoff Ogilvy",37,58.31,242,415,-0.06,"HitFairwayPercentage",2016
123,130,"Graham DeLaet",50,58.2,337,579,-0.19,"HitFairwayPercentage",2016
124,86,"Derek Ernst",36,58.17,178,306,-0.13,"HitFairwayPercentage",2016
125,124,"Kevin Chappell",49,58.09,323,556,-0.16,"HitFairwayPercentage",2016
126,142,"Angel Cabrera",42,58.07,259,446,-0.1,"HitFairwayPercentage",2016
127,129,"Nick Taylor",57,58.01,355,612,-0.22,"HitFairwayPercentage",2016
128,122,"Matt Every",34,57.93,230,397,-0.06,"HitFairwayPercentage",2016
129,126,"Steve Marino",40,57.91,216,373,-0.13,"HitFairwayPercentage",2016
130,141,"Will Wilcox",47,57.78,312,540,-0.21,"HitFairwayPercentage",2016
131,145,"Daniel Summerhays",55,57.72,344,596,-0.17,"HitFairwayPercentage",2016
132,149,"Chad Collins",45,57.52,287,499,-0.1,"HitFairwayPercentage",2016
133,148,"Freddie Jacobson",54,57.43,309,538,-0.13,"HitFairwayPercentage",2016
133,111,"Patrick Reed",53,57.43,255,444,-0.18,"HitFairwayPercentage",2016
135,131,"Morgan Hoffmann",43,57.41,279,486,-0.18,"HitFairwayPercentage",2016
136,147,"Sam Saunders",40,57.39,202,352,-0.11,"HitFairwayPercentage",2016
137,150,"Louis Oosthuizen",25,57.35,78,136,-0.04,"HitFairwayPercentage",2016
138,132,"Jonas Blixt",46,57.28,291,508,-0.18,"HitFairwayPercentage",2016
139,152,"Brooks Koepka",39,57.22,222,388,-0.16,"HitFairwayPercentage",2016
140,153,"Ryan Palmer",46,57.17,331,579,-0.18,"HitFairwayPercentage",2016
141,155,"Harold Varner III",58,57.16,387,677,-0.17,"HitFairwayPercentage",2016
142,127,"George McNeill",33,57.14,220,385,-0.05,"HitFairwayPercentage",2016
143,143,"Retief Goosen",37,57.11,249,436,-0.17,"HitFairwayPercentage",2016
144,137,"Patrick Rodgers",49,57.06,307,538,-0.23,"HitFairwayPercentage",2016
145,136,"Hiroshi Iwata",51,56.93,267,469,-0.03,"HitFairwayPercentage",2016
146,163,"Jamie Lovemark",57,56.67,391,690,-0.24,"HitFairwayPercentage",2016
147,160,"Jason Day",36,56.59,176,311,-0.25,"HitFairwayPercentage",2016
148,128,"Hunter Mahan",43,56.44,241,427,-0.18,"HitFairwayPercentage",2016
149,144,"Erik Compton",45,56.43,250,443,-0.16,"HitFairwayPercentage",2016
150,135,"Adam Scott",39,56.42,189,335,-0.31,"HitFairwayPercentage",2016
