"AverageApproachDistancePar_RANKTHISWEEK_2016","AverageApproachDistancePar_RANKLASTWEEK_2016","AverageApproachDistancePar_PLAYERNAME_2016","AverageApproachDistancePar_ROUNDS_2016","AverageApproachDistancePar_AVGYARDS_2016","AverageApproachDistancePar_TOTALDISTANCEINCHES_2016","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2016","stat_name","year"
1,1,"Miguel Angel Carballo",24,151.3,811631,149,"AverageApproachDistancePar",2016
2,3,"Abraham Ancer",26,155.6,985997,176,"AverageApproachDistancePar",2016
3,5,"Michael Thompson",46,156.3,1912963,340,"AverageApproachDistancePar",2016
4,2,"Kelly Kraft",35,156.6,1290715,229,"AverageApproachDistancePar",2016
5,7,"Brice Garnett",29,156.9,1056399,187,"AverageApproachDistancePar",2016
6,6,"DH Lee",35,157.1,1510376,267,"AverageApproachDistancePar",2016
7,9,"Dicky Pride",33,157.7,1476298,260,"AverageApproachDistancePar",2016
8,13,"Ollie Schniederjans",23,158,1188829,209,"AverageApproachDistancePar",2016
8,14,"Darron Stiles",28,158,1035456,182,"AverageApproachDistancePar",2016
10,16,"Charlie Beljan",26,158.1,1138057,200,"AverageApproachDistancePar",2016
10,12,"David Toms",38,158.1,2191408,385,"AverageApproachDistancePar",2016
12,18,"Ken Duke",26,158.4,1288383,226,"AverageApproachDistancePar",2016
12,4,"Jason Gore",51,158.4,2355820,413,"AverageApproachDistancePar",2016
12,18,"Carl Pettersson",31,158.4,1796482,315,"AverageApproachDistancePar",2016
12,14,"Kevin Streelman",46,158.4,2053285,360,"AverageApproachDistancePar",2016
12,9,"Dawie van der Walt",48,158.4,2155478,378,"AverageApproachDistancePar",2016
17,22,"Brian Gay",22,158.7,1165768,204,"AverageApproachDistancePar",2016
17,22,"Wes Roach",33,158.7,1433884,251,"AverageApproachDistancePar",2016
19,24,"Brooks Koepka",39,158.8,1720715,301,"AverageApproachDistancePar",2016
20,25,"Shane Bertsch",30,158.9,1327120,232,"AverageApproachDistancePar",2016
20,7,"Martin Piller",37,158.9,1750653,306,"AverageApproachDistancePar",2016
22,18,"Steven Bowditch",40,159,1631366,285,"AverageApproachDistancePar",2016
23,27,"Russell Henley",42,159.3,2592728,452,"AverageApproachDistancePar",2016
24,17,"Cameron Smith",45,159.4,1693265,295,"AverageApproachDistancePar",2016
24,27,"Shawn Stefani",45,159.4,2416187,421,"AverageApproachDistancePar",2016
26,31,"Peter Malnati",53,159.7,2822100,491,"AverageApproachDistancePar",2016
27,27,"Steve Marino",40,160.1,1682683,292,"AverageApproachDistancePar",2016
28,33,"Justin Hicks",26,160.2,1488026,258,"AverageApproachDistancePar",2016
29,26,"Tyler Aldridge",53,160.3,2758218,478,"AverageApproachDistancePar",2016
29,30,"Shane Lowry",35,160.3,1275001,221,"AverageApproachDistancePar",2016
29,18,"Vaughn Taylor",30,160.3,1592466,276,"AverageApproachDistancePar",2016
32,33,"DA Points",32,160.4,1316917,228,"AverageApproachDistancePar",2016
32,9,"Tim Wilkinson",40,160.4,1835972,318,"AverageApproachDistancePar",2016
34,37,"Russell Knox",48,160.5,2045365,354,"AverageApproachDistancePar",2016
35,38,"Luke Guthrie",31,160.6,1427844,247,"AverageApproachDistancePar",2016
36,39,"Jerry Kelly",44,160.7,2111525,365,"AverageApproachDistancePar",2016
36,39,"Justin Leonard",28,160.7,1549976,268,"AverageApproachDistancePar",2016
38,42,"Robert Streb",51,160.9,2161041,373,"AverageApproachDistancePar",2016
39,46,"Smylie Kaufman",57,161.1,2644773,456,"AverageApproachDistancePar",2016
40,48,"Branden Grace",31,161.2,1282742,221,"AverageApproachDistancePar",2016
41,51,"Freddie Jacobson",54,161.4,2666964,459,"AverageApproachDistancePar",2016
42,53,"Dustin Johnson",37,161.5,1232642,212,"AverageApproachDistancePar",2016
42,53,"Andrew Landry",24,161.5,842778,145,"AverageApproachDistancePar",2016
44,56,"Lucas Lee",22,161.6,1047054,180,"AverageApproachDistancePar",2016
45,43,"Charles Howell III",63,161.8,3390972,582,"AverageApproachDistancePar",2016
46,71,"Michael Kim",62,161.9,3386724,581,"AverageApproachDistancePar",2016
46,61,"Cameron Percy",22,161.9,1008553,173,"AverageApproachDistancePar",2016
48,46,"Andres Gonzales",46,162,2303438,395,"AverageApproachDistancePar",2016
48,31,"Tom Hoge",47,162,2332902,400,"AverageApproachDistancePar",2016
48,64,"Jordan Spieth",34,162,1219016,209,"AverageApproachDistancePar",2016
51,67,"Billy Hurley III",22,162.1,1213489,208,"AverageApproachDistancePar",2016
52,39,"Scott Langley",41,162.2,2160401,370,"AverageApproachDistancePar",2016
52,44,"Brett Stegmaier",57,162.2,3171198,543,"AverageApproachDistancePar",2016
54,49,"Martin Laird",46,162.3,2488452,426,"AverageApproachDistancePar",2016
55,57,"Chad Collins",45,162.4,2355907,403,"AverageApproachDistancePar",2016
55,49,"Bill Haas",42,162.4,1964978,336,"AverageApproachDistancePar",2016
55,33,"Andrew Loupe",50,162.4,2485270,425,"AverageApproachDistancePar",2016
55,61,"Geoff Ogilvy",37,162.4,2086620,357,"AverageApproachDistancePar",2016
59,76,"Brendon de Jonge",55,162.5,2719445,465,"AverageApproachDistancePar",2016
59,71,"David Hearn",55,162.5,2948274,504,"AverageApproachDistancePar",2016
61,76,"Brian Harman",60,162.6,3066844,524,"AverageApproachDistancePar",2016
62,51,"Ricky Barnes",57,162.7,2946379,503,"AverageApproachDistancePar",2016
62,53,"Derek Ernst",36,162.7,1517100,259,"AverageApproachDistancePar",2016
62,76,"Lucas Glover",53,162.7,3339234,570,"AverageApproachDistancePar",2016
62,71,"Spencer Levin",62,162.7,3303507,564,"AverageApproachDistancePar",2016
62,67,"Camilo Villegas",50,162.7,2900102,495,"AverageApproachDistancePar",2016
67,90,"Nick Taylor",57,162.8,3017620,515,"AverageApproachDistancePar",2016
68,90,"James Hahn",45,162.9,2440081,416,"AverageApproachDistancePar",2016
68,83,"Ryan Palmer",46,162.9,2745054,468,"AverageApproachDistancePar",2016
70,86,"Bryce Molder",50,163,2705825,461,"AverageApproachDistancePar",2016
70,86,"Steve Stricker",25,163,1408738,240,"AverageApproachDistancePar",2016
70,75,"Brendon Todd",43,163,2377116,405,"AverageApproachDistancePar",2016
70,64,"Boo Weekley",53,163,2663588,454,"AverageApproachDistancePar",2016
70,60,"Steve Wheatcroft",53,163,2898322,494,"AverageApproachDistancePar",2016
75,57,"Johnson Wagner",44,163.1,2272430,387,"AverageApproachDistancePar",2016
76,70,"Morgan Hoffmann",43,163.2,2220462,378,"AverageApproachDistancePar",2016
76,90,"Zach Johnson",42,163.2,2168282,369,"AverageApproachDistancePar",2016
76,69,"Will Ma Kenzie",54,163.2,2738343,466,"AverageApproachDistancePar",2016
76,57,"Kyle Reifers",63,163.2,3220320,548,"AverageApproachDistancePar",2016
76,80,"Justin Thomas",53,163.2,2420513,412,"AverageApproachDistancePar",2016
81,83,"Hunter Mahan",43,163.3,2080990,354,"AverageApproachDistancePar",2016
82,98,"Aaron Baddeley",51,163.4,2516939,428,"AverageApproachDistancePar",2016
82,109,"Erik Compton",45,163.4,2100189,357,"AverageApproachDistancePar",2016
82,135,"Luke Donald",49,163.4,2399860,408,"AverageApproachDistancePar",2016
82,98,"Brandt Snedeker",47,163.4,2288490,389,"AverageApproachDistancePar",2016
86,90,"Stuart Appleby",39,163.5,2537515,431,"AverageApproachDistancePar",2016
86,76,"Jason Kokrak",52,163.5,2813262,478,"AverageApproachDistancePar",2016
88,107,"Hudson Swafford",52,163.8,2583297,438,"AverageApproachDistancePar",2016
89,86,"Derek Fathauer",58,163.9,2808342,476,"AverageApproachDistancePar",2016
89,109,"Chris Kirk",51,163.9,2767694,469,"AverageApproachDistancePar",2016
89,98,"Colt Knost",56,163.9,3032638,514,"AverageApproachDistancePar",2016
89,109,"Andres Romero",22,163.9,961673,163,"AverageApproachDistancePar",2016
89,98,"Kyle Stanley",57,163.9,3003545,509,"AverageApproachDistancePar",2016
94,94,"Ben Martin",48,164,2586092,438,"AverageApproachDistancePar",2016
94,61,"Harold Varner III",58,164,3111312,527,"AverageApproachDistancePar",2016
96,98,"Robert Allenby",35,164.1,1737035,294,"AverageApproachDistancePar",2016
96,115,"KJ Choi",47,164.1,2858551,484,"AverageApproachDistancePar",2016
96,115,"Rhein Gibson",36,164.1,1813619,307,"AverageApproachDistancePar",2016
99,109,"JJ Henry",44,164.2,2783925,471,"AverageApproachDistancePar",2016
99,44,"JB Holmes",39,164.2,1832054,310,"AverageApproachDistancePar",2016
101,94,"Alex Cejka",47,164.4,2196034,371,"AverageApproachDistancePar",2016
101,119,"Greg Owen",56,164.4,2906282,491,"AverageApproachDistancePar",2016
103,98,"Roberto Castro",55,164.5,3239560,547,"AverageApproachDistancePar",2016
103,114,"Jim Herman",55,164.5,2623610,443,"AverageApproachDistancePar",2016
103,64,"Brian Stuard",24,164.5,1220015,206,"AverageApproachDistancePar",2016
106,94,"Thomas Aiken",42,164.6,1867060,315,"AverageApproachDistancePar",2016
106,129,"Jason Bohn",37,164.6,1956027,330,"AverageApproachDistancePar",2016
106,109,"Jamie Lovemark",57,164.6,3388883,572,"AverageApproachDistancePar",2016
106,124,"Seung Yul Noh",54,164.6,2886478,487,"AverageApproachDistancePar",2016
110,123,"Blayne Barber",44,164.7,2489613,420,"AverageApproachDistancePar",2016
110,117,"Hiroshi Iwata",51,164.7,2335980,394,"AverageApproachDistancePar",2016
110,124,"Kevin Kisner",49,164.7,2164665,365,"AverageApproachDistancePar",2016
110,128,"Bubba Watson",30,164.7,1102963,186,"AverageApproachDistancePar",2016
114,129,"Whee Kim",54,164.8,2854355,481,"AverageApproachDistancePar",2016
114,129,"Matt Kuchar",46,164.8,2153677,363,"AverageApproachDistancePar",2016
114,80,"Sean OHair",45,164.8,2787976,470,"AverageApproachDistancePar",2016
117,94,"David Lingmerth",54,164.9,2451855,413,"AverageApproachDistancePar",2016
117,132,"Louis Oosthuizen",25,164.9,688563,116,"AverageApproachDistancePar",2016
119,135,"Stewart Cink",45,165,2204048,371,"AverageApproachDistancePar",2016
120,132,"Jonas Blixt",46,165.1,2394554,403,"AverageApproachDistancePar",2016
120,124,"Cameron Tringale",47,165.1,2685940,452,"AverageApproachDistancePar",2016
122,117,"Kevin Chappell",49,165.2,2700149,454,"AverageApproachDistancePar",2016
122,145,"Retief Goosen",37,165.2,2265394,381,"AverageApproachDistancePar",2016
