"DrivingDistance_RANKTHISWEEK_2013","DrivingDistance_RANKLASTWEEK_2013","DrivingDistance_PLAYERNAME_2013","DrivingDistance_ROUNDS_2013","DrivingDistance_AVG_2013","DrivingDistance_TOTALDISTANCE_2013","DrivingDistance_TOTALDRIVES_2013","stat_name","year"
1,1,"Luke List",65,306.3,37365,122,"DrivingDistance",2013
2,2,"Dustin Johnson",71,305.8,42809,140,"DrivingDistance",2013
3,3,"Nicolas Colsaerts",50,305.7,28736,94,"DrivingDistance",2013
4,4,"Gary Woodland",94,303.8,54376,179,"DrivingDistance",2013
5,5,"Bubba Watson",76,303.7,44030,145,"DrivingDistance",2013
6,6,"Jason Kokrak",78,303.2,47298,156,"DrivingDistance",2013
7,7,"Robert Garrigus",69,302.4,39315,130,"DrivingDistance",2013
8,8,"Rory McIlroy",56,302.2,33240,110,"DrivingDistance",2013
9,9,"Eric Meierdierks",48,301.9,27773,92,"DrivingDistance",2013
10,10,"Ryan Palmer",79,301.5,47329,157,"DrivingDistance",2013
11,11,"Keegan Bradley",88,300.6,52302,174,"DrivingDistance",2013
12,12,"Martin Flores",83,300.4,49874,166,"DrivingDistance",2013
13,13,"Steven Bowditch",67,300.2,39029,130,"DrivingDistance",2013
14,14,"Sean OHair",56,299.7,33561,112,"DrivingDistance",2013
15,15,"Tag Ridings",69,299.6,38944,130,"DrivingDistance",2013
16,16,"Jason Day",86,299.3,47589,159,"DrivingDistance",2013
17,17,"Jim Herman",59,299.2,32913,110,"DrivingDistance",2013
18,18,"Seung Yul Noh",71,298.8,40045,134,"DrivingDistance",2013
19,19,"Graham DeLaet",94,298.6,55832,187,"DrivingDistance",2013
20,20,"Jimmy Walker",84,298.5,50147,168,"DrivingDistance",2013
21,21,"Scott Piercy",78,298.2,44430,149,"DrivingDistance",2013
22,22,"Kyle Stanley",71,298.1,42332,142,"DrivingDistance",2013
23,23,"Adam Scott",61,297.8,35733,120,"DrivingDistance",2013
