"PresidentsCupUnitedes_RANKTHISWEEK_2013","PresidentsCupUnitedes_RANKLASTWEEK_2013","PresidentsCupUnitedes_PLAYERNAME_2013","PresidentsCupUnitedes__2013","PresidentsCupUnitedes_POINTS_2013","stat_name","year"
86,86,"Ricky Barnes",NA,1938,"PresidentsCupUnitedes",2013
87,87,"Tom Gillis",NA,1929,"PresidentsCupUnitedes",2013
88,88,"Chez Reavie",NA,1895,"PresidentsCupUnitedes",2013
89,89,"Nicholas Thompson",NA,1894,"PresidentsCupUnitedes",2013
90,90,"Morgan Hoffmann",NA,1795,"PresidentsCupUnitedes",2013
91,91,"Sean OHair",NA,1762,"PresidentsCupUnitedes",2013
92,92,"James Hahn",NA,1707,"PresidentsCupUnitedes",2013
93,93,"Troy Matteson",NA,1705,"PresidentsCupUnitedes",2013
94,94,"Erik Compton",NA,1663,"PresidentsCupUnitedes",2013
95,95,"Lucas Glover",NA,1627,"PresidentsCupUnitedes",2013
96,96,"Spencer Levin",NA,1603,"PresidentsCupUnitedes",2013
97,97,"Davis Love III",NA,1597,"PresidentsCupUnitedes",2013
98,98,"Justin Hicks",NA,1497,"PresidentsCupUnitedes",2013
99,99,"Tim Herron",NA,1453,"PresidentsCupUnitedes",2013
100,100,"David Mathis",NA,1437,"PresidentsCupUnitedes",2013
101,101,"John Mallinger",NA,1421,"PresidentsCupUnitedes",2013
102,102,"Brendon Todd",NA,1421,"PresidentsCupUnitedes",2013
103,103,"Vaughn Taylor",NA,1394,"PresidentsCupUnitedes",2013
104,104,"Woody Austin",NA,1309,"PresidentsCupUnitedes",2013
105,105,"Blake Adams",NA,1285,"PresidentsCupUnitedes",2013
106,106,"DJ Trahan",NA,1280,"PresidentsCupUnitedes",2013
107,107,"Scott Langley",NA,1264,"PresidentsCupUnitedes",2013
108,108,"Colt Knost",NA,1242,"PresidentsCupUnitedes",2013
109,109,"Bobby Gates",NA,1234,"PresidentsCupUnitedes",2013
110,110,"JB Holmes",NA,1210,"PresidentsCupUnitedes",2013
111,111,"Will Claxton",NA,1194,"PresidentsCupUnitedes",2013
112,112,"Billy Mayfair",NA,1110,"PresidentsCupUnitedes",2013
113,113,"Jim Herman",NA,1104,"PresidentsCupUnitedes",2013
114,114,"Justin Bolli",NA,1090,"PresidentsCupUnitedes",2013
115,115,"Shawn Stefani",NA,1050,"PresidentsCupUnitedes",2013
116,116,"Bill Lunde",NA,1036,"PresidentsCupUnitedes",2013
117,117,"Casey Wittenberg",NA,1014,"PresidentsCupUnitedes",2013
118,118,"Brandt Jobe",NA,1008,"PresidentsCupUnitedes",2013
119,119,"Tim Petrovic",NA,985,"PresidentsCupUnitedes",2013
120,120,"Robert Streb",NA,910,"PresidentsCupUnitedes",2013
121,121,"Tag Ridings",NA,882,"PresidentsCupUnitedes",2013
122,122,"Troy Kelly",NA,852,"PresidentsCupUnitedes",2013
123,123,"Cameron Beckman",NA,850,"PresidentsCupUnitedes",2013
124,124,"Ben Kohles",NA,849,"PresidentsCupUnitedes",2013
125,125,"Chris DiMarco",NA,841,"PresidentsCupUnitedes",2013
126,126,"Heath Slocum",NA,827,"PresidentsCupUnitedes",2013
127,127,"Harrison Frazar",NA,752,"PresidentsCupUnitedes",2013
128,128,"Briny Baird",NA,730,"PresidentsCupUnitedes",2013
129,129,"Steve LeBrun",NA,706,"PresidentsCupUnitedes",2013
130,130,"Kris Blanks",NA,693,"PresidentsCupUnitedes",2013
131,131,"Doug LaBelle II",NA,690,"PresidentsCupUnitedes",2013
132,132,"Fred Couples",NA,625,"PresidentsCupUnitedes",2013
133,133,"John Daly",NA,576,"PresidentsCupUnitedes",2013
134,134,"Matt Bettencourt",NA,557,"PresidentsCupUnitedes",2013
135,135,"Aaron Watkins",NA,554,"PresidentsCupUnitedes",2013
136,136,"Andres Gonzales",NA,529,"PresidentsCupUnitedes",2013
137,137,"Luke List",NA,529,"PresidentsCupUnitedes",2013
138,138,"Joe Durant",NA,508,"PresidentsCupUnitedes",2013
139,139,"Kevin Sutherland",NA,469,"PresidentsCupUnitedes",2013
140,140,"Tom Pernice Jr",NA,457,"PresidentsCupUnitedes",2013
141,141,"Michael Bradley",NA,451,"PresidentsCupUnitedes",2013
142,142,"Glen Day",NA,412,"PresidentsCupUnitedes",2013
143,143,"Darron Stiles",NA,390,"PresidentsCupUnitedes",2013
144,144,"Steve Marino",NA,383,"PresidentsCupUnitedes",2013
145,145,"Chris Couch",NA,345,"PresidentsCupUnitedes",2013
146,146,"Paul Goydos",NA,331,"PresidentsCupUnitedes",2013
147,147,"Lee Janzen",NA,326,"PresidentsCupUnitedes",2013
148,148,"Derek Lamely",NA,324,"PresidentsCupUnitedes",2013
149,149,"Joey Snyder III",NA,311,"PresidentsCupUnitedes",2013
150,150,"Joe Ogilvie",NA,272,"PresidentsCupUnitedes",2013
151,151,"Lee Williams",NA,268,"PresidentsCupUnitedes",2013
152,152,"Rocco Mediate",NA,262,"PresidentsCupUnitedes",2013
153,153,"Todd Hamilton",NA,250,"PresidentsCupUnitedes",2013
154,154,"Chris Riley",NA,242,"PresidentsCupUnitedes",2013
155,155,"Duffy Waldorf",NA,240,"PresidentsCupUnitedes",2013
156,156,"Billy Andrade",NA,228,"PresidentsCupUnitedes",2013
157,157,"Paul Stankowski",NA,216,"PresidentsCupUnitedes",2013
158,158,"Rich Beem",NA,209,"PresidentsCupUnitedes",2013
159,159,"Garrett Willis",NA,204,"PresidentsCupUnitedes",2013
160,160,"Kenny Perry",NA,182,"PresidentsCupUnitedes",2013
161,161,"Steve Flesch",NA,175,"PresidentsCupUnitedes",2013
162,162,"Marc Turnesa",NA,168,"PresidentsCupUnitedes",2013
163,163,"Wes Short Jr",NA,166,"PresidentsCupUnitedes",2013
164,164,"Scott Verplank",NA,157,"PresidentsCupUnitedes",2013
165,165,"Andrew Svoboda",NA,154,"PresidentsCupUnitedes",2013
166,166,"Frank Lickliter II",NA,149,"PresidentsCupUnitedes",2013
167,167,"Scott McCarron",NA,146,"PresidentsCupUnitedes",2013
168,168,"Paul Haley II",NA,146,"PresidentsCupUnitedes",2013
169,169,"Michael Allen",NA,142,"PresidentsCupUnitedes",2013
170,170,"Mark Calcavecchia",NA,134,"PresidentsCupUnitedes",2013
171,171,"Will Ma Kenzie",NA,127,"PresidentsCupUnitedes",2013
172,172,"Hank Kuehne",NA,122,"PresidentsCupUnitedes",2013
173,173,"Michael Letzig",NA,120,"PresidentsCupUnitedes",2013
174,174,"Eric Meierdierks",NA,116,"PresidentsCupUnitedes",2013
175,175,"Shaun Micheel",NA,114,"PresidentsCupUnitedes",2013
176,176,"Jeff Gove",NA,107,"PresidentsCupUnitedes",2013
177,177,"Tom Lehman",NA,100,"PresidentsCupUnitedes",2013
178,178,"Joe Affrunti",NA,99,"PresidentsCupUnitedes",2013
179,179,"Neal Lancaster",NA,96,"PresidentsCupUnitedes",2013
180,180,"Marco Dawson",NA,93,"PresidentsCupUnitedes",2013
181,181,"Skip Kendall",NA,90,"PresidentsCupUnitedes",2013
182,182,"Tom Watson",NA,86,"PresidentsCupUnitedes",2013
183,183,"David Duval",NA,83,"PresidentsCupUnitedes",2013
184,184,"Kent Jones",NA,80,"PresidentsCupUnitedes",2013
185,185,"Robert Gamez",NA,73,"PresidentsCupUnitedes",2013
186,186,"Bart Bryant",NA,61,"PresidentsCupUnitedes",2013
187,187,"Corey Pavin",NA,59,"PresidentsCupUnitedes",2013
188,188,"Brett Wetterich",NA,51,"PresidentsCupUnitedes",2013
189,189,"Ted Purdy",NA,50,"PresidentsCupUnitedes",2013
190,190,"Fred Funk",NA,45,"PresidentsCupUnitedes",2013
191,191,"Willie Wood",NA,42,"PresidentsCupUnitedes",2013
192,192,"Dean Wilson",NA,42,"PresidentsCupUnitedes",2013
193,193,"Mark OMeara",NA,40,"PresidentsCupUnitedes",2013
194,194,"Russ Cochran",NA,38,"PresidentsCupUnitedes",2013
195,195,"Anthony Kim",NA,34,"PresidentsCupUnitedes",2013
196,196,"Brett Quigley",NA,32,"PresidentsCupUnitedes",2013
197,197,"Robert Damron",NA,31,"PresidentsCupUnitedes",2013
198,198,"Omar Uresti",NA,29,"PresidentsCupUnitedes",2013
199,199,"Carl Paulson",NA,27,"PresidentsCupUnitedes",2013
200,200,"Jason Gore",NA,27,"PresidentsCupUnitedes",2013
201,201,"Craig Barlow",NA,27,"PresidentsCupUnitedes",2013
202,202,"Guy Boros",NA,21,"PresidentsCupUnitedes",2013
203,203,"JP Hayes",NA,18,"PresidentsCupUnitedes",2013
204,204,"Len Mattiace",NA,17,"PresidentsCupUnitedes",2013
205,205,"Gene Sauers",NA,13,"PresidentsCupUnitedes",2013
206,206,"Eric Axley",NA,7,"PresidentsCupUnitedes",2013
206,206,"Mark Brooks",NA,7,"PresidentsCupUnitedes",2013
206,206,"Steve Lowery",NA,7,"PresidentsCupUnitedes",2013
209,209,"Kirk Triplett",NA,7,"PresidentsCupUnitedes",2013
