"TenthTeeLateLowestRound_RANKTHISWEEK_2010","TenthTeeLateLowestRound_RANKLASTWEEK_2010","TenthTeeLateLowestRound_PLAYERNAME_2010","TenthTeeLateLowestRound_ROUNDS_2010","TenthTeeLateLowestRound_LOWRND_2010","stat_name","year"
1,1,"Arjun Atwal",47,61,"TenthTeeLateLowestRound",2010
2,2,"Shane Bertsch",15,62,"TenthTeeLateLowestRound",2010
2,2,"Jeff Overton",89,62,"TenthTeeLateLowestRound",2010
2,2,"Chris Stroud",90,62,"TenthTeeLateLowestRound",2010
5,5,"Blake Adams",84,63,"TenthTeeLateLowestRound",2010
5,5,"Jonathan Byrd",85,63,"TenthTeeLateLowestRound",2010
5,5,"Matt Every",60,63,"TenthTeeLateLowestRound",2010
5,5,"JP Hayes",79,63,"TenthTeeLateLowestRound",2010
5,5,"Spencer Levin",110,63,"TenthTeeLateLowestRound",2010
5,5,"Nick Watney",91,63,"TenthTeeLateLowestRound",2010
11,11,"Chad Campbell",95,64,"TenthTeeLateLowestRound",2010
11,11,"Chad Collins",87,64,"TenthTeeLateLowestRound",2010
11,11,"Jason Dufner",87,64,"TenthTeeLateLowestRound",2010
11,11,"Yuta Ikeda",32,64,"TenthTeeLateLowestRound",2010
11,11,"Anthony Kim",45,64,"TenthTeeLateLowestRound",2010
11,11,"Michael Letzig",84,64,"TenthTeeLateLowestRound",2010
11,11,"Troy Merritt",86,64,"TenthTeeLateLowestRound",2010
11,11,"Ryan Palmer",84,64,"TenthTeeLateLowestRound",2010
11,11,"Kenny Perry",69,64,"TenthTeeLateLowestRound",2010
11,11,"John Senden",103,64,"TenthTeeLateLowestRound",2010
11,11,"Jeev Milkha Singh",59,64,"TenthTeeLateLowestRound",2010
11,11,"Kevin Streelman",90,64,"TenthTeeLateLowestRound",2010
11,11,"David Toms",86,64,"TenthTeeLateLowestRound",2010
11,11,"Cameron Tringale",55,64,"TenthTeeLateLowestRound",2010
11,11,"Mark Wilson",87,64,"TenthTeeLateLowestRound",2010
26,26,"Robert Allenby",76,65,"TenthTeeLateLowestRound",2010
26,26,"Aaron Baddeley",94,65,"TenthTeeLateLowestRound",2010
26,26,"Rich Barcelo",70,65,"TenthTeeLateLowestRound",2010
26,26,"Rich Beem",31,65,"TenthTeeLateLowestRound",2010
26,26,"Jason Bohn",84,65,"TenthTeeLateLowestRound",2010
26,26,"KJ Choi",82,65,"TenthTeeLateLowestRound",2010
26,26,"Michael Connell",89,65,"TenthTeeLateLowestRound",2010
26,26,"David Duval",71,65,"TenthTeeLateLowestRound",2010
26,26,"Steve Elkington",74,65,"TenthTeeLateLowestRound",2010
26,26,"Martin Flores",75,65,"TenthTeeLateLowestRound",2010
26,26,"Robert Garrigus",71,65,"TenthTeeLateLowestRound",2010
26,26,"Brian Gay",101,65,"TenthTeeLateLowestRound",2010
26,26,"Nathan Green",86,65,"TenthTeeLateLowestRound",2010
26,26,"Charley Hoffman",85,65,"TenthTeeLateLowestRound",2010
26,26,"Ryuji Imada",90,65,"TenthTeeLateLowestRound",2010
26,26,"Matt Jones",89,65,"TenthTeeLateLowestRound",2010
26,26,"Jerry Kelly",99,65,"TenthTeeLateLowestRound",2010
26,26,"Martin Laird",91,65,"TenthTeeLateLowestRound",2010
26,26,"Marc Leishman",87,65,"TenthTeeLateLowestRound",2010
26,26,"John Mallinger",78,65,"TenthTeeLateLowestRound",2010
26,26,"Troy Matteson",84,65,"TenthTeeLateLowestRound",2010
26,26,"George McNeill",79,65,"TenthTeeLateLowestRound",2010
26,26,"Rocco Mediate",71,65,"TenthTeeLateLowestRound",2010
26,26,"John Merrick",109,65,"TenthTeeLateLowestRound",2010
26,26,"Bryce Molder",84,65,"TenthTeeLateLowestRound",2010
26,26,"Joe Ogilvie",99,65,"TenthTeeLateLowestRound",2010
26,26,"Geoff Ogilvy",62,65,"TenthTeeLateLowestRound",2010
26,26,"Carl Pettersson",99,65,"TenthTeeLateLowestRound",2010
26,26,"Chez Reavie",44,65,"TenthTeeLateLowestRound",2010
26,26,"Chris Riley",73,65,"TenthTeeLateLowestRound",2010
26,26,"John Rollins",81,65,"TenthTeeLateLowestRound",2010
26,26,"Vijay Singh",75,65,"TenthTeeLateLowestRound",2010
26,26,"Kevin Stadler",86,65,"TenthTeeLateLowestRound",2010
26,26,"Paul Stankowski",62,65,"TenthTeeLateLowestRound",2010
26,26,"Kevin Sutherland",86,65,"TenthTeeLateLowestRound",2010
26,26,"Vaughn Taylor",87,65,"TenthTeeLateLowestRound",2010
26,26,"Roland Thatcher",72,65,"TenthTeeLateLowestRound",2010
26,26,"DJ Trahan",92,65,"TenthTeeLateLowestRound",2010
26,26,"Bo Van Pelt",104,65,"TenthTeeLateLowestRound",2010
26,26,"Scott Verplank",74,65,"TenthTeeLateLowestRound",2010
26,26,"Johnson Wagner",85,65,"TenthTeeLateLowestRound",2010
26,26,"Garrett Willis",82,65,"TenthTeeLateLowestRound",2010
68,68,"Ricky Barnes",103,66,"TenthTeeLateLowestRound",2010
68,68,"Kris Blanks",91,66,"TenthTeeLateLowestRound",2010
68,68,"Paul Casey",64,66,"TenthTeeLateLowestRound",2010
68,68,"Alex Cejka",81,66,"TenthTeeLateLowestRound",2010
68,68,"Greg Chalmers",93,66,"TenthTeeLateLowestRound",2010
68,68,"Stewart Cink",84,66,"TenthTeeLateLowestRound",2010
68,68,"Tim Clark",88,66,"TenthTeeLateLowestRound",2010
68,68,"Chris Couch",66,66,"TenthTeeLateLowestRound",2010
68,68,"Ben Curtis",78,66,"TenthTeeLateLowestRound",2010
68,68,"John Daly",63,66,"TenthTeeLateLowestRound",2010
68,68,"Jason Day",82,66,"TenthTeeLateLowestRound",2010
68,68,"Brendon de Jonge",114,66,"TenthTeeLateLowestRound",2010
68,68,"Joe Durant",67,66,"TenthTeeLateLowestRound",2010
68,68,"Bob Estes",79,66,"TenthTeeLateLowestRound",2010
68,68,"Mathew Goggin",85,66,"TenthTeeLateLowestRound",2010
68,68,"Jason Gore",29,66,"TenthTeeLateLowestRound",2010
68,68,"Bill Haas",87,66,"TenthTeeLateLowestRound",2010
68,68,"Peter Hanson",25,66,"TenthTeeLateLowestRound",2010
68,68,"Tim Herron",79,66,"TenthTeeLateLowestRound",2010
68,68,"JB Holmes",100,66,"TenthTeeLateLowestRound",2010
68,68,"Charles Howell III",103,66,"TenthTeeLateLowestRound",2010
68,68,"Kevin Johnson",62,66,"TenthTeeLateLowestRound",2010
68,68,"Richard Johnson",90,66,"TenthTeeLateLowestRound",2010
68,68,"Jeff Klauk",40,66,"TenthTeeLateLowestRound",2010
68,68,"Derek Lamely",81,66,"TenthTeeLateLowestRound",2010
68,68,"Tom Lehman",30,66,"TenthTeeLateLowestRound",2010
68,68,"Thomas Levet",6,66,"TenthTeeLateLowestRound",2010
68,68,"Jarrod Lyle",54,66,"TenthTeeLateLowestRound",2010
68,68,"Will Ma Kenzie",72,66,"TenthTeeLateLowestRound",2010
68,68,"Jeff Maggert",76,66,"TenthTeeLateLowestRound",2010
68,68,"Billy Mayfair",78,66,"TenthTeeLateLowestRound",2010
68,68,"Andrew McLardy",52,66,"TenthTeeLateLowestRound",2010
68,68,"Shaun Micheel",70,66,"TenthTeeLateLowestRound",2010
68,68,"Ryan Moore",80,66,"TenthTeeLateLowestRound",2010
68,68,"James Nitties",92,66,"TenthTeeLateLowestRound",2010
68,68,"Greg Owen",69,66,"TenthTeeLateLowestRound",2010
68,68,"Jesper Parnevik",13,66,"TenthTeeLateLowestRound",2010
68,68,"Corey Pavin",27,66,"TenthTeeLateLowestRound",2010
68,68,"Pat Perez",90,66,"TenthTeeLateLowestRound",2010
68,68,"Tim Petrovic",105,66,"TenthTeeLateLowestRound",2010
68,68,"Scott Piercy",88,66,"TenthTeeLateLowestRound",2010
68,68,"DA Points",90,66,"TenthTeeLateLowestRound",2010
68,68,"Ian Poulter",55,66,"TenthTeeLateLowestRound",2010
68,68,"Alex Prugh",88,66,"TenthTeeLateLowestRound",2010
68,68,"Brett Quigley",96,66,"TenthTeeLateLowestRound",2010
68,68,"Sam Saunders",21,66,"TenthTeeLateLowestRound",2010
68,68,"Adam Scott",70,66,"TenthTeeLateLowestRound",2010
68,68,"Webb Simpson",98,66,"TenthTeeLateLowestRound",2010
68,68,"Heath Slocum",97,66,"TenthTeeLateLowestRound",2010
68,68,"Brandt Snedeker",89,66,"TenthTeeLateLowestRound",2010
68,68,"Brian Stuard",81,66,"TenthTeeLateLowestRound",2010
68,68,"Josh Teater",101,66,"TenthTeeLateLowestRound",2010
68,68,"Nicholas Thompson",88,66,"TenthTeeLateLowestRound",2010
68,68,"Chris Tidland",77,66,"TenthTeeLateLowestRound",2010
68,68,"Jimmy Walker",82,66,"TenthTeeLateLowestRound",2010
68,68,"Brett Wetterich",54,66,"TenthTeeLateLowestRound",2010
68,68,"Charlie Wi",95,66,"TenthTeeLateLowestRound",2010
68,68,"Tim Wilkinson",35,66,"TenthTeeLateLowestRound",2010
68,68,"Chris Wilson",65,66,"TenthTeeLateLowestRound",2010
68,68,"Gary Woodland",22,66,"TenthTeeLateLowestRound",2010
68,68,"YE Yang",72,66,"TenthTeeLateLowestRound",2010
129,129,"Stephen Ames",75,67,"TenthTeeLateLowestRound",2010
129,129,"Stuart Appleby",101,67,"TenthTeeLateLowestRound",2010
129,129,"Briny Baird",87,67,"TenthTeeLateLowestRound",2010
129,129,"Cameron Beckman",68,67,"TenthTeeLateLowestRound",2010
129,129,"Matt Bettencourt",91,67,"TenthTeeLateLowestRound",2010
129,129,"Justin Bolli",55,67,"TenthTeeLateLowestRound",2010
129,129,"Guy Boros",18,67,"TenthTeeLateLowestRound",2010
129,129,"Michael Bradley",77,67,"TenthTeeLateLowestRound",2010
129,129,"Fred Couples",22,67,"TenthTeeLateLowestRound",2010
129,129,"Ben Crane",85,67,"TenthTeeLateLowestRound",2010
129,129,"Brian Davis",101,67,"TenthTeeLateLowestRound",2010
129,129,"Glen Day",38,67,"TenthTeeLateLowestRound",2010
129,129,"Chris DiMarco",88,67,"TenthTeeLateLowestRound",2010
129,129,"Brad Faxon",58,67,"TenthTeeLateLowestRound",2010
129,129,"Rickie Fowler",98,67,"TenthTeeLateLowestRound",2010
129,129,"Tom Gillis",97,67,"TenthTeeLateLowestRound",2010
129,129,"Retief Goosen",75,67,"TenthTeeLateLowestRound",2010
129,129,"Paul Goydos",78,67,"TenthTeeLateLowestRound",2010
129,129,"Peter Gustafsson",4,67,"TenthTeeLateLowestRound",2010
129,129,"Todd Hamilton",49,67,"TenthTeeLateLowestRound",2010
129,129,"JJ Henry",92,67,"TenthTeeLateLowestRound",2010
129,129,"Mark Hensby",39,67,"TenthTeeLateLowestRound",2010
129,129,"Freddie Jacobson",83,67,"TenthTeeLateLowestRound",2010
129,129,"Zach Johnson",93,67,"TenthTeeLateLowestRound",2010
129,129,"Jonathan Kaye",17,67,"TenthTeeLateLowestRound",2010
129,129,"Skip Kendall",58,67,"TenthTeeLateLowestRound",2010
129,129,"Colt Knost",2,67,"TenthTeeLateLowestRound",2010
129,129,"Matt Kuchar",97,67,"TenthTeeLateLowestRound",2010
129,129,"Justin Leonard",89,67,"TenthTeeLateLowestRound",2010
129,129,"Frank Lickliter II",19,67,"TenthTeeLateLowestRound",2010
129,129,"Bill Lunde",79,67,"TenthTeeLateLowestRound",2010
129,129,"Hunter Mahan",85,67,"TenthTeeLateLowestRound",2010
129,129,"Scott McCarron",90,67,"TenthTeeLateLowestRound",2010
129,129,"Parker McLachlin",45,67,"TenthTeeLateLowestRound",2010
129,129,"Phil Mickelson",76,67,"TenthTeeLateLowestRound",2010
129,129,"Garth Mulroy",53,67,"TenthTeeLateLowestRound",2010
129,129,"Kevin Na",94,67,"TenthTeeLateLowestRound",2010
129,129,"Rod Pampling",77,67,"TenthTeeLateLowestRound",2010
129,129,"Brenden Pappas",66,67,"TenthTeeLateLowestRound",2010
129,129,"Cameron Percy",73,67,"TenthTeeLateLowestRound",2010
129,129,"Tom Pernice Jr",74,67,"TenthTeeLateLowestRound",2010
129,129,"Aron Price",70,67,"TenthTeeLateLowestRound",2010
129,129,"Fran Quinn",19,67,"TenthTeeLateLowestRound",2010
129,129,"Jeff Quinney",91,67,"TenthTeeLateLowestRound",2010
129,129,"Alvaro Quiros",27,67,"TenthTeeLateLowestRound",2010
129,129,"Andres Romero",73,67,"TenthTeeLateLowestRound",2010
129,129,"Justin Rose",78,67,"TenthTeeLateLowestRound",2010
129,129,"Rory Sabbatini",79,67,"TenthTeeLateLowestRound",2010
129,129,"Henrik Stenson",45,67,"TenthTeeLateLowestRound",2010
129,129,"Marc Turnesa",19,67,"TenthTeeLateLowestRound",2010
129,129,"Omar Uresti",74,67,"TenthTeeLateLowestRound",2010
129,129,"Vance Veazey",58,67,"TenthTeeLateLowestRound",2010
129,129,"Camilo Villegas",78,67,"TenthTeeLateLowestRound",2010
129,129,"Charles Warren",64,67,"TenthTeeLateLowestRound",2010
129,129,"Boo Weekley",88,67,"TenthTeeLateLowestRound",2010
129,129,"Mike Weir",59,67,"TenthTeeLateLowestRound",2010
129,129,"Steve Wheatcroft",74,67,"TenthTeeLateLowestRound",2010
129,129,"Dean Wilson",54,67,"TenthTeeLateLowestRound",2010
129,129,"Oliver Wilson",28,67,"TenthTeeLateLowestRound",2010
188,188,"Tommy Armour III",11,68,"TenthTeeLateLowestRound",2010
188,188,"Woody Austin",93,68,"TenthTeeLateLowestRound",2010
188,188,"Henrik Bjornstad",72,68,"TenthTeeLateLowestRound",2010
188,188,"Mark Brooks",39,68,"TenthTeeLateLowestRound",2010
188,188,"Mark Calcavecchia",50,68,"TenthTeeLateLowestRound",2010
188,188,"Kevin Chappell",7,68,"TenthTeeLateLowestRound",2010
188,188,"Daniel Chopra",74,68,"TenthTeeLateLowestRound",2010
188,188,"Erik Compton",24,68,"TenthTeeLateLowestRound",2010
188,188,"Robert Damron",10,68,"TenthTeeLateLowestRound",2010
188,188,"Graham DeLaet",88,68,"TenthTeeLateLowestRound",2010
188,188,"Jay Delsing",8,68,"TenthTeeLateLowestRound",2010
188,188,"Luke Donald",71,68,"TenthTeeLateLowestRound",2010
188,188,"James Driscoll",78,68,"TenthTeeLateLowestRound",2010
188,188,"Brian Duncan",2,68,"TenthTeeLateLowestRound",2010
188,188,"Ernie Els",72,68,"TenthTeeLateLowestRound",2010
188,188,"Ross Fisher",29,68,"TenthTeeLateLowestRound",2010
188,188,"Steve Flesch",78,68,"TenthTeeLateLowestRound",2010
188,188,"Lucas Glover",75,68,"TenthTeeLateLowestRound",2010
188,188,"Jeff Gove",57,68,"TenthTeeLateLowestRound",2010
188,188,"Mathias Gronberg",61,68,"TenthTeeLateLowestRound",2010
188,188,"Billy Horschel",11,68,"TenthTeeLateLowestRound",2010
188,188,"Raphael Jacquelin",2,68,"TenthTeeLateLowestRound",2010
188,188,"Brandt Jobe",4,68,"TenthTeeLateLowestRound",2010
188,188,"Dustin Johnson",83,68,"TenthTeeLateLowestRound",2010
188,188,"Kent Jones",28,68,"TenthTeeLateLowestRound",2010
188,188,"Robert Karlsson",40,68,"TenthTeeLateLowestRound",2010
188,188,"Cliff Kresge",50,68,"TenthTeeLateLowestRound",2010
188,188,"WC Liang",14,68,"TenthTeeLateLowestRound",2010
188,188,"Luke List",2,68,"TenthTeeLateLowestRound",2010
188,188,"Jamie Lovemark",14,68,"TenthTeeLateLowestRound",2010
188,188,"Steve Lowery",67,68,"TenthTeeLateLowestRound",2010
188,188,"Santiago Luna",4,68,"TenthTeeLateLowestRound",2010
188,188,"Steve Marino",81,68,"TenthTeeLateLowestRound",2010
188,188,"Rory McIlroy",54,68,"TenthTeeLateLowestRound",2010
188,188,"Francesco Molinari",25,68,"TenthTeeLateLowestRound",2010
188,188,"John Morse",11,68,"TenthTeeLateLowestRound",2010
188,188,"Seung Yul Noh",14,68,"TenthTeeLateLowestRound",2010
188,188,"Ryuichi Oda",6,68,"TenthTeeLateLowestRound",2010
188,188,"Michael Putnam",4,68,"TenthTeeLateLowestRound",2010
188,188,"Jason Schultz",4,68,"TenthTeeLateLowestRound",2010
188,188,"Michael Sim",64,68,"TenthTeeLateLowestRound",2010
188,188,"Mike Small",22,68,"TenthTeeLateLowestRound",2010
188,188,"Jordan Spieth",6,68,"TenthTeeLateLowestRound",2010
188,188,"Kyle Stanley",9,68,"TenthTeeLateLowestRound",2010
188,188,"Steve Stricker",73,68,"TenthTeeLateLowestRound",2010
188,188,"Roger Tambellini",77,68,"TenthTeeLateLowestRound",2010
188,188,"Blake Trimble",4,68,"TenthTeeLateLowestRound",2010
188,188,"Kirk Triplett",36,68,"TenthTeeLateLowestRound",2010
188,188,"Jerod Turner",54,68,"TenthTeeLateLowestRound",2010
188,188,"Bubba Watson",77,68,"TenthTeeLateLowestRound",2010
238,238,"Brad Adamonis",11,69,"TenthTeeLateLowestRound",2010
238,238,"Michael Allen",49,69,"TenthTeeLateLowestRound",2010
238,238,"Craig Barlow",35,69,"TenthTeeLateLowestRound",2010
238,238,"Brad Benjamin",4,69,"TenthTeeLateLowestRound",2010
238,238,"Ronnie Black",2,69,"TenthTeeLateLowestRound",2010
238,238,"Craig Bowden",56,69,"TenthTeeLateLowestRound",2010
238,238,"Angel Cabrera",64,69,"TenthTeeLateLowestRound",2010
238,238,"Marco Dawson",30,69,"TenthTeeLateLowestRound",2010
238,238,"Brent Delahoussaye",57,69,"TenthTeeLateLowestRound",2010
