"Approachesfrominside100yardsRgh_RANKTHISWEEK_2009","Approachesfrominside100yardsRgh_RANKLASTWEEK_2009","Approachesfrominside100yardsRgh_PLAYERNAME_2009","Approachesfrominside100yardsRgh_ROUNDS_2009","Approachesfrominside100yardsRgh_AVG_2009","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2009","Approachesfrominside100yardsRgh_OFATTEMPTS_2009","Approachesfrominside100yardsRgh_RELATIVETOPAR_2009","stat_name","year"
1,1,"Bo Van Pelt",100,NA,447.083,28,1,"Approachesfrominside100yardsRgh",2009
2,2,"Tim Clark",81,NA,314.75,19,-1,"Approachesfrominside100yardsRgh",2009
3,3,"Kirk Triplett",60,NA,344.75,20,3,"Approachesfrominside100yardsRgh",2009
4,4,"Jerry Kelly",90,NA,244.25,14,0,"Approachesfrominside100yardsRgh",2009
5,5,"Sean OHair",80,NA,341.167,19,-1,"Approachesfrominside100yardsRgh",2009
6,6,"Chad Campbell",90,NA,506.333,28,1,"Approachesfrominside100yardsRgh",2009
7,7,"Bob Heintz",59,NA,399.333,22,0,"Approachesfrominside100yardsRgh",2009
7,7,"Vijay Singh",71,NA,564.417,31,2,"Approachesfrominside100yardsRgh",2009
9,9,"Matt Weibring",65,NA,438.583,24,9,"Approachesfrominside100yardsRgh",2009
10,10,"Bryce Molder",69,NA,219.917,12,7,"Approachesfrominside100yardsRgh",2009
11,11,"Justin Rose",71,NA,351.75,19,1,"Approachesfrominside100yardsRgh",2009
12,12,"Corey Pavin",73,NA,427.333,23,1,"Approachesfrominside100yardsRgh",2009
13,13,"Woody Austin",84,NA,495,26,-2,"Approachesfrominside100yardsRgh",2009
13,13,"Camilo Villegas",76,NA,417.333,22,-1,"Approachesfrominside100yardsRgh",2009
13,13,"Charlie Wi",92,NA,475,25,0,"Approachesfrominside100yardsRgh",2009
16,16,"Steve Flesch",77,NA,457,24,4,"Approachesfrominside100yardsRgh",2009
16,16,"Retief Goosen",74,NA,343.167,18,2,"Approachesfrominside100yardsRgh",2009
