"FirstTeeEarlyLowestRound_RANKTHISWEEK_2015","FirstTeeEarlyLowestRound_RANKLASTWEEK_2015","FirstTeeEarlyLowestRound_PLAYERNAME_2015","FirstTeeEarlyLowestRound_ROUNDS_2015","FirstTeeEarlyLowestRound_LOWRND_2015","stat_name","year"
1,1,"Jason Bohn",95,61,"FirstTeeEarlyLowestRound",2015
1,1,"Troy Merritt",91,61,"FirstTeeEarlyLowestRound",2015
3,3,"Jonas Blixt",78,62,"FirstTeeEarlyLowestRound",2015
3,3,"Steven Bowditch",103,62,"FirstTeeEarlyLowestRound",2015
3,3,"Jason Day",75,62,"FirstTeeEarlyLowestRound",2015
3,3,"Dustin Johnson",75,62,"FirstTeeEarlyLowestRound",2015
3,3,"Jerry Kelly",79,62,"FirstTeeEarlyLowestRound",2015
3,3,"Chris Kirk",76,62,"FirstTeeEarlyLowestRound",2015
3,3,"Scott Langley",94,62,"FirstTeeEarlyLowestRound",2015
3,3,"Carlos Ortiz",100,62,"FirstTeeEarlyLowestRound",2015
11,11,"Charlie Beljan",76,63,"FirstTeeEarlyLowestRound",2015
11,11,"Jonathan Byrd",69,63,"FirstTeeEarlyLowestRound",2015
11,11,"Brendon de Jonge",106,63,"FirstTeeEarlyLowestRound",2015
11,11,"Ken Duke",93,63,"FirstTeeEarlyLowestRound",2015
11,11,"Derek Ernst",75,63,"FirstTeeEarlyLowestRound",2015
11,11,"Retief Goosen",81,63,"FirstTeeEarlyLowestRound",2015
11,11,"Adam Hadwin",95,63,"FirstTeeEarlyLowestRound",2015
11,11,"Russell Henley",87,63,"FirstTeeEarlyLowestRound",2015
11,11,"Jim Herman",88,63,"FirstTeeEarlyLowestRound",2015
11,11,"Charley Hoffman",97,63,"FirstTeeEarlyLowestRound",2015
11,11,"Hiroshi Iwata",12,63,"FirstTeeEarlyLowestRound",2015
11,11,"Zach Johnson",90,63,"FirstTeeEarlyLowestRound",2015
11,11,"Matt Jones",89,63,"FirstTeeEarlyLowestRound",2015
11,11,"Spencer Levin",99,63,"FirstTeeEarlyLowestRound",2015
11,11,"Hideki Matsuyama",95,63,"FirstTeeEarlyLowestRound",2015
11,11,"George McNeill",93,63,"FirstTeeEarlyLowestRound",2015
11,11,"Ryan Palmer",80,63,"FirstTeeEarlyLowestRound",2015
11,11,"Scott Pinckney",88,63,"FirstTeeEarlyLowestRound",2015
11,11,"Michael Putnam",87,63,"FirstTeeEarlyLowestRound",2015
11,11,"Jonathan Randolph",72,63,"FirstTeeEarlyLowestRound",2015
11,11,"Patrick Rodgers",57,63,"FirstTeeEarlyLowestRound",2015
11,11,"Justin Rose",69,63,"FirstTeeEarlyLowestRound",2015
11,11,"Marcel Siem",26,63,"FirstTeeEarlyLowestRound",2015
11,11,"Brandt Snedeker",98,63,"FirstTeeEarlyLowestRound",2015
11,11,"Kevin Streelman",95,63,"FirstTeeEarlyLowestRound",2015
11,11,"Vaughn Taylor",46,63,"FirstTeeEarlyLowestRound",2015
11,11,"Camilo Villegas",83,63,"FirstTeeEarlyLowestRound",2015
38,38,"Stuart Appleby",23,64,"FirstTeeEarlyLowestRound",2015
38,38,"Aaron Baddeley",76,64,"FirstTeeEarlyLowestRound",2015
38,38,"Blayne Barber",76,64,"FirstTeeEarlyLowestRound",2015
38,38,"Zac Blair",108,64,"FirstTeeEarlyLowestRound",2015
38,38,"Keegan Bradley",87,64,"FirstTeeEarlyLowestRound",2015
38,38,"Kevin Chappell",86,64,"FirstTeeEarlyLowestRound",2015
38,38,"Stewart Cink",77,64,"FirstTeeEarlyLowestRound",2015
38,38,"Brian Davis",86,64,"FirstTeeEarlyLowestRound",2015
38,38,"Graham DeLaet",65,64,"FirstTeeEarlyLowestRound",2015
38,38,"Tony Finau",106,64,"FirstTeeEarlyLowestRound",2015
38,38,"Jim Furyk",71,64,"FirstTeeEarlyLowestRound",2015
38,38,"Fabian Gomez",83,64,"FirstTeeEarlyLowestRound",2015
38,38,"Bill Haas",89,64,"FirstTeeEarlyLowestRound",2015
38,38,"James Hahn",94,64,"FirstTeeEarlyLowestRound",2015
38,38,"David Hearn",97,64,"FirstTeeEarlyLowestRound",2015
38,38,"Tom Hoge",83,64,"FirstTeeEarlyLowestRound",2015
38,38,"Charles Howell III",105,64,"FirstTeeEarlyLowestRound",2015
38,38,"Freddie Jacobson",48,64,"FirstTeeEarlyLowestRound",2015
38,38,"Brooks Koepka",84,64,"FirstTeeEarlyLowestRound",2015
38,38,"Martin Laird",77,64,"FirstTeeEarlyLowestRound",2015
38,38,"Danny Lee",120,64,"FirstTeeEarlyLowestRound",2015
38,38,"Marc Leishman",74,64,"FirstTeeEarlyLowestRound",2015
38,38,"David Lingmerth",90,64,"FirstTeeEarlyLowestRound",2015
38,38,"Hunter Mahan",88,64,"FirstTeeEarlyLowestRound",2015
38,38,"Bryce Molder",91,64,"FirstTeeEarlyLowestRound",2015
38,38,"Seung Yul Noh",65,64,"FirstTeeEarlyLowestRound",2015
38,38,"Sean OHair",86,64,"FirstTeeEarlyLowestRound",2015
38,38,"Pat Perez",96,64,"FirstTeeEarlyLowestRound",2015
38,38,"John Peterson",84,64,"FirstTeeEarlyLowestRound",2015
38,38,"Carl Pettersson",106,64,"FirstTeeEarlyLowestRound",2015
38,38,"Webb Simpson",81,64,"FirstTeeEarlyLowestRound",2015
38,38,"Brendan Steele",88,64,"FirstTeeEarlyLowestRound",2015
38,38,"Nicholas Thompson",90,64,"FirstTeeEarlyLowestRound",2015
38,38,"Nick Watney",91,64,"FirstTeeEarlyLowestRound",2015
38,38,"Boo Weekley",79,64,"FirstTeeEarlyLowestRound",2015
73,73,"Steven Alker",62,65,"FirstTeeEarlyLowestRound",2015
73,73,"Mark Anderson",20,65,"FirstTeeEarlyLowestRound",2015
73,73,"Kiradech Aphibarnrat",12,65,"FirstTeeEarlyLowestRound",2015
73,73,"Ryan Armour",46,65,"FirstTeeEarlyLowestRound",2015
73,73,"Scott Brown",97,65,"FirstTeeEarlyLowestRound",2015
73,73,"Chad Campbell",97,65,"FirstTeeEarlyLowestRound",2015
73,73,"Paul Casey",87,65,"FirstTeeEarlyLowestRound",2015
73,73,"Alex Cejka",94,65,"FirstTeeEarlyLowestRound",2015
73,73,"KJ Choi",66,65,"FirstTeeEarlyLowestRound",2015
73,73,"George Coetzee",23,65,"FirstTeeEarlyLowestRound",2015
73,73,"Erik Compton",86,65,"FirstTeeEarlyLowestRound",2015
73,73,"Austin Connelly",6,65,"FirstTeeEarlyLowestRound",2015
73,73,"John Daly",26,65,"FirstTeeEarlyLowestRound",2015
73,73,"Luke Donald",71,65,"FirstTeeEarlyLowestRound",2015
73,73,"Jason Dufner",76,65,"FirstTeeEarlyLowestRound",2015
73,73,"Harris English",105,65,"FirstTeeEarlyLowestRound",2015
73,73,"Derek Fathauer",81,65,"FirstTeeEarlyLowestRound",2015
73,73,"Fred Funk",6,65,"FirstTeeEarlyLowestRound",2015
73,73,"Sergio Garcia",59,65,"FirstTeeEarlyLowestRound",2015
73,73,"Robert Garrigus",70,65,"FirstTeeEarlyLowestRound",2015
73,73,"Tom Gillis",48,65,"FirstTeeEarlyLowestRound",2015
73,73,"Oliver Goss",3,65,"FirstTeeEarlyLowestRound",2015
73,73,"Luke Guthrie",84,65,"FirstTeeEarlyLowestRound",2015
73,73,"Brian Harman",90,65,"FirstTeeEarlyLowestRound",2015
73,73,"Dudley Hart",18,65,"FirstTeeEarlyLowestRound",2015
73,73,"JJ Henry",94,65,"FirstTeeEarlyLowestRound",2015
73,73,"Morgan Hoffmann",85,65,"FirstTeeEarlyLowestRound",2015
73,73,"Mark Hubbard",79,65,"FirstTeeEarlyLowestRound",2015
73,73,"Rikard Karlberg",6,65,"FirstTeeEarlyLowestRound",2015
73,73,"Colt Knost",90,65,"FirstTeeEarlyLowestRound",2015
73,73,"Russell Knox",96,65,"FirstTeeEarlyLowestRound",2015
73,73,"Jason Kokrak",88,65,"FirstTeeEarlyLowestRound",2015
73,73,"Matt Kuchar",97,65,"FirstTeeEarlyLowestRound",2015
73,73,"Justin Leonard",61,65,"FirstTeeEarlyLowestRound",2015
73,73,"Andrew Loupe",40,65,"FirstTeeEarlyLowestRound",2015
73,73,"Will Ma Kenzie",49,65,"FirstTeeEarlyLowestRound",2015
73,73,"Ben Martin",93,65,"FirstTeeEarlyLowestRound",2015
73,73,"Rory McIlroy",49,65,"FirstTeeEarlyLowestRound",2015
73,73,"John Merrick",78,65,"FirstTeeEarlyLowestRound",2015
73,73,"Jeff Overton",94,65,"FirstTeeEarlyLowestRound",2015
73,73,"Andrew Putnam",68,65,"FirstTeeEarlyLowestRound",2015
73,73,"Chez Reavie",56,65,"FirstTeeEarlyLowestRound",2015
73,73,"Patrick Reed",103,65,"FirstTeeEarlyLowestRound",2015
73,73,"Sam Saunders",83,65,"FirstTeeEarlyLowestRound",2015
73,73,"Cameron Smith",43,65,"FirstTeeEarlyLowestRound",2015
73,73,"Jordan Spieth",91,65,"FirstTeeEarlyLowestRound",2015
73,73,"Shawn Stefani",94,65,"FirstTeeEarlyLowestRound",2015
73,73,"Henrik Stenson",63,65,"FirstTeeEarlyLowestRound",2015
73,73,"Richard Sterne",39,65,"FirstTeeEarlyLowestRound",2015
73,73,"Robert Streb",110,65,"FirstTeeEarlyLowestRound",2015
73,73,"Chris Stroud",84,65,"FirstTeeEarlyLowestRound",2015
73,73,"Daniel Summerhays",101,65,"FirstTeeEarlyLowestRound",2015
73,73,"Hudson Swafford",97,65,"FirstTeeEarlyLowestRound",2015
73,73,"Nick Taylor",91,65,"FirstTeeEarlyLowestRound",2015
73,73,"Justin Thomas",106,65,"FirstTeeEarlyLowestRound",2015
73,73,"Michael Thompson",83,65,"FirstTeeEarlyLowestRound",2015
73,73,"David Toms",62,65,"FirstTeeEarlyLowestRound",2015
73,73,"Cameron Tringale",96,65,"FirstTeeEarlyLowestRound",2015
