"PresidentsCupInternational_RANKTHISWEEK_2013","PresidentsCupInternational_RANKLASTWEEK_2013","PresidentsCupInternational_PLAYERNAME_2013","PresidentsCupInternational_EVENTS_2013","PresidentsCupInternational_AVGPOINTS_2013","PresidentsCupInternational_TOTALPOINTS_2013","PresidentsCupInternational_POINTSLOST_2013","PresidentsCupInternational_POINTSGAINED_2013","stat_name","year"
1,1,"Adam Scott",40,9.48,379.33,-165.12,283.74,"PresidentsCupInternational",2013
2,2,"Jason Day",44,4.64,204.29,-107.69,184.91,"PresidentsCupInternational",2013
3,3,"Charl Schwartzel",52,4.45,231.27,-147.93,124.93,"PresidentsCupInternational",2013
4,4,"Ernie Els",52,4.41,229.44,-119.58,126.66,"PresidentsCupInternational",2013
5,5,"Louis Oosthuizen",52,4.18,217.13,-173.09,70,"PresidentsCupInternational",2013
6,6,"Hideki Matsuyama",40,3.67,146.92,-27.99,123.23,"PresidentsCupInternational",2013
7,7,"Branden Grace",52,3.01,156.36,-91.8,82.6,"PresidentsCupInternational",2013
8,8,"Graham DeLaet",49,2.99,146.39,-24.39,130.49,"PresidentsCupInternational",2013
9,9,"Richard Sterne",44,2.91,128.04,-32.01,115.35,"PresidentsCupInternational",2013
10,10,"Angel Cabrera",47,2.41,113.23,-27.02,110.78,"PresidentsCupInternational",2013
11,11,"Thongchai Jaidee",52,2.26,117.35,-53.19,77.31,"PresidentsCupInternational",2013
12,12,"Marc Leishman",52,2.18,113.11,-52.17,77.97,"PresidentsCupInternational",2013
13,13,"Tim Clark",41,2.17,89.08,-37.37,61.46,"PresidentsCupInternational",2013
14,14,"Brendon de Jonge",52,2.01,104.74,-54.9,70.21,"PresidentsCupInternational",2013
15,15,"Brett Rumford",52,1.9,98.96,-27.46,83.25,"PresidentsCupInternational",2013
16,16,"George Coetzee",52,1.87,97.2,-76.25,53.37,"PresidentsCupInternational",2013
17,17,"Kiradech Aphibarnrat",52,1.82,94.53,-36.22,81,"PresidentsCupInternational",2013
18,18,"Geoff Ogilvy",49,1.7,83.23,-71.11,49.65,"PresidentsCupInternational",2013
19,19,"Marcus Fraser",52,1.68,87.42,-64.52,41.43,"PresidentsCupInternational",2013
20,20,"John Senden",52,1.64,85.29,-96.39,38.7,"PresidentsCupInternational",2013
21,21,"Hiroyuki Fujita",52,1.64,85.12,-71.91,15.6,"PresidentsCupInternational",2013
22,22,"KJ Choi",52,1.53,79.7,-92.01,54.18,"PresidentsCupInternational",2013
23,23,"Brendan Jones",45,1.53,68.77,-42.61,25.24,"PresidentsCupInternational",2013
24,24,"Sangmoon Bae",52,1.52,79.01,-80.14,64.06,"PresidentsCupInternational",2013
25,25,"Matt Jones",50,1.49,74.35,-14.66,71.34,"PresidentsCupInternational",2013
26,26,"Jaco Van Zyl",51,1.46,74.6,-45.94,59.37,"PresidentsCupInternational",2013
27,27,"Hyung Sung Kim",52,1.41,73.25,-33.35,38.99,"PresidentsCupInternational",2013
28,28,"SJ Park",40,1.35,53.87,-7.1,51.19,"PresidentsCupInternational",2013
29,29,"David Hearn",52,1.32,68.88,-27.36,55.96,"PresidentsCupInternational",2013
30,30,"Thomas Aiken",52,1.32,68.49,-47.79,43.84,"PresidentsCupInternational",2013
31,31,"Darren Fichardt",52,1.3,67.5,-30.46,50.5,"PresidentsCupInternational",2013
32,32,"Rory Sabbatini",52,1.26,65.57,-44.07,47.65,"PresidentsCupInternational",2013
33,33,"Thaworn Wiratchant",52,1.21,62.88,-50.16,9.42,"PresidentsCupInternational",2013
34,34,"Ryo Ishikawa",52,1.19,61.68,-70.64,24.28,"PresidentsCupInternational",2013
35,35,"Felipe Aguilar",52,1.18,61.41,-32.14,55.59,"PresidentsCupInternational",2013
36,36,"Gaganjeet Bhullar",43,1.17,50.17,-31.37,13.74,"PresidentsCupInternational",2013
37,37,"Greg Chalmers",52,1.14,59.36,-69.78,33.53,"PresidentsCupInternational",2013
38,38,"KT Kim",52,1.1,56.97,-68.98,18.48,"PresidentsCupInternational",2013
39,39,"Brad Kennedy",48,1.09,52.41,-31.92,32.27,"PresidentsCupInternational",2013
40,40,"Charlie Wi",52,1.08,56.39,-46.78,25.94,"PresidentsCupInternational",2013
41,41,"Andres Romero",49,1.08,53.08,-38.82,31.58,"PresidentsCupInternational",2013
42,42,"WC Liang",52,1.05,54.48,-21.81,30.36,"PresidentsCupInternational",2013
43,43,"Yoshinori Fujimoto",40,1.05,41.9,-23.99,13.16,"PresidentsCupInternational",2013
44,44,"Vijay Singh",50,1.03,51.3,-56.32,17.42,"PresidentsCupInternational",2013
45,45,"Hideto Tanihara",50,1.02,50.97,-24.24,25.7,"PresidentsCupInternational",2013
46,46,"Aaron Baddeley",52,1.02,52.91,-66.65,31.16,"PresidentsCupInternational",2013
47,47,"Anirban Lahiri",40,1,40,-20.54,25.69,"PresidentsCupInternational",2013
48,48,"Toru Taniguchi",51,0.97,49.59,-51.88,12.35,"PresidentsCupInternational",2013
49,49,"Mike Hendry",40,0.97,38.77,-15.11,27.19,"PresidentsCupInternational",2013
50,50,"Seung Yul Noh",52,0.97,50.4,-48.81,18.94,"PresidentsCupInternational",2013
