"RightRoughTendencyRTPScore_RANKTHISWEEK_2009","RightRoughTendencyRTPScore_RANKLASTWEEK_2009","RightRoughTendencyRTPScore_PLAYERNAME_2009","RightRoughTendencyRTPScore_ROUNDS_2009","RightRoughTendencyRTPScore_RTPSCORE_2009","stat_name","year"
1,1,"Tiger Woods",64,-0.13,"RightRoughTendencyRTPScore",2009
2,2,"Sergio Garcia",59,-0.059,"RightRoughTendencyRTPScore",2009
3,3,"Camilo Villegas",76,-0.058,"RightRoughTendencyRTPScore",2009
4,4,"Greg Chalmers",85,-0.05,"RightRoughTendencyRTPScore",2009
5,5,"Dustin Johnson",85,-0.043,"RightRoughTendencyRTPScore",2009
6,6,"Jim Furyk",86,-0.038,"RightRoughTendencyRTPScore",2009
7,7,"Daniel Chopra",89,-0.028,"RightRoughTendencyRTPScore",2009
8,8,"Bill Haas",91,-0.027,"RightRoughTendencyRTPScore",2009
9,9,"Geoff Ogilvy",78,-0.022,"RightRoughTendencyRTPScore",2009
10,10,"Sean OHair",80,-0.017,"RightRoughTendencyRTPScore",2009
11,11,"Joe Ogilvie",85,-0.013,"RightRoughTendencyRTPScore",2009
12,12,"Briny Baird",89,-0.009,"RightRoughTendencyRTPScore",2009
12,12,"Andres Romero",58,-0.009,"RightRoughTendencyRTPScore",2009
14,14,"Chris Stroud",88,-0.007,"RightRoughTendencyRTPScore",2009
15,15,"Tommy Armour III",58,0,"RightRoughTendencyRTPScore",2009
15,15,"Angel Cabrera",55,0,"RightRoughTendencyRTPScore",2009
15,15,"Jason Day",61,0,"RightRoughTendencyRTPScore",2009
15,15,"Steve Stricker",81,0,"RightRoughTendencyRTPScore",2009
19,19,"Pat Perez",74,0.008,"RightRoughTendencyRTPScore",2009
20,20,"Jay Williamson",69,0.011,"RightRoughTendencyRTPScore",2009
21,21,"Troy Matteson",95,0.014,"RightRoughTendencyRTPScore",2009
22,22,"George McNeill",82,0.016,"RightRoughTendencyRTPScore",2009
23,23,"Boo Weekley",79,0.017,"RightRoughTendencyRTPScore",2009
24,24,"Tim Petrovic",97,0.019,"RightRoughTendencyRTPScore",2009
25,25,"Harrison Frazar",93,0.021,"RightRoughTendencyRTPScore",2009
25,25,"Martin Laird",72,0.021,"RightRoughTendencyRTPScore",2009
27,27,"Alex Cejka",82,0.025,"RightRoughTendencyRTPScore",2009
27,27,"Retief Goosen",74,0.025,"RightRoughTendencyRTPScore",2009
