"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2008","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2008","BirdieorBetterPercentageLeftRough_PLAYERNAME_2008","BirdieorBetterPercentageLeftRough_ROUNDS_2008","BirdieorBetterPercentageLeftRough_Pct_2008","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2008","BirdieorBetterPercentageLeftRough_TOTALHOLES_2008","stat_name","year"
162,162,"KJ Choi",74,10.26,12,117,"BirdieorBetterPercentageLeftRough",2008
163,163,"DJ Trahan",94,10.17,12,118,"BirdieorBetterPercentageLeftRough",2008
164,164,"Justin Bolli",87,9.91,11,111,"BirdieorBetterPercentageLeftRough",2008
165,165,"Jim Furyk",95,9.89,9,91,"BirdieorBetterPercentageLeftRough",2008
166,166,"Cliff Kresge",84,9.59,14,146,"BirdieorBetterPercentageLeftRough",2008
167,167,"Billy Mayfair",103,9.57,9,94,"BirdieorBetterPercentageLeftRough",2008
168,168,"Eric Axley",113,9.5,17,179,"BirdieorBetterPercentageLeftRough",2008
169,169,"Jin Park",85,9.4,11,117,"BirdieorBetterPercentageLeftRough",2008
170,170,"John Riegger",73,9.38,9,96,"BirdieorBetterPercentageLeftRough",2008
171,171,"Scott McCarron",63,9.33,7,75,"BirdieorBetterPercentageLeftRough",2008
172,172,"Tim Wilkinson",95,9.29,13,140,"BirdieorBetterPercentageLeftRough",2008
173,173,"Billy Andrade",71,9.01,10,111,"BirdieorBetterPercentageLeftRough",2008
173,173,"Cameron Beckman",87,9.01,10,111,"BirdieorBetterPercentageLeftRough",2008
175,175,"Robert Gamez",79,8.99,8,89,"BirdieorBetterPercentageLeftRough",2008
176,176,"David Lutterus",59,8.86,7,79,"BirdieorBetterPercentageLeftRough",2008
177,177,"Craig Kanada",65,8.64,7,81,"BirdieorBetterPercentageLeftRough",2008
178,178,"Corey Pavin",69,8.62,5,58,"BirdieorBetterPercentageLeftRough",2008
179,179,"Nick OHern",82,8.51,8,94,"BirdieorBetterPercentageLeftRough",2008
180,180,"Brandt Jobe",52,8.33,6,72,"BirdieorBetterPercentageLeftRough",2008
181,181,"Michael Allen",91,8.04,9,112,"BirdieorBetterPercentageLeftRough",2008
182,182,"Brian Gay",102,7.97,11,138,"BirdieorBetterPercentageLeftRough",2008
