"ScramblingRoughRTPScore_RANKTHISWEEK_2007","ScramblingRoughRTPScore_RANKLASTWEEK_2007","ScramblingRoughRTPScore_PLAYERNAME_2007","ScramblingRoughRTPScore_ROUNDS_2007","ScramblingRoughRTPScore_AVGRTP_2007","ScramblingRoughRTPScore_TOTALHOLES_2007","ScramblingRoughRTPScore_TOTALRTP_2007","stat_name","year"
1,1,"Bo Van Pelt",104,0.338,222,75,"ScramblingRoughRTPScore",2007
2,2,"Jim Furyk",84,0.365,137,50,"ScramblingRoughRTPScore",2007
3,3,"Tiger Woods",63,0.369,84,31,"ScramblingRoughRTPScore",2007
4,4,"Kenny Perry",83,0.371,170,63,"ScramblingRoughRTPScore",2007
5,5,"Steve Elkington",87,0.373,201,75,"ScramblingRoughRTPScore",2007
6,6,"Nathan Green",103,0.376,234,88,"ScramblingRoughRTPScore",2007
7,7,"Craig Bowden",78,0.379,182,69,"ScramblingRoughRTPScore",2007
8,8,"Steve Stricker",81,0.38,142,54,"ScramblingRoughRTPScore",2007
9,9,"Rory Sabbatini",81,0.385,182,70,"ScramblingRoughRTPScore",2007
10,10,"Ian Poulter",63,0.388,129,50,"ScramblingRoughRTPScore",2007
10,10,"Heath Slocum",101,0.388,196,76,"ScramblingRoughRTPScore",2007
12,12,"Tom Pernice Jr",104,0.389,229,89,"ScramblingRoughRTPScore",2007
13,13,"Ken Duke",112,0.398,266,106,"ScramblingRoughRTPScore",2007
14,14,"Matt Kuchar",85,0.4,185,74,"ScramblingRoughRTPScore",2007
14,14,"Nick OHern",72,0.4,155,62,"ScramblingRoughRTPScore",2007
16,16,"John Rollins",102,0.403,233,94,"ScramblingRoughRTPScore",2007
17,17,"Kevin Sutherland",85,0.406,160,65,"ScramblingRoughRTPScore",2007
18,18,"Dean Wilson",92,0.41,212,87,"ScramblingRoughRTPScore",2007
19,19,"Justin Leonard",95,0.411,209,86,"ScramblingRoughRTPScore",2007
20,20,"Arron Oberholser",69,0.413,160,66,"ScramblingRoughRTPScore",2007
21,21,"John Mallinger",96,0.416,262,109,"ScramblingRoughRTPScore",2007
22,22,"KJ Choi",87,0.417,180,75,"ScramblingRoughRTPScore",2007
23,23,"Chris Riley",59,0.418,134,56,"ScramblingRoughRTPScore",2007
24,24,"Shaun Micheel",91,0.419,186,78,"ScramblingRoughRTPScore",2007
24,24,"Brandt Snedeker",105,0.419,215,90,"ScramblingRoughRTPScore",2007
26,26,"Aaron Baddeley",83,0.424,191,81,"ScramblingRoughRTPScore",2007
27,27,"Paul Goydos",60,0.425,153,65,"ScramblingRoughRTPScore",2007
27,27,"Kevin Na",84,0.425,226,96,"ScramblingRoughRTPScore",2007
29,29,"Woody Austin",95,0.427,192,82,"ScramblingRoughRTPScore",2007
29,29,"Gavin Coles",87,0.427,225,96,"ScramblingRoughRTPScore",2007
31,31,"Bart Bryant",87,0.428,166,71,"ScramblingRoughRTPScore",2007
31,31,"Phil Mickelson",73,0.428,152,65,"ScramblingRoughRTPScore",2007
