"PuttingfromGrtr10_RANKTHISWEEK_2010","PuttingfromGrtr10_RANKLASTWEEK_2010","PuttingfromGrtr10_PLAYERNAME_2010","PuttingfromGrtr10_ROUNDS_2010","PuttingfromGrtr10_PctMADE_2010","PuttingfromGrtr10_ATTEMPTS_2010","PuttingfromGrtr10_PUTTSMADE_2010","stat_name","year"
1,1,"Ben Crane",85,19.27,711,137,"PuttingfromGrtr10",2010
2,2,"Kevin Na",94,18.92,798,151,"PuttingfromGrtr10",2010
3,3,"Charlie Wi",95,18.85,918,173,"PuttingfromGrtr10",2010
4,4,"Matt Every",60,18.84,536,101,"PuttingfromGrtr10",2010
5,5,"Ryan Palmer",84,18.47,758,140,"PuttingfromGrtr10",2010
6,6,"Geoff Ogilvy",62,18.46,558,103,"PuttingfromGrtr10",2010
7,7,"Stephen Ames",75,18.45,759,140,"PuttingfromGrtr10",2010
8,8,"Chris Couch",66,18.17,633,115,"PuttingfromGrtr10",2010
9,9,"Tom Gillis",97,18.09,951,172,"PuttingfromGrtr10",2010
10,10,"Steve Stricker",73,18.06,587,106,"PuttingfromGrtr10",2010
11,11,"Robert Allenby",76,17.94,680,122,"PuttingfromGrtr10",2010
11,11,"Carl Pettersson",99,17.94,864,155,"PuttingfromGrtr10",2010
13,13,"Zach Johnson",93,17.84,796,142,"PuttingfromGrtr10",2010
14,14,"Luke Donald",71,17.71,542,96,"PuttingfromGrtr10",2010
15,15,"Rory McIlroy",54,17.68,413,73,"PuttingfromGrtr10",2010
16,16,"Chad Collins",87,17.67,781,138,"PuttingfromGrtr10",2010
17,17,"Paul Casey",64,17.62,488,86,"PuttingfromGrtr10",2010
17,17,"Brandt Snedeker",89,17.62,738,130,"PuttingfromGrtr10",2010
19,19,"Bryce Molder",84,17.56,763,134,"PuttingfromGrtr10",2010
20,20,"Greg Chalmers",93,17.48,921,161,"PuttingfromGrtr10",2010
20,20,"David Duval",71,17.48,612,107,"PuttingfromGrtr10",2010
22,22,"Brian Gay",101,17.46,819,143,"PuttingfromGrtr10",2010
23,23,"Jeff Overton",89,17.45,728,127,"PuttingfromGrtr10",2010
24,24,"Troy Merritt",86,17.41,833,145,"PuttingfromGrtr10",2010
25,25,"Bo Van Pelt",104,17.3,919,159,"PuttingfromGrtr10",2010
26,26,"Justin Rose",78,17.23,714,123,"PuttingfromGrtr10",2010
27,27,"Matt Kuchar",97,17.22,784,135,"PuttingfromGrtr10",2010
28,28,"JP Hayes",79,17.17,699,120,"PuttingfromGrtr10",2010
29,29,"KJ Choi",82,17.16,647,111,"PuttingfromGrtr10",2010
30,30,"Dean Wilson",54,17.13,508,87,"PuttingfromGrtr10",2010
31,31,"Brian Stuard",81,17.09,790,135,"PuttingfromGrtr10",2010
32,32,"Brad Faxon",58,17.05,516,88,"PuttingfromGrtr10",2010
33,33,"Freddie Jacobson",83,17,812,138,"PuttingfromGrtr10",2010
34,34,"Woody Austin",93,16.96,896,152,"PuttingfromGrtr10",2010
35,35,"Michael Connell",89,16.89,823,139,"PuttingfromGrtr10",2010
36,36,"Tim Clark",88,16.83,707,119,"PuttingfromGrtr10",2010
37,37,"Shaun Micheel",70,16.81,571,96,"PuttingfromGrtr10",2010
38,38,"Justin Leonard",89,16.77,775,130,"PuttingfromGrtr10",2010
39,39,"Aaron Baddeley",94,16.76,907,152,"PuttingfromGrtr10",2010
40,40,"Ryuji Imada",90,16.73,849,142,"PuttingfromGrtr10",2010
41,41,"Stewart Cink",84,16.69,713,119,"PuttingfromGrtr10",2010
41,41,"Johnson Wagner",85,16.69,821,137,"PuttingfromGrtr10",2010
43,43,"Matt Bettencourt",91,16.67,696,116,"PuttingfromGrtr10",2010
44,44,"Scott Verplank",74,16.64,553,92,"PuttingfromGrtr10",2010
45,45,"Jason Day",82,16.62,758,126,"PuttingfromGrtr10",2010
45,45,"David Toms",86,16.62,728,121,"PuttingfromGrtr10",2010
47,47,"Rickie Fowler",98,16.61,879,146,"PuttingfromGrtr10",2010
48,48,"Jeff Quinney",91,16.55,834,138,"PuttingfromGrtr10",2010
49,49,"Brian Davis",101,16.54,889,147,"PuttingfromGrtr10",2010
50,50,"Webb Simpson",98,16.5,982,162,"PuttingfromGrtr10",2010
51,51,"Andres Romero",73,16.48,783,129,"PuttingfromGrtr10",2010
52,52,"Scott Piercy",88,16.46,881,145,"PuttingfromGrtr10",2010
53,53,"Steve Flesch",78,16.44,675,111,"PuttingfromGrtr10",2010
54,54,"Jimmy Walker",82,16.33,747,122,"PuttingfromGrtr10",2010
55,55,"Adam Scott",70,16.32,533,87,"PuttingfromGrtr10",2010
56,56,"YE Yang",72,16.31,607,99,"PuttingfromGrtr10",2010
57,57,"James Nitties",92,16.3,865,141,"PuttingfromGrtr10",2010
57,57,"Mike Weir",59,16.3,368,60,"PuttingfromGrtr10",2010
59,59,"Derek Lamely",81,16.29,663,108,"PuttingfromGrtr10",2010
60,60,"Nathan Green",86,16.26,861,140,"PuttingfromGrtr10",2010
61,61,"Martin Flores",75,16.22,672,109,"PuttingfromGrtr10",2010
61,61,"Jay Williamson",76,16.22,678,110,"PuttingfromGrtr10",2010
63,63,"Jason Bohn",84,16.18,791,128,"PuttingfromGrtr10",2010
64,64,"Steve Wheatcroft",74,16.13,626,101,"PuttingfromGrtr10",2010
65,65,"Charley Hoffman",85,16.08,771,124,"PuttingfromGrtr10",2010
