"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2008","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2008","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2008","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2008","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2008","stat_name","year"
1,1,"Henrik Stenson",9,4031,"NonWGCFedExCupSeasonPointsforNonMembers",2008
2,2,"Robert Karlsson",8,3079,"NonWGCFedExCupSeasonPointsforNonMembers",2008
3,3,"Miguel Angel Jimenez",8,1858,"NonWGCFedExCupSeasonPointsforNonMembers",2008
4,4,"Jeev Milkha Singh",5,1011,"NonWGCFedExCupSeasonPointsforNonMembers",2008
5,5,"Niclas Fasth",10,885,"NonWGCFedExCupSeasonPointsforNonMembers",2008
6,6,"Alastair Forsyth",2,774,"NonWGCFedExCupSeasonPointsforNonMembers",2008
7,7,"Graeme McDowell",4,699,"NonWGCFedExCupSeasonPointsforNonMembers",2008
8,8,"David Howell",3,692,"NonWGCFedExCupSeasonPointsforNonMembers",2008
9,9,"WC Liang",6,578,"NonWGCFedExCupSeasonPointsforNonMembers",2008
10,10,"Richard Sterne",8,532,"NonWGCFedExCupSeasonPointsforNonMembers",2008
11,11,"DA Points",3,517,"NonWGCFedExCupSeasonPointsforNonMembers",2008
12,12,"Prayad Marksaeng",4,440,"NonWGCFedExCupSeasonPointsforNonMembers",2008
13,13,"Esteban Toledo",3,413,"NonWGCFedExCupSeasonPointsforNonMembers",2008
14,14,"Anders Hansen",6,394,"NonWGCFedExCupSeasonPointsforNonMembers",2008
15,15,"Richard Green",9,329,"NonWGCFedExCupSeasonPointsforNonMembers",2008
16,16,"Gregory Havret",2,259,"NonWGCFedExCupSeasonPointsforNonMembers",2008
16,16,"Alexander Noren",1,259,"NonWGCFedExCupSeasonPointsforNonMembers",2008
16,16,"Jean Van de Velde",1,259,"NonWGCFedExCupSeasonPointsforNonMembers",2008
16,16,"Simon Wakefield",1,259,"NonWGCFedExCupSeasonPointsforNonMembers",2008
16,16,"Paul Waring",1,259,"NonWGCFedExCupSeasonPointsforNonMembers",2008
21,21,"Pablo Martin Benavides",3,253,"NonWGCFedExCupSeasonPointsforNonMembers",2008
22,22,"Mark Brown",3,228,"NonWGCFedExCupSeasonPointsforNonMembers",2008
23,23,"Soren Hansen",9,207,"NonWGCFedExCupSeasonPointsforNonMembers",2008
24,24,"Nick Dougherty",8,206,"NonWGCFedExCupSeasonPointsforNonMembers",2008
25,25,"Rob Grube",1,200,"NonWGCFedExCupSeasonPointsforNonMembers",2008
26,26,"Ryan Blaum",1,194,"NonWGCFedExCupSeasonPointsforNonMembers",2008
27,27,"Chip Sullivan",5,181,"NonWGCFedExCupSeasonPointsforNonMembers",2008
28,28,"Alvaro Quiros",2,161,"NonWGCFedExCupSeasonPointsforNonMembers",2008
29,29,"Michael Campbell",6,161,"NonWGCFedExCupSeasonPointsforNonMembers",2008
30,30,"Webb Simpson",6,160,"NonWGCFedExCupSeasonPointsforNonMembers",2008
31,31,"Chris Kirk",3,156,"NonWGCFedExCupSeasonPointsforNonMembers",2008
32,32,"Peter Hanson",4,125,"NonWGCFedExCupSeasonPointsforNonMembers",2008
33,33,"Tom Gillis",3,123,"NonWGCFedExCupSeasonPointsforNonMembers",2008
34,34,"Stephen Poole",1,118,"NonWGCFedExCupSeasonPointsforNonMembers",2008
35,35,"Martin Kaymer",8,113,"NonWGCFedExCupSeasonPointsforNonMembers",2008
36,36,"Robert Dinwiddie",1,110,"NonWGCFedExCupSeasonPointsforNonMembers",2008
36,36,"Oliver Wilson",4,110,"NonWGCFedExCupSeasonPointsforNonMembers",2008
38,38,"Yusaku Miyazato",1,98,"NonWGCFedExCupSeasonPointsforNonMembers",2008
39,39,"Ian Woosnam",1,96,"NonWGCFedExCupSeasonPointsforNonMembers",2008
40,40,"Thomas Aiken",1,94,"NonWGCFedExCupSeasonPointsforNonMembers",2008
40,40,"Gregory Bourdy",1,94,"NonWGCFedExCupSeasonPointsforNonMembers",2008
40,40,"Ariel Canete",1,94,"NonWGCFedExCupSeasonPointsforNonMembers",2008
40,40,"Ross Fisher",6,94,"NonWGCFedExCupSeasonPointsforNonMembers",2008
40,40,"Simon Khan",1,94,"NonWGCFedExCupSeasonPointsforNonMembers",2008
40,40,"Graeme Storm",3,94,"NonWGCFedExCupSeasonPointsforNonMembers",2008
46,46,"Diego Vanegas",1,81,"NonWGCFedExCupSeasonPointsforNonMembers",2008
47,47,"Spencer Levin",1,73,"NonWGCFedExCupSeasonPointsforNonMembers",2008
48,48,"Jarrod Lyle",1,70,"NonWGCFedExCupSeasonPointsforNonMembers",2008
49,49,"Toru Taniguchi",7,65,"NonWGCFedExCupSeasonPointsforNonMembers",2008
50,50,"Charl Schwartzel",1,65,"NonWGCFedExCupSeasonPointsforNonMembers",2008
51,51,"Anthony Wall",1,64,"NonWGCFedExCupSeasonPointsforNonMembers",2008
52,52,"Robert Floyd",3,64,"NonWGCFedExCupSeasonPointsforNonMembers",2008
53,53,"James Kingston",5,63,"NonWGCFedExCupSeasonPointsforNonMembers",2008
54,54,"Richard Finch",2,60,"NonWGCFedExCupSeasonPointsforNonMembers",2008
54,54,"Colin Montgomerie",7,60,"NonWGCFedExCupSeasonPointsforNonMembers",2008
56,56,"Stuart Deane",1,59,"NonWGCFedExCupSeasonPointsforNonMembers",2008
57,57,"Jonathan Lomas",1,58,"NonWGCFedExCupSeasonPointsforNonMembers",2008
58,58,"Colt Knost",5,58,"NonWGCFedExCupSeasonPointsforNonMembers",2008
59,59,"Kiyoshi Miyazato",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2008
60,60,"Jean Baptiste Gonnet",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2008
60,60,"David Horsey",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2008
62,62,"Hiroyuki Fujita",1,56,"NonWGCFedExCupSeasonPointsforNonMembers",2008
63,63,"Jonathan Moore",2,56,"NonWGCFedExCupSeasonPointsforNonMembers",2008
64,64,"Bubba Dickerson",1,55,"NonWGCFedExCupSeasonPointsforNonMembers",2008
64,64,"David Hearn",2,55,"NonWGCFedExCupSeasonPointsforNonMembers",2008
66,66,"Mitsuhiro Tateyama",1,54,"NonWGCFedExCupSeasonPointsforNonMembers",2008
67,67,"Andrew Dresser",1,54,"NonWGCFedExCupSeasonPointsforNonMembers",2008
