"BogeyAvoidance_RANKTHISWEEK_2009","BogeyAvoidance_RANKLASTWEEK_2009","BogeyAvoidance_PLAYERNAME_2009","BogeyAvoidance_ROUNDS_2009","BogeyAvoidance_PctMAKESBOGEY_2009","BogeyAvoidance_BOGEYS_2009","BogeyAvoidance_HOLESPLAYED_2009","stat_name","year"
1,1,"Tiger Woods",64,11.65,130,1116,"BogeyAvoidance",2009
2,2,"Steve Stricker",81,13.01,185,1422,"BogeyAvoidance",2009
3,3,"Jim Furyk",86,13.86,207,1494,"BogeyAvoidance",2009
4,4,"Spencer Levin",75,14.15,191,1350,"BogeyAvoidance",2009
5,5,"David Toms",98,14.17,250,1764,"BogeyAvoidance",2009
6,6,"Zach Johnson",94,14.43,239,1656,"BogeyAvoidance",2009
6,6,"Matt Kuchar",82,14.43,213,1476,"BogeyAvoidance",2009
8,8,"Tim Clark",81,14.46,203,1404,"BogeyAvoidance",2009
9,9,"Brian Gay",96,14.53,251,1728,"BogeyAvoidance",2009
9,9,"Kevin Na",91,14.53,238,1638,"BogeyAvoidance",2009
11,11,"Scott McCarron",91,14.65,240,1638,"BogeyAvoidance",2009
12,12,"Mark Wilson",99,14.7,262,1782,"BogeyAvoidance",2009
13,13,"Greg Chalmers",85,14.71,225,1530,"BogeyAvoidance",2009
14,14,"Tim Petrovic",97,14.72,257,1746,"BogeyAvoidance",2009
15,15,"Jeff Klauk",97,14.78,258,1746,"BogeyAvoidance",2009
15,15,"John Senden",100,14.78,266,1800,"BogeyAvoidance",2009
17,17,"Steve Marino",98,14.91,263,1764,"BogeyAvoidance",2009
18,18,"Patrick Sheehan",51,14.92,137,918,"BogeyAvoidance",2009
19,19,"Justin Leonard",95,14.96,245,1638,"BogeyAvoidance",2009
19,19,"Kenny Perry",92,14.96,245,1638,"BogeyAvoidance",2009
19,19,"Kevin Stadler",65,14.96,175,1170,"BogeyAvoidance",2009
19,19,"Scott Verplank",88,14.96,237,1584,"BogeyAvoidance",2009
23,23,"Scott Sterling",51,15.03,138,918,"BogeyAvoidance",2009
24,24,"Jarrod Lyle",65,15.04,176,1170,"BogeyAvoidance",2009
25,25,"Chad Campbell",90,15.06,244,1620,"BogeyAvoidance",2009
25,25,"Bryce Molder",69,15.06,187,1242,"BogeyAvoidance",2009
27,27,"Matt Jones",56,15.08,152,1008,"BogeyAvoidance",2009
28,28,"Chris Riley",77,15.15,210,1386,"BogeyAvoidance",2009
29,29,"Chris DiMarco",97,15.18,265,1746,"BogeyAvoidance",2009
30,30,"Tom Pernice Jr",82,15.24,225,1476,"BogeyAvoidance",2009
31,31,"Luke Donald",79,15.28,209,1368,"BogeyAvoidance",2009
32,32,"Bob Estes",78,15.31,215,1404,"BogeyAvoidance",2009
33,33,"Jerry Kelly",90,15.37,249,1620,"BogeyAvoidance",2009
34,34,"Charley Hoffman",97,15.46,270,1746,"BogeyAvoidance",2009
35,35,"Ryan Moore",89,15.48,248,1602,"BogeyAvoidance",2009
36,36,"Brandt Snedeker",81,15.5,226,1458,"BogeyAvoidance",2009
37,37,"Robert Garrigus",83,15.53,232,1494,"BogeyAvoidance",2009
38,38,"Bob Heintz",59,15.54,165,1062,"BogeyAvoidance",2009
39,39,"Steve Elkington",70,15.56,196,1260,"BogeyAvoidance",2009
40,40,"Nick OHern",90,15.62,253,1620,"BogeyAvoidance",2009
41,41,"JJ Henry",97,15.64,273,1746,"BogeyAvoidance",2009
41,41,"Greg Owen",97,15.64,273,1746,"BogeyAvoidance",2009
43,43,"Jason Day",61,15.66,172,1098,"BogeyAvoidance",2009
44,44,"Troy Matteson",95,15.67,268,1710,"BogeyAvoidance",2009
45,45,"Ben Crane",93,15.77,264,1674,"BogeyAvoidance",2009
45,45,"Ian Poulter",59,15.77,159,1008,"BogeyAvoidance",2009
47,47,"Jason Dufner",90,15.86,257,1620,"BogeyAvoidance",2009
48,48,"Woody Austin",84,15.87,240,1512,"BogeyAvoidance",2009
49,49,"Charlie Wi",92,15.88,263,1656,"BogeyAvoidance",2009
50,50,"Bill Haas",91,15.93,261,1638,"BogeyAvoidance",2009
51,51,"Casey Wittenberg",71,15.96,204,1278,"BogeyAvoidance",2009
52,52,"Bill Lunde",83,16,239,1494,"BogeyAvoidance",2009
52,52,"Bo Van Pelt",100,16,288,1800,"BogeyAvoidance",2009
54,54,"Kevin Sutherland",96,16.02,274,1710,"BogeyAvoidance",2009
54,54,"Jay Williamson",69,16.02,199,1242,"BogeyAvoidance",2009
56,56,"Jason Bohn",88,16.04,254,1584,"BogeyAvoidance",2009
56,56,"Jonathan Byrd",89,16.04,257,1602,"BogeyAvoidance",2009
58,58,"Mark Brooks",55,16.06,159,990,"BogeyAvoidance",2009
59,59,"Mike Weir",85,16.07,243,1512,"BogeyAvoidance",2009
60,60,"Heath Slocum",95,16.08,275,1710,"BogeyAvoidance",2009
61,61,"Briny Baird",89,16.1,258,1602,"BogeyAvoidance",2009
62,62,"Charles Howell III",99,16.11,287,1782,"BogeyAvoidance",2009
63,63,"Steve Flesch",77,16.16,224,1386,"BogeyAvoidance",2009
64,64,"Hunter Mahan",94,16.24,269,1656,"BogeyAvoidance",2009
65,65,"Chez Reavie",81,16.26,237,1458,"BogeyAvoidance",2009
65,65,"DJ Trahan",96,16.26,281,1728,"BogeyAvoidance",2009
67,67,"Tommy Armour III",58,16.28,170,1044,"BogeyAvoidance",2009
68,68,"Corey Pavin",73,16.29,214,1314,"BogeyAvoidance",2009
69,69,"Padraig Harrington",66,16.32,191,1170,"BogeyAvoidance",2009
70,70,"Nick Watney",86,16.34,253,1548,"BogeyAvoidance",2009
71,71,"Geoff Ogilvy",78,16.36,212,1296,"BogeyAvoidance",2009
71,71,"Brett Quigley",92,16.36,271,1656,"BogeyAvoidance",2009
73,73,"Freddie Jacobson",83,16.4,245,1494,"BogeyAvoidance",2009
74,74,"Cameron Beckman",87,16.41,257,1566,"BogeyAvoidance",2009
75,75,"Jeff Maggert",79,16.46,234,1422,"BogeyAvoidance",2009
76,76,"Sergio Garcia",59,16.48,172,1044,"BogeyAvoidance",2009
77,77,"Webb Simpson",94,16.49,279,1692,"BogeyAvoidance",2009
77,77,"Charles Warren",63,16.49,187,1134,"BogeyAvoidance",2009
79,79,"Ernie Els",70,16.5,196,1188,"BogeyAvoidance",2009
80,80,"Michael Allen",73,16.51,217,1314,"BogeyAvoidance",2009
81,81,"Glen Day",79,16.53,235,1422,"BogeyAvoidance",2009
81,81,"George McNeill",82,16.53,244,1476,"BogeyAvoidance",2009
83,83,"Richard Johnson",85,16.54,253,1530,"BogeyAvoidance",2009
84,84,"Rich Beem",77,16.67,231,1386,"BogeyAvoidance",2009
84,84,"Lucas Glover",93,16.67,279,1674,"BogeyAvoidance",2009
84,84,"Tom Lehman",55,16.67,165,990,"BogeyAvoidance",2009
84,84,"Aron Price",89,16.67,267,1602,"BogeyAvoidance",2009
84,84,"Jeff Quinney",78,16.67,234,1404,"BogeyAvoidance",2009
84,84,"Jimmy Walker",74,16.67,222,1332,"BogeyAvoidance",2009
90,90,"Michael Letzig",96,16.72,289,1728,"BogeyAvoidance",2009
91,91,"Stephen Ames",77,16.74,226,1350,"BogeyAvoidance",2009
91,91,"Lee Janzen",74,16.74,223,1332,"BogeyAvoidance",2009
91,91,"Rod Pampling",72,16.74,214,1278,"BogeyAvoidance",2009
94,94,"Davis Love III",89,16.79,263,1566,"BogeyAvoidance",2009
95,95,"Matt Weibring",65,16.84,197,1170,"BogeyAvoidance",2009
96,96,"Harrison Frazar",93,16.85,282,1674,"BogeyAvoidance",2009
96,96,"John Mallinger",90,16.85,273,1620,"BogeyAvoidance",2009
98,98,"Brad Adamonis",70,16.9,213,1260,"BogeyAvoidance",2009
98,98,"Robert Allenby",71,16.9,213,1260,"BogeyAvoidance",2009
100,100,"Nathan Green",104,16.93,317,1872,"BogeyAvoidance",2009
100,100,"Joe Ogilvie",85,16.93,259,1530,"BogeyAvoidance",2009
100,100,"YE Yang",83,16.93,253,1494,"BogeyAvoidance",2009
103,103,"Alex Cejka",82,16.94,250,1476,"BogeyAvoidance",2009
103,103,"Ben Curtis",63,16.94,189,1116,"BogeyAvoidance",2009
103,103,"Kirk Triplett",60,16.94,183,1080,"BogeyAvoidance",2009
106,106,"Vaughn Taylor",88,16.98,269,1584,"BogeyAvoidance",2009
107,107,"Scott Piercy",85,16.99,260,1530,"BogeyAvoidance",2009
108,108,"KJ Choi",65,17.01,196,1152,"BogeyAvoidance",2009
108,108,"Johnson Wagner",81,17.01,248,1458,"BogeyAvoidance",2009
110,110,"DA Points",99,17.06,304,1782,"BogeyAvoidance",2009
111,111,"David Mathis",82,17.07,252,1476,"BogeyAvoidance",2009
112,112,"Retief Goosen",74,17.12,225,1314,"BogeyAvoidance",2009
113,113,"Kris Blanks",60,17.13,185,1080,"BogeyAvoidance",2009
113,113,"Dustin Johnson",85,17.13,259,1512,"BogeyAvoidance",2009
115,115,"Sean OHair",80,17.18,235,1368,"BogeyAvoidance",2009
116,116,"Camilo Villegas",76,17.2,226,1314,"BogeyAvoidance",2009
117,117,"Brian Davis",103,17.21,319,1854,"BogeyAvoidance",2009
118,118,"John Merrick",91,17.22,282,1638,"BogeyAvoidance",2009
118,118,"Rory Sabbatini",81,17.22,248,1440,"BogeyAvoidance",2009
120,120,"Tim Herron",87,17.24,270,1566,"BogeyAvoidance",2009
121,121,"Kent Jones",73,17.28,227,1314,"BogeyAvoidance",2009
121,121,"Marc Leishman",91,17.28,283,1638,"BogeyAvoidance",2009
123,123,"James Nitties",86,17.31,268,1548,"BogeyAvoidance",2009
124,124,"Tag Ridings",50,17.33,156,900,"BogeyAvoidance",2009
125,125,"Pat Perez",74,17.36,225,1296,"BogeyAvoidance",2009
125,125,"Chris Stroud",88,17.36,275,1584,"BogeyAvoidance",2009
127,127,"Ken Duke",87,17.37,272,1566,"BogeyAvoidance",2009
127,127,"Phil Mickelson",66,17.37,197,1134,"BogeyAvoidance",2009
129,129,"Ryuji Imada",85,17.39,266,1530,"BogeyAvoidance",2009
130,130,"Dean Wilson",81,17.42,254,1458,"BogeyAvoidance",2009
131,131,"Stewart Cink",79,17.43,229,1314,"BogeyAvoidance",2009
132,132,"Justin Rose",71,17.46,220,1260,"BogeyAvoidance",2009
