"LongestHoleOutsinyards_RANKTHISWEEK_2012","LongestHoleOutsinyards_RANKLASTWEEK_2012","LongestHoleOutsinyards_PLAYERNAME_2012","LongestHoleOutsinyards_ROUNDS_2012","LongestHoleOutsinyards_DISTANCE_2012","LongestHoleOutsinyards_TOURNAMENT_2012","LongestHoleOutsinyards_ROUNDCOURSE_2012","LongestHoleOutsinyards_HOLE_2012","stat_name","year"
1,1,"Sam Saunders",9,230,NA,3,5,"LongestHoleOutsinyards",2012
2,2,"Diego Velasquez",3,223,NA,2,13,"LongestHoleOutsinyards",2012
3,3,"Kevin Na",80,221,NA,2,17,"LongestHoleOutsinyards",2012
4,4,"Kris Blanks",65,218,NA,4,17,"LongestHoleOutsinyards",2012
4,5,"Dicky Pride",62,218,NA,2,18,"LongestHoleOutsinyards",2012
6,6,"Sergio Garcia",57,207,NA,4,15,"LongestHoleOutsinyards",2012
7,7,"Billy Mayfair",90,202,NA,1,7,"LongestHoleOutsinyards",2012
8,8,"Ryan Moore",89,201,NA,1,7,"LongestHoleOutsinyards",2012
8,9,"Anthony Kim",20,201,NA,1,17,"LongestHoleOutsinyards",2012
10,10,"Roberto Castro",92,199,NA,1,3,"LongestHoleOutsinyards",2012
10,11,"Steve Stricker",73,199,NA,2,6,"LongestHoleOutsinyards",2012
12,12,"Johnson Wagner",88,198,NA,3,15,"LongestHoleOutsinyards",2012
13,13,"Jeff Overton",101,196,NA,3,12,"LongestHoleOutsinyards",2012
13,14,"Davis Love III",64,196,NA,1,5,"LongestHoleOutsinyards",2012
15,15,"Gavin Coles",72,194,NA,1,5,"LongestHoleOutsinyards",2012
15,16,"Chez Reavie",83,194,NA,4,13,"LongestHoleOutsinyards",2012
15,17,"Nick OHern",78,194,NA,4,3,"LongestHoleOutsinyards",2012
18,18,"Charles Howell III",98,192,NA,4,7,"LongestHoleOutsinyards",2012
19,19,"Chris Kirk",93,190,NA,2,17,"LongestHoleOutsinyards",2012
19,20,"Stewart Cink",71,190,NA,3,8,"LongestHoleOutsinyards",2012
22,22,"Chad Campbell",84,188,NA,2,15,"LongestHoleOutsinyards",2012
23,24,"Bob Estes",78,184,NA,2,4,"LongestHoleOutsinyards",2012
25,25,"Harrison Frazar",56,183,NA,2,16,"LongestHoleOutsinyards",2012
26,26,"Jonathan Fly",4,179,NA,2,1,"LongestHoleOutsinyards",2012
26,27,"Tim Clark",60,179,NA,2,7,"LongestHoleOutsinyards",2012
28,28,"Kyle Reifers",86,178,NA,3,18,"LongestHoleOutsinyards",2012
