"TotalBirdies_RANKTHISWEEK_2011","TotalBirdies_RANKLASTWEEK_2011","TotalBirdies_PLAYERNAME_2011","TotalBirdies_ROUNDS_2011","TotalBirdies_TOTAL_2011","stat_name","year"
1,1,"Blake Adams",116,433,"TotalBirdies",2011
2,2,"Webb Simpson",98,415,"TotalBirdies",2011
3,3,"Spencer Levin",113,405,"TotalBirdies",2011
4,4,"Brendon de Jonge",105,397,"TotalBirdies",2011
5,5,"Tommy Gainey",104,393,"TotalBirdies",2011
6,6,"Brian Davis",105,392,"TotalBirdies",2011
6,6,"Kyle Stanley",98,392,"TotalBirdies",2011
8,8,"Cameron Tringale",110,381,"TotalBirdies",2011
9,9,"Brandt Jobe",100,378,"TotalBirdies",2011
10,10,"Josh Teater",104,377,"TotalBirdies",2011
11,11,"Charles Howell III",108,375,"TotalBirdies",2011
12,12,"Charley Hoffman",93,368,"TotalBirdies",2011
12,12,"Gary Woodland",93,368,"TotalBirdies",2011
14,14,"Hunter Mahan",92,361,"TotalBirdies",2011
15,15,"Carl Pettersson",95,357,"TotalBirdies",2011
16,16,"Hunter Haas",96,354,"TotalBirdies",2011
17,17,"John Senden",94,352,"TotalBirdies",2011
18,18,"Chez Reavie",92,349,"TotalBirdies",2011
19,19,"Matt Kuchar",94,347,"TotalBirdies",2011
20,20,"Chad Campbell",99,346,"TotalBirdies",2011
20,20,"Freddie Jacobson",92,346,"TotalBirdies",2011
22,22,"William McGirt",103,343,"TotalBirdies",2011
23,23,"Bill Haas",93,341,"TotalBirdies",2011
24,24,"Bill Lunde",92,339,"TotalBirdies",2011
25,25,"Billy Mayfair",94,337,"TotalBirdies",2011
26,26,"Keegan Bradley",91,336,"TotalBirdies",2011
27,27,"Rickie Fowler",84,331,"TotalBirdies",2011
28,28,"Steven Bowditch",86,330,"TotalBirdies",2011
28,28,"Chris Kirk",87,330,"TotalBirdies",2011
30,30,"Brian Gay",90,328,"TotalBirdies",2011
30,30,"Troy Matteson",91,328,"TotalBirdies",2011
32,32,"DA Points",89,323,"TotalBirdies",2011
32,32,"Kevin Stadler",88,323,"TotalBirdies",2011
34,34,"Arjun Atwal",91,322,"TotalBirdies",2011
34,34,"Kevin Na",84,322,"TotalBirdies",2011
34,34,"Bo Van Pelt",92,322,"TotalBirdies",2011
37,37,"Robert Garrigus",83,321,"TotalBirdies",2011
37,37,"Brandt Snedeker",85,321,"TotalBirdies",2011
37,37,"Jhonattan Vegas",84,321,"TotalBirdies",2011
40,40,"Rory Sabbatini",85,320,"TotalBirdies",2011
41,41,"Jeff Overton",92,318,"TotalBirdies",2011
42,42,"JJ Henry",96,316,"TotalBirdies",2011
42,42,"Nick Watney",80,316,"TotalBirdies",2011
44,44,"Kris Blanks",92,315,"TotalBirdies",2011
45,45,"Aaron Baddeley",77,314,"TotalBirdies",2011
45,45,"Chris DiMarco",93,314,"TotalBirdies",2011
45,45,"Brendan Steele",89,314,"TotalBirdies",2011
48,48,"Kevin Streelman",90,313,"TotalBirdies",2011
49,49,"Steve Flesch",88,311,"TotalBirdies",2011
50,50,"Vaughn Taylor",89,310,"TotalBirdies",2011
51,51,"Chris Stroud",88,309,"TotalBirdies",2011
51,51,"Bubba Watson",85,309,"TotalBirdies",2011
53,53,"Bryce Molder",82,308,"TotalBirdies",2011
54,54,"Nick OHern",89,307,"TotalBirdies",2011
54,54,"John Rollins",85,307,"TotalBirdies",2011
54,54,"David Toms",78,307,"TotalBirdies",2011
57,57,"Andres Romero",77,304,"TotalBirdies",2011
57,57,"Charlie Wi",83,304,"TotalBirdies",2011
59,59,"DJ Trahan",91,303,"TotalBirdies",2011
60,60,"Tim Herron",85,302,"TotalBirdies",2011
60,60,"Marc Leishman",87,302,"TotalBirdies",2011
62,62,"Heath Slocum",89,299,"TotalBirdies",2011
63,63,"Dustin Johnson",72,298,"TotalBirdies",2011
63,63,"Tim Petrovic",88,298,"TotalBirdies",2011
65,65,"Fabian Gomez",84,297,"TotalBirdies",2011
65,65,"David Hearn",88,297,"TotalBirdies",2011
65,65,"Phil Mickelson",79,297,"TotalBirdies",2011
68,68,"Vijay Singh",79,295,"TotalBirdies",2011
68,68,"Scott Stallings",84,295,"TotalBirdies",2011
68,68,"Steve Stricker",70,295,"TotalBirdies",2011
71,71,"Jason Day",76,293,"TotalBirdies",2011
71,71,"Martin Laird",77,293,"TotalBirdies",2011
71,71,"Mark Wilson",89,293,"TotalBirdies",2011
74,74,"Ryan Palmer",82,292,"TotalBirdies",2011
75,75,"Jonathan Byrd",83,291,"TotalBirdies",2011
75,75,"Scott Piercy",78,291,"TotalBirdies",2011
77,77,"Robert Allenby",84,290,"TotalBirdies",2011
78,78,"Matt Bettencourt",84,289,"TotalBirdies",2011
79,79,"Tag Ridings",87,288,"TotalBirdies",2011
80,80,"Greg Chalmers",88,287,"TotalBirdies",2011
80,80,"Jason Dufner",78,287,"TotalBirdies",2011
80,80,"Pat Perez",76,287,"TotalBirdies",2011
83,83,"Jim Furyk",87,285,"TotalBirdies",2011
83,83,"Ryuji Imada",83,285,"TotalBirdies",2011
83,83,"David Mathis",83,285,"TotalBirdies",2011
83,83,"Zack Miller",86,285,"TotalBirdies",2011
87,87,"Luke Donald",73,284,"TotalBirdies",2011
87,87,"Jerry Kelly",85,284,"TotalBirdies",2011
87,87,"Steve Marino",76,284,"TotalBirdies",2011
87,87,"Justin Rose",79,284,"TotalBirdies",2011
91,91,"Chris Couch",73,278,"TotalBirdies",2011
91,91,"Michael Thompson",79,278,"TotalBirdies",2011
93,93,"Zach Johnson",79,275,"TotalBirdies",2011
93,93,"Paul Stankowski",78,275,"TotalBirdies",2011
95,95,"Alex Prugh",82,274,"TotalBirdies",2011
95,95,"Jimmy Walker",79,274,"TotalBirdies",2011
97,97,"Ryan Moore",79,271,"TotalBirdies",2011
98,98,"Lucas Glover",74,270,"TotalBirdies",2011
99,99,"Bobby Gates",82,269,"TotalBirdies",2011
99,99,"Paul Goydos",81,269,"TotalBirdies",2011
99,99,"Trevor Immelman",84,269,"TotalBirdies",2011
102,102,"Joe Ogilvie",75,268,"TotalBirdies",2011
102,102,"Johnson Wagner",81,268,"TotalBirdies",2011
104,104,"Ben Martin",74,267,"TotalBirdies",2011
105,105,"Jason Bohn",74,266,"TotalBirdies",2011
105,105,"Nathan Green",81,266,"TotalBirdies",2011
107,107,"Billy Horschel",75,264,"TotalBirdies",2011
108,108,"Ricky Barnes",78,262,"TotalBirdies",2011
108,108,"Jarrod Lyle",83,262,"TotalBirdies",2011
110,110,"Kevin Chappell",78,261,"TotalBirdies",2011
111,111,"KJ Choi",77,259,"TotalBirdies",2011
112,112,"John Merrick",71,257,"TotalBirdies",2011
113,113,"Stewart Cink",72,255,"TotalBirdies",2011
113,113,"James Driscoll",71,255,"TotalBirdies",2011
115,115,"Michael Bradley",74,254,"TotalBirdies",2011
115,115,"Ben Crane",76,254,"TotalBirdies",2011
117,117,"Geoff Ogilvy",69,253,"TotalBirdies",2011
118,118,"Cameron Beckman",71,252,"TotalBirdies",2011
118,118,"Anthony Kim",72,252,"TotalBirdies",2011
120,120,"George McNeill",69,249,"TotalBirdies",2011
121,121,"Matt Jones",71,248,"TotalBirdies",2011
121,121,"Rod Pampling",72,248,"TotalBirdies",2011
121,121,"Boo Weekley",66,248,"TotalBirdies",2011
124,124,"Bio Kim",71,247,"TotalBirdies",2011
124,124,"Garrett Willis",71,247,"TotalBirdies",2011
126,126,"Kent Jones",76,245,"TotalBirdies",2011
127,127,"Joseph Bramlett",73,243,"TotalBirdies",2011
127,127,"Colt Knost",80,243,"TotalBirdies",2011
127,127,"Justin Leonard",82,243,"TotalBirdies",2011
130,130,"Chris Riley",76,242,"TotalBirdies",2011
131,131,"Davis Love III",70,241,"TotalBirdies",2011
132,132,"Stephen Ames",69,236,"TotalBirdies",2011
133,133,"Michael Connell",76,235,"TotalBirdies",2011
134,134,"Camilo Villegas",69,229,"TotalBirdies",2011
135,135,"Jim Herman",69,228,"TotalBirdies",2011
136,136,"Ernie Els",71,227,"TotalBirdies",2011
137,137,"Lee Janzen",62,226,"TotalBirdies",2011
138,138,"Shaun Micheel",77,225,"TotalBirdies",2011
139,139,"David Duval",67,224,"TotalBirdies",2011
139,139,"Jim Renner",65,224,"TotalBirdies",2011
139,139,"Adam Scott",60,224,"TotalBirdies",2011
142,142,"Sean OHair",71,223,"TotalBirdies",2011
143,143,"Kevin Kisner",70,222,"TotalBirdies",2011
144,144,"Shane Bertsch",62,219,"TotalBirdies",2011
144,144,"Michael Putnam",67,219,"TotalBirdies",2011
144,144,"Roland Thatcher",67,219,"TotalBirdies",2011
147,147,"Joe Durant",71,217,"TotalBirdies",2011
147,147,"Derek Lamely",65,217,"TotalBirdies",2011
149,149,"JB Holmes",57,216,"TotalBirdies",2011
150,150,"DJ Brigman",67,215,"TotalBirdies",2011
151,151,"Scott Gutschewski",67,214,"TotalBirdies",2011
151,151,"Aron Price",58,214,"TotalBirdies",2011
153,153,"Scott McCarron",65,213,"TotalBirdies",2011
154,154,"Ben Curtis",66,211,"TotalBirdies",2011
155,155,"Woody Austin",59,210,"TotalBirdies",2011
156,156,"Stuart Appleby",65,209,"TotalBirdies",2011
156,156,"Briny Baird",60,209,"TotalBirdies",2011
158,158,"Sung Kang",63,208,"TotalBirdies",2011
158,158,"Robert Karlsson",61,208,"TotalBirdies",2011
158,158,"Nate Smith",66,208,"TotalBirdies",2011
161,161,"Sergio Garcia",61,207,"TotalBirdies",2011
161,161,"Daniel Summerhays",75,207,"TotalBirdies",2011
