"Total3Putts1520_RANKTHISWEEK_2014","Total3Putts1520_RANKLASTWEEK_2014","Total3Putts1520_PLAYERNAME_2014","Total3Putts1520_ROUNDS_2014","Total3Putts1520_TOTAL3PUTTS1520_2014","Total3Putts1520_TOTAL3PUTTS_2014","stat_name","year"
1,1,"Rory Sabbatini",82,8,54,"Total3Putts1520",2014
2,2,"Justin Hicks",103,7,55,"Total3Putts1520",2014
3,3,"Steven Bowditch",93,6,59,"Total3Putts1520",2014
4,4,"Hideki Matsuyama",82,5,47,"Total3Putts1520",2014
4,4,"Ted Potter Jr",68,5,31,"Total3Putts1520",2014
4,4,"Wes Roach",67,5,41,"Total3Putts1520",2014
4,4,"Charlie Wi",72,5,32,"Total3Putts1520",2014
8,8,"Sangmoon Bae",76,4,37,"Total3Putts1520",2014
8,8,"Graham DeLaet",80,4,41,"Total3Putts1520",2014
8,8,"Derek Ernst",80,4,50,"Total3Putts1520",2014
8,8,"Tommy Gainey",73,4,34,"Total3Putts1520",2014
8,8,"Robert Garrigus",80,4,45,"Total3Putts1520",2014
8,8,"Lucas Glover",68,4,41,"Total3Putts1520",2014
8,8,"John Huh",87,4,36,"Total3Putts1520",2014
8,8,"Ryo Ishikawa",75,4,25,"Total3Putts1520",2014
8,8,"Zach Johnson",97,4,29,"Total3Putts1520",2014
8,8,"Graeme McDowell",66,4,13,"Total3Putts1520",2014
8,8,"Phil Mickelson",71,4,28,"Total3Putts1520",2014
8,8,"Jim Renner",61,4,40,"Total3Putts1520",2014
8,8,"Andres Romero",81,4,46,"Total3Putts1520",2014
8,8,"Kyle Stanley",87,4,74,"Total3Putts1520",2014
8,8,"Nicholas Thompson",85,4,55,"Total3Putts1520",2014
8,8,"Brendon Todd",108,4,32,"Total3Putts1520",2014
8,8,"Bo Van Pelt",83,4,38,"Total3Putts1520",2014
25,25,"Stuart Appleby",92,3,38,"Total3Putts1520",2014
25,25,"Charlie Beljan",76,3,36,"Total3Putts1520",2014
25,25,"Ben Crane",81,3,30,"Total3Putts1520",2014
25,25,"Brian Davis",93,3,38,"Total3Putts1520",2014
25,25,"Ken Duke",80,3,46,"Total3Putts1520",2014
25,25,"Brice Garnett",92,3,38,"Total3Putts1520",2014
25,25,"Brian Harman",111,3,36,"Total3Putts1520",2014
25,25,"Russell Henley",92,3,30,"Total3Putts1520",2014
25,25,"Jim Herman",62,3,32,"Total3Putts1520",2014
25,25,"Morgan Hoffmann",103,3,44,"Total3Putts1520",2014
25,25,"JB Holmes",86,3,35,"Total3Putts1520",2014
25,25,"Billy Horschel",92,3,39,"Total3Putts1520",2014
25,25,"Trevor Immelman",84,3,37,"Total3Putts1520",2014
25,25,"Marc Leishman",81,3,30,"Total3Putts1520",2014
25,25,"Jamie Lovemark",64,3,29,"Total3Putts1520",2014
25,25,"John Merrick",87,3,41,"Total3Putts1520",2014
25,25,"Sean OHair",77,3,30,"Total3Putts1520",2014
25,25,"Ryan Palmer",85,3,34,"Total3Putts1520",2014
25,25,"Charl Schwartzel",64,3,25,"Total3Putts1520",2014
25,25,"Adam Scott",68,3,23,"Total3Putts1520",2014
25,25,"Vijay Singh",83,3,48,"Total3Putts1520",2014
25,25,"Jordan Spieth",102,3,36,"Total3Putts1520",2014
25,25,"Kevin Stadler",90,3,28,"Total3Putts1520",2014
25,25,"Shawn Stefani",60,3,31,"Total3Putts1520",2014
25,25,"Chris Stroud",88,3,28,"Total3Putts1520",2014
25,25,"Josh Teater",90,3,35,"Total3Putts1520",2014
25,25,"Camilo Villegas",95,3,46,"Total3Putts1520",2014
25,25,"Nick Watney",80,3,35,"Total3Putts1520",2014
53,53,"Woody Austin",63,2,31,"Total3Putts1520",2014
53,53,"Aaron Baddeley",74,2,24,"Total3Putts1520",2014
53,53,"Jason Bohn",81,2,22,"Total3Putts1520",2014
53,53,"Jonathan Byrd",76,2,29,"Total3Putts1520",2014
53,53,"Chad Campbell",57,2,27,"Total3Putts1520",2014
53,53,"Stewart Cink",91,2,46,"Total3Putts1520",2014
53,53,"Matt Every",85,2,31,"Total3Putts1520",2014
