"CareerEarnings_RANKTHISWEEK_2014","CareerEarnings_RANKLASTWEEK_2014","CareerEarnings_PLAYERNAME_2014","CareerEarnings__2014","CareerEarnings_MONEY_2014","stat_name","year"
1,1,"Tiger Woods",NA,109612414,"CareerEarnings",2014
2,2,"Phil Mickelson",NA,75298510,"CareerEarnings",2014
3,3,"Vijay Singh",NA,68576122,"CareerEarnings",2014
4,4,"Jim Furyk",NA,61911633,"CareerEarnings",2014
5,5,"Ernie Els",NA,47744740,"CareerEarnings",2014
6,6,"Davis Love III",NA,42796746,"CareerEarnings",2014
7,7,"Steve Stricker",NA,40674840,"CareerEarnings",2014
8,8,"David Toms",NA,40313294,"CareerEarnings",2014
9,9,"Sergio Garcia",NA,37773319,"CareerEarnings",2014
10,10,"Adam Scott",NA,37297653,"CareerEarnings",2014
11,11,"Zach Johnson",NA,33675219,"CareerEarnings",2014
12,12,"Justin Leonard",NA,33363488,"CareerEarnings",2014
13,13,"Stewart Cink",NA,32818873,"CareerEarnings",2014
14,14,"Luke Donald",NA,32242519,"CareerEarnings",2014
15,15,"Kenny Perry",NA,31980740,"CareerEarnings",2014
16,16,"Matt Kuchar",NA,31111543,"CareerEarnings",2014
17,17,"KJ Choi",NA,30025453,"CareerEarnings",2014
18,18,"Justin Rose",NA,29204533,"CareerEarnings",2014
19,19,"Stuart Appleby",NA,28774161,"CareerEarnings",2014
20,20,"Retief Goosen",NA,28667416,"CareerEarnings",2014
21,21,"Geoff Ogilvy",NA,28440710,"CareerEarnings",2014
22,22,"Mike Weir",NA,27870873,"CareerEarnings",2014
23,23,"Hunter Mahan",NA,27857040,"CareerEarnings",2014
24,24,"Rory Sabbatini",NA,27817395,"CareerEarnings",2014
25,25,"Charles Howell III",NA,27623015,"CareerEarnings",2014
26,26,"Scott Verplank",NA,27474543,"CareerEarnings",2014
27,27,"Robert Allenby",NA,27127382,"CareerEarnings",2014
28,28,"Jerry Kelly",NA,26128629,"CareerEarnings",2014
29,29,"Bubba Watson",NA,25055896,"CareerEarnings",2014
30,30,"Mark Calcavecchia",NA,24216436,"CareerEarnings",2014
31,31,"Dustin Johnson",NA,24157093,"CareerEarnings",2014
32,32,"Rory McIlroy",NA,23440098,"CareerEarnings",2014
33,33,"Brandt Snedeker",NA,23068691,"CareerEarnings",2014
34,34,"Tim Clark",NA,22803821,"CareerEarnings",2014
35,35,"Chris DiMarco",NA,22656443,"CareerEarnings",2014
36,36,"Fred Couples",NA,22595874,"CareerEarnings",2014
37,37,"Padraig Harrington",NA,22526233,"CareerEarnings",2014
38,38,"Chad Campbell",NA,22262675,"CareerEarnings",2014
39,39,"Nick Watney",NA,22123311,"CareerEarnings",2014
40,40,"Bob Estes",NA,21536179,"CareerEarnings",2014
41,41,"Tom Lehman",NA,21495878,"CareerEarnings",2014
42,42,"Carl Pettersson",NA,21227059,"CareerEarnings",2014
43,43,"Fred Funk",NA,21130324,"CareerEarnings",2014
44,44,"Nick Price",NA,20576104,"CareerEarnings",2014
45,45,"Bill Haas",NA,20416477,"CareerEarnings",2014
46,46,"Billy Mayfair",NA,20244211,"CareerEarnings",2014
47,47,"Bo Van Pelt",NA,19830885,"CareerEarnings",2014
48,48,"Stephen Ames",NA,19710547,"CareerEarnings",2014
49,49,"Jeff Maggert",NA,19364566,"CareerEarnings",2014
50,50,"Ben Crane",NA,19311408,"CareerEarnings",2014
51,51,"David Duval",NA,18947092,"CareerEarnings",2014
52,52,"John Senden",NA,18867849,"CareerEarnings",2014
53,53,"Tim Herron",NA,18781482,"CareerEarnings",2014
54,54,"Ryan Moore",NA,18566241,"CareerEarnings",2014
55,55,"Webb Simpson",NA,18542390,"CareerEarnings",2014
56,56,"Scott Hoch",NA,18530156,"CareerEarnings",2014
57,57,"Jeff Sluman",NA,18165266,"CareerEarnings",2014
58,58,"Steve Flesch",NA,18153356,"CareerEarnings",2014
59,59,"John Rollins",NA,18098041,"CareerEarnings",2014
60,60,"Brian Gay",NA,17795366,"CareerEarnings",2014
61,61,"Brad Faxon",NA,17769249,"CareerEarnings",2014
62,62,"Jason Day",NA,17617930,"CareerEarnings",2014
63,63,"Jonathan Byrd",NA,17531317,"CareerEarnings",2014
64,64,"Sean OHair",NA,17381821,"CareerEarnings",2014
65,65,"Jason Dufner",NA,17229767,"CareerEarnings",2014
66,66,"Camilo Villegas",NA,17201949,"CareerEarnings",2014
67,67,"Ryan Palmer",NA,17180814,"CareerEarnings",2014
68,68,"Aaron Baddeley",NA,16977493,"CareerEarnings",2014
69,69,"Lee Westwood",NA,16949243,"CareerEarnings",2014
70,70,"Rocco Mediate",NA,16792617,"CareerEarnings",2014
71,71,"Woody Austin",NA,16552358,"CareerEarnings",2014
72,72,"Kevin Na",NA,16417708,"CareerEarnings",2014
73,73,"Henrik Stenson",NA,16406520,"CareerEarnings",2014
74,74,"Freddie Jacobson",NA,16215614,"CareerEarnings",2014
75,75,"Corey Pavin",NA,16021370,"CareerEarnings",2014
76,76,"Lee Janzen",NA,15997139,"CareerEarnings",2014
77,77,"Ian Poulter",NA,15960790,"CareerEarnings",2014
78,78,"Lucas Glover",NA,15932963,"CareerEarnings",2014
79,79,"Bob Tway",NA,15785815,"CareerEarnings",2014
80,80,"Heath Slocum",NA,15781722,"CareerEarnings",2014
81,81,"Kevin Sutherland",NA,15658171,"CareerEarnings",2014
82,82,"Steve Elkington",NA,15505418,"CareerEarnings",2014
83,83,"Pat Perez",NA,15482655,"CareerEarnings",2014
84,84,"Jesper Parnevik",NA,15321627,"CareerEarnings",2014
85,85,"Hal Sutton",NA,15267685,"CareerEarnings",2014
86,86,"Rickie Fowler",NA,15202030,"CareerEarnings",2014
87,87,"Loren Roberts",NA,15154767,"CareerEarnings",2014
88,88,"Steve Lowery",NA,15121961,"CareerEarnings",2014
89,89,"John Huston",NA,14967146,"CareerEarnings",2014
90,90,"Tom Pernice Jr",NA,14950594,"CareerEarnings",2014
91,91,"Charley Hoffman",NA,14525757,"CareerEarnings",2014
92,92,"Greg Norman",NA,14484458,"CareerEarnings",2014
93,93,"Paul Azinger",NA,14467496,"CareerEarnings",2014
94,94,"Jay Haas",NA,14440317,"CareerEarnings",2014
95,95,"Mark OMeara",NA,14189882,"CareerEarnings",2014
