"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2013","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2013","BirdieorBetterPercentageLeftRough_PLAYERNAME_2013","BirdieorBetterPercentageLeftRough_ROUNDS_2013","BirdieorBetterPercentageLeftRough_Pct_2013","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2013","BirdieorBetterPercentageLeftRough_TOTALHOLES_2013","stat_name","year"
1,1,"Rory McIlroy",56,30.99,22,71,"BirdieorBetterPercentageLeftRough",2013
2,2,"Freddie Jacobson",63,25.64,20,78,"BirdieorBetterPercentageLeftRough",2013
3,3,"Tiger Woods",61,25.53,12,47,"BirdieorBetterPercentageLeftRough",2013
4,4,"Sergio Garcia",65,23.47,23,98,"BirdieorBetterPercentageLeftRough",2013
5,5,"Bubba Watson",76,22.86,24,105,"BirdieorBetterPercentageLeftRough",2013
6,6,"Aaron Baddeley",68,22.66,29,128,"BirdieorBetterPercentageLeftRough",2013
7,7,"Rory Sabbatini",86,21.74,30,138,"BirdieorBetterPercentageLeftRough",2013
8,8,"Charl Schwartzel",69,21.51,20,93,"BirdieorBetterPercentageLeftRough",2013
9,9,"Bo Van Pelt",72,21.13,15,71,"BirdieorBetterPercentageLeftRough",2013
10,10,"Dustin Johnson",71,21.05,24,114,"BirdieorBetterPercentageLeftRough",2013
11,11,"Patrick Reed",83,20.92,32,153,"BirdieorBetterPercentageLeftRough",2013
12,12,"Kevin Stadler",83,20.9,28,134,"BirdieorBetterPercentageLeftRough",2013
13,13,"Jimmy Walker",84,20.83,30,144,"BirdieorBetterPercentageLeftRough",2013
14,14,"Robert Garrigus",69,20.37,22,108,"BirdieorBetterPercentageLeftRough",2013
15,15,"Ernie Els",63,20,14,70,"BirdieorBetterPercentageLeftRough",2013
16,16,"Phil Mickelson",78,19.4,26,134,"BirdieorBetterPercentageLeftRough",2013
17,17,"Chad Campbell",78,19.35,24,124,"BirdieorBetterPercentageLeftRough",2013
18,18,"Padraig Harrington",52,19.3,11,57,"BirdieorBetterPercentageLeftRough",2013
19,19,"Cameron Tringale",80,19.2,24,125,"BirdieorBetterPercentageLeftRough",2013
20,20,"KJ Choi",85,19.1,17,89,"BirdieorBetterPercentageLeftRough",2013
21,21,"Steve Stricker",51,19.05,8,42,"BirdieorBetterPercentageLeftRough",2013
22,22,"Charles Howell III",87,19.01,23,121,"BirdieorBetterPercentageLeftRough",2013
23,23,"Adam Scott",61,18.99,15,79,"BirdieorBetterPercentageLeftRough",2013
24,24,"Hunter Mahan",91,18.95,18,95,"BirdieorBetterPercentageLeftRough",2013
25,25,"John Rollins",77,18.87,20,106,"BirdieorBetterPercentageLeftRough",2013
26,26,"Charlie Wi",75,18.68,17,91,"BirdieorBetterPercentageLeftRough",2013
27,27,"Charley Hoffman",84,18.64,22,118,"BirdieorBetterPercentageLeftRough",2013
28,28,"James Hahn",78,18.58,21,113,"BirdieorBetterPercentageLeftRough",2013
29,29,"Chris Kirk",89,18.33,22,120,"BirdieorBetterPercentageLeftRough",2013
30,30,"Brandt Snedeker",79,18.28,17,93,"BirdieorBetterPercentageLeftRough",2013
31,31,"Matt Kuchar",93,18.25,23,126,"BirdieorBetterPercentageLeftRough",2013
32,32,"Justin Rose",62,18.18,12,66,"BirdieorBetterPercentageLeftRough",2013
32,32,"Henrik Stenson",65,18.18,12,66,"BirdieorBetterPercentageLeftRough",2013
34,34,"Jason Dufner",78,18.1,19,105,"BirdieorBetterPercentageLeftRough",2013
35,35,"Luke Donald",60,18.06,13,72,"BirdieorBetterPercentageLeftRough",2013
36,36,"Billy Horschel",96,18.05,24,133,"BirdieorBetterPercentageLeftRough",2013
37,37,"Angel Cabrera",73,18.02,20,111,"BirdieorBetterPercentageLeftRough",2013
38,38,"Ryan Palmer",79,17.97,23,128,"BirdieorBetterPercentageLeftRough",2013
39,39,"Kevin Streelman",86,17.76,19,107,"BirdieorBetterPercentageLeftRough",2013
40,40,"Brandt Jobe",62,17.65,12,68,"BirdieorBetterPercentageLeftRough",2013
41,41,"Geoff Ogilvy",57,17.57,13,74,"BirdieorBetterPercentageLeftRough",2013
42,42,"Bud Cauley",67,17.53,17,97,"BirdieorBetterPercentageLeftRough",2013
43,43,"Peter Hanson",45,17.5,14,80,"BirdieorBetterPercentageLeftRough",2013
43,43,"DA Points",87,17.5,21,120,"BirdieorBetterPercentageLeftRough",2013
45,45,"Zach Johnson",84,17.31,18,104,"BirdieorBetterPercentageLeftRough",2013
45,45,"Aaron Watkins",46,17.31,9,52,"BirdieorBetterPercentageLeftRough",2013
47,47,"Daniel Summerhays",83,17.27,24,139,"BirdieorBetterPercentageLeftRough",2013
48,48,"Ted Potter Jr",65,17.05,15,88,"BirdieorBetterPercentageLeftRough",2013
49,49,"Greg Chalmers",77,17,17,100,"BirdieorBetterPercentageLeftRough",2013
50,50,"Graham DeLaet",94,16.95,20,118,"BirdieorBetterPercentageLeftRough",2013
51,51,"Jason Kokrak",78,16.88,26,154,"BirdieorBetterPercentageLeftRough",2013
52,52,"Jason Bohn",70,16.67,17,102,"BirdieorBetterPercentageLeftRough",2013
52,52,"Brian Davis",91,16.67,23,138,"BirdieorBetterPercentageLeftRough",2013
52,52,"James Driscoll",76,16.67,22,132,"BirdieorBetterPercentageLeftRough",2013
52,52,"Luke List",65,16.67,27,162,"BirdieorBetterPercentageLeftRough",2013
52,52,"Scott Piercy",78,16.67,15,90,"BirdieorBetterPercentageLeftRough",2013
57,57,"David Lingmerth",68,16.48,15,91,"BirdieorBetterPercentageLeftRough",2013
58,58,"Jim Herman",59,16.47,14,85,"BirdieorBetterPercentageLeftRough",2013
59,59,"Pat Perez",69,16.36,18,110,"BirdieorBetterPercentageLeftRough",2013
60,60,"Sangmoon Bae",83,16.28,21,129,"BirdieorBetterPercentageLeftRough",2013
61,61,"Ryo Ishikawa",72,16.26,20,123,"BirdieorBetterPercentageLeftRough",2013
62,62,"John Merrick",79,15.93,18,113,"BirdieorBetterPercentageLeftRough",2013
62,62,"Henrik Norlander",70,15.93,18,113,"BirdieorBetterPercentageLeftRough",2013
64,64,"Russell Henley",80,15.91,21,132,"BirdieorBetterPercentageLeftRough",2013
64,64,"Josh Teater",86,15.91,14,88,"BirdieorBetterPercentageLeftRough",2013
66,66,"Matt Every",89,15.89,24,151,"BirdieorBetterPercentageLeftRough",2013
66,66,"Gary Woodland",94,15.89,24,151,"BirdieorBetterPercentageLeftRough",2013
68,68,"Matt Jones",83,15.79,15,95,"BirdieorBetterPercentageLeftRough",2013
69,69,"Jeff Maggert",63,15.73,14,89,"BirdieorBetterPercentageLeftRough",2013
70,70,"Tag Ridings",69,15.7,19,121,"BirdieorBetterPercentageLeftRough",2013
71,71,"Chez Reavie",72,15.69,16,102,"BirdieorBetterPercentageLeftRough",2013
71,71,"Andres Romero",63,15.69,16,102,"BirdieorBetterPercentageLeftRough",2013
73,73,"Marc Leishman",77,15.53,16,103,"BirdieorBetterPercentageLeftRough",2013
73,73,"Kyle Stanley",71,15.53,16,103,"BirdieorBetterPercentageLeftRough",2013
