"ApproachesLeftRoughRTPScore_RANKTHISWEEK_2013","ApproachesLeftRoughRTPScore_RANKLASTWEEK_2013","ApproachesLeftRoughRTPScore_PLAYERNAME_2013","ApproachesLeftRoughRTPScore_ROUNDS_2013","ApproachesLeftRoughRTPScore_AVGRTP_2013","stat_name","year"
76,76,"Zach Johnson",84,0.096,"ApproachesLeftRoughRTPScore",2013
77,77,"John Merrick",79,0.097,"ApproachesLeftRoughRTPScore",2013
78,78,"Russell Henley",80,0.098,"ApproachesLeftRoughRTPScore",2013
78,78,"Ryo Ishikawa",72,0.098,"ApproachesLeftRoughRTPScore",2013
80,80,"Robert Karlsson",56,0.099,"ApproachesLeftRoughRTPScore",2013
80,80,"Luke List",65,0.099,"ApproachesLeftRoughRTPScore",2013
82,82,"DA Points",87,0.1,"ApproachesLeftRoughRTPScore",2013
83,83,"Rory Sabbatini",86,0.101,"ApproachesLeftRoughRTPScore",2013
84,84,"Matt Jones",83,0.105,"ApproachesLeftRoughRTPScore",2013
85,85,"Brian Gay",79,0.108,"ApproachesLeftRoughRTPScore",2013
86,86,"Justin Leonard",86,0.109,"ApproachesLeftRoughRTPScore",2013
86,86,"Pat Perez",69,0.109,"ApproachesLeftRoughRTPScore",2013
88,88,"Chad Campbell",78,0.113,"ApproachesLeftRoughRTPScore",2013
88,88,"Billy Horschel",96,0.113,"ApproachesLeftRoughRTPScore",2013
90,90,"Tommy Gainey",84,0.115,"ApproachesLeftRoughRTPScore",2013
90,90,"James Hahn",78,0.115,"ApproachesLeftRoughRTPScore",2013
92,92,"Jeff Overton",78,0.116,"ApproachesLeftRoughRTPScore",2013
93,93,"Ryan Palmer",79,0.117,"ApproachesLeftRoughRTPScore",2013
94,94,"Graham DeLaet",94,0.119,"ApproachesLeftRoughRTPScore",2013
95,95,"Jonas Blixt",76,0.12,"ApproachesLeftRoughRTPScore",2013
95,95,"Greg Chalmers",77,0.12,"ApproachesLeftRoughRTPScore",2013
97,97,"Webb Simpson",92,0.121,"ApproachesLeftRoughRTPScore",2013
98,98,"Roberto Castro",97,0.122,"ApproachesLeftRoughRTPScore",2013
99,99,"Brian Davis",91,0.123,"ApproachesLeftRoughRTPScore",2013
100,100,"Nicholas Thompson",99,0.124,"ApproachesLeftRoughRTPScore",2013
101,101,"Marc Leishman",77,0.126,"ApproachesLeftRoughRTPScore",2013
102,102,"David Lynn",70,0.127,"ApproachesLeftRoughRTPScore",2013
102,102,"William McGirt",75,0.127,"ApproachesLeftRoughRTPScore",2013
102,102,"John Senden",79,0.127,"ApproachesLeftRoughRTPScore",2013
105,105,"David Hearn",88,0.129,"ApproachesLeftRoughRTPScore",2013
106,106,"David Lingmerth",68,0.132,"ApproachesLeftRoughRTPScore",2013
106,106,"Tag Ridings",69,0.132,"ApproachesLeftRoughRTPScore",2013
108,108,"Keegan Bradley",88,0.133,"ApproachesLeftRoughRTPScore",2013
108,108,"David Toms",49,0.133,"ApproachesLeftRoughRTPScore",2013
