"Approach_RANKTHISWEEK_2015","Approach_RANKLASTWEEK_2015","Approach_PLAYERNAME_2015","Approach_ROUNDS_2015","Approach_AVGRTP_2015","stat_name","year"
1,1,"Francesco Molinari",56,-0.277,"Approach",2015
2,2,"Jimmy Walker",89,-0.272,"Approach",2015
3,3,"Sergio Garcia",59,-0.256,"Approach",2015
4,4,"Justin Rose",69,-0.255,"Approach",2015
5,5,"Greg Owen",58,-0.25,"Approach",2015
6,6,"Adam Scott",51,-0.247,"Approach",2015
7,7,"JB Holmes",89,-0.246,"Approach",2015
8,8,"Zach Johnson",90,-0.245,"Approach",2015
9,9,"Ryan Moore",81,-0.243,"Approach",2015
10,10,"Jamie Donaldson",50,-0.242,"Approach",2015
11,11,"Dustin Johnson",75,-0.241,"Approach",2015
12,12,"Matt Kuchar",97,-0.238,"Approach",2015
13,13,"KJ Choi",66,-0.233,"Approach",2015
14,14,"Matt Jones",89,-0.224,"Approach",2015
15,15,"Jason Bohn",95,-0.223,"Approach",2015
15,15,"Henrik Stenson",63,-0.223,"Approach",2015
17,17,"Vijay Singh",78,-0.218,"Approach",2015
18,18,"Scott Piercy",90,-0.216,"Approach",2015
19,19,"Michael Putnam",87,-0.215,"Approach",2015
20,20,"Paul Casey",87,-0.213,"Approach",2015
21,21,"Brandt Snedeker",98,-0.212,"Approach",2015
22,22,"Rickie Fowler",76,-0.207,"Approach",2015
23,23,"Jason Day",75,-0.205,"Approach",2015
24,24,"William McGirt",103,-0.199,"Approach",2015
25,25,"Jonathan Byrd",69,-0.198,"Approach",2015
26,26,"Kevin Na",98,-0.197,"Approach",2015
27,27,"Zac Blair",108,-0.196,"Approach",2015
27,27,"Greg Chalmers",58,-0.196,"Approach",2015
29,29,"David Lingmerth",90,-0.195,"Approach",2015
30,30,"Hideki Matsuyama",95,-0.193,"Approach",2015
30,30,"Sean OHair",86,-0.193,"Approach",2015
32,32,"Chris Stroud",84,-0.192,"Approach",2015
33,33,"Jerry Kelly",79,-0.19,"Approach",2015
33,33,"Rory Sabbatini",81,-0.19,"Approach",2015
35,35,"Jon Curran",83,-0.189,"Approach",2015
36,36,"Russell Henley",87,-0.187,"Approach",2015
37,37,"David Hearn",97,-0.185,"Approach",2015
37,37,"Colt Knost",90,-0.185,"Approach",2015
37,37,"Justin Thomas",106,-0.185,"Approach",2015
37,37,"David Toms",62,-0.185,"Approach",2015
37,37,"Steve Wheatcroft",87,-0.185,"Approach",2015
42,42,"Scott Brown",97,-0.183,"Approach",2015
43,43,"Brendon de Jonge",106,-0.181,"Approach",2015
43,43,"Brendon Todd",96,-0.181,"Approach",2015
45,45,"James Hahn",94,-0.179,"Approach",2015
46,46,"Mark Wilson",89,-0.178,"Approach",2015
47,47,"Chad Collins",79,-0.177,"Approach",2015
48,48,"Cameron Tringale",96,-0.176,"Approach",2015
49,49,"Whee Kim",71,-0.175,"Approach",2015
50,50,"Kevin Kisner",104,-0.172,"Approach",2015
51,51,"Mark Hubbard",79,-0.171,"Approach",2015
52,52,"Scott Langley",94,-0.17,"Approach",2015
53,53,"Nicholas Thompson",90,-0.169,"Approach",2015
54,54,"George McNeill",93,-0.168,"Approach",2015
55,55,"Lucas Glover",79,-0.167,"Approach",2015
56,56,"Steven Bowditch",103,-0.165,"Approach",2015
56,56,"Kyle Reifers",96,-0.165,"Approach",2015
56,56,"Shawn Stefani",94,-0.165,"Approach",2015
59,59,"John Huh",102,-0.164,"Approach",2015
60,60,"Cameron Percy",72,-0.162,"Approach",2015
60,60,"Ian Poulter",68,-0.162,"Approach",2015
60,60,"Jordan Spieth",91,-0.162,"Approach",2015
63,63,"Stewart Cink",77,-0.16,"Approach",2015
63,63,"Martin Flores",95,-0.16,"Approach",2015
63,63,"Daniel Summerhays",101,-0.16,"Approach",2015
66,66,"Ryo Ishikawa",90,-0.159,"Approach",2015
66,66,"John Peterson",84,-0.159,"Approach",2015
68,68,"Tom Hoge",83,-0.157,"Approach",2015
69,69,"Ken Duke",93,-0.156,"Approach",2015
70,70,"Will Wilcox",58,-0.154,"Approach",2015
71,71,"Chad Campbell",97,-0.152,"Approach",2015
71,71,"Phil Mickelson",70,-0.152,"Approach",2015
73,73,"Max Homa",78,-0.15,"Approach",2015
74,74,"Brian Harman",90,-0.149,"Approach",2015
74,74,"Nick Taylor",91,-0.149,"Approach",2015
76,76,"Heath Slocum",57,-0.148,"Approach",2015
77,77,"Carlos Ortiz",100,-0.146,"Approach",2015
77,77,"Bubba Watson",71,-0.146,"Approach",2015
79,79,"Danny Lee",120,-0.145,"Approach",2015
80,80,"Ben Crane",62,-0.143,"Approach",2015
81,81,"Fabian Gomez",83,-0.142,"Approach",2015
81,81,"Billy Hurley III",83,-0.142,"Approach",2015
83,83,"Charley Hoffman",97,-0.141,"Approach",2015
84,84,"Jim Furyk",71,-0.14,"Approach",2015
84,84,"Alex Prugh",84,-0.14,"Approach",2015
84,84,"Hudson Swafford",97,-0.14,"Approach",2015
84,84,"Boo Weekley",79,-0.14,"Approach",2015
88,88,"Justin Leonard",61,-0.139,"Approach",2015
89,89,"Roberto Castro",54,-0.137,"Approach",2015
90,90,"Robert Streb",110,-0.136,"Approach",2015
91,91,"Ben Martin",93,-0.134,"Approach",2015
91,91,"Carl Pettersson",106,-0.134,"Approach",2015
93,93,"Kevin Chappell",86,-0.133,"Approach",2015
94,94,"Daniel Berger",97,-0.132,"Approach",2015
94,94,"Lee Westwood",56,-0.132,"Approach",2015
94,94,"Tim Wilkinson",73,-0.132,"Approach",2015
97,97,"Charles Howell III",105,-0.131,"Approach",2015
98,98,"Steven Alker",62,-0.127,"Approach",2015
99,99,"Brian Davis",86,-0.126,"Approach",2015
99,99,"Jim Herman",88,-0.126,"Approach",2015
99,99,"Patrick Reed",103,-0.126,"Approach",2015
99,99,"Nick Watney",91,-0.126,"Approach",2015
103,103,"Angel Cabrera",53,-0.125,"Approach",2015
104,104,"Michael Thompson",83,-0.124,"Approach",2015
105,105,"Hunter Mahan",88,-0.122,"Approach",2015
106,106,"Luke Donald",71,-0.121,"Approach",2015
107,107,"Blayne Barber",76,-0.12,"Approach",2015
107,107,"Chesson Hadley",101,-0.12,"Approach",2015
109,109,"Martin Laird",77,-0.119,"Approach",2015
110,110,"Chris Kirk",76,-0.118,"Approach",2015
111,111,"Oscar Fraustro",58,-0.117,"Approach",2015
112,112,"Pat Perez",96,-0.116,"Approach",2015
113,113,"Seung Yul Noh",65,-0.115,"Approach",2015
113,113,"Jonathan Randolph",72,-0.115,"Approach",2015
115,115,"Gonzalo Fdez Castano",81,-0.114,"Approach",2015
115,115,"Bryce Molder",91,-0.114,"Approach",2015
115,115,"Scott Pinckney",88,-0.114,"Approach",2015
118,118,"Russell Knox",96,-0.112,"Approach",2015
119,119,"Webb Simpson",81,-0.104,"Approach",2015
120,120,"Patrick Rodgers",57,-0.103,"Approach",2015
121,121,"Andres Gonzales",90,-0.1,"Approach",2015
122,122,"Sam Saunders",83,-0.099,"Approach",2015
123,123,"Brian Stuard",97,-0.098,"Approach",2015
124,124,"Jason Kokrak",88,-0.096,"Approach",2015
125,125,"Jeff Overton",94,-0.095,"Approach",2015
126,126,"Bill Haas",89,-0.094,"Approach",2015
126,126,"Spencer Levin",99,-0.094,"Approach",2015
128,128,"Erik Compton",86,-0.092,"Approach",2015
128,128,"Derek Fathauer",81,-0.092,"Approach",2015
130,130,"Louis Oosthuizen",68,-0.091,"Approach",2015
131,131,"Andres Romero",69,-0.088,"Approach",2015
132,132,"Troy Merritt",91,-0.087,"Approach",2015
133,133,"Billy Horschel",99,-0.084,"Approach",2015
134,134,"Derek Ernst",75,-0.083,"Approach",2015
135,135,"Aaron Baddeley",76,-0.081,"Approach",2015
136,136,"Alex Cejka",94,-0.079,"Approach",2015
136,136,"Kevin Streelman",95,-0.079,"Approach",2015
138,138,"Marc Leishman",74,-0.078,"Approach",2015
139,139,"Sangmoon Bae",98,-0.077,"Approach",2015
139,139,"Jason Gore",76,-0.077,"Approach",2015
141,141,"Luke Guthrie",84,-0.076,"Approach",2015
141,141,"JJ Henry",94,-0.076,"Approach",2015
143,143,"Morgan Hoffmann",85,-0.075,"Approach",2015
144,144,"Jason Dufner",76,-0.071,"Approach",2015
145,145,"Byron Smith",59,-0.069,"Approach",2015
146,146,"Keegan Bradley",87,-0.068,"Approach",2015
146,146,"Chez Reavie",56,-0.068,"Approach",2015
148,148,"Ryan Palmer",80,-0.067,"Approach",2015
149,149,"Andrew Putnam",68,-0.066,"Approach",2015
150,150,"Brooks Koepka",84,-0.065,"Approach",2015
151,151,"Roger Sloan",56,-0.063,"Approach",2015
151,151,"Brendan Steele",88,-0.063,"Approach",2015
153,153,"Jonas Blixt",78,-0.062,"Approach",2015
154,154,"Camilo Villegas",83,-0.061,"Approach",2015
155,155,"John Merrick",78,-0.058,"Approach",2015
155,155,"Bo Van Pelt",81,-0.058,"Approach",2015
157,157,"Robert Garrigus",70,-0.057,"Approach",2015
158,158,"Johnson Wagner",68,-0.056,"Approach",2015
159,159,"Ernie Els",57,-0.051,"Approach",2015
160,160,"John Senden",80,-0.05,"Approach",2015
161,161,"Robert Allenby",63,-0.049,"Approach",2015
162,162,"Eric Axley",57,-0.041,"Approach",2015
163,163,"Adam Hadwin",95,-0.04,"Approach",2015
164,164,"Bill Lunde",50,-0.038,"Approach",2015
165,165,"DA Points",72,-0.036,"Approach",2015
166,166,"Geoff Ogilvy",50,-0.035,"Approach",2015
167,167,"Retief Goosen",81,-0.034,"Approach",2015
168,168,"Charl Schwartzel",67,-0.029,"Approach",2015
168,168,"Scott Stallings",60,-0.029,"Approach",2015
