"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2011","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2011","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2011","FedExCupSeasonPointsforNonMembers_EVENTS_2011","FedExCupSeasonPointsforNonMembers_POINTS_2011","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2011","stat_name","year"
1,1,"Rory McIlroy",10,1030,212,"FedExCupSeasonPointsforNonMembers",2011
2,2,"Lee Westwood",10,632,179,"FedExCupSeasonPointsforNonMembers",2011
3,3,"Martin Kaymer",10,605,401,"FedExCupSeasonPointsforNonMembers",2011
4,4,"Darren Clarke",3,602,2,"FedExCupSeasonPointsforNonMembers",2011
5,5,"Anders Hansen",7,491,233,"FedExCupSeasonPointsforNonMembers",2011
6,6,"Francesco Molinari",11,343,251,"FedExCupSeasonPointsforNonMembers",2011
7,7,"Edoardo Molinari",12,323,114,"FedExCupSeasonPointsforNonMembers",2011
8,8,"KT Kim",9,317,138,"FedExCupSeasonPointsforNonMembers",2011
9,9,"Peter Hanson",12,292,87,"FedExCupSeasonPointsforNonMembers",2011
10,10,"Ryo Ishikawa",10,265,178,"FedExCupSeasonPointsforNonMembers",2011
11,11,"Thomas Bjorn",5,240,90,"FedExCupSeasonPointsforNonMembers",2011
12,12,"Miguel Angel Jimenez",7,207,116,"FedExCupSeasonPointsforNonMembers",2011
13,13,"Matteo Manassero",8,199,99,"FedExCupSeasonPointsforNonMembers",2011
14,14,"Alvaro Quiros",8,192,45,"FedExCupSeasonPointsforNonMembers",2011
15,15,"Adam Hadwin",3,190,NA,"FedExCupSeasonPointsforNonMembers",2011
16,16,"Bud Cauley",6,181,NA,"FedExCupSeasonPointsforNonMembers",2011
17,17,"Ross Fisher",8,154,56,"FedExCupSeasonPointsforNonMembers",2011
18,18,"Simon Dyson",3,137,37,"FedExCupSeasonPointsforNonMembers",2011
19,19,"Seung Yul Noh",6,133,35,"FedExCupSeasonPointsforNonMembers",2011
20,20,"Richard Green",4,107,53,"FedExCupSeasonPointsforNonMembers",2011
21,21,"Yuta Ikeda",9,99,38,"FedExCupSeasonPointsforNonMembers",2011
22,22,"Hiroyuki Fujita",7,99,32,"FedExCupSeasonPointsforNonMembers",2011
23,23,"Raphael Jacquelin",2,94,NA,"FedExCupSeasonPointsforNonMembers",2011
24,24,"Sam Saunders",8,91,NA,"FedExCupSeasonPointsforNonMembers",2011
25,25,"Johan Edfors",2,82,NA,"FedExCupSeasonPointsforNonMembers",2011
26,26,"Robert Rock",2,76,NA,"FedExCupSeasonPointsforNonMembers",2011
27,27,"Alexander Noren",4,71,16,"FedExCupSeasonPointsforNonMembers",2011
28,28,"Morgan Hoffmann",4,70,NA,"FedExCupSeasonPointsforNonMembers",2011
29,29,"Erik Compton",6,67,NA,"FedExCupSeasonPointsforNonMembers",2011
30,30,"Pablo Larrazabal",3,62,1,"FedExCupSeasonPointsforNonMembers",2011
31,31,"George Coetzee",1,61,NA,"FedExCupSeasonPointsforNonMembers",2011
32,32,"Gregory Havret",3,49,NA,"FedExCupSeasonPointsforNonMembers",2011
33,33,"Hennie Otto",1,41,41,"FedExCupSeasonPointsforNonMembers",2011
34,34,"Do Hoon Kim",1,37,NA,"FedExCupSeasonPointsforNonMembers",2011
35,35,"Thomas Aiken",4,35,35,"FedExCupSeasonPointsforNonMembers",2011
36,36,"Gary Boyd",1,31,NA,"FedExCupSeasonPointsforNonMembers",2011
36,36,"Simon Khan",1,31,NA,"FedExCupSeasonPointsforNonMembers",2011
38,38,"Sangmoon Bae",2,28,NA,"FedExCupSeasonPointsforNonMembers",2011
39,39,"Mathias Gronberg",1,26,NA,"FedExCupSeasonPointsforNonMembers",2011
40,40,"Josh Broadaway",1,25,NA,"FedExCupSeasonPointsforNonMembers",2011
40,40,"Marcus Fraser",1,25,25,"FedExCupSeasonPointsforNonMembers",2011
42,42,"WC Liang",2,24,NA,"FedExCupSeasonPointsforNonMembers",2011
42,42,"Drew Weaver",2,24,NA,"FedExCupSeasonPointsforNonMembers",2011
44,44,"Brendan Jones",2,23,23,"FedExCupSeasonPointsforNonMembers",2011
45,45,"Gregory Bourdy",2,21,NA,"FedExCupSeasonPointsforNonMembers",2011
45,45,"Floris De Vries",1,21,NA,"FedExCupSeasonPointsforNonMembers",2011
45,45,"Richard McEvoy",1,21,NA,"FedExCupSeasonPointsforNonMembers",2011
48,48,"Mathew Goggin",1,20,NA,"FedExCupSeasonPointsforNonMembers",2011
49,49,"Jose Manuel Lara",1,20,NA,"FedExCupSeasonPointsforNonMembers",2011
50,50,"SSP Chawrasia",1,20,20,"FedExCupSeasonPointsforNonMembers",2011
51,51,"Alejandro Canizares",2,17,NA,"FedExCupSeasonPointsforNonMembers",2011
52,52,"Todd Fischer",2,16,NA,"FedExCupSeasonPointsforNonMembers",2011
53,53,"Julian Etulain",1,13,NA,"FedExCupSeasonPointsforNonMembers",2011
53,53,"Sal Spallone",1,13,NA,"FedExCupSeasonPointsforNonMembers",2011
55,55,"Steve Allan",1,13,NA,"FedExCupSeasonPointsforNonMembers",2011
56,56,"Troy Kelly",1,12,NA,"FedExCupSeasonPointsforNonMembers",2011
57,57,"Fredrik Andersson Hed",2,12,NA,"FedExCupSeasonPointsforNonMembers",2011
57,57,"Stephen Gallacher",3,12,NA,"FedExCupSeasonPointsforNonMembers",2011
59,59,"Mike Small",5,11,NA,"FedExCupSeasonPointsforNonMembers",2011
60,60,"Marcel Siem",1,10,NA,"FedExCupSeasonPointsforNonMembers",2011
61,61,"Rhys Davies",2,9,9,"FedExCupSeasonPointsforNonMembers",2011
62,62,"Billy Hurley III",3,8,NA,"FedExCupSeasonPointsforNonMembers",2011
63,63,"Joost Luiten",2,7,NA,"FedExCupSeasonPointsforNonMembers",2011
63,63,"Matthew Millar",1,7,NA,"FedExCupSeasonPointsforNonMembers",2011
65,65,"Peter Senior",1,7,7,"FedExCupSeasonPointsforNonMembers",2011
66,66,"Bob May",2,6,NA,"FedExCupSeasonPointsforNonMembers",2011
67,67,"Paul Lawrie",1,5,NA,"FedExCupSeasonPointsforNonMembers",2011
68,68,"Patrick Reed",2,3,NA,"FedExCupSeasonPointsforNonMembers",2011
69,69,"Will Claxton",1,3,NA,"FedExCupSeasonPointsforNonMembers",2011
70,70,"Christo Greyling",1,2,NA,"FedExCupSeasonPointsforNonMembers",2011
70,70,"Kenichi Kuboya",1,2,NA,"FedExCupSeasonPointsforNonMembers",2011
72,72,"Michio Matsumura",1,1,NA,"FedExCupSeasonPointsforNonMembers",2011
73,73,"Kenneth Ferrie",1,1,NA,"FedExCupSeasonPointsforNonMembers",2011
74,74,"Wes Heffernan",1,1,NA,"FedExCupSeasonPointsforNonMembers",2011
74,74,"Junggon Hwang",1,1,NA,"FedExCupSeasonPointsforNonMembers",2011
76,76,"Brad Fritsch",1,1,NA,"FedExCupSeasonPointsforNonMembers",2011
77,77,"Jaebum Park",1,1,1,"FedExCupSeasonPointsforNonMembers",2011
77,77,"Dustin Risdon",1,1,NA,"FedExCupSeasonPointsforNonMembers",2011
79,79,"Dave Schultz",1,1,NA,"FedExCupSeasonPointsforNonMembers",2011
