"TenthTeeLatePar4ScoringAverage_RANKTHISWEEK_2014","TenthTeeLatePar4ScoringAverage_RANKLASTWEEK_2014","TenthTeeLatePar4ScoringAverage_PLAYERNAME_2014","TenthTeeLatePar4ScoringAverage_ROUNDS_2014","TenthTeeLatePar4ScoringAverage_AVG_2014","TenthTeeLatePar4ScoringAverage_TOTALSTROKES_2014","TenthTeeLatePar4ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Adam Scott",68,3.67,44,12,"TenthTeeLatePar4ScoringAverage",2014
2,2,"Jordan Spieth",102,3.8,38,10,"TenthTeeLatePar4ScoringAverage",2014
3,3,"Rory McIlroy",66,3.82,84,22,"TenthTeeLatePar4ScoringAverage",2014
4,4,"Sergio Garcia",61,3.91,172,44,"TenthTeeLatePar4ScoringAverage",2014
4,4,"Jerry Kelly",80,3.91,512,131,"TenthTeeLatePar4ScoringAverage",2014
6,6,"Keegan Bradley",89,3.92,337,86,"TenthTeeLatePar4ScoringAverage",2014
6,6,"Chad Campbell",57,3.92,376,96,"TenthTeeLatePar4ScoringAverage",2014
6,6,"Matt Kuchar",91,3.92,47,12,"TenthTeeLatePar4ScoringAverage",2014
6,6,"Hideki Matsuyama",82,3.92,329,84,"TenthTeeLatePar4ScoringAverage",2014
10,10,"Jason Dufner",57,3.93,169,43,"TenthTeeLatePar4ScoringAverage",2014
10,10,"Patrick Reed",92,3.93,299,76,"TenthTeeLatePar4ScoringAverage",2014
12,12,"Martin Kaymer",65,3.94,268,68,"TenthTeeLatePar4ScoringAverage",2014
13,13,"Brendon de Jonge",109,3.95,870,220,"TenthTeeLatePar4ScoringAverage",2014
13,13,"Henrik Stenson",56,3.95,296,75,"TenthTeeLatePar4ScoringAverage",2014
13,13,"Bubba Watson",76,3.95,162,41,"TenthTeeLatePar4ScoringAverage",2014
16,16,"Charley Hoffman",93,3.96,904,228,"TenthTeeLatePar4ScoringAverage",2014
16,16,"Ryan Moore",86,3.96,519,131,"TenthTeeLatePar4ScoringAverage",2014
16,16,"Kevin Na",94,3.96,757,191,"TenthTeeLatePar4ScoringAverage",2014
19,19,"Jason Day",54,3.97,131,33,"TenthTeeLatePar4ScoringAverage",2014
19,19,"Jim Furyk",84,3.97,131,33,"TenthTeeLatePar4ScoringAverage",2014
19,19,"Brian Harman",111,3.97,790,199,"TenthTeeLatePar4ScoringAverage",2014
19,19,"John Merrick",87,3.97,707,178,"TenthTeeLatePar4ScoringAverage",2014
19,19,"Ted Potter Jr",68,3.97,504,127,"TenthTeeLatePar4ScoringAverage",2014
19,19,"Andrew Svoboda",77,3.97,600,151,"TenthTeeLatePar4ScoringAverage",2014
