"ScramblingRoughRTPScore_RANKTHISWEEK_2014","ScramblingRoughRTPScore_RANKLASTWEEK_2014","ScramblingRoughRTPScore_PLAYERNAME_2014","ScramblingRoughRTPScore_ROUNDS_2014","ScramblingRoughRTPScore_AVGRTP_2014","ScramblingRoughRTPScore_TOTALHOLES_2014","ScramblingRoughRTPScore_TOTALRTP_2014","stat_name","year"
1,1,"Jim Furyk",84,0.27,141,38,"ScramblingRoughRTPScore",2014
2,2,"Jason Day",54,0.287,87,25,"ScramblingRoughRTPScore",2014
3,3,"Justin Leonard",75,0.341,176,60,"ScramblingRoughRTPScore",2014
4,4,"Jerry Kelly",80,0.348,155,54,"ScramblingRoughRTPScore",2014
5,5,"Sergio Garcia",61,0.35,80,28,"ScramblingRoughRTPScore",2014
6,6,"Rory McIlroy",66,0.36,100,36,"ScramblingRoughRTPScore",2014
7,7,"Zach Johnson",97,0.367,180,66,"ScramblingRoughRTPScore",2014
8,8,"Brendon Todd",108,0.371,240,89,"ScramblingRoughRTPScore",2014
9,9,"Matt Kuchar",91,0.387,163,63,"ScramblingRoughRTPScore",2014
10,10,"Adam Scott",68,0.388,116,45,"ScramblingRoughRTPScore",2014
11,11,"Ernie Els",85,0.393,150,59,"ScramblingRoughRTPScore",2014
12,12,"Kevin Na",94,0.399,198,79,"ScramblingRoughRTPScore",2014
13,13,"Jeff Overton",80,0.4,155,62,"ScramblingRoughRTPScore",2014
14,14,"Danny Lee",84,0.402,174,70,"ScramblingRoughRTPScore",2014
15,15,"Stuart Appleby",92,0.406,187,76,"ScramblingRoughRTPScore",2014
16,16,"Justin Rose",70,0.407,118,48,"ScramblingRoughRTPScore",2014
17,17,"Brandt Snedeker",89,0.409,181,74,"ScramblingRoughRTPScore",2014
18,18,"Brendon de Jonge",109,0.41,212,87,"ScramblingRoughRTPScore",2014
18,18,"Russell Knox",92,0.41,195,80,"ScramblingRoughRTPScore",2014
20,20,"Charl Schwartzel",64,0.411,129,53,"ScramblingRoughRTPScore",2014
21,21,"Graham DeLaet",80,0.413,104,43,"ScramblingRoughRTPScore",2014
22,22,"Phil Mickelson",71,0.414,128,53,"ScramblingRoughRTPScore",2014
23,23,"Jordan Spieth",102,0.415,229,95,"ScramblingRoughRTPScore",2014
24,24,"Billy Hurley III",86,0.42,169,71,"ScramblingRoughRTPScore",2014
24,24,"Chris Stroud",88,0.42,169,71,"ScramblingRoughRTPScore",2014
26,26,"Brian Gay",81,0.423,182,77,"ScramblingRoughRTPScore",2014
27,27,"Chad Campbell",57,0.425,87,37,"ScramblingRoughRTPScore",2014
27,27,"Chad Collins",78,0.425,160,68,"ScramblingRoughRTPScore",2014
27,27,"Richard Lee",80,0.425,186,79,"ScramblingRoughRTPScore",2014
30,30,"Rickie Fowler",91,0.428,173,74,"ScramblingRoughRTPScore",2014
31,31,"Ryan Palmer",85,0.432,148,64,"ScramblingRoughRTPScore",2014
31,31,"Andres Romero",81,0.432,192,83,"ScramblingRoughRTPScore",2014
33,33,"Brian Stuard",91,0.435,184,80,"ScramblingRoughRTPScore",2014
34,34,"Aaron Baddeley",74,0.436,181,79,"ScramblingRoughRTPScore",2014
35,35,"Hideki Matsuyama",82,0.438,162,71,"ScramblingRoughRTPScore",2014
36,36,"Chris Kirk",105,0.439,198,87,"ScramblingRoughRTPScore",2014
36,36,"Gary Woodland",93,0.439,157,69,"ScramblingRoughRTPScore",2014
38,38,"Pat Perez",84,0.44,216,95,"ScramblingRoughRTPScore",2014
39,39,"Ben Martin",80,0.442,165,73,"ScramblingRoughRTPScore",2014
40,40,"Charley Hoffman",93,0.446,186,83,"ScramblingRoughRTPScore",2014
40,40,"Freddie Jacobson",91,0.446,222,99,"ScramblingRoughRTPScore",2014
42,42,"Dustin Johnson",58,0.448,96,43,"ScramblingRoughRTPScore",2014
43,43,"Brian Davis",93,0.449,176,79,"ScramblingRoughRTPScore",2014
43,43,"Gonzalo Fdez Castano",83,0.449,167,75,"ScramblingRoughRTPScore",2014
43,43,"Webb Simpson",87,0.449,176,79,"ScramblingRoughRTPScore",2014
43,43,"Tim Wilkinson",86,0.449,196,88,"ScramblingRoughRTPScore",2014
47,47,"Bronson La Cassie",51,0.45,111,50,"ScramblingRoughRTPScore",2014
