"FedExCupSeasonPoints_RANKTHISWEEK_2011","FedExCupSeasonPoints_RANKLASTWEEK_2011","FedExCupSeasonPoints_PLAYERNAME_2011","FedExCupSeasonPoints_EVENTS_2011","FedExCupSeasonPoints_POINTS_2011","FedExCupSeasonPoints_OFWINS_2011","FedExCupSeasonPoints_OFTOP10S_2011","FedExCupSeasonPoints_POINTSBEHINDLEAD_2011","FedExCupSeasonPoints_RESETPOINTS_2011","stat_name","year"
1,1,"Nick Watney",17,1906,2,8,NA,NA,"FedExCupSeasonPoints",2011
2,2,"Steve Stricker",15,1865,2,5,41,NA,"FedExCupSeasonPoints",2011
3,3,"Webb Simpson",20,1861,1,7,45,NA,"FedExCupSeasonPoints",2011
4,4,"Luke Donald",14,1856,1,10,50,NA,"FedExCupSeasonPoints",2011
5,5,"Keegan Bradley",24,1621,2,4,285,NA,"FedExCupSeasonPoints",2011
6,6,"Phil Mickelson",17,1601,1,5,305,NA,"FedExCupSeasonPoints",2011
7,7,"KJ Choi",18,1601,1,6,305,NA,"FedExCupSeasonPoints",2011
8,8,"Bubba Watson",18,1577,2,3,329,NA,"FedExCupSeasonPoints",2011
9,9,"David Toms",18,1538,1,6,368,NA,"FedExCupSeasonPoints",2011
10,10,"Gary Woodland",20,1466,1,6,440,NA,"FedExCupSeasonPoints",2011
11,11,"Mark Wilson",21,1461,2,4,445,NA,"FedExCupSeasonPoints",2011
12,12,"Matt Kuchar",19,1407,NA,8,499,NA,"FedExCupSeasonPoints",2011
13,13,"Adam Scott",14,1332,1,5,574,NA,"FedExCupSeasonPoints",2011
14,14,"Jason Day",17,1308,NA,8,598,NA,"FedExCupSeasonPoints",2011
15,15,"Bill Haas",22,1273,NA,6,633,NA,"FedExCupSeasonPoints",2011
16,16,"Freddie Jacobson",21,1235,1,3,671,NA,"FedExCupSeasonPoints",2011
17,17,"Martin Laird",19,1234,1,6,672,NA,"FedExCupSeasonPoints",2011
18,18,"Brandt Snedeker",21,1227,1,5,679,NA,"FedExCupSeasonPoints",2011
19,19,"Dustin Johnson",17,1191,NA,5,715,NA,"FedExCupSeasonPoints",2011
20,20,"Hunter Mahan",21,1186,NA,7,720,NA,"FedExCupSeasonPoints",2011
21,21,"Charl Schwartzel",13,1185,1,3,721,NA,"FedExCupSeasonPoints",2011
22,22,"Aaron Baddeley",18,1181,1,4,725,NA,"FedExCupSeasonPoints",2011
23,23,"Rory Sabbatini",20,1175,1,3,731,NA,"FedExCupSeasonPoints",2011
24,24,"Jonathan Byrd",20,1165,1,4,741,NA,"FedExCupSeasonPoints",2011
25,25,"Jason Dufner",19,1143,NA,5,763,NA,"FedExCupSeasonPoints",2011
26,26,"Charles Howell III",24,1137,NA,6,769,NA,"FedExCupSeasonPoints",2011
27,27,"DA Points",21,1055,1,3,851,NA,"FedExCupSeasonPoints",2011
28,28,"Rickie Fowler",20,1038,NA,4,868,NA,"FedExCupSeasonPoints",2011
29,29,"Spencer Levin",24,1025,NA,4,881,NA,"FedExCupSeasonPoints",2011
30,30,"Tommy Gainey",27,999,NA,6,907,NA,"FedExCupSeasonPoints",2011
31,31,"Scott Stallings",23,992,1,2,914,NA,"FedExCupSeasonPoints",2011
32,32,"Zach Johnson",19,962,NA,4,944,NA,"FedExCupSeasonPoints",2011
33,33,"Chris Kirk",24,957,1,4,949,NA,"FedExCupSeasonPoints",2011
34,34,"Steve Marino",20,935,NA,3,971,NA,"FedExCupSeasonPoints",2011
35,35,"Jhonattan Vegas",21,919,1,2,987,NA,"FedExCupSeasonPoints",2011
36,36,"Vijay Singh",20,903,NA,4,1003,NA,"FedExCupSeasonPoints",2011
37,37,"Ryan Palmer",20,902,NA,3,1004,NA,"FedExCupSeasonPoints",2011
38,38,"Ryan Moore",18,883,NA,3,1023,NA,"FedExCupSeasonPoints",2011
39,39,"Bo Van Pelt",22,881,NA,3,1025,NA,"FedExCupSeasonPoints",2011
40,40,"Lucas Glover",19,875,1,1,1031,NA,"FedExCupSeasonPoints",2011
41,41,"Brendan Steele",22,826,1,1,1080,NA,"FedExCupSeasonPoints",2011
42,42,"Brandt Jobe",23,803,NA,3,1103,NA,"FedExCupSeasonPoints",2011
43,43,"YE Yang",14,799,NA,4,1107,NA,"FedExCupSeasonPoints",2011
44,44,"Justin Rose",18,796,NA,3,1110,NA,"FedExCupSeasonPoints",2011
45,45,"Robert Karlsson",15,789,NA,3,1117,NA,"FedExCupSeasonPoints",2011
46,46,"Brendon de Jonge",25,784,NA,3,1122,NA,"FedExCupSeasonPoints",2011
47,47,"Kevin Na",22,778,NA,5,1128,NA,"FedExCupSeasonPoints",2011
48,48,"Kyle Stanley",23,761,NA,2,1145,NA,"FedExCupSeasonPoints",2011
49,49,"Charley Hoffman",23,746,NA,1,1160,NA,"FedExCupSeasonPoints",2011
50,50,"John Senden",21,732,NA,2,1174,NA,"FedExCupSeasonPoints",2011
51,51,"Sean OHair",20,724,1,1,1182,NA,"FedExCupSeasonPoints",2011
52,52,"Pat Perez",21,716,NA,4,1190,NA,"FedExCupSeasonPoints",2011
53,53,"Robert Garrigus",21,702,NA,3,1204,NA,"FedExCupSeasonPoints",2011
54,54,"George McNeill",15,694,NA,4,1212,NA,"FedExCupSeasonPoints",2011
55,55,"Carl Pettersson",22,691,NA,4,1215,NA,"FedExCupSeasonPoints",2011
56,56,"Brian Gay",21,685,NA,3,1221,NA,"FedExCupSeasonPoints",2011
57,57,"Brian Davis",25,685,NA,1,1221,NA,"FedExCupSeasonPoints",2011
58,58,"Robert Allenby",21,679,NA,3,1227,NA,"FedExCupSeasonPoints",2011
59,59,"Sergio Garcia",13,662,NA,3,1244,NA,"FedExCupSeasonPoints",2011
60,60,"Jim Furyk",22,661,NA,3,1245,NA,"FedExCupSeasonPoints",2011
61,61,"Harrison Frazar",16,660,1,1,1246,NA,"FedExCupSeasonPoints",2011
62,62,"Andres Romero",19,651,NA,4,1255,NA,"FedExCupSeasonPoints",2011
63,63,"Jerry Kelly",21,651,NA,3,1255,NA,"FedExCupSeasonPoints",2011
64,64,"Cameron Tringale",25,644,NA,4,1262,NA,"FedExCupSeasonPoints",2011
65,65,"Kris Blanks",24,641,NA,2,1265,NA,"FedExCupSeasonPoints",2011
