"CarryDistance_RANKTHISWEEK_2009","CarryDistance_RANKLASTWEEK_2009","CarryDistance_PLAYERNAME_2009","CarryDistance_ROUNDS_2009","CarryDistance_AVG_2009","CarryDistance_TOTALDISTTOIMPACT_2009","CarryDistance_TOTALATTEMPTS_2009","CarryDistance_LONGESTCARRYDISTANCE_2009","CarryDistance_SHORTESTCARRYDISTANCE_2009","stat_name","year"
1,1,"JB Holmes",74,304.4,14309,47,352.8,226.2,"CarryDistance",2009
2,2,"Bubba Watson",73,300.3,12013.4,40,341.2,244.5,"CarryDistance",2009
3,3,"Dustin Johnson",85,298.9,16738.9,56,342,256.4,"CarryDistance",2009
4,4,"Robert Garrigus",83,297.8,16678.8,56,340.7,235.9,"CarryDistance",2009
5,5,"Gary Woodland",53,293.9,7934.7,27,315.2,262.2,"CarryDistance",2009
6,6,"Phil Mickelson",66,293,11427.9,39,322.9,245.5,"CarryDistance",2009
7,7,"Tag Ridings",50,291.2,11066.4,38,332.4,252.6,"CarryDistance",2009
8,8,"Andres Romero",58,290.7,11338,39,329.8,238.8,"CarryDistance",2009
9,9,"Charley Hoffman",97,290.2,20605.1,71,318.7,248.9,"CarryDistance",2009
10,10,"Anthony Kim",76,289.3,14176.7,49,338.7,237.1,"CarryDistance",2009
11,11,"Martin Laird",72,288.8,12993.9,45,328.9,251.4,"CarryDistance",2009
12,12,"Davis Love III",89,288.7,18473.8,64,338.8,203.8,"CarryDistance",2009
13,13,"Angel Cabrera",55,288.4,9806,34,325,239.2,"CarryDistance",2009
14,14,"Tiger Woods",64,287,8895.9,31,320.7,250.3,"CarryDistance",2009
15,15,"Marc Leishman",91,285.7,19141.8,67,320.5,250.8,"CarryDistance",2009
16,16,"Harrison Frazar",93,285.1,18532.3,65,318.9,244.6,"CarryDistance",2009
17,17,"Jason Day",61,284.4,11374.3,40,318.7,247.4,"CarryDistance",2009
18,18,"Troy Matteson",95,283.8,22702.3,80,325.9,247.4,"CarryDistance",2009
19,19,"Fred Couples",54,283.3,10766.3,38,312.5,259.9,"CarryDistance",2009
19,19,"Matt Jones",56,283.3,9917.2,35,315.5,249,"CarryDistance",2009
21,21,"Adam Scott",53,283.2,10761,38,335.8,206.2,"CarryDistance",2009
22,22,"Nick Watney",86,282.9,16972.6,60,311.4,244.1,"CarryDistance",2009
23,23,"Daniel Chopra",89,282.2,22291,79,330.9,208.6,"CarryDistance",2009
24,24,"George McNeill",82,281.9,16914.8,60,310.7,246.4,"CarryDistance",2009
24,24,"Scott Piercy",85,281.9,15787.7,56,310.2,238.6,"CarryDistance",2009
24,24,"Vijay Singh",71,281.9,16630.7,59,326.7,228.7,"CarryDistance",2009
27,27,"Leif Olson",51,281.6,9012.7,32,321.7,239.5,"CarryDistance",2009
28,28,"John Merrick",91,280.7,17966.1,64,310.4,235,"CarryDistance",2009
29,29,"Stewart Cink",79,280,16519,59,324.8,228.7,"CarryDistance",2009
30,30,"Jimmy Walker",74,279.8,11472.1,41,317,234.8,"CarryDistance",2009
31,31,"Lucas Glover",93,279.7,18180.8,65,309.6,238.5,"CarryDistance",2009
32,32,"Ryan Palmer",78,279.6,17336.2,62,308.9,245.4,"CarryDistance",2009
